Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s001.log                   37,85   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s002.log                   10,71   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s003.log                    6,67   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s004.log                   31,58   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s005.log                   34,82   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s006.log                   41,35   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s007.log                   22,61   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s008.log                    5,92   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s009.log                   12,42   1 ok
F:\Contagio\20_gi_30_25m1_15m2_15_m1_0\s010.log                   50,96   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      25,49  =      50,98
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19980         19          0          0          0          0      53,98       0,45        0,0       0,00          1          8          8          0          0          0          0          0          9          0          0       0,00
  5      19976         23          0          0          0          0      53,98       0,58        0,4       0,10          2         11         11          0          0          0          0          0         13          0          0       0,00
  6      19973         26          0          0          0          0      53,99       0,64        0,4       0,10          2         13         13          0          0          0          0          0         16          0          0       0,00
  7      19963         36          0          0          0          0      53,98       0,72        0,4       0,10          4         21         21          0          0          0          0          0         26          0          0       0,00
  8      19943         56          0          0          0          0      53,99       0,80        0,4       0,10          6         40         40          0          0          0          0          0         46          0          0       0,00
  9      19932         67          0          0          0          0      53,99       0,85        1,2       0,10          8         49         49          0          0          0          0          0         58          0          0       0,00
 10      19909         90          0          0          0          0      53,99       0,92        1,3       0,10         11         69         69          0          0          0          0          0         80          0          0       0,00
 11      19887        111          0          0          0          0      53,99       1,00        1,3       0,10         16         85         85          0          0          0          9          1        102          0          0       0,00
 12      19847        152          0          0          0          0      53,99       0,98        1,3       0,05         21        121        121          0          0          0         13          1        142          0          0       0,00
 13      19815        184          0          0          0          0      53,99       1,01        1,3       0,05         29        145        145          0          0          0         16          1        174          0          0       0,00
 14      19784        214          0          0          0          0      54,00       1,03        3,9       0,40         40        165        165          0          0          0         26          2        205          0          0       0,00
 15      19749        249          0          0          0          0      54,00       1,09        5,4       0,55         53        187        186          0          0          0         46          4        240          0          0       0,00
 16      19704        293          0          1          0          0      54,00       1,16        7,5       1,13         68        217        216          0          0          0         57          5        284          0          0       0,77
 17      19659        338          0          2          0          0      54,00       1,19        8,7       1,82         85        245        244          0          0          0         79          7        329          0          0       1,12
 18      19603        393          0          2          0          0      54,00       1,22       10,5       1,90        104        282        280          0          0          0        100         10        385          0          0       1,03
 19      19535        461          0          3          0          0      54,00       1,24       11,2       2,50        122        332        330          1          0          0        140         14        452          1          0       1,54
 20      19462        533          0          4          0          0      54,00       1,27       11,1       2,16        140        386        384          2          0          0        171         17        524          2          0       1,66
 21      19389        604          0          5          0          1      54,00       1,30       12,9       2,27        166        434        430          3          0          0        200         20        596          3          1       1,48
 22      19318        673          0          6          0          1      53,99       1,32       13,2       2,16        197        474        469          4          1          0        234         23        666          4          1       1,50
 23      19240        748          0          9          0          1      53,99       1,36       13,7       2,67        224        524        517          5          1          0        277         27        741          6          1       2,60
 24      19140        845          0         11          0          1      53,99       1,39       14,4       3,44        258        591        582          7          1          0        320         30        839          8          1       4,09
 25      19017        964          0         15          0          2      54,00       1,41       14,8       3,03        298        674        662         10          1          0        372         36        958         12          2       3,38
 26      18888       1087          0         21          0          3      54,00       1,40       14,9       2,73        338        763        747         14          2          0        435         40       1081         16          3       3,04
 27      18762       1208          0         26          0          3      54,00       1,40       15,2       2,53        381        846        825         18          2          0        503         46       1202         21          3       2,71
 28      18608       1354          0         33          0          4      53,99       1,41       15,7       2,39        435        946        920         23          2          0        568         52       1349         27          4       2,44
 29      18449       1504          0         40          0          5      53,99       1,41       15,9       2,20        494       1046       1014         28          3          0        631         57       1499         35          5       2,18
 30      18282       1661          0         49          0          6      53,99       1,42       16,5       2,22        553       1153       1114         35          4          0        699         66       1657         43          6       2,05
 31      18177       1754          0         60          0          7      53,55       1,39       17,2       2,17        605       1207       1168         35          4          0        788         75       1751         53          7       2,04
 32      18061       1854          0         75          0          9      53,14       1,38       18,0       2,26        666       1262       1223         35          4          0        898         86       1854         65          9       2,00
 33      17952       1948          0         88          0         11      52,75       1,37       18,0       2,29        726       1310       1271         35          4          0       1012         99       1948         78         11       2,09
 34      17827       2056          0        103          0         13      52,39       1,36       17,9       2,15        791       1371       1331         35          4          0       1122        112       2056         93         13       1,96
 35      17711       2148          0        123          0         16      52,05       1,36       18,3       2,06        855       1423       1383         35          4          0       1252        127       2148        113         16       1,90
 36      17597       2237          0        144          0         20      51,73       1,36       18,5       2,14        918       1473       1434         35          4          0       1386        142       2237        134         20       2,05
 37      17485       2323          0        166          0         24      51,43       1,35       18,7       2,13        976       1527       1487         35          4          0       1527        155       2323        156         24       2,05
