--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.7
18/04/2020 20:19:41
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_30_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,        3.328 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49979         20          0          0          0          0      53,98       0,45        0,0       0,00          1          9          9          0          0          0          0          0         20          0          0       0,00
  5      49974         25          0          0          0          0      53,99       0,60        0,0       0,00          1         13         13          0          0          0          0          0         25          0          0       0,00
  6      49970         29          0          0          0          0      53,99       0,67        0,0       0,00          2         16         16          0          0          0          0          0         29          0          0       0,00
  7      49957         42          0          0          0          0      53,99       0,77        0,0       0,00          4         28         28          0          0          0          0          0         42          0          0       0,00
  8      49939         60          0          0          0          0      53,99       0,82        0,2       0,00          7         43         43          0          0          0          0          0         60          0          0       0,00
  9      49919         80          0          0          0          0      53,99       0,85        0,8       0,33          9         60         60          0          0          0          0          0         80          0          0       0,00
 10      49884        115          0          0          0          0      53,99       0,88        0,8       0,33         13         92         92          0          0          0          0          0        115          0          0       0,00
 11      49842        157          0          0          0          0      53,99       0,91        1,5       0,73         19        128        128          0          0          0         10          1        157          0          0       0,00
 12      49801        198          0          0          0          0      53,99       0,91        1,7       1,00         26        162        162          0          0          0         15          1        198          0          0       0,27
 13      49752        247          0          0          0          0      53,99       0,96        2,3       1,60         37        200        200          0          0          0         19          1        247          0          0       0,37
 14      49702        297          0          0          0          0      53,99       1,02        2,6       1,67         51        236        236          0          0          0         32          3        297          0          0       0,43
 15      49643        356          0          0          0          0      53,99       1,08        4,4       2,71         66        279        279          0          0          0         50          4        356          0          0       0,50
 16      49572        426          0          1          0          0      53,99       1,13        7,4       3,36         87        330        329          0          0          0         70          6        426          0          0       1,17
 17      49500        498          0          1          0          0      53,99       1,16        8,5       3,63        109        380        379          0          0          0        104          9        498          0          0       1,49
 18      49421        576          0          2          0          0      53,99       1,20        9,6       2,71        136        432        430          1          0          0        146         14        577          1          0       1,52
 19      49311        685          0          3          0          0      53,99       1,22       11,4       2,66        167        511        509          1          0          0        186         17        686          2          0       1,81
 20      49193        801          0          5          0          0      53,99       1,25       11,7       2,89        202        594        591          2          0          0        234         22        803          3          0       2,54
 21      49068        925          0          6          0          0      53,99       1,26       12,0       2,82        239        682        678          3          0          0        282         27        927          4          0       2,36
 22      48919       1071          0          8          0          0      53,99       1,26       12,5       2,80        281        789        783          5          0          0        340         32       1073          6          0       2,39
 23      48753       1233          0         11          0          1      53,99       1,27       12,7       2,72        331        904        895          7          0          0        408         39       1236          8          1       2,51
 24      48569       1414          0         14          0          1      53,99       1,27       13,6       2,69        386       1034       1023          9          1          0        476         45       1417         11          1       2,43
 25      48362       1615          0         19          0          2      53,99       1,27       13,8       2,96        448       1178       1163         13          1          0        550         53       1618         16          2       3,13
 26      48127       1842          0         26          0          2      53,99       1,28       14,4       2,78        520       1341       1321         18          1          0        653         62       1846         22          2       2,93
 27      47862       2099          0         33          0          3      53,99       1,29       14,6       2,61        602       1524       1498         23          2          0        763         74       2104         29          3       2,77
 28      47570       2382          0         42          0          5      53,99       1,30       15,0       2,47        691       1728       1694         30          3          0        879         85       2387         37          5       2,62
 29      47254       2685          0         53          0          6      53,99       1,31       15,3       2,31        793       1941       1897         39          4          0       1016         98       2690         48          6       2,49
 30      46905       3020          0         66          0          7      53,99       1,32       15,8       2,30        907       2176       2121         49          5          0       1168        113       3025         60          7       2,53
 31      46713       3196          0         81          0          9      53,55       1,30       16,2       2,37       1008       2268       2213         49          5          0       1336        131       3202         75          9       2,66
 32      46500       3385          0        101          0         12      53,14       1,30       17,0       2,36       1118       2371       2316         49          5          0       1524        149       3395         91         12       2,59
 33      46275       3586          0        122          0         14      52,76       1,30       17,1       2,30       1244       2469       2414         49          5          0       1735        170       3596        112         14       2,56
 34      46036       3797          0        147          0         18      52,39       1,31       17,3       2,21       1371       2582       2527         49          5          0       1972        194       3807        137         18       2,49
 35      45791       4006          0        178          0         23      52,05       1,31       17,6       2,21       1498       2700       2645         49          5          0       2229        220       4016        168         23       2,19
 36      45548       4211          0        212          0         27      51,73       1,31       17,9       2,23       1622       2819       2764         49          5          0       2506        250       4221        202         27       2,19
 37      45295       4421          0        249          0         33      51,43       1,31       18,0       2,16       1748       2945       2890         49          5          0       2812        281       4431        239         33       2,11
 38      45035       4630          0        294          0         40      51,14       1,31       18,3       2,11       1876       3078       3023         50          5          0       2953        294       4640        284         40       2,07
 39      44774       4829          0        347          0         48      50,87       1,31       18,6       2,11       2009       3206       3149         51          5          0       3104        309       4839        337         48       2,08
 40      44518       5016          0        408          0         56      50,61       1,32       18,8       2,06       2143       3327       3270         51          5          0       3260        323       5026        398         56       2,03
 41      44256       5195          0        480          0         67      50,36       1,32       19,1       2,01       2282       3450       3390         53          5          0       3417        338       5205        470         67       1,98
 42      44007       5358          0        556          0         77      50,13       1,32       19,5       1,99       2421       3560       3499         56          5          0       3575        353       5368        546         77       1,96
 43      43764       5508          0        638          0         88      49,90       1,32       19,7       1,94       2564       3660       3596         58          5          0       3725        370       5518        628         88       1,92
 44      43529       5633          0        734          0        102      49,69       1,33       20,0       1,91       2708       3751       3683         62          5          0       3868        384       5643        724        102       1,89
 45      43306       5741          0        834          0        117      49,49       1,33       20,2       1,89       2850       3832       3758         68          6          0       4014        397       5751        824        117       1,87
 46      42857       6065          0        941          0        135      49,59       1,35       20,5       1,87       3038       4094       4019         68          6          0       4149        410       6075        931        135       1,85
 47      42491       6292          0       1061          0        155      49,68       1,37       20,7       1,84       3223       4275       4200         68          6          0       4266        421       6302       1051        155       1,82
 48      42142       6496          0       1187          0        174      49,77       1,38       20,9       1,81       3402       4444       4370         68          6          0       4383        432       6506       1177        174       1,80
 49      41679       6804          0       1322          0        193      49,86       1,39       21,1       1,79       3591       4719       4645         68          6          0       4476        439       6814       1312        193       1,77
 50      41145       7159          0       1478          0        216      49,95       1,40       21,3       1,78       3786       5058       4983         68          6          0       4541        447       7169       1468        216       1,76
 51      40586       7532          0       1642          0        239      50,03       1,41       21,6       1,76       3984       5418       5344         68          6          0       4589        452       7542       1632        239       1,75
 52      39939       7983          0       1813          0        264      50,11       1,41       21,9       1,75       4194       5856       5781         68          6          0       4616        455       7993       1803        264       1,74
 53      39264       8452          0       1994          0        288      50,18       1,41       22,1       1,74       4413       6312       6236         69          6          0       4860        482       8462       1984        288       1,73
 54      38628       8868          0       2187          0        315      50,26       1,41       22,4       1,73       4642       6719       6642         70          6          0       5006        498       8878       2177        315       1,72
 55      38040       9224          0       2392          0        342      50,33       1,41       22,6       1,71       4879       7069       6990         72          6          0       5124        510       9234       2382        342       1,71
 56      37511       9510          0       2607          0        370      50,40       1,41       22,8       1,70       5135       7343       7260         76          6          0       5344        531       9520       2597        370       1,69
 57      37043       9722          0       2834          0        398      50,46       1,41       23,0       1,68       5398       7547       7459         81          7          0       5623        560       9732       2824        398       1,68
 58      36631       9867          0       3073          0        427      50,53       1,41       23,2       1,67       5661       7697       7601         88          7          0       5915        589       9877       3063        427       1,66
 59      36250       9978          0       3315          0        455      50,59       1,42       23,4       1,64       5921       7817       7711         97          7          0       6292        625       9988       3305        455       1,64
 60      35900      10045          0       3566          0        487      50,65       1,42       23,5       1,62       6179       7909       7791        109          8          0       6684        665      10055       3556        487       1,61
 61      35578      10070          0       3833          0        517      50,71       1,42       23,7       1,60       6423       7987       7852        126          8          0       7023        697      10080       3823        517       1,59
 62      35283      10122          0       4049          0        545      50,76       1,43       23,7       1,58       6652       8054       7897        147          9          0       7366        730      10132       4039        545       1,58
 63      35006      10142          0       4277          0        573      50,82       1,43       23,7       1,57       6871       8112       7927        174         10          0       7639        756      10152       4267        573       1,56
 64      34745      10138          0       4513          0        602      50,87       1,44       23,7       1,56       7082       8162       7943        207         11          0       7841        776      10148       4503        602       1,55
 65      34504      10100          0       4763          0        632      50,93       1,44       23,7       1,54       7282       8202       7939        249         13          0       7974        790      10110       4753        632       1,53
 66      34274      10040          0       5023          0        662      50,98       1,44       23,8       1,52       7475       8240       7925        298         15          0       8064        799      10050       5013        662       1,52
