Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
C:\Contagio\50_gi_30_15m1_0\s001.log                              64,93   1 ok
C:\Contagio\50_gi_30_15m1_0\s002.log                              18,72   1 ok
C:\Contagio\50_gi_30_15m1_0\s003.log                              29,10   1 ok
C:\Contagio\50_gi_30_15m1_0\s004.log                              76,36   1 ok
C:\Contagio\50_gi_30_15m1_0\s005.log                              55,31   1 ok
C:\Contagio\50_gi_30_15m1_0\s006.log                              42,24   1 ok
C:\Contagio\50_gi_30_15m1_0\s007.log                             140,96   1 
C:\Contagio\50_gi_30_15m1_0\s008.log                              50,21   1 ok
C:\Contagio\50_gi_30_15m1_0\s009.log                              40,88   1 ok
C:\Contagio\50_gi_30_15m1_0\s010.log                             198,11   1 
C:\Contagio\50_gi_30_15m1_0\s011.log                             101,45   1 ok
C:\Contagio\50_gi_30_15m1_0\s012.log                              42,98   1 ok
C:\Contagio\50_gi_30_15m1_0\s013.log                              57,06   1 ok
C:\Contagio\50_gi_30_15m1_0\s014.log                              64,50   1 ok
C:\Contagio\50_gi_30_15m1_0\s015.log                              69,13   1 ok
C:\Contagio\50_gi_30_15m1_0\s016.log                              60,71   1 ok
C:\Contagio\50_gi_30_15m1_0\s017.log                              34,10   1 ok
C:\Contagio\50_gi_30_15m1_0\s018.log                              23,50   1 ok
C:\Contagio\50_gi_30_15m1_0\s019.log                              43,90   1 ok
C:\Contagio\50_gi_30_15m1_0\s020.log                             126,97   1 ok
C:\Contagio\50_gi_30_15m1_0\s021.log                              30,23   1 ok
C:\Contagio\50_gi_30_15m1_0\s022.log                              31,21   1 ok
C:\Contagio\50_gi_30_15m1_0\s023.log                             289,59   1 
C:\Contagio\50_gi_30_15m1_0\s024.log                              12,70   1 ok
C:\Contagio\50_gi_30_15m1_0\s025.log                              39,39   1 ok
C:\Contagio\50_gi_30_15m1_0\s026.log                              99,44   1 ok
C:\Contagio\50_gi_30_15m1_0\s027.log                              70,29   1 ok
C:\Contagio\50_gi_30_15m1_0\s028.log                              73,89   1 ok
C:\Contagio\50_gi_30_15m1_0\s029.log                              53,38   1 ok
C:\Contagio\50_gi_30_15m1_0\s030.log                              47,73   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      69,63  =     139,27
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49978         21          0          0          0          0      53,98       0,44        0,0       0,00          1         10         10          0          0          0          0          0         21          0          0       0,00
  5      49973         26          0          0          0          0      53,99       0,58        0,0       0,00          1         14         14          0          0          0          0          0         26          0          0       0,00
  6      49968         31          0          0          0          0      53,99       0,65        0,0       0,00          3         18         18          0          0          0          0          0         31          0          0       0,00
  7      49953         46          0          0          0          0      53,99       0,75        0,0       0,00          4         31         31          0          0          0          0          0         46          0          0       0,00
  8      49934         65          0          0          0          0      53,99       0,80        0,3       0,00          7         48         48          0          0          0          0          0         65          0          0       0,00
  9      49912         87          0          0          0          0      53,99       0,81        0,9       0,37          9         67         67          0          0          0          0          0         87          0          0       0,00
 10      49873        126          0          0          0          0      53,99       0,83        0,9       0,37         14        102        102          0          0          0          0          0        126          0          0       0,00
 11      49826        172          0          0          0          0      54,00       0,86        1,2       0,81         20        142        142          0          0          0         11          1        173          0          0       0,00
 12      49781        218          0          0          0          0      53,99       0,85        1,5       1,11         27        180        180          0          0          0         16          1        218          0          0       0,30
 13      49727        272          0          0          0          0      53,99       0,90        2,2       1,78         40        222        222          0          0          0         21          1        272          0          0       0,41
 14      49672        327          0          0          0          0      53,99       0,97        2,5       1,85         55        262        262          0          0          0         36          3        327          0          0       0,48
 15      49608        390          0          0          0          0      53,99       1,04        4,5       3,01         72        308        308          0          0          0         55          4        391          0          0       0,56
 16      49530        468          0          1          0          0      53,99       1,09        7,8       3,73         94        364        364          0          0          0         77          7        469          0          0       1,30
 17      49450        547          0          1          0          0      53,99       1,13        9,1       4,03        119        419        418          0          0          0        115         10        548          0          0       1,65
 18      49363        633          0          2          0          0      53,99       1,17       10,2       2,99        149        477        475          1          0          0        161         15        634          1          0       1,69
 19      49242        753          0          3          0          0      53,99       1,19       11,5       2,93        183        564        561          2          0          0        206         19        755          2          0       2,01
 20      49113        880          0          5          0          0      53,99       1,23       11,8       3,12        221        655        651          3          0          0        259         24        882          3          0       2,83
 21      48975       1016          0          7          0          0      53,99       1,24       12,2       3,05        262        751        746          4          0          0        312         30       1018          4          0       2,63
 22      48813       1176          0          9          0          1      53,99       1,25       12,6       3,01        308        867        860          5          0          0        374         36       1178          6          1       2,65
 23      48635       1351          0         12          0          1      53,99       1,26       12,8       2,90        364        989        980          8          1          0        449         42       1353          9          1       2,64
 24      48434       1548          0         15          0          1      53,99       1,28       13,1       2,85        424       1131       1119         10          1          0        525         49       1551         12          1       2,62
 25      48208       1767          0         21          0          2      53,99       1,29       13,5       2,99        492       1288       1271         15          1          0        606         58       1770         18          2       2,85
 26      47951       2016          0         28          0          3      53,99       1,30       14,0       2,79        570       1468       1445         20          2          0        720         68       2020         25          3       2,60
 27      47663       2296          0         36          0          4      53,99       1,30       14,4       2,62        659       1667       1638         26          2          0        840         81       2300         32          4       2,43
 28      47347       2600          0         46          0          5      53,99       1,31       14,7       2,47        756       1885       1848         33          3          0        967         94       2605         41          5       2,27
 29      47006       2927          0         58          0          6      53,99       1,32       15,0       2,34        867       2115       2067         43          4          0       1116        108       2932         53          6       2,13
 30      46628       3290          0         72          0          8      53,99       1,33       15,3       2,34        991       2369       2308         54          5          0       1279        124       3295         66          8       2,17
 31      46420       3480          0         88          0         10      53,55       1,31       15,7       2,34       1101       2468       2407         54          5          0       1463        143       3486         82         10       2,18
 32      46189       3686          0        110          0         13      53,14       1,30       16,4       2,36       1220       2579       2519         54          5          0       1667        163       3696        100         13       2,14
 33      45945       3904          0        133          0         16      52,76       1,31       16,6       2,31       1356       2687       2626         54          5          0       1899        186       3914        123         16       2,12
 34      45691       4127          0        162          0         19      52,40       1,31       16,8       2,23       1494       2804       2743         54          5          0       2156        212       4137        152         19       2,08
 35      45429       4349          0        195          0         25      52,05       1,31       17,3       2,24       1631       2929       2868         54          5          0       2431        241       4359        185         25       2,12
 36      45165       4571          0        232          0         30      51,73       1,31       17,7       2,26       1766       3058       2997         55          5          0       2730        272       4581        222         30       2,17
 37      44892       4797          0        273          0         36      51,43       1,31       17,8       2,20       1902       3194       3133         55          5          0       3061        306       4807        263         36       2,11
 38      44611       5021          0        323          0         43      51,14       1,32       18,2       2,16       2041       3337       3275         55          5          0       3214        320       5031        313         43       2,08
 39      44332       5233          0        381          0         52      50,87       1,32       18,5       2,09       2184       3473       3410         56          6          0       3376        336       5243        371         52       2,03
 40      44060       5430          0        448          0         61      50,61       1,32       18,8       2,07       2329       3600       3537         57          6          0       3546        352       5440        438         61       2,01
 41      43782       5617          0        526          0         73      50,36       1,32       19,2       2,01       2479       3728       3662         59          6          0       3710        367       5627        516         73       1,97
 42      43516       5789          0        609          0         84      50,13       1,32       19,5       1,99       2628       3844       3776         61          6          0       3877        383       5799        599         84       1,95
 43      43256       5947          0        699          0         96      49,91       1,33       19,8       1,94       2783       3950       3879         64          6          0       4039        401       5957        689         96       1,90
 44      43005       6078          0        805          0        111      49,69       1,33       20,1       1,91       2937       4046       3971         69          6          0       4192        416       6088        795        111       1,88
 45      42768       6189          0        913          0        128      49,49       1,33       20,3       1,89       3089       4131       4050         74          6          0       4347        431       6199        903        128       1,86
 46      42304       6517          0       1030          0        148      49,59       1,35       20,6       1,87       3290       4395       4313         74          6          0       4490        444       6527       1020        148       1,84
 47      41916       6753          0       1160          0        169      49,69       1,37       20,8       1,84       3488       4585       4503         74          6          0       4611        456       6763       1150        169       1,81
 48      41553       6960          0       1296          0        189      49,78       1,38       21,0       1,82       3679       4757       4676         74          6          0       4732        467       6970       1286        189       1,80
 49      41063       7280          0       1444          0        211      49,87       1,39       21,3       1,80       3878       5048       4966         74          6          0       4828        474       7290       1434        211       1,78
 50      40498       7651          0       1613          0        236      49,95       1,40       21,5       1,77       4084       5407       5325         74          7          0       4894        483       7661       1603        236       1,76
 51      39912       8034          0       1791          0        260      50,03       1,41       21,8       1,75       4293       5783       5701         75          7          0       4942        487       8044       1781        260       1,73
 52      39232       8501          0       1977          0        287      50,11       1,41       22,0       1,74       4514       6243       6160         75          7          0       4967        490       8511       1967        287       1,72
 53      38532       8979          0       2173          0        314      50,19       1,41       22,3       1,72       4744       6712       6629         76          7          0       5209        517       8989       2163        314       1,71
 54      37886       9388          0       2382          0        343      50,26       1,41       22,5       1,71       4983       7120       7035         77          7          0       5359        534       9398       2372        343       1,70
 55      37298       9725          0       2603          0        371      50,33       1,41       22,7       1,70       5230       7460       7373         79          7          0       5473        545       9735       2593        371       1,69
 56      36774       9985          0       2838          0        402      50,40       1,41       23,0       1,68       5497       7718       7628         82          7          0       5697        567       9995       2828        402       1,67
 57      36321      10161          0       3084          0        432      50,47       1,41       23,2       1,66       5768       7899       7804         88          7          0       5987        597      10171       3074        432       1,65
 58      35929      10265          0       3342          0        462      50,53       1,42       23,4       1,64       6034       8025       7922         95          7          0       6285        626      10275       3332        462       1,63
 59      35576      10327          0       3602          0        493      50,59       1,42       23,5       1,61       6296       8117       8003        105          8          0       6674        663      10337       3592        493       1,60
 60      35255      10343          0       3873          0        527      50,65       1,42       23,7       1,59       6554       8180       8053        118          8          0       7068        703      10353       3863        527       1,58
 61      34964      10314          0       4160          0        560      50,71       1,43       23,8       1,57       6794       8230       8086        135          9          0       7395        734      10324       4150        560       1,56
 62      34701      10317          0       4391          0        589      50,77       1,43       23,9       1,55       7018       8270       8103        156          9          0       7722        765      10327       4381        589       1,55
 63      34457      10286          0       4636          0        619      50,83       1,44       23,9       1,54       7230       8302       8106        185         10          0       7971        790      10296       4626        619       1,53
