--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.2
16/04/2020 11:33:43
--------------------------------------------------------------------------------------------------
Carpeta 20_gi_90A
Número de hilos                              10
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     20.000
Radio                                     1.704
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    49 con        3.980 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00          800        800,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        3.000       3000,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       12.400      12400,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        1.000       1000,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        2.800       2800,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19980         19          0          0          0          0      53,98       0,45        0,0       0,00          1          8          8          0          0          0          0          0          9          0          0       0,00
  5      19976         23          0          0          0          0      53,98       0,58        0,4       0,10          2         11         11          0          0          0          0          0         13          0          0       0,00
  6      19973         26          0          0          0          0      53,99       0,64        0,4       0,10          2         13         13          0          0          0          0          0         16          0          0       0,00
  7      19963         36          0          0          0          0      53,99       0,72        0,4       0,10          4         21         21          0          0          0          0          0         26          0          0       0,00
  8      19943         56          0          0          0          0      53,99       0,80        0,4       0,10          6         40         40          0          0          0          0          0         46          0          0       0,00
  9      19932         67          0          0          0          0      53,99       0,85        1,2       0,10          8         49         49          0          0          0          0          0         58          0          0       0,00
 10      19909         90          0          0          0          0      53,99       0,92        1,3       0,10         11         69         69          0          0          0          0          0         80          0          0       0,00
 11      19887        111          0          0          0          0      53,99       0,99        1,3       0,10         16         85         85          0          0          0          0          0        102          0          0       0,00
 12      19846        152          0          0          0          0      53,99       1,01        1,3       0,05         21        121        121          0          0          0          0          0        143          0          0       0,00
 13      19815        184          0          0          0          0      53,99       1,00        1,4       0,12         28        145        145          0          0          0          1          0        174          0          0       0,00
 14      19787        212          0          0          0          0      54,00       1,02        2,8       0,50         37        165        165          0          0          0          2          0        202          0          0       0,00
 15      19739        259          0          1          0          0      54,00       1,05        4,1       0,58         49        200        200          0          0          0          4          0        250          0          0       0,00
 16      19702        295          0          1          0          0      54,00       1,10        3,7       0,52         64        222        222          0          0          0          6          0        286          0          0       0,23
 17      19649        348          0          2          0          0      54,00       1,14        5,7       1,38         79        261        259          1          0          0         10          0        339          1          0       1,18
 18      19594        402          0          2          0          0      54,00       1,18        8,7       3,68         99        296        294          1          0          0         12          1        393          1          0       1,47
 19      19519        477          0          3          0          0      54,00       1,17        9,2       2,54        119        351        349          1          0          0         16          1        468          2          0       1,28
 20      19437        557          0          4          0          0      54,01       1,18        9,6       2,42        146        406        403          2          0          0         18          1        548          3          0       1,47
 21      19344        649          0          5          0          0      54,01       1,20       12,1       3,01        173        472        468          3          0          0         22          1        641          3          0       2,15
