--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.2
16/04/2020 09:26:13
--------------------------------------------------------------------------------------------------
Carpeta 20_gi_90A
Número de hilos                              10
Semilla población                         1.324
Semilla simulación                          643
Potencia para fin de infección             3,00

Número de individuos                     20.000
Radio                                     1.704
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    49 con        3.980 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00          800        800,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        3.000       3000,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       12.400      12400,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        1.000       1000,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        2.800       2800,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,87       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,94       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19952         48          0          0          0          0      53,90       0,27        0,0       0,00          1         37         37          0          0          0          0          0         38          0          0       0,00
  5      19950         50          0          0          0          0      53,90       0,26        0,0       0,00          1         39         39          0          0          0          0          0         40          0          0       0,00
  6      19949         51          0          0          0          0      53,91       0,25        0,0       0,00          2         39         39          0          0          0          0          0         41          0          0       0,00
  7      19946         54          0          0          0          0      53,91       0,54        0,0       0,00          5         39         39          0          0          0          0          0         44          0          0       0,00
  8      19944         56          0          0          0          0      53,90       1,23        0,0       0,00          7         39         39          0          0          0          0          0         46          0          0       0,00
  9      19939         61          0          0          0          0      53,90       1,51        0,0       0,00         12         39         39          0          0          0          0          0         51          0          0       0,00
 10      19936         64          0          0          0          0      53,89       1,89        0,0       0,00         15         39         39          0          0          0          0          0         54          0          0       0,00
 11      19930         70          0          0          0          0      53,91       2,09        0,0       0,00         21         39         39          0          0          0          1          0         60          0          0       0,00
 12      19851        149          0          0          0          0      53,93       1,91        0,0       0,00         21        118        118          0          0          0          1          0        139          0          0       0,00
 13      19838        162          0          0          0          0      53,94       1,67        0,0       0,00         25        127        127          0          0          0          2          0        152          0          0       0,00
 14      19831        169          0          0          0          0      53,95       1,64        0,0       0,00         29        130        130          0          0          0          2          0        159          0          0       0,00
 15      19820        179          0          1          0          0      53,95       1,65       14,0       1,00         38        132        132          0          0          0          3          0        170          0          0       0,00
 16      19776        223          0          1          0          0      53,94       1,73       14,0       1,00         48        166        166          0          0          0          4          0        214          0          0       0,00
 17      19715        284          0          1          0          0      53,94       1,64       14,0       1,00         57        218        218          0          0          0          4          0        275          0          0       0,00
 18      19684        315          0          1          0          0      53,95       1,54       14,0       1,00         67        239        239          0          0          0          4          0        306          0          0       0,00
 19      19615        384          0          1          0          0      53,96       1,46       14,0       1,00         80        295        295          0          0          0         14          1        375          0          0       0,00
 20      19537        459          0          3          0          1      53,96       1,40       12,5       0,75         99        354        351          2          1          0         14          1        450          2          1       0,67
 21      19438        557          0          3          0          2      53,97       1,35       11,8       1,00        110        442        438          2          2          0         15          1        548          2          2       1,00
 22      19361        631          0          6          0          2      53,96       1,37       14,5       1,13        137        492        487          3          2          0         16          1        623          4          2       1,00
 23      19269        721          0          8          0          2      53,96       1,33       15,4       0,90        171        550        543          5          2          0         20          1        713          6          2       0,75
 24      19183        805          0          9          0          3      53,96       1,35       15,5       0,92        203        604        595          6          3          0         28          2        797          7          3       0,80
 25      19060        923          0         13          0          4      53,96       1,37       15,5       0,71        247        683        670          9          4          0         29          2        915         11          4       0,60
 26      18934       1044          0         17          0          5      53,96       1,39       15,3       0,82        295        761        744         12          5          0         33          3       1036         15          5       0,75
 27      18782       1191          0         21          0          6      53,96       1,37       15,6       0,78        343        865        844         15          6          0         42          4       1184         18          6       0,75
 28      18585       1382          0         24          0          9      53,96       1,37       15,3       0,82        412        993        967         17          9          0         51          4       1375         21          9       0,80
 29      18374       1588          0         28          0         10      53,95       1,34       15,9       1,11        477       1139       1110         19         10          0         55          4       1582         24         10       1,12
 30      18146       1806          0         35          0         13      53,95       1,34       15,8       1,98        560       1284       1248         24         12          0         61          6       1800         31         13       2,07
 31      17912       2030          0         43          0         15      53,95       1,34       16,3       1,90        649       1429       1383         32         14          0         69          7       2024         39         15       1,96
 32      17615       2311          0         59          0         15      53,95       1,33       18,3       2,24        754       1621       1566         41         14          0         78         12       2311         49         15       1,72
 33      17334       2581          0         68          0         17      53,95       1,34       18,2       2,31        864       1792       1729         47         16          0         89         14       2581         58         17       1,87
 34      17048       2855          0         77          0         20      53,96       1,33       18,3       2,19        994       1948       1876         54         18          0        111         18       2855         67         20       1,79
 35      16733       3135          0        110          0         22      53,97       1,34       19,2       1,92       1136       2121       2019         82         20          0        128         20       3135        100         22       1,61
 36      16474       3373          0        126          0         27      53,98       1,35       19,3       1,93       1275       2241       2121         95         25          0        154         22       3373        116         27       1,67
 37      16171       3644          0        154          0         31      53,98       1,35       18,9       1,85       1432       2387       2243        117         27          0        175         27       3644        144         31       1,63
 38      15810       3983          0        171          0         36      53,98       1,35       19,1       1,88       1615       2565       2404        132         29          0        199         28       3983        161         36       1,69
 39      15493       4269          0        198          0         40      53,99       1,36       19,1       1,80       1782       2715       2536        149         30          0        224         31       4269        188         40       1,63
