Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
\\PABLO\Contagio\20_gi_90A\s001.log                               29,13   1 ok
\\PABLO\Contagio\20_gi_90A\s002.log                                9,27   1 ok
\\PABLO\Contagio\20_gi_90A\s003.log                               14,06   1 ok
\\PABLO\Contagio\20_gi_90A\s004.log                               42,35   1 ok
\\PABLO\Contagio\20_gi_90A\s005.log                               12,51   1 ok
\\PABLO\Contagio\20_gi_90A\s006.log                               50,86   1 ok
\\PABLO\Contagio\20_gi_90A\s007.log                               49,51   1 ok
\\PABLO\Contagio\20_gi_90A\s008.log                                9,55   1 ok
\\PABLO\Contagio\20_gi_90A\s009.log                                8,92   1 ok
\\PABLO\Contagio\20_gi_90A\s010.log                               74,21   1 
------------------------------------------------------------ ---------- --- --
                                           2 x      30,04  =      60,07
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,96       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      19990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      19979         20          0          0          0          0      53,98       0,47        0,0       0,00          1          9          9          0          0          0          0          0         10          0          0       0,00
  5      19975         24          0          0          0          0      53,98       0,56        0,4       0,11          2         12         12          0          0          0          0          0         14          0          0       0,00
  6      19972         27          0          0          0          0      53,98       0,61        0,4       0,11          2         15         15          0          0          0          0          0         17          0          0       0,00
  7      19961         38          0          0          0          0      53,98       0,70        0,4       0,11          4         24         24          0          0          0          0          0         29          0          0       0,00
  8      19938         61          0          0          0          0      53,99       0,76        0,4       0,11          6         44         44          0          0          0          0          0         51          0          0       0,00
  9      19926         73          0          0          0          0      53,98       0,80        1,3       0,11          8         55         55          0          0          0          0          0         64          0          0       0,00
 10      19900         99          0          0          0          0      53,99       0,87        1,4       0,11         12         76         76          0          0          0          0          0         89          0          0       0,00
 11      19877        122          0          0          0          0      53,99       0,96        1,4       0,11         18         94         94          0          0          0          0          0        112          0          0       0,00
 12      19835        164          0          0          0          0      53,99       0,98        1,4       0,06         23        131        131          0          0          0          1          0        154          0          0       0,00
 13      19800        198          0          0          0          0      53,99       0,99        1,5       0,13         31        158        157          0          0          0          1          0        189          0          0       0,00
 14      19769        229          0          0          0          0      54,00       1,03        3,1       0,56         40        179        179          0          0          0          2          0        220          0          0       0,00
 15      19717        281          0          1          0          0      54,00       1,06        4,5       0,64         54        218        218          0          0          0          5          0        272          0          0       0,00
 16      19676        321          0          1          0          0      54,00       1,11        4,1       0,58         70        243        242          0          0          0          7          0        312          0          0       0,25
 17      19618        379          0          2          0          0      54,00       1,15        6,4       1,53         86        285        284          1          0          0         11          1        370          1          0       1,31
 18      19558        438          0          3          0          0      54,00       1,18        9,6       4,09        107        324        322          1          0          0         13          1        429          1          0       1,64
 19      19478        517          0          3          0          0      54,00       1,18       10,2       2,82        130        381        378          2          0          0         17          1        508          2          0       1,42
 20      19389        604          0          4          0          0      54,01       1,20       10,6       2,69        159        440        437          3          0          0         20          1        596          3          0       1,63
 21      19287        705          0          5          0          1      54,01       1,22       11,2       3,34        189        512        508          3          0          0         24          2        697          3          1       2,38
 22      19184        807          0          7          0          1      54,00       1,23       11,8       3,16        227        577        572          4          0          0         29          2        799          5          1       2,39
 23      19078        909          0         10          0          1      54,00       1,24       12,8       2,65        266        645        637          6          1          0         32          2        902          7          1       1,97
 24      18959       1025          0         13          0          1      54,00       1,27       13,1       2,36        313        717        707          9          1          0         38          3       1018         10          1       1,66
 25      18803       1177          0         17          0          2      54,00       1,27       13,9       2,66        367        819        806         11          1          0         44          4       1170         13          2       2,03
 26      18635       1339          0         21          0          3      54,00       1,29       14,1       2,36        428        926        908         15          2          0         52          5       1333         17          3       1,98
 27      18439       1529          0         26          0          4      54,00       1,28       14,5       2,34        487       1062       1040         19          3          0         60          6       1524         22          4       1,97
