--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.7
19/04/2020 23:52:17
--------------------------------------------------------------------------------------------------
Carpeta 20_gi_m
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     20.000
Radio                                     1.704
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    48 con        3.927 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       3,00      30,00     100,00    70    90       4,00          800        800,0            4
menor                 1   5  19     100,00       1,00      30,00     100,00    80   120      15,00        3.000       3000,0           15
adulto                2  20  64     100,00      25,00      30,00      99,00    80   120      62,00       12.400      12400,0           62
jubilado              3  65  69     100,00    5800,00      30,00      96,00    80   120       5,00        1.000       1000,0            5
mayor                 4  70 150     100,00    2500,00      30,00      81,00    20    30      14,00        2.800       2800,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,95       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      19990         10          0          0          0          0      53,95       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      19990         10          0          0          0          0      53,96       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      19981         18          0          0          0          0      53,97       0,50        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      19977         22          0          0          0          0      53,97       0,64        0,1       0,03          2         10         10          0          0          0          0          0         22          0          0       0,00
  6      19974         25          0          0          0          0      53,97       0,69        0,1       0,03          2         12         12          0          0          0          0          0         25          0          0       0,00
  7      19961         38          0          0          0          0      53,97       0,80        0,1       0,03          4         23         23          0          0          0          0          0         38          0          0       0,00
  8      19943         56          0          0          0          0      53,98       0,81        0,2       0,07          6         40         40          0          0          0          0          0         56          0          0       0,03
  9      19928         71          0          0          0          0      53,98       0,84        0,2       0,07          8         53         53          0          0          0          0          0         71          0          0       0,03
 10      19905         94          0          0          0          0      53,98       0,86        0,3       0,08         11         73         73          0          0          0          0          0         94          0          0       0,03
 11      19876        123          0          0          0          0      53,99       0,90        0,7       0,48         15         97         97          0          0          0          8          0        123          0          0       0,03
 12      19843        155          0          0          0          0      53,99       0,93        1,3       0,52         21        124        124          0          0          0         12          0        156          0          0       0,07
 13      19808        190          0          0          0          0      53,99       0,97        2,5       0,78         28        152        152          0          0          0         15          1        191          0          0       0,25
 14      19763        235          0          0          0          0      53,99       1,03        3,3       1,07         37        188        188          0          0          0         28          2        235          0          0       0,50
 15      19728        270          0          0          0          0      53,99       1,11        5,5       1,40         49        211        211          0          0          0         45          4        270          0          0       0,73
 16      19684        313          0          1          0          0      53,99       1,15        8,2       1,82         64        241        240          0          0          0         61          5        314          0          0       0,73
 17      19633        364          0          1          0          0      53,99       1,19        9,1       1,86         81        275        274          0          0          0         83          8        365          0          0       1,14
 18      19581        416          0          2          0          0      53,99       1,23       10,6       2,48        100        308        307          1          0          0        111         10        417          1          0       1,97
 19      19522        473          0          3          0          0      53,99       1,26       12,1       2,57        121        346        344          2          0          0        143         13        474          2          0       2,23
 20      19456        538          0          5          0          0      53,99       1,28       12,5       2,53        142        390        387          3          0          0        177         17        539          3          0       2,42
 21      19388        604          0          6          0          0      53,99       1,29       12,7       2,38        167        433        429          4          0          0        221         21        606          4          0       2,38
 22      19310        680          0          8          0          0      53,99       1,32       12,8       2,13        194        484        478          5          0          0        254         24        682          6          0       2,01
 23      19224        762          0         12          0          0      53,99       1,34       13,6       2,10        224        540        532          8          0          0        295         29        765          9          0       2,14
 24      19127        856          0         15          0          0      53,99       1,37       13,7       2,24        256        605        594         10          0          0        343         34        859         12          0       2,24
 25      19021        958          0         19          0          0      53,99       1,37       14,2       2,23        291        677        663         13          0          0        392         39        961         15          0       2,21
 26      18908       1066          0         23          0          1      53,99       1,38       14,7       2,23        328        753        735         16          0          0        446         45       1070         19          1       2,12
 27      18792       1176          0         29          0          1      53,99       1,39       15,1       2,27        369        828        806         20          1          0        507         51       1181         25          1       2,29
