--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.7
19/04/2020 20:22:42
--------------------------------------------------------------------------------------------------
Carpeta 20_gi_m
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          654
Potencia para fin de infección             3,00

Número de individuos                     20.000
Radio                                     1.704
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    49 con        3.980 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       3,00      30,00     100,00    70    90       4,00          800        800,0            4
menor                 1   5  19     100,00       1,00      30,00     100,00    80   120      15,00        3.000       3000,0           15
adulto                2  20  64     100,00      25,00      30,00      99,00    80   120      62,00       12.400      12400,0           62
jubilado              3  65  69     100,00    5800,00      30,00      96,00    80   120       5,00        1.000       1000,0            5
mayor                 4  70 150     100,00    2500,00      30,00      81,00    20    30      14,00        2.800       2800,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      54,04       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      19990         10          0          0          0          0      53,95       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      19990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      19990         10          0          0          0          0      53,96       0,70        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  5      19985         15          0          0          0          0      53,99       0,91        0,0       0,00          2          3          3          0          0          0          0          0         15          0          0       0,00
  6      19982         18          0          0          0          0      53,99       1,03        0,0       0,00          3          5          5          0          0          0          0          0         18          0          0       0,00
  7      19977         23          0          0          0          0      53,95       1,10        0,0       0,00          6          7          7          0          0          0          0          0         23          0          0       0,00
  8      19883        117          0          0          0          0      53,98       0,71        0,0       0,00          8         99         99          0          0          0          0          0        117          0          0       0,00
  9      19872        128          0          0          0          0      53,98       0,63        0,0       0,00          8        110        110          0          0          0          0          0        128          0          0       0,00
 10      19830        170          0          0          0          0      53,99       0,47        0,0       0,00         10        150        150          0          0          0          0          0        170          0          0       0,00
 11      19794        206          0          0          0          0      54,01       0,83        0,0       0,00         18        178        178          0          0          0          0          0        206          0          0       0,00
 12      19770        230          0          0          0          0      53,99       1,01        0,0       0,00         24        196        196          0          0          0          5          0        230          0          0       0,00
 13      19703        297          0          0          0          0      53,98       1,18        0,0       0,00         40        247        247          0          0          0          8          0        297          0          0       0,00
 14      19681        319          0          0          0          0      53,97       1,23        0,0       0,00         53        256        256          0          0          0         13          0        319          0          0       0,00
 15      19661        339          0          0          0          0      53,97       1,24        0,0       0,00         66        263        263          0          0          0        107          6        339          0          0       0,00
 16      19631        367          0          2          0          0      53,98       1,34       11,5       9,50         81        278        277          1          0          0        117          7        368          1          0       0,00
 17      19554        444          0          2          0          0      53,99       1,39       11,5       9,50        103        333        332          1          0          0        159         12        445          1          0       0,00
 18      19527        469          0          4          0          0      53,98       1,46       12,8       5,50        125        338        337          1          0          0        194         15        471          2          0       0,00
 19      19489        507          0          4          0          0      53,99       1,47       12,8       5,50        146        355        354          1          0          0        218         16        509          2          0       0,00
 20      19432        558          0          9          0          1      53,99       1,51       12,5       2,50        164        394        390          3          1          0        282         24        562          5          1       0,17
 21      19373        611          0         13          0          3      53,99       1,56       12,6       1,75        185        432        423          6          3          0        299         27        616          8          3       0,18
 22      19222        760          0         15          0          3      54,00       1,56       12,2       1,61        208        560        550          7          3          0        316         30        765         10          3       0,23
 23      19085        895          0         17          0          3      54,00       1,56       12,8       1,55        234        671        660          8          3          0        345         33        901         11          3       0,29
 24      18940       1033          0         22          0          5      54,00       1,53       13,0       3,04        270        780        763         13          4          0        415         38       1039         16          5       2,62
 25      18842       1124          0         28          0          6      54,01       1,50       13,6       2,68        300        848        824         19          5          0        435         40       1130         22          6       2,29
 26      18734       1228          0         31          0          7      54,01       1,50       13,8       2,50        335        921        894         21          6          0        469         46       1234         25          7       2,13
 27      18619       1336          0         37          0          8      54,02       1,50       14,4       2,22        373        998        965         26          7          0        519         53       1342         31          8       1,87
 28      18495       1447          0         47          0         11      54,02       1,51       15,0       2,86        420       1075       1034         32          9          0        566         61       1454         40         11       2,69
 29      18373       1561          0         55          0         11      54,02       1,52       15,3       3,45        478       1139       1092         38          9          0        709         77       1568         48         11       3,37
 30      18227       1699          0         62          0         12      54,03       1,55       15,4       3,15        538       1225       1173         43          9          0        838         92       1706         55         12       3,04
 31      18076       1840          0         70          0         14      54,02       1,55       16,0       3,08        610       1304       1243         51         10          0        973        106       1847         63         14       2,99
 32      17950       1946          0         86          0         18      54,02       1,54       17,0       2,75        669       1371       1296         61         14          0       1054        107       1956         76         18       2,65
 33      17782       2096          0        102          0         20      54,03       1,54       17,4       2,54        735       1473       1382         76         15          0       1144        113       2106         92         20       2,44
 34      17604       2249          0        123          0         24      54,02       1,53       18,1       2,35        818       1568       1457         93         18          0       1236        117       2259        113         24       2,26
 35      17447       2376          0        150          0         27      54,02       1,52       18,5       2,24        879       1664       1527        116         21          0       1330        135       2386        140         27       2,16
 36      17233       2564          0        176          0         27      54,02       1,52       18,8       2,31        968       1789       1636        132         21          0       1425        139       2574        166         27       2,23
 37      17009       2751          0        211          0         29      54,03       1,53       19,1       2,50       1051       1930       1750        157         23          0       1533        154       2761        201         29       2,44
 38      16783       2948          0        239          0         30      54,03       1,53       19,2       2,52       1132       2075       1875        176         24          0       1656        164       2958        229         30       2,47
 39      16513       3148          0        305          0         34      54,03       1,54       20,4       2,41       1237       2240       1988        225         27          0       1712        171       3158        295         34       2,37
 40      16212       3413          0        337          0         38      54,02       1,53       20,4       2,30       1346       2432       2159        245         28          0       1844        188       3423        327         38       2,27
 41      15961       3604          0        392          0         43      54,02       1,53       20,8       2,18       1439       2590       2272        287         31          0       1964        195       3614        382         43       2,14
 42      15708       3790          0        456          0         46      54,01       1,53       20,9       2,06       1544       2738       2380        326         32          0       2054        210       3800        446         46       2,03
 43      15448       4002          0        502          0         48      54,02       1,52       21,0       1,97       1672       2870       2479        357         34          0       2217        218       4012        492         48       1,94
 44      15222       4147          0        576          0         55      54,02       1,53       21,3       1,89       1801       2967       2524        404         39          0       2360        229       4157        566         55       1,86
 45      15019       4301          0        621          0         59      54,03       1,53       21,3       1,86       1918       3053       2573        440         40          0       2537        243       4311        611         59       1,84
 46      14827       4421          0        689          0         63      54,04       1,53       21,4       1,91       2039       3124       2597        485         42          0       2736        252       4431        679         63       1,88
 47      14649       4532          0        752          0         67      54,05       1,53       21,4       1,90       2150       3191       2622        526         43          0       2969        268       4542        742         67       1,88
 48      14485       4595          0        849          0         71      54,05       1,53       21,6       1,90       2257       3248       2607        594         47          0       3120        279       4605        839         71       1,88
 49      14320       4686          0        912          0         82      54,06       1,53       21,8       1,84       2374       3296       2616        628         52          0       3298        308       4696        902         82       1,82
 50      14179       4717          0       1014          0         90      54,07       1,53       21,8       1,82       2476       3335       2590        691         54          0       3449        316       4727       1004         90       1,80
 51      14051       4736          0       1117          0         96      54,08       1,53       22,0       1,79       2583       3356       2543        757         56          0       3566        332       4746       1107         96       1,77
 52      13934       4739          0       1225          0        102      54,08       1,53       22,2       1,74       2684       3372       2493        823         56          0       3656        342       4749       1215        102       1,73
 53      13847       4675          0       1362          0        116      54,08       1,54       22,4       1,67       2769       3374       2390        919         65          0       3695        344       4685       1352        116       1,66
 54      13782       4569          0       1529          0        120      54,09       1,54       22,7       1,63       2833       3375       2271       1037         67          0       3702        340       4579       1519        120       1,62
 55      13685       4511          0       1680          0        124      54,09       1,54       23,0       1,61       2928       3377       2168       1140         69          0       3711        347       4521       1670        124       1,60
 56      13604       4448          0       1816          0        132      54,10       1,54       23,0       1,59       3008       3378       2075       1230         73          0       3732        350       4458       1806        132       1,58
 57      13527       4377          0       1953          0        143      54,11       1,54       23,2       1,56       3085       3378       1987       1317         74          0       3725        352       4387       1943        143       1,55
 58      13465       4286          0       2101          0        148      54,12       1,54       23,2       1,57       3147       3378       1893       1411         74          0       3701        349       4296       2091        148       1,56
 59      13403       4197          0       2249          0        151      54,13       1,54       23,3       1,55       3209       3378       1799       1504         75          0       3667        342       4207       2239        151       1,54
 60      13353       4067          0       2418          0        162      54,14       1,54       23,4       1,52       3259       3378       1700       1602         76          0       3575        331       4077       2408        162       1,52
 61      13309       3938          0       2584          0        169      54,15       1,55       23,4       1,50       3303       3378       1606       1695         77          0       3465        325       3948       2574        169       1,49
 62      13260       3803          0       2761          0        176      54,16       1,55       23,6       1,48       3352       3378       1505       1796         77          0       3378        314       3813       2751        176       1,47
 63      13205       3681          0       2930          0        184      54,17       1,55       23,7       1,45       3407       3378       1412       1888         78          0       3282        303       3691       2920        184       1,44
 64      13164       3528          0       3116          0        192      54,18       1,56       23,8       1,44       3448       3378       1287       2012         79          0       3165        296       3538       3106        192       1,43
 65      13119       3387          0       3294          0        200      54,19       1,56       23,9       1,42       3493       3378       1177       2119         82          0       3041        284       3397       3284        200       1,41
 66      13080       3217          0       3493          0        210      54,20       1,56       24,0       1,39       3532       3378       1064       2230         84          0       2894        275       3227       3483        210       1,38
 67      13044       3017          0       3723          0        216      54,20       1,56       24,2       1,38       3568       3378        931       2362         85          0       2709        258       3027       3713        216       1,37
 68      13007       2853          0       3918          0        222      54,21       1,56       24,3       1,36       3605       3378        822       2471         85          0       2552        237       2863       3908        222       1,36
 69      12981       2690          0       4097          0        232      54,22       1,56       24,5       1,34       3631       3378        722       2571         85          0       2412        219       2700       4087        232       1,34
 70      12954       2493          0       4312          0        241      54,23       1,57       24,6       1,31       3658       3378        618       2675         85          0       2242        208       2503       4302        241       1,31
 71      12931       2293          0       4526          0        250      54,24       1,57       24,7       1,29       3681       3378        505       2788         85          0       2061        190       2303       4516        250       1,28
 72      12910       2122          0       4709          0        259      54,25       1,57       24,9       1,27       3702       3378        411       2882         85          0       1913        178       2132       4699        259       1,26
 73      12888       1951          0       4890          0        271      54,26       1,57       25,0       1,24       3724       3378        322       2970         86          0       1759        161       1961       4880        271       1,24
 74      12870       1790          0       5057          0        283      54,27       1,57       25,1       1,22       3742       3378        254       3037         87          0       1616        146       1800       5047        283       1,22
 75      12851       1646          0       5207          0        296      54,29       1,57       25,2       1,20       3761       3378        206       3085         87          0       1490        136       1656       5197        296       1,20
 76      12838       1512          0       5342          0        308      54,30       1,57       25,3       1,19       3773       3379        161       3130         88          0       1369        122       1522       5332        308       1,18
 77      12820       1374          0       5485          0        321      54,31       1,57       25,3       1,17       3791       3379        117       3173         89          0       1240        111       1384       5475        321       1,16
 78      12808       1261          0       5601          0        330      54,33       1,57       25,4       1,16       3803       3379         80       3209         90          0       1138        104       1271       5591        330       1,15
 79      12799       1168          0       5700          0        333      54,34       1,57       25,4       1,14       3812       3379         56       3233         90          0       1057         94       1178       5690        333       1,14
 80      12793       1065          0       5801          0        341      54,36       1,57       25,5       1,13       3818       3379         28       3261         90          0        970         89       1075       5791        341       1,13
 81      12783        979          0       5883          0        355      54,37       1,57       25,5       1,12       3828       3379         20       3269         90          0        893         82        989       5873        355       1,11
 82      12774        888          0       5975          0        363      54,39       1,57       25,6       1,11       3837       3379          8       3281         90          0        811         77        898       5965        363       1,10
 83      12769        819          0       6043          0        369      54,41       1,57       25,6       1,10       3842       3379          3       3286         90          0        750         75        829       6033        369       1,09
 84      12761        767          0       6094          0        378      54,42       1,57       25,6       1,09       3850       3379          3       3286         90          0        708         73        777       6084        378       1,09
 85      12755        711          0       6150          0        384      54,44       1,57       25,6       1,08       3856       3379          2       3287         90          0        658         69        721       6140        384       1,08
 86      12748        654          0       6207          0        391      54,46       1,57       25,7       1,08       3863       3379          1       3288         90          0        603         66        664       6197        391       1,07
 87      12743        606          0       6255          0        396      54,48       1,57       25,7       1,07       3868       3379          1       3288         90          0        556         59        616       6245        396       1,07
 88      12739        550          0       6311          0        400      54,50       1,57       25,7       1,06       3872       3379          1       3288         90          0        506         56        560       6301        400       1,06
 89      12737        500          0       6357          0        406      54,52       1,57       25,7       1,06       3874       3379          1       3288         90          0        463         50        510       6347        406       1,05
 90      12729        470          0       6392          0        409      54,54       1,57       25,7       1,05       3882       3379          1       3288         90          0        430         49        480       6382        409       1,05
 91      12724        439          0       6425          0        412      54,56       1,57       25,7       1,05       3887       3379          1       3288         90          0        402         46        449       6415        412       1,05
