Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\20_gi_m\s001.log                                      11,00   1 ok
F:\Contagio\20_gi_m\s002.log                                      35,70   1 ok
F:\Contagio\20_gi_m\s003.log                                      36,61   1 ok
F:\Contagio\20_gi_m\s004.log                                      34,42   1 ok
F:\Contagio\20_gi_m\s005.log                                      24,06   1 ok
F:\Contagio\20_gi_m\s006.log                                      43,93   1 ok
F:\Contagio\20_gi_m\s007.log                                     124,07   1 
F:\Contagio\20_gi_m\s008.log                                      19,92   1 ok
F:\Contagio\20_gi_m\s009.log                                      57,82   1 ok
F:\Contagio\20_gi_m\s010.log                                      65,90   1 ok
F:\Contagio\20_gi_m\s011.log                                      57,77   1 ok
F:\Contagio\20_gi_m\s012.log                                      34,12   1 ok
F:\Contagio\20_gi_m\s013.log                                      15,63   1 ok
F:\Contagio\20_gi_m\s014.log                                      55,07   1 ok
F:\Contagio\20_gi_m\s015.log                                      21,24   1 ok
F:\Contagio\20_gi_m\s016.log                                      28,75   1 ok
F:\Contagio\20_gi_m\s017.log                                      14,11   1 ok
F:\Contagio\20_gi_m\s018.log                                      28,97   1 ok
F:\Contagio\20_gi_m\s019.log                                      32,64   1 ok
F:\Contagio\20_gi_m\s020.log                                      31,40   1 ok
F:\Contagio\20_gi_m\s021.log                                      32,38   1 ok
F:\Contagio\20_gi_m\s022.log                                      29,07   1 ok
F:\Contagio\20_gi_m\s023.log                                      59,63   1 ok
F:\Contagio\20_gi_m\s024.log                                      14,56   1 ok
F:\Contagio\20_gi_m\s025.log                                      36,81   1 ok
F:\Contagio\20_gi_m\s026.log                                      37,75   1 ok
F:\Contagio\20_gi_m\s027.log                                      45,14   1 ok
F:\Contagio\20_gi_m\s028.log                                      52,69   1 ok
F:\Contagio\20_gi_m\s029.log                                      20,54   1 ok
F:\Contagio\20_gi_m\s030.log                                      26,36   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      37,60  =      75,20
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19990         10          0          0          0          0      53,94       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      19990         10          0          0          0          0      53,95       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      19990         10          0          0          0          0      53,96       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      19981         18          0          0          0          0      53,96       0,48        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      19977         22          0          0          0          0      53,97       0,62        0,0       0,00          2         10         10          0          0          0          0          0         22          0          0       0,00
  6      19974         25          0          0          0          0      53,97       0,66        0,0       0,00          2         13         13          0          0          0          0          0         25          0          0       0,00
  7      19961         39          0          0          0          0      53,97       0,78        0,0       0,00          4         24         24          0          0          0          0          0         39          0          0       0,00
  8      19943         56          0          0          0          0      53,98       0,80        0,1       0,03          6         40         40          0          0          0          0          0         56          0          0       0,03
  9      19927         72          0          0          0          0      53,98       0,83        0,1       0,03          8         54         54          0          0          0          0          0         72          0          0       0,03
 10      19904         95          0          0          0          0      53,98       0,86        0,2       0,05         11         74         74          0          0          0          0          0         95          0          0       0,03
 11      19874        125          0          0          0          0      53,98       0,90        0,6       0,47         15         99         99          0          0          0          8          0        125          0          0       0,03
 12      19840        158          0          0          0          0      53,99       0,92        1,2       0,50         21        127        127          0          0          0         12          0        159          0          0       0,07
 13      19804        195          0          0          0          0      53,99       0,97        2,4       0,78         28        156        156          0          0          0         15          1        195          0          0       0,26
 14      19758        241          0          0          0          0      53,99       1,02        3,3       1,07         38        193        193          0          0          0         28          2        241          0          0       0,52
 15      19722        277          0          0          0          0      53,99       1,10        5,6       1,41         50        217        217          0          0          0         45          4        277          0          0       0,76
 16      19676        321          0          1          0          0      53,99       1,14        8,3       1,85         65        248        247          0          0          0         61          5        322          0          0       0,75
 17      19623        374          0          1          0          0      53,99       1,19        9,1       1,87         82        283        282          0          0          0         84          8        375          0          0       1,18
 18      19569        427          0          2          0          0      53,99       1,23       10,6       2,52        102        317        316          1          0          0        113         11        428          1          0       2,04
 19      19509        486          0          3          0          0      53,98       1,25       12,1       2,63        123        357        354          2          0          0        146         14        487          2          0       2,30
 20      19441        553          0          5          0          0      53,98       1,27       12,4       2,58        146        402        399          3          0          0        181         17        555          3          0       2,51
 21      19370        622          0          6          0          0      53,98       1,29       12,6       2,41        171        447        442          4          0          0        226         22        624          4          0       2,35
 22      19289        700          0          8          0          0      53,99       1,31       12,7       2,14        199        500        494          5          0          0        261         25        702          6          0       2,01
 23      19201        785          0         12          0          0      53,99       1,34       13,6       2,12        230        557        549          8          0          0        303         30        788          9          0       2,16
 24      19100        883          0         15          0          0      53,99       1,36       13,7       2,28        263        625        614         10          0          0        353         35        886         12          0       2,27
 25      18991        987          0         19          0          0      53,99       1,37       14,2       2,26        299        699        684         13          0          0        403         40        991         15          0       2,24
 26      18874       1099          0         24          0          1      53,99       1,38       14,7       2,26        337        777        759         16          0          0        459         46       1103         20          1       2,15
 27      18754       1214          0         30          0          1      53,99       1,38       15,1       2,31        380        855        832         21          1          0        521         53       1218         25          1       2,34
 28      18617       1343          0         36          0          2      53,99       1,40       15,5       2,29        430        941        913         26          1          0        585         60       1348         32          2       2,31
 29      18474       1477          0         45          0          2      53,99       1,41       16,1       2,35        481       1034        999         32          1          0        657         67       1482         40          2       2,25
 30      18318       1622          0         55          0          3      53,99       1,42       16,4       2,33        538       1133       1090         40          2          0        735         73       1628         49          3       2,18
 31      18155       1773          0         67          0          4      53,99       1,43       16,8       2,34        602       1232       1180         48          2          0        824         82       1780         60          4       2,20
 32      17982       1929          0         83          0          5      53,99       1,44       17,6       2,35        668       1339       1276         58          3          0        920         91       1939         73          5       2,12
 33      17796       2098          0         98          0          6      53,99       1,45       17,7       2,26        742       1451       1376         70          4          0       1020        101       2108         88          6       2,05
 34      17608       2268          0        115          0          7      53,99       1,46       17,9       2,16        818       1562       1474         82          5          0       1123        111       2278        105          7       1,96
 35      17415       2437          0        137          0          9      53,99       1,47       18,2       2,12        898       1676       1569         99          6          0       1236        122       2447        127          9       1,96
 36      17214       2613          0        161          0         10      53,99       1,47       18,4       2,16        985       1789       1665        117          7          0       1354        135       2623        151         10       2,02
 37      17017       2782          0        188          0         12      53,99       1,48       18,6       2,13       1071       1901       1756        136          8          0       1482        149       2792        178         12       2,01
 38      16817       2947          0        220          0         14      53,99       1,48       18,9       2,11       1163       2008       1837        161          9          0       1610        162       2957        210         14       2,00
 39      16613       3110          0        258          0         17      54,00       1,48       19,3       2,08       1260       2115       1914        189         11          0       1742        175       3120        248         17       1,99
 40      16414       3267          0        297          0         20      54,00       1,49       19,5       2,06       1356       2218       1988        217         13          0       1886        189       3277        287         20       1,98
 41      16222       3412          0        341          0         23      54,00       1,49       19,8       2,03       1453       2313       2050        248         14          0       2027        203       3422        331         23       1,96
 42      16029       3548          0        394          0         27      54,00       1,49       20,1       1,99       1552       2408       2105        286         16          0       2163        215       3558        384         27       1,93
 43      15835       3681          0        452          0         31      54,00       1,50       20,3       1,96       1654       2500       2155        326         18          0       2303        229       3691        442         31       1,90
 44      15644       3805          0        514          0         35      54,01       1,50       20,6       1,94       1758       2587       2196        370         20          0       2433        241       3815        504         35       1,89
 45      15461       3918          0        580          0         40      54,01       1,50       20,8       1,90       1859       2669       2230        416         23          0       2562        253       3928        570         40       1,86
 46      15283       4020          0        650          0         45      54,01       1,51       20,9       1,86       1959       2747       2258        463         25          0       2691        265       4030        640         45       1,82
 47      15110       4113          0        725          0         50      54,02       1,51       21,1       1,84       2057       2822       2281        512         28          0       2809        276       4123        715         50       1,81
 48      14940       4198          0        805          0         56      54,02       1,51       21,3       1,83       2156       2892       2298        563         30          0       2916        286       4208        795         56       1,80
 49      14782       4263          0        890          0         63      54,03       1,52       21,4       1,79       2252       2955       2302        618         34          0       3017        297       4273        880         63       1,76
 50      14631       4310          0        987          0         70      54,03       1,52       21,6       1,76       2345       3012       2295        679         37          0       3108        306       4320        977         70       1,74
 51      14492       4340          0       1089          0         77      54,04       1,52       21,8       1,74       2435       3061       2275        745         40          0       3189        316       4350       1079         77       1,72
 52      14364       4356          0       1195          0         83      54,04       1,52       21,9       1,73       2522       3103       2247        812         43          0       3260        324       4366       1185         83       1,71
 53      14241       4357          0       1310          0         91      54,05       1,53       22,1       1,71       2611       3137       2204        886         46          0       3316        330       4367       1300         91       1,69
 54      14128       4336          0       1435          0         99      54,05       1,53       22,2       1,69       2694       3166       2152        965         49          0       3355        336       4346       1425         99       1,67
 55      14024       4302          0       1565          0        107      54,06       1,53       22,4       1,66       2770       3194       2096       1047         51          0       3387        337       4312       1555        107       1,65
 56      13926       4251          0       1705          0        116      54,07       1,53       22,6       1,64       2846       3217       2027       1135         54          0       3396        337       4261       1695        116       1,62
 57      13836       4190          0       1848          0        124      54,08       1,53       22,7       1,61       2916       3237       1955       1225         55          0       3395        337       4200       1838        124       1,60
 58      13750       4117          0       1998          0        133      54,09       1,54       22,9       1,59       2986       3252       1878       1316         58          0       3376        336       4127       1988        133       1,57
 59      13674       4027          0       2155          0        142      54,09       1,54       23,0       1,56       3049       3266       1796       1410         59          0       3337        332       4037       2145        142       1,55
 60      13603       3930          0       2314          0        151      54,10       1,54       23,2       1,54       3110       3276       1706       1507         61          0       3292        326       3940       2304        151       1,53
 61      13537       3817          0       2484          0        160      54,11       1,54       23,3       1,52       3167       3284       1613       1607         63          0       3226        320       3827       2474        160       1,50
 62      13477       3701          0       2652          0        168      54,12       1,55       23,4       1,50       3220       3292       1521       1705         65          0       3154        315       3711       2642        168       1,49
 63      13419       3576          0       2825          0        178      54,13       1,55       23,6       1,48       3270       3299       1426       1806         66          0       3070        307       3586       2815        178       1,47
 64      13367       3441          0       3002          0        188      54,14       1,55       23,7       1,45       3316       3305       1330       1906         68          0       2973        298       3451       2992        188       1,44
 65      13318       3305          0       3176          0        198      54,15       1,55       23,9       1,43       3360       3311       1238       2003         69          0       2873        288       3315       3166        198       1,42
 66      13273       3162          0       3355          0        208      54,16       1,55       24,0       1,41       3401       3315       1144       2100         70          0       2760        277       3172       3345        208       1,40
 67      13232       3015          0       3532          0        219      54,17       1,55       24,1       1,39       3438       3319       1053       2193         71          0       2644        264       3025       3522        219       1,38
 68      13194       2872          0       3703          0        229      54,19       1,55       24,2       1,37       3473       3322        966       2282         72          0       2529        253       2882       3693        229       1,36
 69      13158       2730          0       3870          0        240      54,20       1,56       24,4       1,34       3507       3323        884       2365         73          0       2412        240       2740       3860        240       1,34
 70      13124       2582          0       4041          0        251      54,21       1,56       24,5       1,32       3539       3325        802       2448         74          0       2287        228       2592       4031        251       1,32
 71      13095       2437          0       4204          0        262      54,22       1,56       24,6       1,30       3567       3327        723       2527         75          0       2165        217       2447       4194        262       1,30
 72      13070       2294          0       4361          0        272      54,23       1,56       24,7       1,29       3591       3327        649       2601         76          0       2047        205       2304       4351        272       1,28
 73      13045       2157          0       4514          0        282      54,25       1,56       24,8       1,27       3615       3328        580       2670         77          0       1929        193       2167       4504        282       1,26
 74      13021       2025          0       4660          0        292      54,26       1,56       24,9       1,25       3639       3328        514       2736         78          0       1815        181       2035       4650        292       1,24
 75      13001       1895          0       4800          0        302      54,27       1,56       24,9       1,23       3658       3329        455       2794         78          0       1703        168       1905       4790        302       1,23
 76      12981       1768          0       4938          0        311      54,29       1,56       25,0       1,22       3679       3329        397       2852         79          0       1591        159       1778       4928        311       1,21
 77      12963       1649          0       5067          0        320      54,30       1,56       25,1       1,20       3697       3329        345       2903         79          0       1487        148       1659       5057        320       1,19
 78      12949       1529          0       5191          0        330      54,32       1,56       25,2       1,18       3711       3329        298       2951         80          0       1382        137       1539       5181        330       1,18
 79      12933       1416          0       5310          0        339      54,33       1,56       25,2       1,17       3726       3329        253       2995         80          0       1279        126       1426       5300        339       1,16
 80      12921       1308          0       5420          0        348      54,35       1,56       25,3       1,16       3739       3329        216       3031         80          0       1184        116       1318       5410        348       1,15
 81      12909       1208          0       5524          0        358      54,37       1,56       25,3       1,14       3751       3329        181       3066         81          0       1096        108       1218       5514        358       1,14
 82      12898       1118          0       5616          0        366      54,39       1,56       25,4       1,13       3762       3329        153       3094         81          0       1015        101       1128       5606        366       1,13
 83      12887       1034          0       5705          0        372      54,40       1,56       25,4       1,12       3772       3329        128       3119         81          0        940         94       1044       5695        372       1,12
 84      12880        949          0       5788          0        381      54,42       1,56       25,5       1,11       3780       3329        107       3140         81          0        866         87        959       5778        381       1,10
 85      12872        876          0       5862          0        388      54,44       1,56       25,5       1,10       3788       3329         90       3157         82          0        800         80        886       5852        388       1,10
 86      12864        809          0       5931          0        394      54,46       1,56       25,5       1,09       3795       3329         75       3172         82          0        739         74        819       5921        394       1,09
 87      12857        743          0       5997          0        400      54,47       1,56       25,6       1,09       3802       3329         61       3185         82          0        680         68        753       5987        400       1,08
 88      12851        685          0       6056          0        406      54,49       1,56       25,6       1,08       3808       3329         51       3196         82          0        627         62        695       6046        406       1,07
 89      12845        628          0       6113          0        412      54,51       1,56       25,6       1,07       3814       3329         42       3204         82          0        575         57        638       6103        412       1,07
 90      12840        578          0       6164          0        416      54,53       1,56       25,6       1,07       3819       3329         34       3212         82          0        530         53        588       6154        416       1,06
 91      12834        533          0       6210          0        421      54,55       1,56       25,7       1,06       3825       3329         28       3218         82          0        488         49        543       6200        421       1,06
 92      12830        489          0       6254          0        425      54,57       1,56       25,7       1,05       3830       3329         23       3223         82          0        447         44        499       6244        425       1,05
 93      12826        448          0       6295          0        429      54,59       1,56       25,7       1,05       3833       3329         19       3227         82          0        411         41        458       6285        429       1,04
 94      12822        411          0       6332          0        433      54,61       1,56       25,7       1,05       3838       3329         15       3231         82          0        375         37        421       6322        433       1,04
 95      12818        376          0       6368          0        437      54,63       1,57       25,7       1,04       3841       3329         12       3234         82          0        343         34        386       6358        437       1,04
 96      12815        346          0       6397          0        440      54,65       1,57       25,7       1,04       3844       3329          9       3237         82          0        316         31        356       6387        440       1,03
 97      12812        316          0       6427          0        443      54,67       1,57       25,7       1,03       3847       3329          7       3239         82          0        288         28        326       6417        443       1,03
 98      12810        289          0       6453          0        446      54,69       1,57       25,7       1,03       3849       3330          5       3241         83          0        265         26        299       6443        446       1,03
 99      12807        264          0       6477          0        449      54,71       1,57       25,7       1,03       3852       3330          4       3242         83          0        242         23        274       6467        449       1,02
100      12805        242          0       6499          0        451      54,73       1,57       25,8       1,03       3854       3330          3       3244         83          0        221         21        252       6489        451       1,02
101      12803        221          0       6520          0        454      54,74       1,57       25,8       1,02       3856       3330          2       3244         83          0        203         19        231       6510        454       1,02
102      12801        203          0       6539          0        456      54,76       1,57       25,8       1,02       3858       3330          1       3245         83          0        185         17        213       6529        456       1,02
103      12799        185          0       6556          0        457      54,78       1,57       25,8       1,02       3860       3330          1       3245         83          0        169         16        195       6546        457       1,01
104      12798        169          0       6573          0        459      54,80       1,57       25,8       1,02       3861       3330          1       3245         83          0        154         14        179       6563        459       1,01
105      12796        154          0       6587          0        460      54,82       1,57       25,8       1,02       3863       3330          0       3246         83          0        141         12        164       6577        460       1,01
106      12795        141          0       6600          0        462      54,84       1,57       25,8       1,01       3864       3330          0       3246         83          0        128         12        151       6590        462       1,01
107      12794        128          0       6613          0        463      54,86       1,57       25,8       1,01       3865       3330          0       3246         83          0        117         10        138       6603        463       1,01
108      12793        117          0       6624          0        464      54,88       1,57       25,8       1,01       3866       3330          0       3246         83          0        107          9        127       6614        464       1,01
109      12791        107          0       6635          0        465      54,89       1,57       25,8       1,01       3867       3330          0       3246         83          0         98          8        117       6625        465       1,00
110      12790         97          0       6645          0        466      54,91       1,57       25,8       1,01       3869       3330          0       3246         83          0         88          8        107       6635        466       1,00
111      12789         90          0       6652          0        467      54,93       1,57       25,8       1,01       3869       3330          0       3246         83          0         82          7        100       6642        467       1,00
112      12789         82          0       6660          0        468      54,95       1,57       25,8       1,01       3870       3330          0       3246         83          0         74          6         92       6650        468       1,00
113      12788         75          0       6667          0        468      54,96       1,57       25,8       1,01       3871       3330          0       3246         83          0         67          6         85       6657        468       1,00
114      12787         68          0       6674          0        469      54,98       1,57       25,8       1,01       3871       3330          0       3246         83          0         61          5         78       6664        469       1,00
115      12787         63          0       6679          0        470      55,00       1,57       25,8       1,00       3872       3330          0       3246         83          0         57          5         73       6669        470       1,00
116      12786         58          0       6685          0        470      55,02       1,57       25,8       1,00       3873       3330          0       3246         83          0         52          5         68       6675        470       1,00
117      12785         53          0       6689          0        470      55,03       1,57       25,8       1,00       3873       3330          0       3246         83          0         48          4         63       6679        470       1,00
118      12785         48          0       6694          0        471      55,05       1,57       25,8       1,00       3874       3330          0       3246         83          0         44          4         58       6684        471       1,00
119      12785         44          0       6698          0        471      55,06       1,57       25,8       1,00       3874       3330          0       3246         83          0         40          4         54       6688        471       1,00
120      12784         40          0       6702          0        472      55,08       1,57       25,8       1,00       3875       3330          0       3246         83          0         37          4         50       6692        472       1,00
121      12784         37          0       6705          0        472      55,10       1,57       25,8       1,00       3875       3330          0       3246         83          0         34          3         47       6695        472       1,00
122      12783         34          0       6708          0        473      55,11       1,57       25,8       1,00       3875       3330          0       3246         83          0         31          3         44       6698        473       1,00
123      12783         31          0       6712          0        473      55,13       1,57       25,8       1,00       3876       3330          0       3246         83          0         28          3         41       6702        473       1,00
