--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.5
06/04/2020 14:25:13
--------------------------------------------------------------------------------------------------
Prefijo 50CRB30
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,39       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,38       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         16          0          0          0          0      56,37       0,22        0,0       0,00          0          6          6          0          0          0          0          0
  5      49981         19          0          0          0          0      56,37       0,37        0,0       0,00          1          8          8          0          0          0          0          0
  6      49979         21          0          0          0          0      56,38       0,48        0,0       0,00          2          9          9          0          0          0          0          0
  7      49965         35          0          0          0          0      56,37       0,60        0,0       0,00          2         23         23          0          0         10          1          0
  8      49954         46          0          0          0          0      56,37       0,70        0,0       0,00          2         34         34          0          0         10          1          0
  9      49945         55          0          0          0          0      56,38       0,81        0,0       0,00          3         42         42          0          0         10          1          0
 10      49911         88          0          1          0          0      56,38       0,94        2,0       0,00          9         70         69          1          0         16          1          0
 11      49891        107          0          2          0          0      56,38       1,08        6,0       0,50         12         87         86          1          0         18          1          0
 12      49875        122          0          3          0          0      56,37       1,06        7,7       0,33         20         95         94          1          0         19          1          0
 13      49866        131          0          3          0          0      56,36       1,01        7,7       0,33         25         99         98          1          0         33          4          0
 14      49853        144          0          3          0          0      56,36       1,16        7,7       0,33         33        104        103          1          0         43          5          0
 15      49821        176          0          3          0          0      56,36       1,42        7,7       0,33         41        128        127          1          0         52          5          0
 16      49798        198          0          4          0          0      56,37       1,57        8,5       0,25         49        143        142          1          0         85          9          0
 17      49777        218          0          5          0          0      56,36       1,69        8,2       0,40         56        157        156          1          0        104          9          0
 18      49740        253          0          7          0          0      56,36       1,70        7,9       0,29         67        183        180          3          0        118         13          0
 19      49713        280          0          7          0          0      56,36       1,83        7,9       0,29         79        198        195          3          0        127         13          0
 20      49671        321          0          8          0          0      56,35       1,87        9,3       0,50         97        222        219          3          0        139         13          0
 21      49606        385          0          9          0          0      56,34       1,96       10,4       0,78        111        273        270          3          0        170         16          0
 22      49529        462          0          9          0          0      56,33       1,91       10,4       0,78        123        338        335          3          0        193         16          0
 23      49445        544          0         11          0          0      56,33       1,87       11,7       0,73        138        407        403          4          0        212         16          0
 24      49336        650          0         14          0          0      56,34       1,88       13,3       1,57        165        489        482          7          0        246         19          0
 25      49252        732          0         16          0          0      56,34       1,85       13,6       2,00        190        548        539          9          0        271         24          0
 26      49155        824          0         21          0          0      56,34       1,88       14,6       2,48        221        614        602         12          0        308         29          0
 27      48967       1006          0         26          0          1      56,34       1,82       14,4       2,22        250        773        756         17          0        367         38          0
 28      48820       1145          0         34          0          1      56,34       1,82       14,7       2,06        285        885        861         24          0        436         47          0
 29      48637       1322          0         40          0          1      56,34       1,80       14,7       2,22        317       1036       1008         28          0        515         52          0
 30      48438       1516          0         45          0          1      56,34       1,77       15,3       2,02        369       1183       1152         31          0        618         57          0
 31      48396       1549          0         53          0          2      55,43       1,67       15,6       1,82        405       1189       1158         31          0        693         63          0
 32      48357       1576          0         65          0          2      54,57       1,60       16,2       1,81        427       1206       1175         31          0        779         65          0
 33      48298       1626          0         74          0          2      53,77       1,57       16,6       2,39        469       1223       1192         31          0        957         84          0
 34      48240       1668          0         89          0          3      53,02       1,54       17,1       2,39        506       1244       1213         31          0       1088        100          0
 35      48186       1707          0        103          0          4      52,30       1,51       17,5       2,30        546       1258       1227         31          0       1256        114          0
 36      48133       1746          0        117          0          4      51,63       1,48       17,8       2,28        577       1280       1249         31          0       1441        125          0
 37      48093       1764          0        138          0          5      50,99       1,44       17,9       2,14        597       1300       1269         31          0       1462        128          0
 38      48025       1806          0        161          0          8      50,39       1,42       18,3       1,93        624       1341       1310         31          0       1474        130          0
 39      47955       1841          0        194          0         10      49,82       1,39       18,8       2,12        654       1381       1350         31          0       1498        138          0
 40      47891       1879          0        220          0         10      49,27       1,37       19,1       2,07        685       1414       1383         31          0       1530        137          0
 41      47807       1913          0        267          0         13      48,76       1,36       19,6       1,94        711       1472       1439         32          1       1534        131          0
 42      47741       1938          0        307          0         14      48,26       1,34       19,5       1,85        739       1510       1477         32          1       1546        134          0
 43      47681       1962          0        341          0         16      47,80       1,32       19,6       1,78        772       1537       1504         32          1       1550        135          0
 44      47604       1999          0        377          0         20      47,35       1,31       19,7       1,73        815       1571       1536         34          1       1578        140          0
 45      47557       1986          0        434          0         23      46,92       1,30       19,9       1,67        841       1592       1556         35          1       1588        141          0
 46      47513       1966          0        494          0         27      46,51       1,30       20,3       1,72        871       1606       1569         36          1       1588        140          0
 47      47475       1931          0        561          0         33      46,12       1,29       20,7       1,70        891       1624       1586         37          1       1599        140          0
 48      47430       1918          0        612          0         40      45,75       1,28       20,8       1,67        920       1640       1598         39          3       1607        140          0
 49      47384       1884          0        688          0         44      45,39       1,27       21,2       1,61        947       1659       1615         40          4       1587        138          0
 50      47343       1861          0        750          0         46      45,05       1,26       21,5       1,61        971       1676       1631         41          4       1600        138          0
 51      47304       1824          0        820          0         52      44,72       1,26       21,7       1,55        991       1695       1645         46          4       1571        135          0
 52      47269       1782          0        893          0         56      44,41       1,25       22,0       1,52       1011       1710       1654         52          4       1538        131          0
 53      47228       1727          0        985          0         60      44,10       1,25       22,4       1,49       1033       1729       1672         53          4       1480        129          0
 54      47183       1686          0       1069          0         62      43,81       1,24       22,7       1,44       1054       1753       1691         58          4       1439        124          0
 55      47118       1651          0       1164          0         67      43,53       1,24       23,0       1,45       1079       1793       1724         65          4       1385        121          0
 56      47075       1612          0       1244          0         69      43,26       1,23       23,2       1,42       1101       1814       1737         73          4       1344        113          0
 57      47030       1565          0       1331          0         74      43,00       1,23       23,4       1,41       1118       1842       1755         83          4       1291        111          0
