Fichero                                                      Desv.Media
------------------------------------------------------------ ---------- --
C:\Contagio\50CRB30\s001.log                                      39,49 ok
C:\Contagio\50CRB30\s002.log                                      30,42 ok
C:\Contagio\50CRB30\s003.log                                      12,85 ok
C:\Contagio\50CRB30\s004.log                                      75,27 ok
C:\Contagio\50CRB30\s005.log                                      11,62 ok
C:\Contagio\50CRB30\s006.log                                      26,25 ok
C:\Contagio\50CRB30\s007.log                                      31,98 ok
C:\Contagio\50CRB30\s008.log                                      27,54 ok
C:\Contagio\50CRB30\s009.log                                      27,00 ok
C:\Contagio\50CRB30\s010.log                                      52,81 ok
C:\Contagio\50CRB30\s011.log                                      41,15 ok
C:\Contagio\50CRB30\s012.log                                      29,34 ok
C:\Contagio\50CRB30\s013.log                                      20,45 ok
C:\Contagio\50CRB30\s014.log                                      28,41 ok
C:\Contagio\50CRB30\s015.log                                      33,56 ok
C:\Contagio\50CRB30\s016.log                                      63,50 ok
C:\Contagio\50CRB30\s017.log                                      16,70 ok
C:\Contagio\50CRB30\s018.log                                      13,82 ok
C:\Contagio\50CRB30\s019.log                                      29,38 ok
C:\Contagio\50CRB30\s020.log                                      21,77 ok
C:\Contagio\50CRB30\s021.log                                      28,43 ok
C:\Contagio\50CRB30\s022.log                                      24,91 ok
C:\Contagio\50CRB30\s023.log                                      51,10 ok
C:\Contagio\50CRB30\s024.log                                      34,18 ok
C:\Contagio\50CRB30\s025.log                                      25,52 ok
C:\Contagio\50CRB30\s026.log                                     192,80 
C:\Contagio\50CRB30\s027.log                                      93,48 
C:\Contagio\50CRB30\s028.log                                      20,10 ok
C:\Contagio\50CRB30\s029.log                                      14,38 ok
C:\Contagio\50CRB30\s030.log                                      18,71 ok
------------------------------------------------------------ ---------- --
                                           2 x      37,90  =      75,79
------------------------------------------------------------ ---------- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49983         16          0          0          0          0      56,35       0,43        0,0       0,00          0          5          5          0          0          0          0          0
  5      49979         20          0          0          0          0      56,35       0,56        0,0       0,00          1          9          9          0          0          0          0          0
  6      49975         24          0          0          0          0      56,35       0,68        0,0       0,00          2         12         12          0          0          0          0          0
  7      49963         36          0          0          0          0      56,35       0,76        0,0       0,00          3         23         23          0          0         10          0          0
  8      49950         49          0          0          0          0      56,35       0,86        0,0       0,00          5         34         34          0          0         10          0          0
  9      49934         64          0          0          0          0      56,35       0,88        0,9       0,61          6         48         48          0          0          9          0          0
 10      49906         93          0          0          0          0      56,35       0,90        1,1       0,64          9         73         73          0          0         16          1          0
 11      49875        124          0          0          0          0      56,34       0,93        1,4       0,45         13        101        100          0          0         20          1          0
 12      49843        156          0          0          0          0      56,34       0,95        2,4       0,58         18        128        128          0          0         24          2          0
 13      49807        192          0          0          0          0      56,34       1,00        4,8       1,01         25        157        157          0          0         35          3          0
 14      49771        227          0          0          0          0      56,35       1,07        6,3       1,47         34        184        183          0          0         48          4          0
 15      49733        265          0          1          0          0      56,35       1,17        7,4       1,93         47        209        209          0          0         63          5          0
 16      49693        305          0          1          0          0      56,35       1,22        9,3       1,76         60        236        235          0          0         91          8          0
 17      49650        346          0          2          0          0      56,34       1,30       10,8       2,14         76        263        261          1          0        122         11          0
 18      49594        401          0          3          0          0      56,35       1,34       11,5       2,50         91        304        302          1          0        153         14          0
 19      49532        463          0          4          0          0      56,35       1,36       11,7       2,11        106        350        348          2          0        188         18          0
 20      49463        531          0          5          0          0      56,34       1,39       11,9       2,06        124        402        399          3          0        222         21          0
 21      49383        609          0          7          0          0      56,35       1,41       12,0       1,99        145        460        456          4          0        259         24          0
 22      49296        694          0          8          0          0      56,34       1,43       12,2       1,97        167        525        520          5          0        297         28          0
 23      49197        790          0         11          0          0      56,34       1,44       12,9       1,85        195        597        589          7          0        337         32          0
