--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.3.0
07/04/2020 19:36:50
--------------------------------------------------------------------------------------------------
Prefijo 50CRB_40_15
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,27       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49985         15          0          0          0          0      56,36       0,60        0,0       0,00          2          3          3          0          0          0          0          0
  5      49981         19          0          0          0          0      56,34       0,81        0,0       0,00          3          6          6          0          0          0          0          0
  6      49978         22          0          0          0          0      56,36       0,80        0,0       0,00          5          7          7          0          0          0          0          0
  7      49971         29          0          0          0          0      56,36       0,74        0,0       0,00          5         14         14          0          0         10          2          0
  8      49957         43          0          0          0          0      56,35       0,84        0,0       0,00          7         26         26          0          0         10          2          0
  9      49932         68          0          0          0          0      56,34       0,69        0,0       0,00          8         50         50          0          0         10          2          0
 10      49901         99          0          0          0          0      56,34       0,77        0,0       0,00         14         75         75          0          0         15          2          0
 11      49874        126          0          0          0          0      56,34       0,68        0,0       0,00         19         97         97          0          0         19          2          0
 12      49841        159          0          0          0          0      56,34       0,68        0,0       0,00         24        125        125          0          0         22          2          0
 13      49801        199          0          0          0          0      56,35       0,71        0,0       0,00         31        158        158          0          0         29          5          0
 14      49758        242          0          0          0          0      56,35       0,77        0,0       0,00         38        194        194          0          0         43          6          0
 15      49718        281          0          1          0          0      56,35       0,85        4,0       0,00         50        222        221          1          0         68          9          0
 16      49676        323          0          1          0          0      56,34       0,96        4,0       0,00         61        253        252          1          0         99         14          0
 17      49635        363          0          1          0          1      56,34       1,08        6,0       1,00         73        282        280          1          1        124         15          0
 18      49583        413          0          3          0          1      56,34       1,16        7,8       1,25         89        318        314          3          1        155         15          0
 19      49535        461          0          3          0          1      56,35       1,22        7,8       1,25        106        349        345          3          1        195         20          0
 20      49448        545          0          6          0          1      56,35       1,28        9,6       1,14        121        421        414          6          1        235         24          0
 21      49344        644          0         11          0          1      56,35       1,25       10,0       1,17        142        504        492         11          1        270         28          0
 22      49243        744          0         12          0          1      56,35       1,23       10,0       1,15        159        588        575         12          1        311         33          0
 23      49149        835          0         15          0          1      56,36       1,26       10,9       1,44        181        660        644         15          1        349         37          0
 24      49032        946          0         21          0          1      56,36       1,30       11,3       1,36        221        737        716         20          1        395         41          0
 25      48922       1053          0         24          0          1      56,36       1,33       12,0       1,24        254        814        793         20          1        441         46          0
 26      48787       1183          0         29          0          1      56,36       1,35       13,3       1,43        295        908        885         22          1        523         51          0
 27      48576       1385          0         38          0          1      56,36       1,35       13,7       1,46        344       1070       1044         25          1        617         59          0
 28      48363       1592          0         43          0          2      56,35       1,35       14,4       1,47        387       1240       1210         28          2        712         69          0
 29      48127       1817          0         53          0          3      56,35       1,35       14,9       1,50        434       1429       1390         36          3        796         79          0
 30      47841       2091          0         65          0          3      56,35       1,35       15,1       1,75        503       1646       1598         45          3        901         90          0
 31      47737       2182          0         76          0          5      55,44       1,30       15,6       1,58        546       1707       1659         45          3        997        100          0
 32      47641       2261          0         93          0          5      54,58       1,26       16,6       1,89        595       1754       1706         45          3       1115        112          0
 33      47535       2355          0        104          0          6      53,78       1,25       16,7       1,78        641       1814       1766         45          3       1314        133          0
 34      47449       2424          0        118          0          9      53,02       1,23       16,7       1,83        689       1852       1804         45          3       1510        155          0
 35      47362       2486          0        142          0         10      52,31       1,22       17,2       1,78        744       1884       1836         45          3       1721        183          0
 36      47281       2540          0        167          0         12      51,63       1,21       17,4       1,74        783       1926       1878         45          3       1980        212          0
 37      47201       2583          0        200          0         16      51,00       1,20       17,6       2,06        825       1964       1916         45          3       2047        222          0
 38      47124       2630          0        227          0         19      50,40       1,19       17,8       2,03        865       2001       1952         45          4       2113        231          0
 39      47057       2646          0        276          0         21      49,83       1,18       18,5       1,98        892       2041       1992         45          4       2168        235          0
 40      46986       2676          0        311          0         27      49,28       1,17       18,9       1,86        923       2081       2032         45          4       2213        244          0
 41      46905       2697          0        367          0         31      48,77       1,17       19,3       1,87        966       2119       2070         45          4       2241        241          0
 42      46815       2732          0        417          0         36      48,28       1,17       19,7       1,75       1000       2175       2126         45          4       2266        241          0
 43      46733       2753          0        470          0         44      47,81       1,16       19,9       1,66       1027       2230       2181         45          4       2285        246          0
 44      46639       2779          0        533          0         49      47,37       1,16       20,3       1,72       1060       2291       2242         45          4       2294        253          0
 45      46544       2806          0        595          0         55      46,94       1,15       20,5       1,73       1090       2356       2305         47          4       2293        247          0
 46      46229       3031          0        682          0         58      47,15       1,19       20,9       1,67       1166       2595       2544         47          4       2274        242          0
 47      45991       3200          0        745          0         64      47,34       1,23       21,0       1,59       1240       2759       2708         47          4       2286        241          0
 48      45757       3351          0        821          0         71      47,53       1,26       21,2       1,62       1332       2901       2850         47          4       2293        243          0
 49      45381       3623          0        916          0         80      47,71       1,28       21,6       1,58       1428       3181       3130         47          4       2271        246          0
 50      45025       3869          0       1022          0         84      47,88       1,30       21,8       1,56       1527       3438       3387         47          4       2255        240          0
 51      44631       4116          0       1159          0         94      48,04       1,32       22,2       1,54       1630       3729       3678         47          4       2203        234          0
 52      44088       4530          0       1282          0        100      48,20       1,33       22,5       1,57       1773       4129       4078         47          4       2389        247          0
 53      43531       4954          0       1406          0        109      48,36       1,34       22,7       1,53       1895       4564       4509         51          4       2496        248          0
 54      42929       5424          0       1530          0        117      48,51       1,34       23,0       1,51       2043       5018       4962         52          4       2598        254          0
 55      42250       5967          0       1661          0        122      48,65       1,35       23,2       1,51       2217       5523       5465         54          4       2837        271          0
 56      41589       6513          0       1772          0        126      48,78       1,35       23,5       1,53       2418       5983       5923         56          4       3078        295          0
 57      41016       6959          0       1890          0        135      48,91       1,35       23,6       1,55       2606       6368       6304         59          5       3347        313          0
 58      40475       7336          0       2045          0        144      49,04       1,36       23,8       1,54       2836       6679       6603         70          6       3725        357          0
 59      39944       7721          0       2179          0        156      49,16       1,38       24,1       1,50       3101       6945       6861         78          6       4134        391          0
 60      39551       7941          0       2343          0        165      49,27       1,39       24,1       1,49       3336       7103       6995        101          7       4564        428          0
 61      39155       8177          0       2499          0        169      49,39       1,40       24,2       1,47       3593       7242       7113        122          7       5085        481          0
 62      38790       8426          0       2605          0        179      49,50       1,41       24,2       1,47       3844       7356       7207        142          7       5630        529          0
 63      38421       8664          0       2727          0        188      49,60       1,43       24,1       1,46       4071       7498       7314        175          9       6071        566          0
 64      38021       8907          0       2877          0        195      49,71       1,44       24,1       1,45       4297       7672       7447        215         10       6455        607          0
 65      37670       9143          0       2985          0        202      49,81       1,44       24,0       1,45       4526       7794       7538        246         10       6872        653          0
 66      37351       9341          0       3098          0        210      49,91       1,45       23,9       1,44       4729       7910       7611        288         11       7141        679          0
 67      37044       9504          0       3238          0        214      50,00       1,46       23,8       1,43       4928       8018       7663        343         12       7393        703          0
 68      36772       9607          0       3401          0        220      50,09       1,47       23,7       1,44       5117       8101       7666        422         13       7590        736          0
 69      36534       9682          0       3555          0        229      50,18       1,48       23,6       1,43       5286       8170       7658        497         15       7796        757          0
 70      36284       9729          0       3753          0        234      50,27       1,48       23,5       1,43       5465       8241       7615        609         17       7993        766          0
 71      36076       9737          0       3946          0        241      50,36       1,49       23,4       1,42       5620       8294       7576        700         18       8144        778          0
 72      35850       9739          0       4161          0        250      50,44       1,50       23,3       1,43       5811       8329       7483        827         19       8240        790          0
 73      35681       9639          0       4420          0        260      50,52       1,50       23,2       1,44       5956       8353       7363        968         22       8276        797          0
 74      35514       9540          0       4679          0        267      50,59       1,51       23,1       1,43       6107       8369       7226       1120         23       8282        792          0
 75      35368       9401          0       4954          0        277      50,67       1,51       23,1       1,42       6248       8374       7052       1298         24       8235        800          0
 76      35215       9240          0       5258          0        287      50,74       1,52       23,1       1,41       6396       8379       6854       1500         25       8172        793          0
 77      35081       8966          0       5642          0        311      50,81       1,53       23,2       1,41       6522       8387       6580       1773         34       7971        767          0
 78      34948       8717          0       6011          0        324      50,88       1,53       23,3       1,41       6648       8394       6345       2012         37       7815        764          0
 79      34808       8429          0       6427          0        336      50,94       1,53       23,4       1,40       6776       8406       6079       2288         39       7556        737          0
 80      34687       8080          0       6878          0        355      51,01       1,54       23,6       1,38       6881       8422       5786       2592         44       7253        712          0
