Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
C:\Contagio\50CRB_30_15\s001.log                                 135,14   1 ok
C:\Contagio\50CRB_30_15\s002.log                                  75,20   1 ok
C:\Contagio\50CRB_30_15\s003.log                                  47,01   1 ok
C:\Contagio\50CRB_30_15\s004.log                                  88,14   1 ok
C:\Contagio\50CRB_30_15\s005.log                                  49,13   1 ok
C:\Contagio\50CRB_30_15\s006.log                                  92,59   1 ok
C:\Contagio\50CRB_30_15\s007.log                                 325,41   1 
C:\Contagio\50CRB_30_15\s008.log                                  69,54   1 ok
C:\Contagio\50CRB_30_15\s009.log                                 226,88   1 ok
C:\Contagio\50CRB_30_15\s010.log                                 161,69   1 ok
C:\Contagio\50CRB_30_15\s011.log                                  83,25   1 ok
C:\Contagio\50CRB_30_15\s012.log                                  52,89   1 ok
C:\Contagio\50CRB_30_15\s013.log                                 326,30   1 
C:\Contagio\50CRB_30_15\s014.log                                 117,77   1 ok
C:\Contagio\50CRB_30_15\s015.log                                  65,49   1 ok
C:\Contagio\50CRB_30_15\s016.log                                  55,89   1 ok
C:\Contagio\50CRB_30_15\s017.log                                  77,56   1 ok
C:\Contagio\50CRB_30_15\s018.log                                  68,72   1 ok
C:\Contagio\50CRB_30_15\s019.log                                  61,26   1 ok
C:\Contagio\50CRB_30_15\s020.log                                 117,49   1 ok
C:\Contagio\50CRB_30_15\s021.log                                  98,46   1 ok
C:\Contagio\50CRB_30_15\s022.log                                  52,65   1 ok
C:\Contagio\50CRB_30_15\s023.log                                 143,95   1 ok
C:\Contagio\50CRB_30_15\s024.log                                  48,36   1 ok
C:\Contagio\50CRB_30_15\s025.log                                  56,79   1 ok
C:\Contagio\50CRB_30_15\s026.log                                  92,16   1 ok
C:\Contagio\50CRB_30_15\s027.log                                 353,95   1 
C:\Contagio\50CRB_30_15\s028.log                                  89,38   1 ok
C:\Contagio\50CRB_30_15\s029.log                                  66,49   1 ok
C:\Contagio\50CRB_30_15\s030.log                                 276,46   1 
------------------------------------------------------------ ---------- --- --
                                           2 x     119,20  =     238,40
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49983         16          0          0          0          0      56,34       0,53        0,0       0,00          1          5          5          0          0          0          0          0
  5      49977         22          0          0          0          0      56,34       0,69        0,0       0,00          1         10         10          0          0          0          0          0
  6      49972         27          0          0          0          0      56,34       0,72        0,0       0,00          2         15         15          0          0          0          0          0
  7      49957         42          0          0          0          0      56,33       0,77        0,0       0,00          4         28         28          0          0         10          1          0
  8      49939         60          0          0          0          0      56,34       0,79        0,0       0,00          5         44         44          0          0         10          1          0
  9      49919         80          0          0          0          0      56,33       0,81        0,0       0,00          7         62         62          0          0         10          1          0
 10      49883        116          0          0          0          0      56,34       0,83        0,7       0,08         10         95         95          0          0         16          1          0
 11      49844        155          0          0          0          0      56,34       0,87        1,1       0,08         15        130        130          0          0         21          2          0
 12      49800        198          0          0          0          0      56,34       0,91        2,3       0,21         21        167        167          0          0         27          2          0
 13      49760        239          0          0          0          0      56,34       0,99        3,5       0,47         30        199        199          0          0         41          3          0
 14      49720        279          0          0          0          0      56,34       1,06        5,0       0,99         42        227        227          0          0         59          5          0
 15      49680        318          0          1          0          0      56,34       1,15        7,8       1,44         55        253        253          0          0         79          7          0
 16      49634        363          0          1          0          0      56,34       1,23        9,0       2,19         73        282        281          0          0        114         11          0
 17      49576        420          0          2          0          0      56,34       1,28       10,1       1,81         92        320        319          1          0        153         15          0
 18      49510        485          0          3          0          0      56,34       1,33       10,5       1,72        112        367        365          2          0        195         19          0
 19      49435        559          0          5          0          0      56,34       1,38       11,5       2,04        132        422        419          3          0        234         23          0
 20      49342        650          0          6          0          0      56,34       1,40       11,8       2,52        153        494        489          4          0        273         27          0
 21      49243        748          0          8          0          0      56,34       1,41       12,2       2,59        176        569        564          5          0        311         30          0
 22      49135        854          0         10          0          0      56,34       1,43       12,5       2,42        203        650        643          7          0        355         35          0
 23      49015        971          0         13          0          0      56,34       1,44       12,8       2,33        233        741        731          9          0        409         40          0
 24      48881       1101          0         17          0          0      56,34       1,45       13,1       2,41        268        840        827         12          0        472         47          0
 25      48726       1251          0         21          0          0      56,34       1,47       13,6       2,29        311        952        936         15          0        542         55          0
 26      48555       1416          0         27          0          0      56,34       1,48       14,1       2,28        357       1076       1056         20          0        629         63          0
