--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.12
07/04/2020 06:18:56
--------------------------------------------------------------------------------------------------
Prefijo 50CRB40
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     25
Número clusters generados                    23 con        1.890 individuos,          575 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    35    45       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    40    55      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    40    60      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    35    45       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    30    35      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,35       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49983         16          0          0          0          0      56,35       0,43        0,0       0,00          0          5          5          0          0          0          0          0
  5      49979         20          0          0          0          0      56,35       0,60        0,0       0,00          1          8          8          0          0          0          0          0
  6      49975         24          0          0          0          0      56,35       0,72        0,0       0,00          2         12         12          0          0          0          0          0
  7      49964         35          0          0          0          0      56,35       0,79        0,0       0,00          3         22         22          0          0         10          0          0
  8      49952         47          0          0          0          0      56,35       0,85        0,0       0,00          4         32         32          0          0         10          0          0
  9      49937         62          0          0          0          0      56,34       0,89        0,8       0,57          6         46         46          0          0          9          0          0
 10      49910         89          0          0          0          0      56,34       0,92        1,1       0,60          9         70         69          0          0         16          1          0
 11      49880        118          0          0          0          0      56,34       0,95        1,6       0,42         13         95         95          0          0         20          1          0
 12      49851        148          0          0          0          0      56,34       0,97        3,0       0,54         17        121        120          0          0         23          2          0
 13      49817        181          0          0          0          0      56,34       1,03        5,6       0,96         24        147        147          0          0         34          3          0
 14      49784        214          0          1          0          0      56,34       1,11        7,0       1,41         32        172        171          0          0         46          4          0
 15      49749        249          0          1          0          0      56,34       1,20        8,0       1,83         44        195        195          0          0         61          6          0
 16      49712        285          0          1          0          0      56,35       1,25        9,3       1,67         57        219        219          0          0         87          8          0
 17      49673        323          0          2          0          0      56,34       1,32       10,2       1,91         71        244        243          1          0        116         11          0
 18      49620        376          0          3          0          0      56,35       1,36       10,9       2,25         85        284        282          1          0        145         14          0
 19      49560        434          0          4          0          0      56,34       1,38       11,1       1,89        100        328        326          2          0        177         17          0
 20      49494        499          0          5          0          0      56,34       1,41       11,8       1,81        117        377        374          2          0        209         20          0
 21      49418        574          0          6          0          0      56,34       1,43       12,1       1,86        137        434        430          3          0        243         22          0
 22      49336        654          0          8          0          0      56,34       1,46       12,4       1,85        157        495        490          5          0        278         26          0
