--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.3.3
07/04/2020 19:52:07
--------------------------------------------------------------------------------------------------
Prefijo 50SR_90Asin
Número de hilos                              10
Semilla población                           111
Semilla simulación                          776
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              5,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   111 con        8.976 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       20,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       50,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69      800,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      500,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,32       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49985         14          0          0          0          0      56,35       0,33        0,0       0,00          1          3          3          0          0          0          0          0
  5      49981         18          0          0          0          0      56,35       0,54        0,0       0,00          1          6          6          0          0          0          0          0
  6      49978         21          0          0          0          0      56,35       0,72        0,0       0,00          2          9          9          0          0          0          0          0
  7      49966         33          0          0          0          0      56,34       0,82        0,6       0,00          3         20         20          0          0          0          0          0
  8      49949         50          0          0          0          0      56,35       0,88        0,6       0,00          4         36         36          0          0          0          0          0
  9      49931         68          0          0          0          0      56,35       0,85        1,4       1,40          6         52         52          0          0          0          0          0
 10      49899        100          0          0          0          0      56,34       0,86        1,4       1,40          8         81         81          0          0          1          0          0
 11      49862        137          0          0          0          0      56,34       0,89        3,1       2,30         13        114        114          0          0          1          0          0
 12      49830        169          0          0          0          0      56,35       0,94        4,2       3,90         18        141        140          0          0          1          0          0
 13      49799        200          0          0          0          0      56,35       1,04        4,2       3,90         28        162        162          0          0          3          0          0
 14      49765        233          0          0          0          0      56,35       1,14        5,0       3,83         42        181        181          0          0          5          0          0
 15      49736        262          0          1          0          0      56,35       1,22        4,8       3,35         56        196        196          0          0          6          0          0
 16      49691        307          0          1          0          0      56,35       1,26        5,8       3,45         71        226        226          0          0          9          0          0
 17      49635        362          0          1          0          0      56,35       1,30        5,7       2,10         91        263        262          0          0         12          1          0
 18      49569        427          0          3          0          0      56,35       1,32       11,2       2,15        111        309        307          1          0         15          1          0
 19      49481        514          0          4          0          0      56,35       1,31       11,4       2,07        135        373        371          2          0         18          2          0
 20      49381        613          0          5          0          0      56,35       1,31       11,7       2,56        163        445        442          3          0         20          2          0
 21      49265        727          0          7          0          0      56,35       1,31       11,7       2,71        195        528        524          4          0         22          3          0
 22      49130        860          0          8          0          0      56,35       1,32       12,6       2,64        230        628        623          5          0         26          3          0
 23      48959       1028          0         12          0          0      56,35       1,33       12,9       2,34        274        756        748          7          0         30          3          0
 24      48742       1241          0         15          0          0      56,35       1,32       13,2       2,04        330        917        907         10          0         36          4          0
 25      48521       1457          0         19          0          1      56,35       1,32       13,1       2,17        389       1078       1064         13          0         45          5          0
 26      48267       1706          0         24          0          1      56,35       1,33       13,8       2,14        463       1258       1240         17          0         53          6          0
 27      47955       2012          0         30          0          1      56,35       1,33       14,4       2,31        552       1482       1459         21          0         65          8          0
 28      47630       2327          0         39          0          1      56,35       1,33       15,3       2,37        657       1701       1672         28          1         76          9          0
 29      47266       2683          0         47          0          2      56,35       1,33       15,9       2,44        776       1947       1912         34          1         93         11          0
 30      46880       3060          0         57          0          2      56,35       1,32       16,1       2,41        901       2208       2165         41          1        112         12          0
 31      46450       3477          0         69          0          3      56,35       1,33       16,4       2,46       1060       2478       2426         50          1        134         15          0
 32      45990       3918          0         86          0          4      56,35       1,34       17,4       2,42       1235       2764       2700         61          1        157         16          0
 33      45490       4399          0        106          0          4      56,34       1,34       17,4       2,40       1422       3077       2999         75          2        188         20          0
 34      44912       4954          0        127          0          6      56,35       1,35       17,5       2,33       1639       3437       3343         91          3        217         24          0
 35      44296       5540          0        155          0          6      56,35       1,35       17,8       2,38       1872       3820       3703        113          3        251         28          0
 36      43654       6148          0        187          0          9      56,35       1,36       17,8       2,37       2127       4207       4063        139          5        286         31          0
 37      42957       6808          0        223          0         11      56,34       1,36       18,0       2,36       2418       4614       4441        166          6        320         34          0
 38      42252       7466          0        268          0         13      56,35       1,36       18,3       2,36       2722       5015       4806        201          7        361         39          0
 39      41547       8111          0        325          0         15      56,35       1,37       18,5       2,34       3051       5390       5136        245          9        408         44          0
 40      40814       8784          0        383          0         18      56,35       1,37       18,6       2,35       3406       5769       5470        287         10        456         48          0
 41      40106       9412          0        458          0         22      56,35       1,38       18,8       2,34       3785       6097       5742        342         12        513         53          0
 42      39449       9983          0        540          0         26      56,35       1,38       19,0       2,27       4173       6367       5949        402         15        567         59          0
 43      38804      10535          0        629          0         30      56,35       1,38       19,0       2,22       4581       6604       6121        465         17        628         64          0
 44      38194      11031          0        736          0         37      56,35       1,38       19,1       2,22       5001       6794       6235        537         21        685         69          0
 45      37597      11499          0        858          0         44      56,35       1,39       19,1       2,20       5432       6959       6313        621         24        737         73          0
 46      37029      11929          0        989          0         52      56,35       1,39       19,2       2,18       5862       7098       6358        711         28        796         80          0
 47      36472      12323          0       1144          0         59      56,35       1,39       19,4       2,15       6303       7214       6362        820         31        854         86          0
 48      35965      12656          0       1309          0         69      56,35       1,40       19,6       2,13       6718       7306       6342        927         36        901         89          0
 49      35445      12983          0       1489          0         82      56,35       1,39       19,8       2,10       7162       7382       6287       1052         42        940         93          0
 50      34963      13234          0       1709          0         92      56,35       1,39       20,0       2,09       7586       7440       6190       1202         46        971         97          0
 51      34486      13466          0       1943          0        103      56,35       1,39       20,2       2,06       8010       7492       6088       1352         52       1011        100          0
 52      34032      13648          0       2202          0        116      56,36       1,39       20,4       2,04       8421       7536       5954       1525         57       1041        103          0
 53      33588      13780          0       2501          0        130      56,36       1,39       20,6       2,00       8830       7571       5788       1720         62       1067        106          0
 54      33156      13870          0       2827          0        146      56,36       1,39       20,8       1,98       9233       7600       5602       1930         67       1088        109          0
 55      32748      13915          0       3175          0        160      56,36       1,38       21,1       1,95       9614       7626       5393       2159         74       1105        111          0
 56      32355      13920          0       3547          0        177      56,36       1,38       21,3       1,93       9989       7645       5169       2394         80       1110        113          0
