--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.3.3
07/04/2020 11:44:57
--------------------------------------------------------------------------------------------------
Prefijo 50SR_90Asin
Número de hilos                              10
Semilla población                           111
Semilla simulación                          785
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              5,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       20,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       50,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69      800,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      500,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,16       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,19       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,23       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         16          0          0          0          0      56,25       0,78        0,0       0,00          1          5          5          0          0          0          0          0
  5      49981         19          0          0          0          0      56,25       0,98        0,0       0,00          2          7          7          0          0          0          0          0
  6      49980         20          0          0          0          0      56,28       0,99        0,0       0,00          2          8          8          0          0          0          0          0
  7      49965         35          0          0          0          0      56,29       0,77        0,0       0,00          2         23         23          0          0          0          0          0
  8      49949         51          0          0          0          0      56,31       0,84        0,0       0,00          3         38         38          0          0          0          0          0
  9      49935         65          0          0          0          0      56,29       0,89        0,0       0,00          5         50         50          0          0          0          0          0
 10      49910         90          0          0          0          0      56,29       0,82        0,0       0,00          8         72         72          0          0          0          0          0
 11      49882        117          0          1          0          0      56,29       0,79       10,0       1,00         15         93         93          0          0          0          0          0
 12      49863        136          0          1          0          0      56,29       0,79       10,0       1,00         19        108        108          0          0          0          0          0
 13      49846        153          0          1          0          0      56,30       0,98       10,0       1,00         28        116        116          0          0          1          1          0
 14      49808        191          0          1          0          0      56,32       1,03       10,0       1,00         35        147        147          0          0          1          1          0
 15      49785        214          0          1          0          0      56,32       1,21       10,0       1,00         47        158        158          0          0          1          1          0
 16      49764        235          0          1          0          0      56,32       1,24       10,0       1,00         62        164        164          0          0          4          1          0
 17      49719        279          0          2          0          0      56,33       1,30        8,0       0,50         82        189        188          1          0          9          2          0
 18      49692        305          0          3          0          0      56,32       1,34        8,3       1,00         90        208        206          2          0          9          2          0
 19      49625        370          0          5          0          0      56,32       1,34       10,8       1,00        112        253        250          3          0         10          2          0
 20      49541        454          0          5          0          0      56,33       1,34       10,8       1,00        127        322        319          3          0         14          2          0
 21      49450        544          0          6          0          0      56,33       1,28       10,7       0,83        142        398        395          3          0         15          2          0
 22      49326        667          0          7          0          0      56,32       1,27       10,6       0,71        167        497        493          4          0         17          2          0
 23      49186        805          0          9          0          0      56,33       1,26       11,0       0,67        190        614        608          6          0         20          2          0
 24      49036        953          0         11          0          0      56,33       1,23       10,5       0,55        229        725        719          6          0         23          3          0
 25      48853       1131          0         14          0          2      56,32       1,26       11,8       0,88        277        860        850          8          2         29          5          0
 26      48584       1399          0         15          0          2      56,32       1,27       12,2       0,82        350       1056       1045          9          2         36          6          0
 27      48285       1690          0         23          0          2      56,32       1,27       14,1       2,40        425       1280       1262         16          2         45          8          0
 28      47973       1993          0         30          0          4      56,32       1,25       15,2       2,41        508       1509       1485         20          4         51          9          0
 29      47564       2393          0         37          0          6      56,32       1,25       16,1       2,51        611       1815       1787         24          4         69         11          0
 30      47090       2861          0         43          0          6      56,32       1,24       16,3       2,65        728       2172       2138         30          4         93         13          0
 31      46626       3318          0         49          0          7      56,32       1,24       16,6       2,55        880       2484       2443         36          5        126         19          0
 32      46110       3814          0         67          0          9      56,32       1,24       17,7       2,66       1057       2823       2771         47          5        152         19          0
 33      45585       4326          0         78          0         11      56,32       1,24       18,0       2,57       1231       3174       3114         54          6        184         22          0
 34      44924       4969          0         95          0         12      56,32       1,26       17,8       2,40       1457       3609       3534         68          7        212         27          0
 35      44252       5609          0        127          0         12      56,32       1,27       18,0       2,58       1695       4043       3942         94          7        237         29          0
 36      43513       6315          0        157          0         15      56,32       1,28       18,0       2,62       1952       4525       4399        117          9        290         35          0
 37      42717       7071          0        195          0         17      56,33       1,29       17,7       2,55       2269       5004       4845        149         10        327         41          0
 38      41947       7798          0        236          0         19      56,32       1,29       17,6       2,39       2617       5426       5232        183         11        373         45          0
 39      41181       8526          0        271          0         22      56,32       1,30       17,7       2,48       2966       5843       5620        211         12        417         52          0
 40      40309       9355          0        312          0         24      56,32       1,32       17,9       2,55       3360       6321       6072        236         13        476         57          0
 41      39449      10153          0        371          0         27      56,32       1,32       18,0       2,60       3747       6794       6503        276         15        552         62          0
 42      38633      10904          0        431          0         32      56,32       1,32       18,2       2,53       4149       7208       6872        318         18        609         64          0
 43      37799      11664          0        499          0         38      56,33       1,33       18,2       2,47       4615       7576       7191        365         20        683         68          0
 44      37086      12277          0        596          0         41      56,33       1,33       18,2       2,36       5071       7833       7380        430         23        742         73          0
 45      36382      12873          0        700          0         45      56,33       1,33       18,4       2,36       5586       8022       7490        506         26        801         75          0
 46      35736      13395          0        819          0         50      56,33       1,34       18,4       2,30       6116       8138       7518        590         30        873         84          0
 47      35161      13799          0        986          0         54      56,34       1,34       18,5       2,23       6617       8212       7475        706         31        951         99          0
 48      34653      14138          0       1148          0         61      56,34       1,34       18,8       2,23       7095       8242       7395        811         36       1019        103          0
 49      34091      14526          0       1313          0         70      56,34       1,35       18,8       2,24       7629       8270       7309        922         39       1092        109          0
 50      33550      14814          0       1556          0         80      56,34       1,35       19,2       2,20       8133       8307       7170       1091         46       1114        112          0
 51      33014      15111          0       1784          0         91      56,34       1,35       19,4       2,16       8641       8335       7022       1259         54       1153        115          0
 52      32527      15320          0       2046          0        107      56,34       1,34       19,6       2,12       9085       8378       6868       1449         61       1167        116          0
 53      32071      15437          0       2372          0        120      56,35       1,34       19,9       2,07       9510       8409       6684       1661         64       1190        119          0
 54      31586      15545          0       2731          0        138      56,35       1,34       20,2       2,04       9976       8428       6458       1899         71       1207        117          0
 55      31170      15626          0       3048          0        156      56,35       1,34       20,5       2,02      10368       8452       6257       2116         79       1230        122          0
 56      30755      15656          0       3416          0        173      56,35       1,33       20,8       2,00      10767       8468       6018       2364         86       1230        122          0
 57      30331      15642          0       3831          0        196      56,35       1,33       21,1       1,99      11179       8480       5754       2630         96       1234        121          0
 58      29916      15567          0       4301          0        216      56,36       1,33       21,4       1,95      11583       8491       5446       2941        104       1237        119          0
 59      29510      15411          0       4836          0        243      56,36       1,33       21,7       1,91      11978       8502       5102       3286        114       1239        121          0
 60      29142      15211          0       5381          0        266      56,36       1,32       22,0       1,87      12335       8513       4755       3638        120       1252        123          0
 61      28815      14964          0       5923          0        298      56,36       1,32       22,3       1,84      12645       8530       4422       3980        128       1220        115          0
 62      28454      14688          0       6531          0        327      56,37       1,32       22,6       1,81      12986       8550       4085       4332        133       1215        117          0
 63      28135      14379          0       7129          0        357      56,37       1,31       22,8       1,77      13290       8565       3745       4681        139       1193        115          0
 64      27824      14053          0       7740          0        383      56,38       1,31       23,0       1,73      13583       8583       3411       5024        148       1179        115          0
 65      27526      13650          0       8410          0        414      56,38       1,30       23,3       1,69      13861       8603       3069       5384        150       1144        115          0
 66      27237      13220          0       9106          0        437      56,38       1,30       23,5       1,66      14136       8617       2699       5762        156       1101        109          0
 67      26974      12778          0       9778          0        470      56,39       1,30       23,7       1,63      14382       8634       2372       6096        166       1077        108          0
 68      26720      12269          0      10509          0        502      56,39       1,29       23,9       1,60      14607       8663       2054       6441        168       1041        103          0
 69      26479      11789          0      11195          0        537      56,40       1,29       24,1       1,56      14833       8678       1781       6728        169       1011        102          0
 70      26224      11358          0      11853          0        565      56,40       1,29       24,3       1,53      15065       8701       1543       6986        172        977        102          0
 71      26008      10867          0      12523          0        602      56,41       1,29       24,4       1,50      15264       8718       1307       7238        173        938         93          0
 72      25781      10414          0      13165          0        640      56,41       1,28       24,6       1,47      15462       8747       1099       7473        175        885         86          0
 73      25589       9989          0      13745          0        677      56,42       1,28       24,7       1,43      15625       8776        929       7670        177        838         90          0
 74      25375       9558          0      14353          0        714      56,43       1,28       24,8       1,40      15823       8792        764       7849        179        813         88          0
 75      25189       9136          0      14931          0        744      56,43       1,28       24,9       1,37      15987       8814        654       7981        179        769         86          0
 76      25002       8773          0      15454          0        771      56,44       1,27       25,0       1,35      16145       8843        596       8068        179        733         81          0
 77      24831       8398          0      15973          0        798      56,45       1,27       25,0       1,32      16299       8860        562       8119        179        705         77          0
 78      24677       8045          0      16453          0        825      56,45       1,27       25,1       1,30      16431       8882        537       8165        180        671         73          0
 79      24509       7774          0      16872          0        845      56,46       1,27       25,1       1,29      16572       8909        539       8190        180        648         68          0
 80      24345       7449          0      17328          0        878      56,47       1,26       25,2       1,27      16717       8928        539       8209        180        618         66          0
 81      24203       7155          0      17743          0        899      56,48       1,26       25,2       1,25      16830       8957        542       8235        180        587         59          0
 82      24052       6880          0      18138          0        930      56,49       1,26       25,3       1,24      16954       8984        547       8257        180        565         59          0
 83      23910       6629          0      18513          0        948      56,50       1,26       25,3       1,22      17073       9007        538       8289        180        532         57          0
 84      23762       6373          0      18893          0        972      56,51       1,26       25,3       1,21      17198       9030        538       8312        180        506         55          0
 85      23640       6092          0      19270          0        998      56,52       1,26       25,4       1,20      17297       9053        541       8332        180        480         51          0
 86      23507       5869          0      19614          0       1010      56,53       1,26       25,4       1,19      17409       9074        545       8349        180        463         50          0
 87      23398       5609          0      19968          0       1025      56,54       1,25       25,4       1,18      17498       9094        546       8368        180        441         45          0
 88      23307       5336          0      20310          0       1047      56,55       1,25       25,4       1,16      17562       9121        556       8385        180        425         42          0
 89      23194       5131          0      20616          0       1059      56,56       1,25       25,5       1,15      17658       9138        560       8398        180        405         41          0
 90      23103       4911          0      20909          0       1077      56,57       1,25       25,5       1,15      17733       9154        562       8412        180        394         36          0
 91      23017       4676          0      21226          0       1081      56,58       1,25       25,5       1,14      17803       9170        556       8434        180        373         36          0
 92      22934       4489          0      21487          0       1090      56,59       1,25       25,5       1,13      17865       9191        560       8451        180        359         33          0
 93      22851       4272          0      21777          0       1100      56,60       1,25       25,6       1,12      17937       9202        545       8477        180        342         33          0
 94      22768       4072          0      22040          0       1120      56,61       1,25       25,6       1,12      18011       9211        536       8495        180        323         29          0
 95      22696       3874          0      22305          0       1125      56,62       1,24       25,6       1,11      18069       9225        531       8514        180        311         27          0
 96      22618       3710          0      22537          0       1135      56,63       1,24       25,6       1,10      18133       9239        528       8531        180        300         26          0
 97      22544       3571          0      22743          0       1142      56,64       1,24       25,6       1,10      18194       9252        520       8552        180        290         25          0
 98      22481       3405          0      22967          0       1147      56,65       1,24       25,6       1,09      18245       9264        506       8578        180        283         24          0
 99      22421       3244          0      23180          0       1155      56,66       1,24       25,7       1,09      18298       9271        483       8608        180        264         21          0
100      22355       3098          0      23382          0       1165      56,67       1,24       25,7       1,08      18351       9284        469       8635        180        255         20          0
