Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
C:\Contagio\50SR_90Asin\s001.log                                 110,18   1 ok
C:\Contagio\50SR_90Asin\s002.log                                  81,66   1 ok
C:\Contagio\50SR_90Asin\s003.log                                 613,08   1 
C:\Contagio\50SR_90Asin\s004.log                                 112,65   1 ok
C:\Contagio\50SR_90Asin\s005.log                                  90,02   1 ok
C:\Contagio\50SR_90Asin\s006.log                                 110,52   1 ok
C:\Contagio\50SR_90Asin\s007.log                                  75,78   1 ok
C:\Contagio\50SR_90Asin\s008.log                                  64,21   1 ok
C:\Contagio\50SR_90Asin\s009.log                                  61,25   1 ok
C:\Contagio\50SR_90Asin\s010.log                                 199,69   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x     151,91  =     303,81
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,32       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         15          0          0          0          0      56,34       0,33        0,0       0,00          1          4          4          0          0          0          0          0
  5      49980         19          0          0          0          0      56,35       0,56        0,0       0,00          1          7          7          0          0          0          0          0
  6      49977         22          0          0          0          0      56,35       0,71        0,0       0,00          2         10         10          0          0          0          0          0
  7      49964         35          0          0          0          0      56,35       0,82        0,7       0,00          3         22         22          0          0          0          0          0
  8      49945         54          0          0          0          0      56,35       0,86        0,7       0,00          4         40         40          0          0          0          0          0
  9      49925         74          0          0          0          0      56,35       0,82        1,5       1,56          6         58         58          0          0          0          0          0
 10      49890        109          0          0          0          0      56,35       0,82        1,5       1,56          9         90         90          0          0          1          0          0
 11      49848        150          0          0          0          0      56,35       0,84        3,4       2,56         13        127        127          0          0          1          0          0
 12      49813        186          0          0          0          0      56,35       0,87        4,6       4,33         20        156        156          0          0          1          0          0
 13      49778        220          0          0          0          0      56,35       0,98        4,6       4,33         30        180        180          0          0          3          0          0
 14      49742        257          0          0          0          0      56,35       1,08        4,5       4,26         46        202        201          0          0          5          0          0
 15      49710        289          0          1          0          0      56,35       1,16        4,3       3,72         61        218        218          0          0          7          0          0
 16      49659        339          0          1          0          0      56,35       1,21        5,4       3,83         78        251        251          0          0         10          1          0
 17      49597        400          0          1          0          0      56,35       1,25        4,9       2,11         99        292        291          1          0         13          1          0
 18      49524        472          0          3          0          0      56,36       1,28       11,1       2,16        122        343        341          1          0         16          2          0
 19      49426        569          0          4          0          0      56,35       1,27       11,1       2,12        148        415        412          2          0         20          2          0
 20      49315        679          0          5          0          0      56,35       1,27       11,4       2,66        180        494        491          3          0         22          2          0
 21      49186        805          0          7          0          0      56,36       1,27       11,4       2,82        215        587        582          5          0         25          3          0
 22      49036        953          0          9          0          0      56,35       1,28       12,2       2,79        254        698        692          6          0         29          3          0
 23      48847       1139          0         13          0          0      56,35       1,28       12,6       2,47        302        840        831          8          0         33          4          0
 24      48605       1376          0         16          0          0      56,35       1,27       12,7       2,13        364       1019       1008         11          0         40          5          0
 25      48360       1616          0         21          0          1      56,35       1,27       12,7       2,27        430       1198       1182         15          0         50          6          0
 26      48079       1892          0         27          0          1      56,35       1,28       13,3       2,23        512       1398       1378         19          0         59          7          0
 27      47732       2233          0         33          0          1      56,35       1,28       13,9       2,42        610       1647       1622         24          1         71          8          0
 28      47372       2582          0         43          0          2      56,35       1,28       14,9       2,50        727       1890       1858         31          1         84         10          0
 29      46967       2977          0         52          0          2      56,35       1,28       15,5       2,58        858       2163       2124         37          1        103         12          0
 30      46538       3396          0         62          0          2      56,35       1,28       15,7       2,55        998       2453       2406         46          1        124         13          0
 31      46061       3859          0         75          0          3      56,35       1,29       16,0       2,60       1174       2754       2696         56          1        148         17          0
 32      45550       4349          0         95          0          4      56,35       1,30       16,7       2,55       1368       3071       3000         68          2        174         18          0
 33      44994       4884          0        116          0          5      56,35       1,30       16,9       2,52       1576       3419       3332         84          2        208         22          0
 34      44352       5501          0        139          0          6      56,35       1,31       17,0       2,44       1817       3819       3714        101          3        241         27          0
 35      43668       6152          0        171          0          7      56,35       1,32       17,2       2,49       2076       4245       4115        126          4        279         31          0
 36      42954       6828          0        206          0         10      56,35       1,32       17,3       2,48       2359       4675       4514        154          6        317         34          0
 37      42180       7560          0        246          0         12      56,35       1,32       17,4       2,47       2682       5126       4934        185          7        355         37          0
 38      41397       8291          0        296          0         14      56,34       1,32       17,7       2,47       3019       5572       5340        224          8        401         43          0
 39      40615       9008          0        359          0         17      56,34       1,32       17,9       2,46       3385       5989       5707        272         10        453         49          0
 40      39800       9755          0        423          0         20      56,35       1,33       18,0       2,47       3779       6410       6078        319         12        506         53          0
 41      39013      10454          0        507          0         24      56,35       1,33       18,2       2,47       4200       6775       6380        380         14        570         59          0
 42      38283      11088          0        598          0         29      56,35       1,33       18,4       2,39       4631       7074       6610        447         16        630         65          0
 43      37568      11701          0        696          0         34      56,35       1,34       18,5       2,34       5083       7338       6801        517         19        698         71          0
 44      36890      12252          0        816          0         41      56,35       1,34       18,5       2,34       5550       7549       6928        597         23        761         77          0
 45      36227      12772          0        950          0         49      56,35       1,34       18,7       2,32       6029       7732       7015        690         27        818         81          0
 46      35596      13250          0       1096          0         57      56,35       1,34       18,8       2,30       6507       7886       7064        790         31        884         89          0
 47      34977      13687          0       1268          0         65      56,35       1,35       19,0       2,26       6996       8015       7068        911         35        948         95          0
 48      34414      14057          0       1451          0         77      56,35       1,35       19,2       2,24       7457       8118       7047       1030         40       1001         99          0
 49      33837      14420          0       1651          0         91      56,35       1,35       19,3       2,21       7950       8202       6986       1169         47       1044        104          0
 50      33301      14699          0       1895          0        102      56,35       1,35       19,6       2,18       8421       8266       6878       1336         52       1079        108          0
 51      32772      14956          0       2155          0        114      56,35       1,35       19,8       2,15       8892       8325       6764       1502         58       1123        111          0
 52      32267      15159          0       2443          0        128      56,36       1,35       20,0       2,13       9348       8373       6615       1694         63       1156        115          0
 53      31775      15305          0       2774          0        144      56,36       1,34       20,2       2,08       9802       8412       6432       1911         69       1185        118          0
 54      31295      15405          0       3137          0        161      56,36       1,34       20,5       2,05      10249       8445       6225       2144         75       1208        121          0
 55      30843      15454          0       3524          0        178      56,36       1,34       20,8       2,03      10672       8474       5992       2399         82       1227        124          0
 56      30405      15461          0       3936          0        196      56,37       1,34       21,0       2,00      11089       8494       5744       2661         89       1233        125          0
 57      29989      15419          0       4375          0        216      56,37       1,33       21,3       1,96      11488       8512       5481       2935         95       1236        127          0
 58      29588      15308          0       4862          0        240      56,37       1,33       21,6       1,93      11871       8530       5190       3235        104       1240        126          0
 59      29208      15153          0       5376          0        262      56,37       1,33       21,8       1,90      12238       8543       4892       3541        109       1237        126          0
 60      28833      14974          0       5904          0        287      56,38       1,32       22,1       1,86      12595       8560       4593       3851        116       1233        126          0
 61      28479      14747          0       6459          0        314      56,38       1,32       22,3       1,83      12935       8575       4285       4166        123       1216        123          0
 62      28134      14478          0       7046          0        340      56,38       1,32       22,6       1,79      13263       8592       3971       4492        128       1202        121          0
 63      27805      14174          0       7653          0        366      56,38       1,31       22,8       1,76      13578       8606       3652       4821        132       1181        118          0
 64      27481      13850          0       8274          0        394      56,39       1,31       23,0       1,72      13884       8624       3340       5146        137       1154        114          0
