--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.3.3
08/04/2020 02:50:27
--------------------------------------------------------------------------------------------------
Prefijo 50SR_90Asin2
Número de hilos                              10
Semilla población                           994
Semilla simulación                        1.009
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              5,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       20,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       50,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69      800,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      500,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         15          0          0          0          0      56,34       0,48        0,0       0,00          0          4          4          0          0          0          0          0
  5      49979         21          0          0          0          0      56,34       0,73        0,0       0,00          1          9          9          0          0          0          0          0
  6      49974         26          0          0          0          0      56,34       0,81        0,0       0,00          2         13         13          0          0          0          0          0
  7      49961         38          0          0          0          0      56,34       0,85        0,0       0,00          3         25         25          0          0          0          0          0
  8      49942         58          0          0          0          0      56,34       0,83        0,0       0,00          6         41         41          0          0          0          0          0
  9      49921         78          0          0          0          0      56,34       0,83        0,0       0,00          8         59         59          0          0          0          0          0
 10      49884        115          0          0          0          0      56,34       0,85        0,0       0,00         13         92         92          0          0          1          0          0
 11      49842        157          0          0          0          0      56,34       0,85        0,0       0,00         19        128        128          0          0          2          0          0
 12      49814        185          0          0          0          0      56,35       0,89        0,0       0,00         25        150        150          0          0          3          0          0
 13      49777        222          0          0          0          0      56,34       0,94        2,1       0,20         36        176        176          0          0          4          0          0
 14      49742        256          0          0          0          0      56,34       1,03        3,4       0,35         47        199        199          0          0          6          0          0
 15      49702        296          0          0          0          0      56,34       1,09        3,9       1,23         65        221        221          0          0          9          1          0
 16      49641        357          0          0          0          0      56,34       1,16        3,9       1,23         83        265        264          0          0         13          1          0
 17      49577        421          0          1          0          0      56,35       1,22        6,3       2,05        103        309        308          0          0         18          2          0
 18      49501        495          0          2          0          0      56,35       1,25        8,7       1,86        125        362        361          1          0         21          2          0
 19      49395        601          0          3          0          0      56,35       1,25        9,6       1,87        155        439        437          2          0         25          3          0
 20      49269        725          0          4          0          0      56,35       1,27       10,2       1,94        187        533        530          3          0         28          3          0
 21      49123        869          0          6          0          0      56,35       1,26       11,5       2,36        221        645        641          4          0         32          4          0
 22      48952       1037          0          9          0          0      56,35       1,26       11,8       2,28        264        773        766          6          0         37          5          0
 23      48751       1236          0         12          0          0      56,35       1,26       12,7       2,60        318        920        912          8          0         44          5          0
 24      48519       1463          0         15          0          0      56,35       1,26       13,5       3,09        379       1090       1079         10          0         51          6          0
 25      48256       1722          0         20          0          0      56,35       1,26       13,7       3,21        453       1280       1265         14          0         62          7          0
 26      47946       2026          0         26          0          1      56,35       1,26       14,0       2,96        539       1504       1485         18          0         75          9          0
 27      47599       2367          0         32          0          1      56,35       1,26       14,4       2,87        638       1752       1728         22          0         89         10          0
 28      47217       2740          0         40          0          1      56,34       1,27       14,9       2,85        757       2014       1985         28          0        107         12          0
 29      46780       3168          0         49          0          1      56,34       1,28       15,2       2,85        898       2310       2274         35          0        126         14          0
 30      46314       3621          0         62          0          1      56,34       1,29       15,5       2,73       1056       2618       2571         45          1        147         16          0
 31      45779       4141          0         76          0          2      56,34       1,30       15,7       2,59       1235       2975       2916         56          1        173         18          0
 32      45181       4717          0         98          0          3      56,34       1,30       16,5       2,61       1439       3370       3297         70          1        202         21          0
 33      44542       5334          0        118          0          4      56,34       1,31       16,6       2,62       1667       3780       3692         85          2        234         24          0
 34      43849       5999          0        145          0          5      56,34       1,31       16,6       2,59       1924       4216       4107        105          3        269         28          0
 35      43110       6707          0        174          0          7      56,34       1,32       16,9       2,60       2214       4664       4531        129          3        310         32          0
 36      42335       7443          0        213          0          8      56,34       1,32       17,1       2,55       2530       5124       4959        160          5        354         36          0
 37      41546       8186          0        256          0         11      56,34       1,33       17,3       2,52       2868       5575       5378        191          6        406         40          0
 38      40732       8942          0        309          0         14      56,34       1,33       17,5       2,50       3230       6027       5785        233          8        461         46          0
 39      39892       9720          0        370          0         16      56,34       1,33       17,8       2,41       3625       6472       6184        277         10        520         53          0
 40      39069      10466          0        443          0         20      56,34       1,34       18,1       2,43       4050       6869       6526        330         12        577         59          0
 41      38265      11180          0        528          0         26      56,35       1,34       18,4       2,39       4497       7226       6819        391         16        635         64          0
 42      37501      11836          0        630          0         31      56,35       1,34       18,6       2,36       4961       7526       7042        465         18        696         70          0
 43      36765      12465          0        731          0         38      56,35       1,35       18,7       2,35       5445       7779       7219        537         22        764         78          0
 44      36074      13022          0        859          0         43      56,35       1,35       18,8       2,31       5939       7975       7321        629         24        831         84          0
 45      35413      13540          0        995          0         51      56,35       1,35       18,9       2,29       6441       8135       7381        725         28        903         89          0
 46      34790      13999          0       1151          0         58      56,35       1,35       19,0       2,27       6949       8250       7386        831         32        970         95          0
 47      34208      14394          0       1329          0         68      56,35       1,35       19,2       2,23       7454       8327       7334        955         37       1032        103          0
 48      33663      14719          0       1536          0         80      56,35       1,35       19,4       2,21       7946       8380       7236       1100         43       1096        110          0
 49      33148      14988          0       1772          0         90      56,35       1,36       19,6       2,19       8425       8416       7107       1261         47       1139        114          0
 50      32651      15215          0       2030          0        102      56,35       1,35       19,9       2,16       8896       8442       6953       1435         53       1182        119          0
 51      32161      15401          0       2320          0        116      56,36       1,35       20,1       2,13       9366       8462       6767       1634         59       1219        124          0
 52      31683      15549          0       2634          0        132      56,36       1,35       20,4       2,09       9825       8480       6569       1843         67       1250        127          0
 53      31206      15671          0       2974          0        146      56,36       1,35       20,6       2,06      10288       8495       6352       2070         72       1271        130          0
 54      30764      15709          0       3362          0        163      56,36       1,35       20,8       2,02      10715       8509       6108       2323         78       1286        129          0
 55      30329      15712          0       3776          0        181      56,36       1,34       21,1       1,99      11135       8525       5850       2590         84       1298        130          0
 56      29911      15664          0       4224          0        200      56,36       1,34       21,3       1,95      11540       8538       5578       2870         89       1299        129          0
 57      29512      15554          0       4711          0        221      56,37       1,34       21,6       1,91      11925       8552       5282       3171         97       1301        131          0
 58      29125      15403          0       5229          0        242      56,37       1,33       21,9       1,88      12296       8568       4973       3491        103       1299        130          0
 59      28740      15226          0       5766          0        265      56,37       1,33       22,1       1,85      12666       8582       4664       3808        109       1287        129          0
 60      28386      14985          0       6336          0        291      56,37       1,32       22,4       1,82      13007       8596       4344       4137        114       1271        128          0
 61      28039      14731          0       6909          0        319      56,37       1,32       22,6       1,79      13336       8614       4033       4459        120       1255        126          0
 62      27711      14402          0       7536          0        349      56,38       1,32       22,8       1,75      13648       8629       3693       4808        127       1230        123          0
 63      27387      14049          0       8186          0        376      56,38       1,31       23,1       1,72      13957       8644       3350       5162        132       1202        119          0
 64      27082      13672          0       8838          0        406      56,38       1,31       23,3       1,68      14244       8662       3023       5501        137       1168        114          0
 65      26799      13247          0       9516          0        436      56,39       1,31       23,5       1,65      14509       8680       2696       5842        141       1134        112          0
 66      26518      12800          0      10214          0        467      56,39       1,30       23,7       1,61      14772       8699       2380       6174        145       1095        108          0
 67      26252      12352          0      10898          0        496      56,40       1,30       23,9       1,58      15019       8718       2076       6491        149       1056        103          0
 68      26008      11883          0      11578          0        529      56,40       1,30       24,1       1,55      15245       8735       1792       6791        151       1013         98          0
 69      25762      11436          0      12240          0        560      56,41       1,29       24,3       1,51      15473       8754       1534       7065        154        976         93          0
 70      25531      10980          0      12897          0        590      56,41       1,29       24,4       1,48      15684       8773       1300       7316        156        940         91          0
 71      25312      10508          0      13554          0        624      56,42       1,28       24,6       1,45      15884       8792       1094       7540        157        898         87          0
 72      25106      10075          0      14161          0        656      56,42       1,28       24,7       1,43      16072       8810        917       7735        158        862         82          0
 73      24922       9628          0      14758          0        690      56,43       1,28       24,8       1,40      16238       8829        778       7891        159        823         80          0
 74      24742       9206          0      15326          0        724      56,43       1,28       24,9       1,37      16399       8847        668       8019        159        788         77          0
 75      24565       8823          0      15856          0        754      56,44       1,27       24,9       1,35      16559       8864        590       8114        160        759         75          0
 76      24399       8455          0      16362          0        783      56,45       1,27       25,0       1,32      16706       8884        531       8191        160        731         72          0
 77      24245       8091          0      16850          0        812      56,46       1,27       25,1       1,30      16842       8902        491       8250        160        697         67          0
 78      24091       7763          0      17305          0        839      56,46       1,27       25,1       1,29      16978       8919        470       8288        161        672         64          0
 79      23944       7442          0      17743          0        869      56,47       1,26       25,2       1,27      17107       8938        459       8317        161        641         61          0
 80      23806       7146          0      18156          0        891      56,48       1,26       25,2       1,25      17228       8955        453       8340        161        619         58          0
 81      23673       6856          0      18555          0        914      56,49       1,26       25,2       1,24      17342       8974        451       8361        161        592         55          0
 82      23550       6550          0      18959          0        939      56,50       1,26       25,3       1,22      17446       8992        453       8377        161        562         53          0
 83      23431       6265          0      19341          0        961      56,51       1,26       25,3       1,21      17546       9011        456       8393        161        536         50          0
 84      23315       5984          0      19717          0        982      56,52       1,26       25,3       1,19      17643       9030        459       8409        161        516         48          0
 85      23207       5714          0      20076          0       1002      56,53       1,25       25,4       1,18      17735       9047        459       8426        161        493         47          0
 86      23107       5452          0      20420          0       1019      56,54       1,25       25,4       1,17      17817       9065        461       8442        161        474         45          0
 87      23006       5209          0      20748          0       1035      56,55       1,25       25,4       1,16      17899       9084        465       8457        161        453         44          0
 88      22906       4973          0      21069          0       1050      56,56       1,25       25,5       1,15      17981       9102        467       8473        161        432         42          0
