--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.3.3
07/04/2020 20:34:00
--------------------------------------------------------------------------------------------------
Prefijo 50SR_90Asin2
Número de hilos                              10
Semilla población                           994
Semilla simulación                        1.010
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              5,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                  10,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            3 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       20,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       50,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69      800,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      500,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,39       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49971         29          0          0          0          0      56,36       0,19        0,0       0,00          1         18         18          0          0          0          0          0
  5      49950         50          0          0          0          0      56,35       0,21        0,0       0,00          3         37         37          0          0          0          0          0
  6      49933         67          0          0          0          0      56,35       0,20        0,0       0,00          3         54         54          0          0          0          0          0
  7      49907         93          0          0          0          0      56,37       0,41        0,0       0,00          3         80         80          0          0          0          0          0
  8      49871        129          0          0          0          0      56,36       0,46        0,0       0,00         10        109        109          0          0          0          0          0
  9      49836        164          0          0          0          0      56,36       0,56        0,0       0,00         16        138        138          0          0          0          0          0
 10      49776        224          0          0          0          0      56,38       0,90        0,0       0,00         27        187        187          0          0          1          0          0
 11      49718        282          0          0          0          0      56,38       0,92        0,0       0,00         41        231        231          0          0          4          0          0
 12      49664        336          0          0          0          0      56,38       0,99        0,0       0,00         55        271        271          0          0          6          0          0
 13      49609        390          0          1          0          0      56,37       1,01        9,0       1,00         74        307        306          1          0         10          0          0
 14      49529        469          0          2          0          0      56,36       1,06        8,5       0,50         87        374        372          2          0         12          0          0
 15      49445        551          0          4          0          0      56,35       1,11        6,5       0,75        110        435        431          4          0         16          2          0
 16      49333        663          0          4          0          0      56,35       1,16        6,5       0,75        137        520        516          4          0         20          3          0
 17      49209        787          0          4          0          0      56,35       1,15        6,5       0,75        169        612        608          4          0         28          3          0
 18      49087        906          0          7          0          0      56,35       1,19        6,7       0,57        209        694        687          7          0         36          5          0
 19      48886       1106          0          8          0          0      56,35       1,19        7,1       0,50        265        839        831          8          0         45          5          0
 20      48600       1390          0         10          0          0      56,35       1,20        8,5       1,70        325       1065       1056          9          0         55          7          0
 21      48348       1641          0         11          0          0      56,35       1,17        9,5       1,73        381       1261       1252          9          0         62          8          0
 22      47999       1986          0         15          0          0      56,35       1,19       10,7       1,33        459       1532       1520         12          0         74         10          0
