Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
\\PABLO\Articulos\Contagio\50SR_90Asin\s001.log                   86,94   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s002.log                   67,81   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s003.log                  555,09   1 
\\PABLO\Articulos\Contagio\50SR_90Asin\s004.log                   89,71   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s005.log                   79,65   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s006.log                   86,39   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s007.log                   43,57   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s008.log                   39,91   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s009.log                   36,13   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin\s010.log                  208,92   1 
\\PABLO\Articulos\Contagio\50SR_90Asin2\s001.log                 107,73   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s002.log                  54,64   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s003.log                  60,46   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s004.log                  58,14   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s005.log                  43,13   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s006.log                  47,36   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s007.log                  33,91   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s008.log                  45,99   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s009.log                  97,61   1 ok
\\PABLO\Articulos\Contagio\50SR_90Asin2\s010.log                  48,49   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      94,58  =     189,16
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,34       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         15          0          0          0          0      56,34       0,42        0,0       0,00          1          4          4          0          0          0          0          0
  5      49979         20          0          0          0          0      56,34       0,67        0,0       0,00          1          8          8          0          0          0          0          0
  6      49974         25          0          0          0          0      56,34       0,78        0,0       0,00          2         12         12          0          0          0          0          0
  7      49961         38          0          0          0          0      56,34       0,83        0,3       0,00          3         25         25          0          0          0          0          0
  8      49941         58          0          0          0          0      56,34       0,81        0,3       0,00          5         43         43          0          0          0          0          0
  9      49919         80          0          0          0          0      56,34       0,80        0,8       0,78          7         62         62          0          0          0          0          0
 10      49881        118          0          0          0          0      56,34       0,80        0,8       0,78         11         96         96          0          0          1          0          0
 11      49837        162          0          0          0          0      56,34       0,81        1,7       1,28         17        134        134          0          0          2          0          0
 12      49804        195          0          0          0          0      56,35       0,85        2,3       2,17         23        161        161          0          0          2          0          0
 13      49767        232          0          0          0          0      56,34       0,93        3,5       2,28         35        187        187          0          0          4          0          0
 14      49729        270          0          0          0          0      56,34       1,02        4,1       2,32         49        211        211          0          0          6          0          0
 15      49691        307          0          1          0          0      56,34       1,10        4,3       2,54         66        231        231          0          0          8          0          0
 16      49633        365          0          1          0          0      56,34       1,17        4,9       2,60         85        271        270          0          0         12          1          0
 17      49567        431          0          1          0          0      56,35       1,22        5,9       2,19        106        315        315          0          0         16          2          0
 18      49490        506          0          3          0          0      56,35       1,26        9,5       2,06        130        369        367          1          0         20          2          0
 19      49383        612          0          4          0          0      56,35       1,26        9,9       2,04        159        447        444          2          0         24          2          0
 20      49258        735          0          5          0          0      56,35       1,27       10,4       2,35        192        538        534          3          0         27          3          0
 21      49114        878          0          7          0          0      56,35       1,26       11,1       2,67        229        647        641          5          0         30          4          0
 22      48944       1045          0          9          0          0      56,35       1,27       11,6       2,63        271        773        766          6          0         35          4          0
 23      48738       1247          0         13          0          0      56,35       1,27       12,3       2,65        325        925        916          8          0         40          5          0
