--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 11:47:10
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_15_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.870
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            2 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,54       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49990         10          0          0          0          0      53,68       0,28        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  5      49986         14          0          0          0          0      53,66       0,26        0,0       0,00          1          3          3          0          0          0          0          0          3          0          0       0,00
  6      49984         16          0          0          0          0      53,66       0,31        0,0       0,00          2          4          4          0          0          0          0          0          4          0          0       0,00
  7      49984         16          0          0          0          0      53,69       0,27        0,0       0,00          2          4          4          0          0          0          0          0          4          0          0       0,00
  8      49979         21          0          0          0          0      53,68       0,44        0,0       0,00          3          8          8          0          0          0          1          0          7          0          0       0,00
  9      49971         29          0          0          0          0      53,68       0,52        0,0       0,00          5         14         14          0          0          0          1          0         11          0          0       0,00
 10      49966         34          0          0          0          0      53,69       0,58        0,0       0,00          6         18         18          0          0          0          1          0         14          0          0       0,00
 11      49953         47          0          0          0          0      53,69       0,67        0,0       0,00         10         27         27          0          0          0          1          0         21          0          0       0,00
 12      49941         59          0          0          0          0      53,69       0,62        0,0       0,00         11         38         38          0          0          0          3          1         24          0          0       0,00
 13      49922         78          0          0          0          0      53,69       0,61        0,0       0,00         14         54         54          0          0          0          4          1         28          0          0       0,00
 14      49900        100          0          0          0          0      53,68       0,60        0,0       0,00         19         71         71          0          0          0          4          1         38          0          0       0,00
 15      49867        132          0          1          0          0      53,69       0,55       14,0       2,00         26         97         97          0          0          0          7          1         53          0          0       0,00
 16      49841        158          0          1          0          0      53,69       0,57       14,0       2,00         31        118        118          0          0          0         11          1         68          0          0       0,00
 17      49804        195          0          1          0          0      53,70       0,56       14,0       2,00         35        151        151          0          0          0         14          1         89          0          0       0,00
 18      49767        232          0          1          0          0      53,69       0,61       14,0       2,00         43        180        180          0          0          0         21          1        104          0          0       0,00
 19      49729        270          0          1          0          0      53,69       0,65       14,0       2,00         57        204        204          0          0          0         24          1        118          0          0       0,00
 20      49689        308          0          3          0          0      53,68       0,66       10,7       3,67         64        237        235          2          0          0         28          1        140          0          0       0,00
