--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 11:47:05
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_15_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.224
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            5 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,49       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,48       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,47       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49980         20          0          0          0          0      53,50       0,42        0,0       0,00          5          5          5          0          0          0          0          0          8          0          0       0,00
  5      49979         21          0          0          0          0      53,51       0,51        0,0       0,00          5          6          6          0          0          0          0          0          8          0          0       0,00
  6      49975         25          0          0          0          0      53,51       0,54        0,0       0,00          6          9          9          0          0          0          0          0         11          0          0       0,00
  7      49964         36          0          0          0          0      53,54       0,53        0,0       0,00          8         18         18          0          0          0          0          0         14          0          0       0,00
  8      49957         43          0          0          0          0      53,54       0,61        0,0       0,00          9         24         24          0          0          0          0          0         17          0          0       0,00
  9      49936         64          0          0          0          0      53,55       0,54        0,0       0,00          9         45         45          0          0          0          0          0         32          0          0       0,00
 10      49911         89          0          0          0          0      53,57       0,54        0,0       0,00         13         66         66          0          0          0          0          0         43          0          0       0,00
 11      49883        116          0          1          0          0      53,57       0,52        7,0       4,00         16         91         90          1          0          0          7          1         56          1          0       4,00
 12      49813        186          0          1          0          0      53,57       0,46        7,0       4,00         18        159        158          1          0          0          7          1         96          1          0       4,00
 13      49761        238          0          1          0          0      53,58       0,44        7,0       4,00         20        209        208          1          0          0         10          1        131          1          0       4,00
 14      49695        304          0          1          0          0      53,58       0,45        7,0       4,00         28        267        266          1          0          0         13          1        166          1          0       4,00
 15      49641        358          0          1          0          0      53,59       0,49        7,0       4,00         34        315        314          1          0          0         16          1        190          1          0       4,00
 16      49570        429          0          1          0          0      53,60       0,49        7,0       4,00         47        373        372          1          0          0         31          2        217          1          0       4,00
 17      49488        510          0          2          0          0      53,60       0,53        9,0       5,50         71        431        429          2          0          0         42          3        263          1          0       4,00
 18      49403        594          0          3          0          0      53,61       0,55        9,0       6,33         93        494        491          3          0          0         55          4        301          2          0       6,00
 19      49315        680          0          5          0          0      53,62       0,58       10,2       4,40        112        563        559          4          0          0         95          8        349          3          0       5,00
 20      49202        792          0          6          0          0      53,62       0,61       11,2       3,83        135        653        649          4          0          0        128         11        412          4          0       4,00
