Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_30_25_15_a\s001.log                                26,54   1 ok
F:\Contagio\50_30_25_15_a\s002.log                                47,74   1 ok
F:\Contagio\50_30_25_15_a\s003.log                                21,89   1 ok
F:\Contagio\50_30_25_15_a\s004.log                                51,02   1 ok
F:\Contagio\50_30_25_15_a\s005.log                                32,33   1 ok
F:\Contagio\50_30_25_15_a\s006.log                                81,56   1 ok
F:\Contagio\50_30_25_15_a\s007.log                                26,33   1 ok
F:\Contagio\50_30_25_15_a\s008.log                                45,50   1 ok
F:\Contagio\50_30_25_15_a\s009.log                                29,16   1 ok
F:\Contagio\50_30_25_15_a\s010.log                                29,83   1 ok
F:\Contagio\50_30_25_15_a\s011.log                               227,32   1 
F:\Contagio\50_30_25_15_a\s012.log                                19,34   1 ok
F:\Contagio\50_30_25_15_a\s013.log                                15,83   1 ok
F:\Contagio\50_30_25_15_a\s014.log                                 9,13   1 ok
F:\Contagio\50_30_25_15_a\s015.log                                38,04   1 ok
F:\Contagio\50_30_25_15_b\s001.log                                12,74   1 ok
F:\Contagio\50_30_25_15_b\s002.log                                91,70   1 ok
F:\Contagio\50_30_25_15_b\s003.log                                19,59   1 ok
F:\Contagio\50_30_25_15_b\s004.log                                57,37   1 ok
F:\Contagio\50_30_25_15_b\s005.log                                33,22   1 ok
F:\Contagio\50_30_25_15_b\s006.log                                43,39   1 ok
F:\Contagio\50_30_25_15_b\s007.log                                46,50   1 ok
F:\Contagio\50_30_25_15_b\s008.log                                27,53   1 ok
F:\Contagio\50_30_25_15_b\s009.log                                32,80   1 ok
F:\Contagio\50_30_25_15_b\s010.log                                17,74   1 ok
F:\Contagio\50_30_25_15_b\s011.log                                59,32   1 ok
F:\Contagio\50_30_25_15_b\s012.log                                54,66   1 ok
F:\Contagio\50_30_25_15_b\s013.log                                48,25   1 ok
F:\Contagio\50_30_25_15_b\s014.log                                 8,37   1 ok
F:\Contagio\50_30_25_15_b\s015.log                               233,20   1 
------------------------------------------------------------ ---------- --- --
                                           2 x      49,60  =      99,20
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49984         15          0          0          0          0      53,64       0,30        0,0       0,00          1          4          4          0          0          0          0          0          5          0          0       0,00
  5      49979         20          0          0          0          0      53,64       0,41        0,0       0,00          1          8          8          0          0          0          0          0          8          0          0       0,00
  6      49974         25          0          0          0          0      53,64       0,45        0,0       0,00          2         12         12          0          0          0          0          0         11          0          0       0,00
  7      49962         37          0          0          0          0      53,64       0,50        0,0       0,00          3         24         24          0          0          0          0          0         19          0          0       0,00
  8      49946         53          0          0          0          0      53,63       0,52        0,3       0,18          5         38         38          0          0          0          1          0         28          0          0       0,00
  9      49932         67          0          0          0          0      53,63       0,51        0,5       0,18          6         51         51          0          0          0          1          0         37          0          0       0,00
 10      49913         86          0          0          0          0      53,63       0,53        0,9       0,39          9         67         67          0          0          0          1          0         45          0          0       0,00
 11      49887        112          0          0          0          0      53,63       0,53        1,5       0,54         12         89         89          0          0          0          5          0         57          0          0       0,14
 12      49856        143          0          0          0          0      53,64       0,52        1,5       0,54         16        117        117          0          0          0          7          0         72          0          0       0,14
 13      49816        182          0          0          0          0      53,63       0,53        1,5       0,54         21        151        151          0          0          0         10          1         92          0          0       0,14
 14      49770        229          0          0          0          0      53,63       0,54        3,0       0,79         29        190        190          0          0          0         19          2        115          0          0       0,25
 15      49718        280          0          1          0          0      53,63       0,55        6,3       1,59         38        233        232          0          0          0         28          3        140          0          0       0,79
 16      49659        338          0          1          0          0      53,63       0,56        8,4       2,15         49        280        279          0          0          0         36          3        171          0          0       1,16
 17      49597        400          0          2          0          0      53,63       0,57        9,3       2,57         65        327        326          1          0          0         44          4        206          1          0       1,56
 18      49527        469          0          2          0          0      53,63       0,60        9,7       2,73         82        380        378          1          0          0         56          5        245          1          0       1,75
 19      49453        542          0          3          0          0      53,63       0,62       10,5       2,57        102        433        431          2          0          0         70          6        289          2          0       1,89
 20      49366        628          0          4          0          0      53,63       0,64       11,2       2,80        125        497        494          2          0          0         89          8        344          2          0       1,96
 21      49264        729          0          6          0          0      53,63       0,66       11,4       3,02        153        572        568          3          0          0        112         10        409          3          0       1,84
 22      49145        846          0          8          0          0      53,63       0,67       12,2       3,11        184        659        654          5          0          0        137         12        487          3          0       1,87
