--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.11
22/04/2020 07:08:51
--------------------------------------------------------------------------------------------------
Carpeta 50_gd
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              4,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.920 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4       0,10     100,00      30,00     100,00    80   120       4,00        2.000          4,0           40
menor                 1   5  19       0,02     100,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64       5,00     100,00      30,00      99,00    80   120      62,00       31.000         62,0          100
jubilado              3  65  69      20,00     100,00      30,00      92,00    80   120       5,00        2.500          5,0           70
mayor                 4  70 150      20,00     100,00      30,00      83,00    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49981         18          0          0          0          0      53,61       0,51        0,0       0,00          0          7          7          0          0          0          0          0          0          0          0       0,00
  5      49972         27          0          0          0          0      53,62       0,65        0,1       0,33          1         15         15          0          0          0          0          0          0          0          0       0,00
  6      49964         35          0          0          0          0      53,62       0,64        0,1       0,33          2         22         22          0          0          0          0          0          1          0          0       0,00
  7      49933         66          0          0          0          0      53,62       0,66        0,3       0,93          4         52         52          0          0          0          0          0          2          0          0       0,00
  8      49891        108          0          0          0          0      53,62       0,68        0,3       0,93          6         92         92          0          0          0          0          0          4          0          0       0,00
  9      49848        151          0          0          0          0      53,62       0,66        0,3       0,93          9        131        131          0          0          0          0          0          7          0          0       0,00
 10      49799        200          0          0          0          0      53,62       0,73        1,1       1,10         15        175        175          0          0          0          0          0          9          0          0       0,00
 11      49761        238          0          0          0          0      53,62       0,81        1,1       1,10         26        202        202          0          0          0          0          0         11          0          0       0,00
 12      49728        271          0          0          0          0      53,62       0,92        1,5       1,37         40        220        220          0          0          0          0          0         13          0          0       0,00
 13      49688        310          0          0          0          0      53,62       1,02        1,9       1,32         58        243        242          0          0          0          1          0         15          0          0       0,00
 14      49634        365          0          0          0          0      53,62       1,10        3,9       1,92         79        275        275          0          0          0          2          0         18          0          0       0,00
 15      49566        432          0          1          0          0      53,62       1,16        5,5       2,42        102        321        320          0          0          0          4          0         22          0          0       0,00
 16      49469        528          0          1          0          0      53,62       1,18        8,5       3,22        129        391        389          1          0          0          7          0         27          0          0       0,00
 17      49333        663          0          2          0          0      53,62       1,18       10,1       4,04        160        495        493          1          0          0          9          0         34          0          0       0,00
 18      49148        847          0          4          0          0      53,62       1,16       10,5       2,76        196        645        642          2          0          0         11          1         44          0          0       0,07
 19      48911       1082          0          5          0          0      53,62       1,14       10,7       2,83        238        839        834          4          0          0         13          1         57          0          0       0,08
 20      48602       1390          0          7          0          0      53,62       1,12       10,8       2,76        296       1091       1085          5          0          0         15          1         74          0          0       0,65
 21      48240       1749          0         10          0          0      53,62       1,10       11,4       2,70        370       1379       1371          7          0          0         18          1         91          0          0       0,67
 22      47830       2156          0         13          0          0      53,62       1,09       11,6       2,63        459       1699       1689         10          0          0         21          2        112          0          0       1,04
 23      47358       2622          0         18          0          0      53,62       1,10       12,2       2,55        574       2057       2042         14          0          0         26          2        137          0          0       1,09
 24      46835       3139          0         25          0          0      53,62       1,10       13,3       2,56        712       2442       2422         19          0          0         33          3        164          1          0       1,28
 25      46249       3718          0         31          0          0      53,62       1,11       13,3       2,63        883       2856       2832         24          0          0         42          4        196          1          0       1,68
 26      45590       4367          0         42          0          0      53,62       1,12       13,6       2,67       1084       3315       3283         32          0          0         55          5        231          1          0       1,62
 27      44825       5120          0         53          0          0      53,62       1,13       14,1       2,64       1330       3833       3792         41          0          0         71          6        272          2          0       2,16
 28      44007       5923          0         69          0          0      53,62       1,14       14,3       2,70       1603       4379       4326         53          0          0         88          8        316          3          0       2,49
 29      43111       6799          0         89          0          0      53,62       1,14       14,5       2,76       1920       4958       4890         68          0          0        108         10        364          4          0       2,36
 30      42149       7738          0        111          0          0      53,62       1,15       14,8       2,73       2280       5559       5473         85          0          0        133         13        419          5          0       2,49
 31      41140       8718          0        140          0          0      53,62       1,15       15,0       2,75       2689       6159       6052        107          0          0        159         16        478          6          0       2,29
 32      40130       9690          0        178          0          0      53,62       1,15       15,8       2,80       3139       6720       6586        133          0          0        189         19        537          8          0       2,39
 33      39141      10637          0        221          0          0      53,62       1,15       15,9       2,78       3634       7214       7047        166          0          0        222         22        595         10          0       2,87
 34      38191      11534          0        273          0          0      53,62       1,16       16,0       2,74       4169       7629       7421        207          0          0        261         27        651         13          0       2,83
 35      37262      12399          0        337          0          0      53,62       1,16       16,1       2,76       4748       7979       7722        256          0          0        303         31        706         16          0       3,10
 36      36375      13210          0        413          0          0      53,62       1,17       16,3       2,79       5360       8254       7939        315          0          0        349         36        762         19          0       3,03
 37      35513      13979          0        505          0          0      53,62       1,17       16,4       2,73       6008       8467       8083        384          0          0        399         42        812         24          0       2,82
 38      34668      14712          0        617          0          1      53,61       1,17       16,7       2,69       6686       8634       8164        469          0          0        453         47        865         30          1       2,67
 39      33839      15410          0        747          0          1      53,61       1,17       17,0       2,63       7379       8771       8202        568          0          0        508         53        916         36          1       2,56
 40      33014      16081          0        902          0          1      53,61       1,17       17,2       2,58       8096       8879       8196        682          0          0        558         57        962         45          1       2,46
 41      32205      16713          0       1078          0          2      53,61       1,17       17,4       2,53       8811       8972       8159        812          0          0        607         61       1009         54          2       2,44
 42      31399      17325          0       1272          0          2      53,61       1,16       17,6       2,49       9542       9048       8096        950          0          0        656         67       1054         64          2       2,35
 43      30587      17912          0       1497          0          3      53,60       1,16       17,8       2,45      10291       9111       8002       1107          1          0        702         71       1097         76          3       2,25
 44      29790      18452          0       1753          0          3      53,60       1,15       18,0       2,42      11031       9168       7884       1282          1          0        745         75       1140         89          3       1,99
 45      28999      18954          0       2041          0          4      53,60       1,14       18,3       2,38      11772       9217       7738       1477          1          0        789         80       1180        103          4       1,86
 46      28216      19410          0       2367          0          5      53,59       1,13       18,5       2,34      12515       9257       7559       1696          1          0        828         84       1216        120          5       1,79
 47      27452      19803          0       2738          0          6      53,59       1,12       18,8       2,30      13245       9292       7345       1944          2          0        864         88       1252        139          6       1,73
 48      26699      20138          0       3154          0          7      53,58       1,11       19,2       2,27      13971       9318       7094       2221          2          0        897         91       1281        162          7       1,68
 49      25956      20409          0       3625          0          8      53,57       1,10       19,5       2,23      14694       9338       6804       2531          2          0        924         94       1303        189          8       1,62
 50      25228      20626          0       4135          0         10      53,57       1,09       19,9       2,20      15407       9353       6488       2861          3          0        949         95       1324        217         10       1,58
 51      24521      20754          0       4711          0         11      53,56       1,08       20,3       2,15      16104       9363       6134       3225          3          0        974         98       1342        248         11       1,51
 52      23843      20817          0       5325          0         13      53,55       1,07       20,6       2,11      16774       9371       5759       3607          4          0        993        100       1354        280         13       1,48
 53      23178      20824          0       5980          0         15      53,54       1,06       21,0       2,07      17434       9376       5372       3999          5          0       1011        102       1363        316         15       1,44
 54      22534      20772          0       6675          0         17      53,53       1,05       21,3       2,04      18076       9379       4975       4398          5          0       1025        104       1368        354         17       1,41
 55      21910      20659          0       7409          0         19      53,52       1,04       21,6       2,00      18698       9381       4565       4809          6          0       1037        106       1369        393         19       1,38
 56      21297      20502          0       8177          0         22      53,51       1,02       22,0       1,96      19310       9382       4150       5224          6          0       1041        106       1367        436         22       1,35
 57      20720      20272          0       8981          0         25      53,50       1,01       22,3       1,92      19885       9383       3735       5641          7          0       1043        106       1358        483         25       1,30
 58      20159      19984          0       9828          0         28      53,49       1,00       22,5       1,88      20446       9384       3317       6059          7          0       1042        106       1345        531         28       1,26
 59      19632      19638          0      10696          0         32      53,47       0,99       22,8       1,85      20972       9385       2910       6466          8          0       1036        105       1329        580         32       1,22
 60      19115      19257          0      11591          0         35      53,46       0,98       23,1       1,81      21488       9386       2507       6869          9          0       1026        105       1310        633         35       1,17
 61      18623      18840          0      12497          0         39      53,45       0,97       23,3       1,77      21979       9386       2129       7247         10          0       1014        103       1287        686         39       1,13
 62      18157      18390          0      13409          0         42      53,43       0,96       23,5       1,73      22444       9387       1775       7601         10          0       1000        102       1262        739         42       1,09
 63      17712      17932          0      14308          0         47      53,42       0,95       23,7       1,69      22889       9387       1452       7923         11          0        984        100       1233        795         47       1,05
 64      17294      17470          0      15183          0         50      53,40       0,94       23,9       1,65      23307       9387       1180       8194         12          0        970         99       1209        845         50       1,03
 65      16889      17012          0      16041          0         56      53,38       0,93       24,0       1,62      23712       9388        957       8417         12          0        952         97       1179        897         56       0,99
 66      16510      16548          0      16880          0         60      53,37       0,93       24,2       1,58      24091       9388        768       8606         13          0        933         95       1149        948         60       0,96
 67      16149      16098          0      17686          0         65      53,35       0,92       24,3       1,55      24452       9388        621       8752         14          0        914         93       1119        999         65       0,93
