--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.11
21/04/2020 23:44:24
--------------------------------------------------------------------------------------------------
Carpeta 50_gd
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          642
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              4,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.920 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4       0,10     100,00      30,00     100,00    80   120       4,00        2.000          4,0           40
menor                 1   5  19       0,02     100,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64       5,00     100,00      30,00      99,00    80   120      62,00       31.000         62,0          100
jubilado              3  65  69      20,00     100,00      30,00      92,00    80   120       5,00        2.500          5,0           70
mayor                 4  70 150      20,00     100,00      30,00      83,00    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,58       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,59       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49980         20          0          0          0          0      53,60       0,28        0,0       0,00          0         10         10          0          0          0          0          0          0          0          0       0,00
  5      49966         34          0          0          0          0      53,60       0,38        0,0       0,00          2         22         22          0          0          0          0          0          1          0          0       0,00
  6      49960         40          0          0          0          0      53,61       0,31        0,0       0,00          2         28         28          0          0          0          0          0          1          0          0       0,00
  7      49922         78          0          0          0          0      53,63       0,29        0,0       0,00          5         63         63          0          0          0          0          0          2          0          0       0,00
  8      49875        125          0          0          0          0      53,65       0,29        0,0       0,00          7        108        108          0          0          0          0          0          3          0          0       0,00
  9      49825        175          0          0          0          0      53,64       0,36        0,0       0,00         10        155        155          0          0          0          0          0          5          0          0       0,00
 10      49777        223          0          0          0          0      53,65       0,47        0,0       0,00         16        197        197          0          0          0          0          0          5          0          0       0,00
 11      49737        263          0          0          0          0      53,64       0,67        0,0       0,00         24        229        229          0          0          0          0          0          7          0          0       0,00
 12      49692        308          0          0          0          0      53,64       0,79        0,0       0,00         46        252        252          0          0          0          1          0         10          0          0       0,00
 13      49641        359          0          0          0          0      53,62       0,90        0,0       0,00         61        288        288          0          0          0          1          0         10          0          0       0,00
 14      49584        416          0          0          0          0      53,62       0,98        0,0       0,00         86        320        320          0          0          0          2          0         10          0          0       0,00
 15      49513        487          0          0          0          0      53,62       1,09        0,0       0,00        103        374        374          0          0          0          3          0         14          0          0       0,00
 16      49393        606          0          1          0          0      53,62       1,13        9,0       2,00        145        452        451          1          0          0          5          1         22          0          0       0,00
 17      49285        714          0          1          0          0      53,63       1,14        9,0       2,00        169        536        535          1          0          0          5          1         29          0          0       0,00
 18      49092        906          0          2          0          0      53,62       1,14        9,0       2,00        203        695        693          2          0          0          7          1         39          0          0       0,00
 19      48826       1170          0          4          0          0      53,63       1,14       11,0       3,00        255        909        905          4          0          0         10          1         62          0          0       0,00
 20      48488       1506          0          6          0          0      53,63       1,13       11,0       2,17        317       1185       1179          6          0          0         10          1         89          0          0       0,00
