Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gd\s001.log                                        50,81   1 ok
F:\Contagio\50_gd\s002.log                                       132,76   1 ok
F:\Contagio\50_gd\s003.log                                        32,08   1 ok
F:\Contagio\50_gd\s004.log                                        44,54   1 ok
F:\Contagio\50_gd\s005.log                                        38,04   1 ok
F:\Contagio\50_gd\s006.log                                        72,24   1 ok
F:\Contagio\50_gd\s007.log                                        27,54   1 ok
F:\Contagio\50_gd\s008.log                                        82,69   1 ok
F:\Contagio\50_gd\s009.log                                       193,11   1 
F:\Contagio\50_gd\s010.log                                       349,82   1 
F:\Contagio\50_gd\s011.log                                       120,30   1 ok
F:\Contagio\50_gd\s012.log                                        54,92   1 ok
F:\Contagio\50_gd\s013.log                                        48,25   1 ok
F:\Contagio\50_gd\s014.log                                       138,57   1 ok
F:\Contagio\50_gd\s015.log                                        71,67   1 ok
F:\Contagio\50_gd\s016.log                                        47,65   1 ok
F:\Contagio\50_gd\s017.log                                        64,55   1 ok
F:\Contagio\50_gd\s018.log                                        61,64   1 ok
F:\Contagio\50_gd\s019.log                                        76,28   1 ok
F:\Contagio\50_gd\s020.log                                       160,42   1 ok
F:\Contagio\50_gd\s021.log                                       115,91   1 ok
F:\Contagio\50_gd\s022.log                                        27,06   1 ok
F:\Contagio\50_gd\s023.log                                       375,97   1 
F:\Contagio\50_gd\s024.log                                        27,36   1 ok
F:\Contagio\50_gd\s025.log                                        20,87   1 ok
F:\Contagio\50_gd\s026.log                                        77,32   1 ok
F:\Contagio\50_gd\s027.log                                        21,68   1 ok
F:\Contagio\50_gd\s028.log                                       107,47   1 ok
F:\Contagio\50_gd\s029.log                                        26,60   1 ok
F:\Contagio\50_gd\s030.log                                        80,85   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      91,63  =     183,26
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49980         19          0          0          0          0      53,61       0,49        0,0       0,00          1          8          8          0          0          0          0          0          0          0          0       0,00
  5      49971         28          0          0          0          0      53,62       0,62        0,1       0,37          1         17         17          0          0          0          0          0          0          0          0       0,00
  6      49961         38          0          0          0          0      53,62       0,59        0,1       0,37          2         25         25          0          0          0          0          0          1          0          0       0,00
  7      49927         72          0          0          0          0      53,62       0,59        0,4       1,04          4         57         57          0          0          0          0          0          3          0          0       0,00
  8      49880        119          0          0          0          0      53,62       0,59        0,4       1,04          6        102        102          0          0          0          0          0          5          0          0       0,00
  9      49833        166          0          0          0          0      53,62       0,57        0,4       1,04         10        145        145          0          0          0          0          0          7          0          0       0,00
 10      49779        220          0          0          0          0      53,62       0,63        1,2       1,22         16        194        193          0          0          0          0          0         10          0          0       0,00
 11      49737        262          0          0          0          0      53,62       0,73        1,2       1,22         28        224        224          0          0          0          0          0         12          0          0       0,00
 12      49702        297          0          0          0          0      53,62       0,86        1,6       1,52         44        243        243          0          0          0          0          0         14          0          0       0,00
 13      49659        340          0          0          0          0      53,62       0,96        1,6       1,28         63        267        267          0          0          0          1          0         17          0          0       0,00
 14      49599        399          0          0          0          0      53,62       1,07        3,8       1,95         87        302        302          0          0          0          3          0         20          0          0       0,00
 15      49525        473          0          1          0          0      53,62       1,13        5,7       2,51        112        352        351          0          0          0          5          0         24          0          0       0,00
 16      49418        579          0          2          0          0      53,62       1,15        8,5       3,31        142        428        427          1          0          0          7          0         29          0          0       0,00
 17      49269        727          0          3          0          0      53,62       1,16       10,3       4,23        176        544        542          2          0          0         10          0         37          0          0       0,00
 18      49065        930          0          4          0          0      53,62       1,14       10,6       2,82        214        709        706          3          0          0         12          1         48          0          0       0,07
 19      48805       1188          0          6          0          0      53,62       1,13       10,7       2,93        261        922        917          4          0          0         14          1         62          0          0       0,09
 20      48464       1526          0          8          0          0      53,62       1,10       11,0       2,91        324       1200       1194          6          0          0         16          1         81          0          0       0,72
 21      48066       1922          0         11          0          0      53,62       1,09       11,6       2,85        405       1518       1509          8          0          0         20          1         99          0          0       0,74
 22      47615       2369          0         14          0          0      53,62       1,08       11,8       2,79        504       1870       1858         11          0          0         23          2        123          0          0       1,15
 23      47097       2882          0         20          0          0      53,62       1,09       12,4       2,70        630       2262       2246         15          0          0         29          2        151          0          0       1,21
 24      46522       3449          0         27          0          0      53,62       1,10       12,7       2,72        782       2684       2663         21          0          0         36          3        180          1          0       1,43
 25      45882       4082          0         34          0          0      53,62       1,11       12,9       2,71        970       3137       3110         26          0          0         46          4        215          1          0       1,86
 26      45164       4789          0         46          0          0      53,62       1,12       13,4       2,68       1190       3634       3599         35          0          0         60          6        253          2          0       1,80
 27      44331       5609          0         59          0          0      53,62       1,13       13,7       2,69       1460       4197       4151         45          0          0         78          7        298          2          0       2,40
 28      43442       6481          0         75          0          0      53,62       1,14       14,1       2,78       1759       4787       4729         58          0          0         96          9        346          3          0       2,76
 29      42469       7432          0         97          0          0      53,62       1,15       14,3       2,79       2106       5413       5338         75          0          0        119         12        398          5          0       2,62
 30      41422       8454          0        122          0          0      53,62       1,15       14,5       2,77       2501       6066       5971         94          0          0        146         14        458          5          0       2,77
 31      40336       9509          0        153          0          0      53,62       1,15       14,8       2,78       2946       6707       6588        118          0          0        174         18        522          7          0       2,47
 32      39253      10550          0        195          0          0      53,62       1,16       15,3       2,84       3435       7300       7153        146          0          0        207         21        584          9          0       2,54
 33      38198      11558          0        242          0          0      53,62       1,16       15,5       2,79       3973       7817       7634        183          0          0        244         25        647         11          0       2,45
 34      37199      12499          0        299          0          0      53,62       1,16       15,6       2,75       4555       8234       8005        228          0          0        286         30        706         14          0       2,41
 35      36233      13395          0        370          0          0      53,62       1,17       15,9       2,76       5182       8574       8291        282          0          0        332         34        764         17          0       2,50
 36      35319      14226          0        452          0          0      53,62       1,17       16,1       2,75       5842       8827       8480        346          0          0        382         40        821         20          0       2,53
 37      34448      14996          0        553          0          0      53,62       1,18       16,3       2,71       6538       9002       8580        422          0          0        437         45        873         27          0       2,31
 38      33602      15719          0        676          0          1      53,61       1,18       16,6       2,67       7265       9122       8606        515          0          0        495         51        926         33          1       2,15
 39      32789      16389          0        819          0          1      53,61       1,18       16,9       2,61       8001       9199       8575        623          0          0        552         57        976         40          1       2,12
 40      31981      17027          0        989          0          1      53,61       1,18       17,3       2,54       8760       9248       8498        748          0          0        607         61       1020         50          1       2,02
 41      31196      17620          0       1181          0          2      53,61       1,17       17,5       2,49       9511       9282       8391        889          0          0        658         66       1066         60          2       2,00
 42      30410      18193          0       1393          0          2      53,61       1,16       17,8       2,45      10273       9306       8263       1041          0          0        709         72       1110         70          2       1,92
 43      29616      18741          0       1638          0          3      53,60       1,16       17,9       2,41      11050       9323       8109       1212          1          0        756         77       1151         83          3       1,89
 44      28838      19239          0       1918          0          3      53,60       1,15       18,2       2,37      11813       9338       7933       1403          1          0        799         81       1193         98          3       1,80
 45      28067      19696          0       2231          0          4      53,59       1,14       18,5       2,33      12572       9350       7733       1615          1          0        842         85       1230        113          4       1,74
 46      27299      20109          0       2585          0          5      53,59       1,13       18,7       2,29      13331       9359       7505       1852          2          0        880         89       1265        132          5       1,71
 47      26555      20450          0       2988          0          6      53,58       1,12       19,1       2,26      14068       9366       7242       2120          2          0        914         93       1298        151          6       1,69
 48      25816      20735          0       3440          0          7      53,58       1,11       19,4       2,22      14801       9372       6948       2421          2          0        944         96       1325        176          7       1,65
 49      25089      20951          0       3949          0          8      53,57       1,09       19,8       2,19      15524       9376       6617       2756          3          0        969         98       1344        205          8       1,59
 50      24375      21113          0       4500          0         10      53,56       1,08       20,2       2,15      16234       9380       6265       3111          3          0        991         99       1362        236         10       1,54
 51      23679      21184          0       5122          0         12      53,56       1,07       20,6       2,10      16927       9382       5876       3502          4          0       1013        102       1376        269         12       1,49
 52      23016      21186          0       5782          0         15      53,55       1,06       21,0       2,07      17589       9384       5468       3910          4          0       1029        104       1385        305         15       1,45
 53      22365      21129          0       6487          0         16      53,54       1,05       21,3       2,03      18238       9385       5050       4329          5          0       1044        106       1389        342         16       1,41
