--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.11
23/04/2020 06:22:39
--------------------------------------------------------------------------------------------------
Carpeta 50_gd_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              2,00 %
Probabilidad contagio clúster              2,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.920 individuos,          487 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4       0,10     100,00      30,00     100,00    80   120       4,00        2.000          4,0           40
menor                 1   5  19       0,02     100,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64       5,00     100,00      30,00      99,00    80   120      62,00       31.000         62,0          100
jubilado              3  65  69      20,00     100,00      30,00      94,00    80   120       5,00        2.500          5,0           70
mayor                 4  70 150      20,00     100,00      30,00      83,00    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49985         14          0          0          0          0      53,61       0,58        0,0       0,00          0          3          3          0          0          0          0          0          0          0          0       0,00
  5      49981         18          0          0          0          0      53,61       0,81        0,1       0,00          1          7          7          0          0          0          0          0          0          0          0       0,00
  6      49976         23          0          0          0          0      53,61       0,87        0,1       0,00          1         11         11          0          0          0          0          0          0          0          0       0,00
  7      49964         35          0          0          0          0      53,62       0,96        0,1       0,00          2         22         22          0          0          0          0          0          1          0          0       0,00
  8      49946         53          0          0          0          0      53,62       0,94        0,1       0,00          3         39         39          0          0          0          0          0          2          0          0       0,00
  9      49926         73          0          0          0          0      53,62       0,91        0,1       0,00          4         59         59          0          0          0          0          0          3          0          0       0,00
 10      49896        103          0          0          0          0      53,62       0,92        0,5       0,10          5         87         87          0          0          0          0          0          4          0          0       0,00
 11      49858        140          0          0          0          0      53,62       0,95        1,6       0,40          8        122        122          0          0          0          0          0          6          0          0       0,07
 12      49819        180          0          0          0          0      53,62       0,99        2,8       0,90         12        157        157          0          0          0          0          0          8          0          0       0,07
 13      49786        213          0          0          0          0      53,62       1,05        3,2       0,90         17        186        185          0          0          0          0          0         10          0          0       0,07
 14      49756        242          0          0          0          0      53,62       1,14        3,7       1,23         24        209        209          0          0          0          1          0         11          0          0       0,07
 15      49728        270          0          0          0          0      53,62       1,23        4,8       1,71         33        228        227          0          0          0          2          0         13          0          0       0,07
 16      49699        298          0          1          0          0      53,62       1,29        6,6       2,26         43        247        246          0          0          0          3          0         15          0          0       0,07
 17      49664        333          0          1          0          0      53,62       1,36        7,7       2,20         55        269        268          0          0          0          4          0         16          0          0       0,07
 18      49626        371          0          2          0          0      53,62       1,40        8,7       2,31         67        296        294          1          0          0          6          0         19          0          0       0,07
 19      49574        421          0          3          0          0      53,62       1,44       10,4       2,53         83        332        330          2          0          0          8          0         22          0          0       0,10
 20      49509        486          0          4          0          0      53,62       1,46       10,8       2,73         99        381        377          3          0          0         10          0         26          0          0       0,08
 21      49430        562          0          6          0          0      53,62       1,47       11,0       2,51        115        443        438          4          0          0         11          1         31          0          0       0,08
 22      49324        666          0          8          0          0      53,62       1,47       11,7       2,50        136        529        523          6          0          0         13          1         37          0          0       0,68
 23      49196        791          0         11          0          0      53,62       1,47       12,7       2,48        158        634        626          8          0          0         14          1         43          0          0       0,81
 24      49044        940          0         14          0          0      53,62       1,45       14,1       2,51        185        759        749         10          0          0         16          1         50          0          0       1,14
 25      48868       1112          0         18          0          0      53,62       1,43       14,6       2,49        215        906        893         13          0          0         18          2         60          0          0       1,35
 26      48664       1311          0         23          0          0      53,62       1,41       15,0       2,54        251       1073       1056         17          0          0         21          2         70          1          0       1,38
 27      48438       1531          0         29          0          0      53,62       1,41       15,2       2,44        293       1257       1235         22          0          0         25          2         83          1          0       1,37
 28      48188       1774          0         37          0          0      53,62       1,41       15,5       2,43        345       1456       1428         28          0          0         30          3         97          1          0       1,38
 29      47911       2042          0         45          0          0      53,62       1,41       15,8       2,35        402       1675       1641         34          0          0         35          3        111          2          0       1,67
 30      47611       2333          0         54          0          0      53,62       1,42       16,2       2,37        468       1909       1866         42          0          0         40          4        129          2          0       1,86
 31      47442       2490          0         66          0          0      53,18       1,39       16,5       2,30        531       2015       1973         42          0          0         48          5        137          3          0       1,81
 32      47257       2658          0         84          0          0      52,78       1,39       17,5       2,37        603       2129       2086         42          0          0         56          6        147          3          0       1,78
 33      47055       2845          0         99          0          0      52,40       1,39       17,6       2,35        682       2252       2209         42          0          0         66          7        157          4          0       1,64
 34      46836       3044          0        118          0          0      52,04       1,40       17,8       2,33        767       2385       2342         42          0          0         78          7        168          5          0       1,81
 35      46608       3248          0        142          0          0      51,70       1,40       18,0       2,37        857       2523       2481         42          0          0         91          9        180          7          0       1,77
 36      46364       3466          0        169          0          0      51,38       1,40       18,2       2,33        951       2674       2631         42          0          0        104         10        192          9          0       1,73
 37      46107       3691          0        200          0          0      51,07       1,40       18,3       2,29       1049       2832       2789         43          0          0        120         12        205         10          0       1,71
 38      45852       3909          0        237          0          0      50,79       1,40       18,6       2,28       1155       2981       2938         43          0          0        127         13        216         12          0       1,77
 39      45589       4125          0        283          0          0      50,51       1,40       18,9       2,28       1269       3131       3086         44          0          0        135         14        228         15          0       1,75
 40      45323       4342          0        333          0          0      50,26       1,40       19,1       2,21       1386       3280       3234         45          0          0        144         15        241         17          0       1,70
 41      45057       4547          0        394          0          0      50,01       1,40       19,4       2,17       1510       3422       3375         46          0          0        153         15        254         20          0       1,75
 42      44802       4737          0        458          0          0      49,78       1,40       19,6       2,14       1633       3553       3503         49          0          0        163         17        266         23          0       1,67
 43      44534       4934          0        530          0          1      49,55       1,40       19,8       2,11       1770       3685       3632         52          0          0        173         18        278         27          1       1,58
 44      44273       5116          0        608          0          1      49,34       1,39       19,9       2,07       1908       3808       3750         57          0          0        183         18        289         31          1       1,55
 45      44020       5289          0        688          0          1      49,14       1,39       20,0       2,06       2050       3918       3854         63          0          0        192         19        298         36          1       1,51
 46      43764       5456          0        776          0          1      48,95       1,39       20,1       2,05       2198       4026       3954         71          0          0        202         20        310         41          1       1,54
 47      43511       5612          0        874          0          1      48,76       1,39       20,2       2,01       2348       4129       4047         82          0          0        212         21        320         46          1       1,49
 48      43269       5745          0        982          0          2      48,58       1,39       20,4       2,00       2501       4218       4122         95          0          0        222         22        330         51          2       1,45
 49      43031       5864          0       1101          0          2      48,41       1,39       20,5       1,97       2655       4302       4190        111          0          0        230         23        339         58          2       1,44
 50      42799       5963          0       1233          0          2      48,25       1,39       20,7       1,95       2810       4379       4246        132          0          0        238         23        347         65          2       1,43
 51      42575       6042          0       1378          0          3      48,09       1,39       21,0       1,93       2967       4446       4290        156          0          0        245         24        352         74          3       1,39
 52      42359       6099          0       1538          0          3      47,94       1,39       21,2       1,91       3126       4504       4319        184          0          0        250         24        357         82          3       1,37
 53      42141       6136          0       1717          0          3      47,79       1,39       21,5       1,88       3292       4556       4334        221          0          0        256         25        361         93          3       1,36
 54      41930       6158          0       1906          0          4      47,65       1,39       21,8       1,86       3455       4604       4345        258          0          0        261         25        364        103          4       1,33
 55      41720       6166          0       2108          0          4      47,52       1,39       22,1       1,83       3618       4651       4348        302          0          0        266         25        367        113          4       1,30
 56      41594       6079          0       2321          0          4      47,16       1,36       22,4       1,81       3725       4669       4367        302          0          0        271         25        364        123          4       1,30
 57      41471       5974          0       2548          0          5      46,81       1,35       22,6       1,77       3834       4683       4381        302          0          0        273         26        359        137          5       1,25
 58      41352       5855          0       2785          0          5      46,48       1,33       22,9       1,73       3939       4697       4395        302          0          0        274         26        354        150          5       1,22
 59      41237       5725          0       3030          0          6      46,15       1,31       23,1       1,69       4042       4710       4407        302          0          0        274         26        349        162          6       1,20
 60      41128       5586          0       3278          0          7      45,84       1,30       23,3       1,66       4140       4721       4418        302          0          0        275         27        343        174          7       1,17
 61      41022       5432          0       3536          0          8      45,54       1,29       23,5       1,62       4237       4730       4427        302          0          0        273         26        334        190          8       1,12
 62      40923       5313          0       3754          0          8      45,25       1,28       23,6       1,60       4329       4737       4434        302          0          0        273         27        328        203          8       1,09
 63      40825       5190          0       3974          0          9      44,97       1,27       23,6       1,57       4420       4744       4441        302          0          0        269         27        325        214          9       1,07
 64      40729       5053          0       4207          0          9      44,70       1,26       23,7       1,55       4510       4749       4446        302          0          0        264         26        318        227          9       1,04
 65      40644       4900          0       4444          0         10      44,44       1,25       23,8       1,53       4592       4753       4450        302          0          0        259         26        311        240         10       1,02
 66      40559       4748          0       4679          0         11      44,19       1,24       23,9       1,51       4672       4757       4454        302          0          0        253         25        303        253         11       1,00
 67      40478       4585          0       4922          0         12      43,94       1,23       24,0       1,48       4751       4759       4456        303          0          0        247         25        294        265         12       0,99
 68      40396       4420          0       5169          0         13      43,71       1,22       24,1       1,47       4830       4762       4458        303          0          0        241         24        287        278         13       0,97
