--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.11
22/04/2020 19:48:16
--------------------------------------------------------------------------------------------------
Carpeta 50_gd_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          646
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              2,00 %
Probabilidad contagio clúster              2,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.920 individuos,            1 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4       0,10     100,00      30,00     100,00    80   120       4,00        2.000          4,0           40
menor                 1   5  19       0,02     100,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64       5,00     100,00      30,00      99,00    80   120      62,00       31.000         62,0          100
jubilado              3  65  69      20,00     100,00      30,00      94,00    80   120       5,00        2.500          5,0           70
mayor                 4  70 150      20,00     100,00      30,00      83,00    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,53       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49984         16          0          0          0          0      53,63       0,37        0,0       0,00          1          5          5          0          0          0          0          0          0          0          0       0,00
  5      49983         17          0          0          0          0      53,60       0,59        0,0       0,00          1          6          6          0          0          0          0          0          0          0          0       0,00
  6      49979         21          0          0          0          0      53,61       0,58        0,0       0,00          1         10         10          0          0          0          0          0          0          0          0       0,00
  7      49967         33          0          0          0          0      53,62       0,68        0,0       0,00          2         21         21          0          0          0          0          0          2          0          0       0,00
  8      49953         47          0          0          0          0      53,62       0,66        0,0       0,00          2         35         35          0          0          0          0          0          2          0          0       0,00
  9      49937         63          0          0          0          0      53,62       0,65        0,0       0,00          3         50         50          0          0          0          0          0          3          0          0       0,00
 10      49916         84          0          0          0          0      53,64       0,81        0,0       0,00          6         68         68          0          0          0          0          0          3          0          0       0,00
 11      49898        102          0          0          0          0      53,64       0,87        0,0       0,00          8         84         84          0          0          0          0          0          4          0          0       0,00
 12      49885        115          0          0          0          0      53,64       0,91        0,0       0,00         11         94         94          0          0          0          0          0          4          0          0       0,00
 13      49878        122          0          0          0          0      53,65       1,12        0,0       0,00         12        100        100          0          0          0          0          0          4          0          0       0,00
 14      49869        131          0          0          0          0      53,65       1,20        0,0       0,00         18        103        103          0          0          0          2          1          7          0          0       0,00
 15      49858        142          0          0          0          0      53,65       1,29        0,0       0,00         25        107        107          0          0          0          2          1          8          0          0       0,00
 16      49843        156          0          1          0          0      53,66       1,36       10,0       4,00         30        117        116          1          0          0          3          1          8          0          0       0,00
 17      49823        175          0          2          0          0      53,64       1,39       13,0       2,50         37        130        129          1          0          0          3          1         10          0          0       0,00
 18      49797        201          0          2          0          0      53,63       1,42       13,0       2,50         47        146        145          1          0          0          4          2         11          0          0       0,00
 19      49763        235          0          2          0          0      53,63       1,41       13,0       2,50         52        175        174          1          0          0          4          2         17          0          0       0,00
 20      49709        289          0          2          0          0      53,62       1,45       13,0       2,50         64        217        216          1          0          0          4          2         22          0          0       0,00
