Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s001.log                    20,29   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s002.log                    97,01   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s003.log                    29,42   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s004.log                    37,51   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s005.log                    50,50   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s006.log                    28,64   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s007.log                    68,77   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s008.log                    19,81   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s009.log                   131,11   1 
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s010.log                   166,46   1 
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s011.log                    47,45   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s012.log                     6,71   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s013.log                    12,31   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s014.log                    88,75   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s015.log                    69,40   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s016.log                    20,17   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s017.log                    47,77   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s018.log                    73,62   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s019.log                    16,13   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s020.log                    86,49   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s021.log                    40,97   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s022.log                    65,15   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s023.log                    84,06   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s024.log                    22,93   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s025.log                    16,62   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s026.log                    54,56   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s027.log                    68,80   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s028.log                    89,07   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s029.log                     7,00   1 ok
F:\Contagio\50_gd_30_25m1_15m2_15m1_0\s030.log                     8,74   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      52,54  =     105,08
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4      49985         14          0          0          0          0      53,61       0,57        0,0       0,00          0          4          4          0          0          0          0          0          0          0          0       0,00
  5      49980         19          0          0          0          0      53,61       0,78        0,1       0,00          1          8          8          0          0          0          0          0          0          0          0       0,00
  6      49975         24          0          0          0          0      53,61       0,84        0,1       0,00          1         12         12          0          0          0          0          0          0          0          0       0,00
  7      49963         36          0          0          0          0      53,62       0,94        0,1       0,00          2         24         24          0          0          0          0          0          1          0          0       0,00
  8      49943         56          0          0          0          0      53,62       0,91        0,1       0,00          3         42         42          0          0          0          0          0          2          0          0       0,00
  9      49921         78          0          0          0          0      53,62       0,87        0,1       0,00          4         63         63          0          0          0          0          0          3          0          0       0,00
 10      49889        110          0          0          0          0      53,62       0,88        0,6       0,11          6         94         94          0          0          0          0          0          4          0          0       0,00
 11      49849        150          0          0          0          0      53,62       0,92        1,7       0,43          9        131        131          0          0          0          0          0          6          0          0       0,07
 12      49807        192          0          0          0          0      53,62       0,94        3,0       0,96         13        169        168          0          0          0          0          0          8          0          0       0,07
 13      49772        227          0          0          0          0      53,62       1,00        3,4       0,96         18        199        199          0          0          0          0          0         10          0          0       0,07
 14      49740        259          0          0          0          0      53,62       1,09        3,9       1,32         25        224        223          0          0          0          1          0         12          0          0       0,07
 15      49710        288          0          0          0          0      53,62       1,19        5,1       1,83         35        244        243          0          0          0          2          0         14          0          0       0,07
 16      49679        319          0          1          0          0      53,62       1,27        7,0       2,43         45        264        264          0          0          0          3          0         16          0          0       0,07
 17      49642        355          0          1          0          0      53,62       1,34        8,2       2,35         59        288        287          1          0          0          4          0         18          0          0       0,07
 18      49600        396          0          2          0          0      53,62       1,39        9,4       2,48         72        317        315          1          0          0          6          0         20          0          0       0,07
 19      49546        449          0          3          0          0      53,62       1,42       11,1       2,71         88        355        352          2          0          0          8          0         23          0          0       0,11
 20      49476        518          0          5          0          0      53,62       1,45       11,5       2,92        106        407        403          3          0          0         10          0         28          0          0       0,09
 21      49393        599          0          6          0          0      53,62       1,47       11,8       2,69        123        473        468          4          0          0         12          1         33          0          0       0,08
 22      49280        710          0          9          0          0      53,62       1,47       12,5       2,68        144        564        558          6          0          0         14          1         39          0          0       0,73
 23      49144        842          0         12          0          0      53,62       1,47       12,8       2,62        169        676        667          8          0          0         15          1         45          0          0       0,87
 24      48983       1000          0         15          0          0      53,62       1,45       13,5       2,63        197        808        797         10          0          0         17          1         54          0          0       1,23
 25      48796       1183          0         20          0          0      53,62       1,44       14,1       2,61        229        964        950         14          0          0         19          2         63          0          0       1,45
 26      48580       1394          0         25          0          0      53,62       1,43       14,4       2,66        268       1141       1123         18          0          0         22          2         75          1          0       1,48
 27      48339       1628          0         31          0          0      53,62       1,42       14,9       2,55        313       1337       1313         23          0          0         26          2         88          1          0       1,47
 28      48074       1885          0         39          0          0      53,62       1,42       15,2       2,54        368       1547       1517         30          0          0         32          3        103          1          0       1,48
 29      47781       2170          0         48          0          0      53,62       1,42       15,5       2,46        428       1779       1742         37          0          0         37          4        118          2          0       1,79
 30      47464       2476          0         58          0          0      53,62       1,43       15,9       2,48        499       2026       1980         45          0          0         43          4        136          2          0       1,99
 31      47284       2644          0         71          0          0      53,19       1,40       16,3       2,41        565       2139       2094         45          0          0         51          5        145          3          0       1,94
 32      47088       2822          0         89          0          0      52,78       1,39       17,1       2,46        642       2259       2214         45          0          0         60          6        156          4          0       1,90
 33      46873       3020          0        105          0          0      52,40       1,40       17,3       2,44        726       2389       2344         45          0          0         71          7        167          5          0       1,76
 34      46642       3231          0        125          0          0      52,04       1,40       17,5       2,41        816       2531       2486         45          0          0         83          8        178          6          0       1,94
 35      46399       3447          0        151          0          0      51,70       1,40       17,8       2,45        911       2678       2632         45          0          0         97         10        191          7          0       1,90
 36      46140       3679          0        179          0          0      51,38       1,40       18,0       2,41       1010       2838       2792         45          0          0        110         11        204          9          0       1,86
 37      45869       3917          0        213          0          0      51,07       1,40       18,2       2,34       1114       3006       2959         46          0          0        128         13        217         11          0       1,80
 38      45599       4146          0        253          0          0      50,79       1,40       18,5       2,32       1226       3163       3117         46          0          0        135         14        229         13          0       1,77
 39      45321       4375          0        302          0          0      50,52       1,40       18,8       2,29       1347       3320       3273         47          0          0        143         14        242         16          0       1,75
 40      45042       4602          0        355          0          0      50,26       1,40       19,1       2,23       1472       3475       3427         48          0          0        153         15        256         19          0       1,69
 41      44763       4815          0        420          0          0      50,01       1,40       19,4       2,18       1603       3623       3572         50          0          0        162         16        270         22          0       1,72
 42      44496       5014          0        488          0          0      49,78       1,40       19,7       2,15       1734       3759       3706         52          0          0        173         18        282         25          0       1,65
 43      44216       5217          0        564          0          1      49,55       1,40       19,9       2,11       1878       3894       3837         56          0          0        183         19        294         29          1       1,59
 44      43946       5404          0        648          0          1      49,34       1,40       20,0       2,07       2025       4018       3956         61          0          0        194         20        305         33          1       1,55
 45      43685       5580          0        733          0          1      49,14       1,39       20,1       2,05       2175       4129       4062         67          0          0        203         20        315         38          1       1,51
 46      43421       5750          0        826          0          1      48,95       1,39       20,2       2,03       2331       4237       4161         76          0          0        214         21        327         43          1       1,52
 47      43161       5907          0        930          0          1      48,76       1,39       20,3       2,00       2488       4340       4251         88          0          0        224         22        337         49          1       1,47
 48      42912       6039          0       1045          0          2      48,58       1,39       20,4       1,98       2650       4426       4324        102          0          0        236         23        348         54          2       1,45
 49      42670       6154          0       1171          0          2      48,41       1,39       20,6       1,95       2812       4507       4387        119          0          0        243         24        356         62          2       1,42
 50      42436       6248          0       1312          0          2      48,25       1,39       20,8       1,93       2974       4579       4437        141          0          0        251         24        364         70          2       1,41
 51      42211       6319          0       1465          0          3      48,09       1,39       21,0       1,91       3137       4640       4474        166          0          0        258         25        369         79          3       1,37
 52      41995       6365          0       1635          0          3      47,94       1,39       21,3       1,89       3304       4690       4493        196          0          0        263         26        373         88          3       1,36
 53      41777       6391          0       1826          0          4      47,79       1,39       21,6       1,86       3477       4734       4499        234          0          0        270         26        376         98          4       1,35
 54      41569       6399          0       2026          0          4      47,65       1,39       21,9       1,84       3646       4774       4499        274          0          0        274         26        380        109          4       1,33
 55      41363       6392          0       2239          0          4      47,52       1,39       22,1       1,82       3814       4811       4490        320          0          0        279         27        381        120          4       1,30
 56      41239       6291          0       2464          0          5      47,16       1,37       22,4       1,79       3925       4825       4504        320          0          0        284         27        378        131          5       1,30
 57      41117       6171          0       2705          0          5      46,81       1,35       22,7       1,75       4037       4834       4513        320          0          0        285         27        372        145          5       1,25
 58      41000       6037          0       2955          0          6      46,48       1,33       22,9       1,71       4146       4843       4522        320          0          0        286         27        366        158          6       1,20
 59      40887       5891          0       3213          0          7      46,16       1,32       23,2       1,68       4251       4850       4530        320          0          0        286         28        360        172          7       1,18
 60      40780       5736          0       3475          0          7      45,85       1,31       23,4       1,64       4352       4857       4536        320          0          0        286         28        354        185          7       1,15
 61      40676       5567          0       3747          0          8      45,55       1,29       23,6       1,60       4450       4863       4542        320          0          0        283         28        344        202          8       1,10
