--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.5
16/04/2020 23:34:04
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_30_25m1_15m2
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     25
Número clusters generados                    23 con        1.890 individuos,        1.005 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49980         19          0          0          0          0      53,98       0,46        0,0       0,00          1          8          8          0          0          0          0          0         19          0          0       0,00
  5      49976         23          0          0          0          0      53,99       0,63        0,0       0,00          1         11         11          0          0          0          0          0         23          0          0       0,00
  6      49972         27          0          0          0          0      53,99       0,70        0,0       0,00          3         14         14          0          0          0          0          0         27          0          0       0,00
  7      49959         40          0          0          0          0      53,99       0,80        0,0       0,00          4         25         25          0          0          0          0          0         40          0          0       0,00
  8      49943         56          0          0          0          0      53,99       0,85        0,2       0,00          6         39         39          0          0          0          0          0         56          0          0       0,00
  9      49925         74          0          0          0          0      53,99       0,88        0,8       0,33          9         55         55          0          0          0          0          0         74          0          0       0,00
 10      49892        107          0          0          0          0      53,99       0,93        1,1       0,40         12         84         84          0          0          0          0          0        107          0          0       0,00
 11      49853        146          0          0          0          0      53,99       0,96        2,1       0,87         18        118        118          0          0          0          9          0        146          0          0       0,00
 12      49815        184          0          0          0          0      53,99       0,96        2,4       1,13         24        149        149          0          0          0         13          1        184          0          0       0,27
 13      49769        230          0          0          0          0      53,99       1,00        3,0       1,73         35        185        185          0          0          0         17          1        230          0          0       0,37
 14      49723        276          0          0          0          0      53,99       1,06        3,3       1,80         48        218        218          0          0          0         30          2        276          0          0       0,43
 15      49667        331          0          0          0          0      53,99       1,11        4,7       2,15         62        259        259          0          0          0         46          4        332          0          0       0,47
 16      49603        395          0          0          0          0      53,99       1,16        7,0       2,77         82        304        304          0          0          0         64          5        396          0          0       1,13
 17      49536        461          0          1          0          0      53,99       1,19        8,0       2,92        102        350        349          0          0          0         96          9        462          0          0       1,44
 18      49463        533          0          2          0          0      53,99       1,23        8,9       2,26        127        398        397          1          0          0        134         12        534          1          0       1,48
 19      49366        630          0          3          0          0      53,99       1,26       11,4       2,24        156        466        464          1          0          0        172         16        631          1          0       1,58
 20      49263        731          0          4          0          0      53,99       1,28       12,0       2,57        188        538        535          2          0          0        218         20        733          3          0       2,40
 21      49152        840          0          6          0          0      53,99       1,29       12,3       2,58        223        614        610          3          0          0        262         25        842          4          0       2,32
 22      49012        978          0          8          0          0      53,99       1,30       12,8       2,59        261        715        709          4          0          0        315         30        980          5          0       2,32
 23      48858       1129          0         10          0          1      53,99       1,31       12,9       2,58        308        823        815          6          0          0        377         35       1132          8          1       2,43
 24      48693       1290          0         14          0          1      53,99       1,31       13,8       2,59        357        939        929          9          1          0        440         41       1293         11          1       2,32
 25      48502       1476          0         18          0          2      53,99       1,31       14,1       2,75        414       1073       1059         12          1          0        508         48       1479         15          2       2,53
 26      48288       1683          0         25          0          2      53,99       1,32       14,8       2,54        479       1222       1202         17          1          0        599         57       1687         21          2       2,34
 27      48053       1910          0         31          0          3      53,99       1,33       15,1       2,39        553       1382       1358         21          2          0        696         67       1915         27          3       2,15
 28      47785       2169          0         40          0          4      53,99       1,34       15,4       2,28        635       1568       1537         28          3          0        798         77       2174         35          4       2,01
 29      47494       2448          0         50          0          5      53,99       1,35       15,8       2,15        729       1766       1725         36          3          0        926         90       2454         45          5       1,88
 30      47176       2753          0         62          0          7      53,99       1,36       16,2       2,19        832       1980       1930         45          4          0       1068        104       2759         56          7       1,93
 31      46995       2919          0         76          0          9      53,55       1,33       16,5       2,27        925       2069       2018         45          4          0       1218        119       2925         69          9       2,08
 32      46798       3095          0         94          0         11      53,14       1,33       17,3       2,25       1025       2165       2115         45          4          0       1392        137       3105         84         11       2,02
 33      46589       3282          0        114          0         13      52,76       1,32       17,4       2,22       1140       2260       2209         45          4          0       1584        156       3292        104         13       2,02
 34      46369       3476          0        137          0         16      52,39       1,32       17,6       2,13       1256       2363       2313         45          4          0       1793        176       3486        127         16       1,96
 35      46145       3668          0        165          0         21      52,05       1,32       17,9       2,14       1372       2471       2421         45          4          0       2028        200       3678        155         21       2,02
 36      45921       3856          0        196          0         25      51,73       1,32       18,2       2,18       1486       2582       2531         45          4          0       2284        227       3866        186         25       2,10
 37      45686       4052          0        230          0         30      51,43       1,33       18,4       2,11       1602       2700       2649         46          4          0       2563        255       4062        220         30       2,02
 38      45446       4245          0        271          0         36      51,14       1,33       18,6       2,07       1719       2823       2772         46          4          0       2696        267       4255        261         36       1,99
 39      45204       4429          0        321          0         44      50,86       1,33       18,8       2,07       1842       2942       2890         47          5          0       2836        281       4439        311         44       2,01
 40      44967       4603          0        377          0         51      50,60       1,33       19,1       2,02       1965       3057       3004         47          5          0       2982        295       4613        367         51       1,96
 41      44727       4767          0        443          0         61      50,36       1,33       19,4       1,96       2093       3169       3115         49          5          0       3126        308       4777        433         61       1,91
 42      44500       4915          0        513          0         71      50,12       1,33       19,7       1,96       2220       3269       3212         51          5          0       3271        322       4925        503         71       1,92
 43      44274       5056          0        587          0         81      49,90       1,33       20,0       1,92       2351       3363       3303         54          5          0       3410        337       5066        577         81       1,88
 44      44062       5168          0        676          0         93      49,69       1,33       20,2       1,89       2483       3444       3380         58          5          0       3544        351       5178        666         93       1,85
 45      43859       5265          0        767          0        107      49,49       1,34       20,4       1,86       2613       3517       3448         62          5          0       3679        364       5275        757        107       1,82
 46      43663       5345          0        868          0        122      49,29       1,34       20,7       1,83       2746       3579       3504         69          6          0       3805        376       5355        858        122       1,80
 47      43475       5410          0        975          0        139      49,11       1,34       20,9       1,79       2878       3636       3553         76          6          0       3918        388       5420        965        139       1,76
 48      43292       5459          0       1090          0        156      48,94       1,35       21,1       1,77       3009       3687       3594         86          6          0       4026        399       5469       1080        156       1,74
 49      43115       5491          0       1217          0        175      48,77       1,35       21,3       1,74       3137       3737       3631         98          7          0       4108        407       5501       1207        175       1,71
 50      42941       5505          0       1357          0        195      48,61       1,35       21,6       1,73       3262       3786       3663        114          7          0       4172        415       5515       1347        195       1,70
 51      42770       5508          0       1503          0        217      48,45       1,36       21,8       1,71       3385       3833       3692        132          8          0       4217        419       5518       1493        217       1,68
 52      42604       5495          0       1661          0        239      48,31       1,36       22,0       1,68       3506       3879       3714        155         10          0       4240        421       5505       1651        239       1,66
 53      42441       5469          0       1826          0        263      48,16       1,36       22,2       1,66       3624       3924       3732        180         11          0       4247        423       5479       1816        263       1,63
 54      42289       5421          0       2004          0        284      48,03       1,36       22,5       1,64       3736       3963       3741        209         12          0       4236        423       5431       1994        284       1,61
 55      42139       5361          0       2192          0        307      47,90       1,36       22,7       1,62       3849       4001       3744        243         13          0       4208        420       5371       2182        307       1,60
 56      41979       5296          0       2391          0        333      48,01       1,38       22,9       1,60       3991       4019       3762        243         13          0       4159        416       5306       2381        333       1,58
 57      41827       5216          0       2597          0        358      48,12       1,40       23,1       1,56       4126       4035       3778        243         13          0       4103        413       5226       2587        358       1,54
 58      41681       5130          0       2805          0        382      48,22       1,41       23,3       1,54       4257       4050       3793        243         13          0       4041        407       5140       2795        382       1,52
 59      41543       5025          0       3021          0        409      48,32       1,42       23,5       1,50       4382       4063       3806        243         13          0       3965        401       5035       3011        409       1,48
 60      41416       4904          0       3244          0        435      48,41       1,43       23,7       1,48       4498       4075       3818        243         13          0       3879        390       4914       3234        435       1,46
 61      41291       4777          0       3469          0        461      48,51       1,44       23,9       1,46       4613       4084       3827        243         13          0       3780        380       4787       3459        461       1,44
 62      41170       4693          0       3651          0        484      48,60       1,45       24,0       1,44       4725       4093       3836        243         13          0       3726        378       4703       3641        484       1,42
 63      41056       4595          0       3839          0        508      48,68       1,46       24,1       1,42       4833       4100       3843        243         13          0       3673        371       4605       3829        508       1,41
 64      40945       4492          0       4030          0        531      48,77       1,47       24,1       1,40       4936       4107       3850        243         13          0       3610        366       4502       4020        531       1,39
 65      40839       4383          0       4220          0        556      48,85       1,48       24,2       1,39       5035       4114       3857        243         13          0       3541        360       4393       4210        556       1,38
 66      40736       4274          0       4408          0        580      48,93       1,48       24,3       1,38       5131       4121       3864        244         13          0       3468        354       4284       4398        580       1,37
 67      40635       4158          0       4600          0        605      49,01       1,49       24,4       1,37       5223       4130       3873        244         13          0       3378        346       4168       4590        605       1,36
