--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.6
17/04/2020 12:02:23
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,          618 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       4,00        2.000       2000,0            4
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120      15,00        7.500       7500,0           15
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120      62,00       31.000      31000,0           62
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49981         18          0          0          0          0      53,98       0,45        0,0       0,00          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      49976         23          0          0          0          0      53,98       0,65        0,0       0,00          1         11         11          0          0          0          0          0         23          0          0       0,00
  6      49972         27          0          0          0          0      53,98       0,72        0,0       0,00          3         14         14          0          0          0          0          0         27          0          0       0,00
  7      49962         37          0          0          0          0      53,99       0,81        0,0       0,00          4         22         22          0          0          0          0          0         37          0          0       0,00
  8      49945         54          0          0          0          0      53,99       0,86        0,2       0,00          6         37         37          0          0          0          0          0         54          0          0       0,00
  9      49927         72          0          0          0          0      53,99       0,87        0,5       0,00          9         53         53          0          0          0          0          0         72          0          0       0,00
 10      49897        102          0          0          0          0      53,99       0,90        0,8       0,00         12         80         80          0          0          0          0          0        102          0          0       0,00
 11      49859        140          0          0          0          0      53,99       0,94        1,2       0,00         17        113        113          0          0          0          8          0        140          0          0       0,00
 12      49820        179          0          0          0          0      53,99       0,94        1,4       0,27         23        145        145          0          0          0         13          1        179          0          0       0,27
 13      49776        223          0          0          0          0      53,99       0,97        2,0       0,87         33        179        179          0          0          0         17          1        223          0          0       0,37
 14      49730        269          0          0          0          0      53,99       1,02        2,3       0,93         45        214        214          0          0          0         27          2        269          0          0       0,43
 15      49680        319          0          0          0          0      53,99       1,09        4,0       2,39         59        250        249          0          0          0         44          3        319          0          0       0,73
 16      49621        377          0          1          0          0      53,99       1,15        6,8       3,04         79        289        288          0          0          0         62          5        378          0          0       1,32
 17      49561        436          0          1          0          0      53,99       1,18        9,0       3,38         99        328        327          0          0          0         91          8        437          0          0       1,55
 18      49493        503          0          2          0          0      53,99       1,22       10,1       2,51        124        372        371          1          0          0        129         12        505          1          0       1,44
 19      49394        601          0          3          0          0      53,99       1,25       11,8       2,38        151        443        441          1          0          0        167         16        603          1          0       1,68
 20      49292        701          0          5          0          0      53,99       1,26       12,2       2,78        182        515        512          2          0          0        210         20        703          3          0       2,44
 21      49188        805          0          6          0          0      53,99       1,28       12,4       2,68        215        586        582          3          0          0        255         25        807          4          0       2,07
 22      49066        925          0          7          0          0      53,99       1,28       12,9       2,64        252        671        665          4          0          0        303         29        927          5          0       2,07
 23      48927       1060          0         10          0          0      53,99       1,29       13,2       2,58        297        764        757          6          0          0        359         35       1063          8          0       2,23
 24      48767       1217          0         13          0          1      53,99       1,29       14,1       2,62        344        877        868          9          0          0        416         40       1220         10          1       2,15
 25      48590       1389          0         18          0          1      53,99       1,30       14,5       2,84        398       1001        987         12          0          0        480         47       1392         15          1       2,45
 26      48387       1586          0         24          0          2      53,99       1,30       15,0       2,57        459       1142       1124         16          1          0        573         56       1589         20          2       2,22
 27      48161       1805          0         30          0          2      53,99       1,32       15,2       2,44        530       1298       1275         21          1          0        668         65       1810         26          2       2,14
 28      47910       2047          0         38          0          3      53,99       1,34       15,6       2,25        605       1473       1444         27          2          0        764         75       2052         33          3       1,94
 29      47639       2307          0         48          0          4      53,99       1,35       15,9       2,12        693       1657       1618         35          2          0        876         86       2312         43          4       1,84
 30      47345       2588          0         60          0          5      53,99       1,36       16,3       2,15        791       1852       1804         44          3          0       1002         99       2593         54          5       1,89
 31      47163       2755          0         72          0          7      53,55       1,34       16,8       2,25        878       1947       1899         44          3          0       1149        113       2762         66          7       2,05
 32      46980       2918          0         91          0          9      53,14       1,33       17,6       2,22        974       2035       1987         44          3          0       1308        129       2928         81          9       1,97
 33      46779       3099          0        109          0         12      52,75       1,33       17,6       2,18       1084       2126       2078         44          3          0       1491        146       3109         99         12       1,97
 34      46567       3286          0        131          0         14      52,39       1,33       17,7       2,11       1195       2227       2178         44          3          0       1693        166       3296        121         14       1,93
 35      46359       3462          0        158          0         19      52,05       1,33       18,1       2,11       1304       2326       2278         44          3          0       1912        189       3472        148         19       1,99
 36      46151       3638          0        187          0         22      51,73       1,33       18,3       2,13       1413       2425       2377         44          3          0       2151        213       3648        177         22       2,05
 37      45934       3818          0        219          0         27      51,42       1,33       18,4       2,08       1522       2532       2484         44          3          0       2407        239       3828        209         27       2,00
 38      45711       3996          0        258          0         33      51,14       1,33       18,6       2,04       1633       2644       2595         44          3          0       2545        252       4006        248         33       1,97
 39      45482       4172          0        304          0         40      50,86       1,33       18,9       2,04       1750       2756       2707         45          3          0       2675        266       4182        294         40       1,99
 40      45254       4340          0        358          0         46      50,60       1,33       19,1       1,99       1868       2866       2816         46          4          0       2817        279       4350        348         46       1,94
 41      45023       4501          0        419          0         55      50,35       1,33       19,5       1,95       1989       2976       2924         47          4          0       2958        292       4511        409         55       1,91
 42      44798       4651          0        485          0         64      50,12       1,34       19,7       1,96       2111       3080       3026         49          4          0       3091        306       4661        475         64       1,92
 43      44576       4791          0        558          0         74      49,90       1,33       20,0       1,91       2237       3176       3120         51          4          0       3217        319       4801        548         74       1,88
 44      44361       4911          0        641          0         85      49,68       1,34       20,2       1,88       2364       3264       3204         55          4          0       3339        331       4921        631         85       1,86
 45      44155       5016          0        729          0         98      49,48       1,34       20,4       1,84       2489       3345       3279         60          5          0       3461        343       5026        719         98       1,81
 46      43961       5104          0        822          0        112      49,29       1,34       20,6       1,83       2614       3413       3341         66          5          0       3583        356       5114        812        112       1,81
 47      43767       5180          0        924          0        127      49,10       1,34       20,8       1,81       2744       3478       3398         73          6          0       3694        366       5190        914        127       1,79
 48      43580       5243          0       1032          0        143      48,93       1,35       21,0       1,79       2870       3539       3449         82          6          0       3801        377       5253       1022        143       1,77
 49      43398       5290          0       1150          0        160      48,76       1,35       21,2       1,77       2995       3595       3494         93          7          0       3891        387       5300       1140        160       1,75
 50      43215       5321          0       1283          0        179      48,60       1,35       21,4       1,75       3120       3654       3536        109          7          0       3961        395       5331       1273        179       1,74
 51      43037       5337          0       1425          0        199      48,44       1,36       21,7       1,73       3240       3711       3574        127          9          0       4014        400       5347       1415        199       1,72
 52      42867       5339          0       1572          0        221      48,30       1,36       21,9       1,71       3360       3761       3602        149         10          0       4052        402       5349       1562        221       1,70
 53      42700       5329          0       1726          0        243      48,15       1,36       22,1       1,68       3477       3811       3626        173         11          0       4069        405       5339       1716        243       1,67
 54      42541       5301          0       1893          0        264      48,02       1,36       22,3       1,66       3592       3856       3642        201         12          0       4075        406       5311       1883        264       1,65
 55      42385       5256          0       2071          0        286      47,89       1,36       22,6       1,65       3704       3899       3651        233         14          0       4062        406       5266       2061        286       1,64
 56      42220       5211          0       2256          0        311      48,00       1,38       22,8       1,62       3849       3920       3672        233         14          0       4034        404       5221       2246        311       1,61
 57      42062       5151          0       2452          0        334      48,11       1,39       23,0       1,59       3988       3939       3691        233         14          0       3997        402       5161       2442        334       1,58
 58      41907       5084          0       2650          0        358      48,21       1,41       23,2       1,56       4125       3957       3709        233         14          0       3954        398       5094       2640        358       1,55
 59      41763       4997          0       2855          0        384      48,31       1,42       23,4       1,53       4254       3971       3723        233         14          0       3893        393       5007       2845        384       1,52
 60      41628       4897          0       3064          0        409      48,40       1,43       23,5       1,51       4376       3985       3737        233         14          0       3825        385       4907       3054        409       1,50
 61      41498       4790          0       3277          0        433      48,50       1,44       23,7       1,48       4496       3995       3747        233         14          0       3747        377       4800       3267        433       1,48
 62      41372       4715          0       3455          0        457      48,59       1,45       23,8       1,47       4614       4003       3755        233         14          0       3702        374       4725       3445        457       1,47
 63      41251       4632          0       3634          0        481      48,67       1,46       23,8       1,46       4726       4011       3763        233         14          0       3664        368       4642       3624        481       1,45
 64      41135       4542          0       3817          0        504      48,76       1,47       23,9       1,44       4835       4019       3771        233         14          0       3616        364       4552       3807        504       1,44
 65      41022       4448          0       4000          0        528      48,84       1,48       24,0       1,43       4938       4028       3779        234         14          0       3564        359       4458       3990        528       1,43
 66      40914       4354          0       4178          0        551      48,92       1,49       24,1       1,42       5038       4037       3788        234         14          0       3506        355       4364       4168        551       1,42
