Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s001.log                    80,86   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s002.log                    28,57   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s003.log                    45,61   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s004.log                    84,15   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s005.log                   233,20   1 
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s006.log                    71,13   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s007.log                    93,23   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s008.log                    29,93   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s009.log                    35,14   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s010.log                   137,46   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s011.log                   116,24   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s012.log                    57,93   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s013.log                    26,23   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s014.log                    47,65   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s015.log                    34,24   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s016.log                    27,29   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s017.log                   149,00   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s018.log                    38,41   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s019.log                    52,17   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s020.log                   126,51   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s021.log                    57,75   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s022.log                    14,50   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s023.log                   175,82   1 
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s024.log                    33,25   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s025.log                   149,66   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s026.log                   107,59   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s027.log                    56,82   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s028.log                    84,14   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s029.log                    22,76   1 ok
F:\Contagio\50_gi_30_25m1_15m2_15m1_0\s030.log                    28,96   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      74,87  =     149,75
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49980         19          0          0          0          0      53,98       0,46        0,0       0,00          1          8          8          0          0          0          0          0         19          0          0       0,00
  5      49976         23          0          0          0          0      53,99       0,64        0,0       0,00          1         11         11          0          0          0          0          0         23          0          0       0,00
  6      49971         28          0          0          0          0      53,99       0,71        0,0       0,00          3         15         15          0          0          0          0          0         28          0          0       0,00
  7      49960         39          0          0          0          0      53,99       0,80        0,0       0,00          5         24         24          0          0          0          0          0         39          0          0       0,00
  8      49942         57          0          0          0          0      53,99       0,84        0,3       0,00          7         40         40          0          0          0          0          0         57          0          0       0,00
  9      49923         76          0          0          0          0      53,99       0,85        0,6       0,00          9         57         57          0          0          0          0          0         77          0          0       0,00
 10      49891        108          0          0          0          0      53,99       0,89        0,9       0,00         13         85         85          0          0          0          0          0        109          0          0       0,00
 11      49850        149          0          0          0          0      53,99       0,92        1,2       0,00         18        121        121          0          0          0          9          0        150          0          0       0,00
 12      49808        190          0          0          0          0      53,99       0,93        1,5       0,29         24        156        156          0          0          0         13          1        191          0          0       0,29
 13      49761        238          0          0          0          0      53,99       0,97        2,2       0,93         35        192        192          0          0          0         18          1        238          0          0       0,39
 14      49711        287          0          0          0          0      53,99       1,02        2,5       1,00         47        230        230          0          0          0         29          2        287          0          0       0,46
 15      49658        340          0          0          0          0      53,99       1,08        4,3       2,56         63        268        267          0          0          0         47          4        341          0          0       0,79
 16      49595        403          0          1          0          0      53,99       1,14        7,3       3,26         84        310        309          0          0          0         66          6        403          0          0       1,42
 17      49531        466          0          1          0          0      53,99       1,18        9,1       3,58        106        351        350          0          0          0         98          9        467          0          0       1,66
 18      49458        538          0          2          0          0      53,99       1,22       10,2       2,65        132        399        397          1          0          0        138         13        539          1          0       1,54
 19      49352        643          0          3          0          0      53,99       1,24       12,0       2,51        161        475        473          2          0          0        178         17        644          2          0       1,80
 20      49244        750          0          5          0          0      53,99       1,26       12,4       2,92        194        551        548          3          0          0        225         22        752          3          0       2,62
 21      49132        860          0          6          0          0      53,99       1,27       12,7       2,82        229        628        623          3          0          0        273         27        862          4          0       2,22
 22      49001        989          0          8          0          0      53,99       1,29       13,2       2,78        269        718        712          5          0          0        324         31        991          6          0       2,21
 23      48853       1133          0         11          0          0      53,99       1,29       13,6       2,71        318        818        810          7          0          0        385         37       1136          8          0       2,38
 24      48682       1301          0         14          0          1      53,99       1,29       13,7       2,64        368        939        928          9          0          0        445         43       1304         11          1       2,30
 25      48494       1484          0         19          0          1      53,99       1,30       14,1       2,88        425       1070       1055         13          1          0        513         50       1487         16          1       2,63
 26      48277       1694          0         25          0          2      53,99       1,31       14,5       2,67        490       1221       1202         18          1          0        613         59       1698         21          2       2,38
 27      48035       1929          0         32          0          2      53,99       1,32       14,8       2,51        566       1388       1363         22          1          0        715         70       1934         27          2       2,29
 28      47767       2188          0         41          0          3      53,99       1,34       15,1       2,31        646       1576       1544         29          2          0        818         80       2193         36          3       2,08
 29      47476       2466          0         51          0          4      53,99       1,34       15,4       2,18        741       1771       1730         38          3          0        937         92       2471         46          4       1,98
 30      47163       2766          0         63          0          6      53,99       1,35       15,7       2,21        845       1981       1930         47          4          0       1072        106       2772         58          6       2,01
 31      46968       2945          0         77          0          7      53,55       1,33       16,2       2,32        938       2083       2031         47          4          0       1228        121       2952         71          7       2,18
 32      46772       3120          0         96          0         10      53,14       1,33       16,9       2,30       1040       2177       2125         47          4          0       1399        138       3130         86         10       2,09
 33      46560       3310          0        116          0         12      52,76       1,33       17,0       2,27       1158       2271       2220         47          4          0       1594        157       3320        106         12       2,09
 34      46333       3510          0        140          0         15      52,39       1,33       17,2       2,19       1277       2379       2327         47          4          0       1809        178       3520        130         15       2,03
 35      46111       3699          0        168          0         20      52,05       1,33       17,6       2,17       1393       2485       2433         47          4          0       2044        202       3709        158         20       2,05
 36      45888       3887          0        199          0         24      51,73       1,33       17,9       2,18       1509       2591       2539         47          4          0       2300        228       3897        189         24       2,07
 37      45659       4077          0        233          0         29      51,43       1,33       18,0       2,13       1626       2704       2652         47          4          0       2573        255       4087        223         29       2,03
 38      45421       4267          0        275          0         35      51,14       1,33       18,3       2,09       1745       2822       2770         48          4          0       2721        270       4277        265         35       2,00
 39      45177       4454          0        325          0         43      50,86       1,33       18,6       2,09       1869       2942       2889         48          4          0       2860        284       4464        315         43       2,03
 40      44935       4632          0        382          0         49      50,60       1,33       18,9       2,03       1995       3058       3004         49          4          0       3009        298       4642        372         49       1,98
 41      44690       4802          0        447          0         59      50,36       1,33       19,2       2,00       2124       3174       3118         51          4          0       3160        312       4812        437         59       1,95
 42      44452       4960          0        518          0         69      50,12       1,34       19,5       1,99       2253       3283       3226         53          4          0       3302        327       4970        508         69       1,95
 43      44217       5107          0        595          0         79      49,90       1,34       19,8       1,94       2388       3383       3323         55          4          0       3437        341       5117        585         79       1,91
 44      43990       5233          0        685          0         91      49,69       1,34       20,1       1,91       2523       3476       3412         59          5          0       3565        354       5243        675         91       1,88
 45      43771       5344          0        779          0        105      49,49       1,34       20,3       1,88       2656       3562       3491         64          5          0       3694        366       5354        769        105       1,85
 46      43565       5436          0        877          0        119      49,29       1,35       20,5       1,85       2789       3635       3558         70          6          0       3825        380       5446        867        119       1,83
 47      43360       5515          0        987          0        136      49,11       1,35       20,8       1,83       2927       3702       3617         78          6          0       3941        391       5525        977        136       1,81
 48      43162       5581          0       1103          0        153      48,93       1,35       21,0       1,81       3061       3766       3671         88          6          0       4053        402       5591       1093        153       1,79
 49      42970       5629          0       1229          0        171      48,76       1,35       21,2       1,78       3193       3826       3718        100          7          0       4147        412       5639       1219        171       1,76
 50      42777       5659          0       1371          0        191      48,60       1,36       21,4       1,77       3325       3887       3761        117          8          0       4219        420       5669       1361        191       1,76
 51      42589       5674          0       1522          0        213      48,45       1,36       21,7       1,75       3454       3946       3800        136          9          0       4273        425       5684       1512        213       1,73
 52      42410       5673          0       1679          0        236      48,30       1,36       21,9       1,73       3581       3998       3827        159         10          0       4313        427       5683       1669        236       1,72
 53      42236       5658          0       1845          0        259      48,16       1,36       22,1       1,71       3704       4048       3851        185         12          0       4330        430       5668       1835        259       1,69
 54      42070       5625          0       2022          0        282      48,02       1,36       22,4       1,68       3825       4094       3866        214         13          0       4335        432       5635       2012        282       1,67
 55      41909       5572          0       2212          0        305      47,89       1,36       22,6       1,66       3943       4137       3873        248         15          0       4319        431       5582       2202        305       1,65
 56      41735       5521          0       2410          0        332      48,00       1,38       22,9       1,64       4096       4158       3894        248         15          0       4287        429       5531       2400        332       1,63
 57      41572       5451          0       2618          0        357      48,11       1,39       23,1       1,60       4242       4175       3911        248         15          0       4247        427       5461       2608        357       1,59
 58      41412       5374          0       2830          0        382      48,21       1,41       23,3       1,57       4386       4191       3927        248         15          0       4198        422       5384       2820        382       1,56
 59      41263       5277          0       3048          0        410      48,31       1,42       23,5       1,54       4521       4205       3940        248         15          0       4131        417       5287       3038        410       1,53
 60      41125       5164          0       3271          0        437      48,41       1,43       23,7       1,51       4648       4215       3951        248         15          0       4054        408       5174       3261        437       1,50
