Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gi_40_25m1_15m2\s001.log                          107,88   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s002.log                           13,67   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s003.log                          207,71   1 
F:\Contagio\50_gi_40_25m1_15m2\s004.log                           21,97   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s005.log                           80,26   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s006.log                           70,64   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s007.log                          132,79   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s008.log                           52,72   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s009.log                           28,10   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s010.log                          207,45   1 
F:\Contagio\50_gi_40_25m1_15m2\s011.log                          117,49   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s012.log                           54,50   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s013.log                           37,78   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s014.log                           89,22   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s015.log                           47,34   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s016.log                           36,67   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s017.log                           72,12   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s018.log                           37,09   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s019.log                          196,28   1 
F:\Contagio\50_gi_40_25m1_15m2\s020.log                          149,30   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s021.log                           55,75   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s022.log                           12,52   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s023.log                          259,79   1 
F:\Contagio\50_gi_40_25m1_15m2\s024.log                           32,81   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s025.log                           64,06   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s026.log                          127,88   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s027.log                           57,51   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s028.log                          102,01   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s029.log                           39,66   1 ok
F:\Contagio\50_gi_40_25m1_15m2\s030.log                           77,53   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      86,35  =     172,70
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49977         22          0          0          0          0      53,98       0,41        0,0       0,00          1         10         10          0          0          0          0          0         22          0          0       0,00
  5      49973         26          0          0          0          0      53,99       0,52        0,0       0,00          1         15         15          0          0          0          0          0         26          0          0       0,00
  6      49968         31          0          0          0          0      53,99       0,60        0,0       0,00          3         18         18          0          0          0          0          0         31          0          0       0,00
  7      49953         46          0          0          0          0      53,99       0,72        0,0       0,00          4         31         31          0          0          0          0          0         46          0          0       0,00
  8      49935         64          0          0          0          0      54,00       0,78        0,3       0,00          7         46         46          0          0          0          0          0         64          0          0       0,00
  9      49914         85          0          0          0          0      53,99       0,81        0,9       0,38         10         65         65          0          0          0          0          0         85          0          0       0,00
 10      49877        122          0          0          0          0      54,00       0,85        0,9       0,38         14         97         97          0          0          0          0          0        122          0          0       0,00
 11      49831        168          0          0          0          0      53,99       0,88        1,3       0,85         20        138        138          0          0          0         12          1        168          0          0       0,00
 12      49786        213          0          0          0          0      53,99       0,88        1,3       0,85         27        175        175          0          0          0         16          1        213          0          0       0,00
 13      49737        262          0          0          0          0      53,99       0,92        2,0       1,54         39        213        213          0          0          0         21          1        262          0          0       0,12
 14      49684        315          0          0          0          0      53,99       0,98        2,3       1,69         54        251        250          0          0          0         36          3        315          0          0       0,35
 15      49619        379          0          0          0          0      53,99       1,04        4,4       2,91         71        298        297          0          0          0         54          4        379          0          0       0,44
 16      49547        451          0          1          0          0      53,99       1,09        7,8       3,65         93        349        348          0          0          0         75          6        451          0          0       1,16
 17      49472        525          0          1          0          0      53,99       1,13        8,8       3,96        116        401        400          1          0          0        111         10        526          1          0       1,54
 18      49385        611          0          2          0          0      53,99       1,17        9,7       2,92        145        459        457          1          0          0        156         15        612          1          0       1,53
 19      49266        729          0          3          0          0      53,99       1,20       11,8       2,90        178        545        543          2          0          0        200         19        731          2          0       1,98
 20      49143        850          0          5          0          0      53,99       1,22       12,1       3,18        213        632        628          3          0          0        248         23        852          3          0       2,82
 21      49010        982          0          7          0          0      53,99       1,24       12,4       3,08        253        725        721          4          0          0        300         29        984          4          0       2,66
 22      48854       1135          0          9          0          0      53,99       1,25       12,8       3,01        298        837        830          5          0          0        362         34       1138          6          0       2,63
 23      48689       1297          0         12          0          1      53,99       1,27       13,1       2,92        352        948        938          8          1          0        432         41       1299          9          1       2,68
 24      48493       1488          0         15          0          1      53,99       1,28       13,3       2,89        410       1085       1073         10          1          0        503         47       1491         13          1       2,66
 25      48281       1695          0         21          0          2      53,99       1,29       13,7       3,00        476       1231       1215         15          1          0        584         55       1698         18          2       2,84
 26      48038       1929          0         28          0          2      53,99       1,30       14,2       2,74        551       1399       1377         20          1          0        697         66       1933         24          2       2,55
 27      47763       2197          0         35          0          4      53,99       1,31       14,5       2,52        637       1588       1560         25          2          0        811         78       2201         31          4       2,35
 28      47460       2490          0         44          0          5      53,99       1,32       14,7       2,40        731       1798       1762         32          3          0        935         90       2494         39          5       2,21
 29      47137       2799          0         56          0          6      53,99       1,32       15,1       2,28        838       2013       1966         42          4          0       1078        104       2804         51          6       2,07
 30      46773       3148          0         69          0          8      53,99       1,33       15,4       2,27        957       2258       2200         52          5          0       1228        118       3154         63          8       2,09
 31      46410       3493          0         85          0         10      53,99       1,34       15,7       2,22       1090       2489       2416         65          7          0       1406        137       3499         79         10       2,06
 32      45993       3885          0        108          0         13      53,99       1,35       16,5       2,30       1236       2760       2671         79          9          0       1598        157       3895         98         13       2,05
 33      45564       4288          0        130          0         16      53,99       1,36       16,7       2,28       1394       3030       2922         96         11          0       1815        178       4298        120         16       2,08
 34      45097       4727          0        155          0         19      53,99       1,37       16,9       2,27       1571       3321       3191        116         13          0       2062        203       4737        145         19       2,11
 35      44603       5180          0        189          0         26      53,99       1,38       17,3       2,21       1762       3624       3464        141         18          0       2325        229       5190        179         26       2,08
 36      44083       5660          0        225          0         31      53,99       1,38       17,6       2,21       1967       3939       3749        169         21          0       2606        257       5670        215         31       2,10
 37      43544       6152          0        267          0         36      53,99       1,39       17,8       2,18       2182       4262       4036        201         24          0       2924        290       6162        257         36       2,08
 38      42972       6666          0        317          0         43      54,00       1,40       18,1       2,18       2415       4601       4333        238         29          0       3230        322       6676        307         43       2,10
 39      42380       7195          0        373          0         50      54,00       1,40       18,4       2,18       2659       4949       4634        280         33          0       3584        359       7205        363         50       2,11
 40      41773       7728          0        437          0         60      54,00       1,41       18,7       2,16       2920       5296       4927        329         39          0       3938        393       7738        427         60       2,10
 41      41406       8006          0        516          0         70      53,67       1,39       19,0       2,11       3135       5448       5079        329         39          0       4317        431       8016        506         70       2,06
 42      41050       8267          0        600          0         81      53,36       1,38       19,3       2,10       3356       5583       5214        329         39          0       4715        470       8277        590         81       2,06
 43      40686       8527          0        691          0         95      53,06       1,37       19,5       2,07       3593       5710       5341        329         39          0       5132        510       8537        681         95       2,03
 44      40335       8766          0        790          0        107      52,78       1,36       19,7       2,05       3821       5833       5464        329         39          0       5559        552       8776        780        107       2,01
 45      39994       8974          0        907          0        123      52,51       1,36       19,8       2,01       4050       5945       5577        329         39          0       5998        594       8984        897        123       1,98
 46      39671       9147          0       1037          0        143      52,25       1,35       20,0       1,98       4265       6053       5684        329         39          0       6439        639       9157       1027        143       1,95
 47      39372       9282          0       1180          0        164      52,01       1,35       20,2       1,95       4472       6145       5776        329         39          0       6881        690       9292       1170        164       1,93
 48      39094       9382          0       1337          0        185      51,77       1,35       20,4       1,93       4671       6223       5854        330         39          0       7072        709       9392       1327        185       1,91
 49      38827       9458          0       1506          0        207      51,55       1,34       20,6       1,89       4867       6295       5924        330         39          0       7237        727       9468       1496        207       1,87
 50      38577       9490          0       1699          0        233      51,34       1,34       20,8       1,86       5058       6353       5982        332         39          0       7382        743       9500       1689        233       1,85
 51      38349       9490          0       1901          0        259      51,13       1,34       21,0       1,83       5240       6399       6026        333         39          0       7505        752       9500       1891        259       1,82
 52      38131       9456          0       2126          0        285      50,94       1,34       21,2       1,80       5418       6439       6063        336         39          0       7594        762       9466       2116        285       1,78
 53      37933       9377          0       2372          0        315      50,75       1,34       21,4       1,77       5583       6473       6093        339         39          0       7641        766       9387       2362        315       1,75
 54      37741       9276          0       2635          0        346      50,57       1,34       21,6       1,74       5748       6499       6115        344         39          0       7647        769       9286       2625        346       1,73
 55      37563       9145          0       2912          0        377      50,40       1,34       21,8       1,72       5902       6523       6132        350         40          0       7615        764       9155       2902        377       1,70
 56      37398       8982          0       3207          0        411      50,24       1,34       22,0       1,69       6050       6540       6141        358         40          0       7554        757       8992       3197        411       1,68
 57      37245       8784          0       3524          0        446      50,08       1,34       22,3       1,65       6191       6553       6145        367         40          0       7453        746       8794       3514        446       1,65
 58      37100       8562          0       3854          0        482      49,93       1,34       22,5       1,62       6326       6562       6142        378         40          0       7314        731       8572       3844        482       1,62
 59      36963       8310          0       4203          0        522      49,79       1,34       22,7       1,59       6457       6569       6134        394         41          0       7143        716       8320       4193        522       1,59
 60      36839       8037          0       4562          0        560      49,65       1,34       22,9       1,57       6575       6575       6122        411         41          0       6943        695       8047       4552        560       1,56
 61      36722       7734          0       4943          0        599      49,52       1,34       23,1       1,54       6688       6578       6104        432         42          0       6716        670       7744       4933        599       1,53
 62      36614       7425          0       5320          0        639      49,39       1,34       23,3       1,51       6794       6581       6081        456         42          0       6476        649       7435       5310        639       1,51
