--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.6
17/04/2020 23:21:53
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_a_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   118 con       10.389 individuos,          197 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       2,00        1.000       1000,0            2
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120       2,00        1.000       1000,0            2
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120       7,00        3.500       3500,0            7
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
asintomatico          5   5  64     100,00      30,00       7,00      98,00    80   120      70,00       35.000      35000,0           70
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      54,23       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      54,23       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990          9          0          0          0          0      54,23       0,00        0,1       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49981         18          0          0          0          0      54,24       0,49        0,7       0,10          1          7          7          0          0          0          0          0         18          0          0       0,00
  5      49976         22          0          1          0          0      54,24       0,63        2,4       0,66          2         11         11          0          0          0          0          0         23          0          0       0,00
  6      49973         24          0          2          0          0      54,24       0,67        4,3       1,35          3         13         13          0          0          0          0          0         26          0          0       0,00
  7      49962         34          0          3          0          0      54,23       0,78        4,9       1,95          4         23         22          0          0          0          0          0         37          0          0       0,02
  8      49946         47          0          5          0          0      54,23       0,83        5,4       2,32          6         36         36          0          0          0          0          0         52          0          0       0,90
  9      49930         60          0          8          0          0      54,23       0,81        5,8       2,33          8         50         49          1          0          0          0          0         67          1          0       2,00
 10      49908         81          0         10          0          0      54,24       0,81        5,7       2,49         11         70         67          3          0          0          0          0         88          3          0       3,06
 11      49877        109          0         12          0          0      54,24       0,83        5,6       2,60         14         97         92          5          0          0          6          1        116          6          0       3,20
 12      49846        135          0         17          0          0      54,23       0,86        5,6       2,71         20        123        113          9          0          0          8          1        142         10          0       3,40
 13      49810        165          0         23          0          0      54,24       0,89        5,6       2,72         27        152        136         15          0          0          8          1        172         16          0       3,22
 14      49774        193          0         31          0          0      54,24       0,94        5,5       2,62         36        179        155         22          0          0         14          1        200         24          0       3,07
 15      49727        228          0         43          0          0      54,24       0,98        5,6       2,64         47        214        180         33          0          0         19          2        235         36          0       3,52
 16      49677        262          0         58          0          1      54,24       1,01        5,8       2,47         59        252        203         48          1          0         23          2        269         51          1       2,84
 17      49624        296          0         76          0          1      54,23       1,04        5,8       2,25         74        291        224         65          1          0         31          3        303         69          1       2,51
 18      49560        339          0         98          0          2      54,23       1,07        6,0       2,07         90        339        252         85          1          0         40          4        346         91          2       2,26
 19      49489        386          0        121          0          2      54,23       1,08        6,1       1,96        108        391        282        106          2          0         47          5        393        114          2       2,11
 20      49414        438          0        143          0          3      54,23       1,09        6,2       1,82        128        446        317        126          2          0         60          6        445        136          3       1,94
 21      49323        506          0        165          0          3      54,23       1,11        6,3       1,73        151        514        366        145          3          0         71          8        513        158          3       1,80
 22      49229        579          0        187          0          4      54,23       1,13        6,3       1,69        178        582        416        162          3          0         96         11        586        179          4       1,74
 23      49113        672          0        209          0          5      54,23       1,14        6,4       1,66        208        668        483        180          4          0        125         13        679        202          5       1,70
 24      48994        767          0        232          0          5      54,23       1,16        6,5       1,66        243        752        548        198          4          0        159         17        774        225          5       1,68
