--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.6
17/04/2020 12:36:39
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_a_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          659
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   122 con       10.680 individuos,            2 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       2,00      30,00     100,00    70    90       2,00        1.000       1000,0            2
menor                 1   5  19     100,00       4,00      30,00     100,00    80   120       2,00        1.000       1000,0            2
adulto                2  20  64     100,00      30,00      30,00      98,00    80   120       7,00        3.500       3500,0            7
jubilado              3  65  69     100,00    4500,00      30,00      85,00    80   120       5,00        2.500       2500,0            5
mayor                 4  70 150     100,00    2000,00      30,00      70,00    20    30      14,00        7.000       7000,0           14
asintomatico          5   5  64     100,00      30,00       7,00      98,00    80   120      70,00       35.000      35000,0           70
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      54,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      54,25       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990          9          0          1          0          0      54,30       0,00        2,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49936         63          0          1          0          0      54,32       0,26        2,0       0,00          3         51         51          0          0          0          0          0         64          0          0       0,00
  5      49933         66          0          1          0          0      54,32       0,27        2,0       0,00          4         53         53          0          0          0          0          0         67          0          0       0,00
  6      49929         69          0          2          0          0      54,31       0,25        3,5       1,00          6         55         55          0          0          0          0          0         71          0          0       0,00
  7      49912         85          0          3          0          0      54,31       0,44        4,3      17,00         18         60         60          0          0          0          0          0         88          0          0       0,00
  8      49898         99          0          3          0          0      54,29       0,72        4,3      17,00         23         69         69          0          0          0          0          0        102          0          0       0,00
  9      49883        109          0          8          0          0      54,30       0,80        6,3       8,00         29         78         78          0          0          0          0          0        116          1          0       0,00
 10      49824        166          0         10          0          0      54,29       0,87        5,9       7,20         39        127        125          2          0          0          0          0        173          3          0       2,67
 11      49794        193          0         13          0          0      54,31       0,90        5,8       6,46         46        150        145          5          0          0         51          8        200          6          0       3,33
 12      49773        210          0         17          0          0      54,32       0,95        5,2       5,18         52        165        156          9          0          0         53          8        217         10          0       2,40
 13      49713        264          0         23          0          0      54,32       0,99        5,2       4,35         60        217        204         13          0          0         54          8        271         16          0       2,25
 14      49676        293          0         31          0          0      54,31       1,06        5,5       3,71         80        234        213         21          0          0         66          9        300         24          0       2,13
 15      49612        340          0         48          0          0      54,30       1,11        5,5       3,17        100        278        244         34          0          0         70          9        347         41          0       2,15
 16      49573        368          0         59          0          0      54,30       1,11        5,7       2,97        115        302        257         45          0          0         74         10        375         52          0       2,13
 17      49498        430          0         72          0          0      54,29       1,14        5,8       2,56        131        361        306         55          0          0        117         15        437         65          0       1,85
 18      49426        481          0         91          0          2      54,29       1,19        6,2       2,29        148        416        342         72          2          0        122         16        488         84          2       1,73
 19      49367        521          0        109          0          3      54,28       1,19        6,3       2,24        171        452        364         85          3          0        126         15        528        102          3       1,78
 20      49265        608          0        124          0          3      54,28       1,21        6,3       2,09        202        523        422         98          3          0        170         22        615        117          3       1,68
 21      49171        685          0        141          0          3      54,28       1,23        6,4       2,08        238        581        469        109          3          0        188         25        692        134          3       1,72
 22      49039        794          0        164          0          3      54,28       1,22        6,4       1,95        261        690        562        125          3          0        235         28        801        157          3       1,63
 23      48802        998          0        197          0          3      54,27       1,20        6,5       1,98        295        893        741        149          3          0        247         29       1005        190          3       1,72
 24      48667       1106          0        224          0          3      54,28       1,18        6,7       1,87        331        992        819        170          3          0        298         34       1113        217          3       1,64
 25      48492       1257          0        247          0          4      54,28       1,16        6,8       1,86        361       1137        949        184          4          0        346         44       1265        239          4       1,66
 26      48220       1476          0        300          0          4      54,27       1,18        6,9       1,97        431       1339       1109        226          4          0        366         48       1484        292          4       1,81
 27      47951       1699          0        346          0          4      54,28       1,17        6,9       2,09        511       1528       1269        255          4          0        426         54       1707        338          4       1,94
 28      47645       1945          0        402          0          8      54,28       1,16        6,8       2,15        564       1781       1470        303          8          0        482         62       1953        394          8       2,03
 29      47279       2225          0        483          0         13      54,28       1,16        6,9       2,14        668       2043       1663        369         11          0        553         75       2233        475         13       2,05
 30      46950       2463          0        570          0         17      54,28       1,16        6,8       2,14        783       2257       1797        447         13          0        715         94       2471        562         17       2,06
 31      46761       2522          0        700          0         17      53,84       1,15        6,7       2,11        870       2359       1899        447         13          0        776        100       2530        692         17       2,05
 32      46586       2542          0        846          0         26      53,42       1,17        6,9       1,97        959       2445       1985        447         13          0        811        100       2552        836         26       1,91
 33      46361       2590          0       1020          0         29      53,04       1,19        6,9       1,82       1064       2565       2103        449         13          0        919        114       2600       1010         29       1,77
 34      46163       2577          0       1227          0         33      52,68       1,20        7,0       1,70       1175       2652       2186        453         13          0       1013        120       2587       1217         33       1,66
 35      45989       2528          0       1444          0         39      52,34       1,21        7,3       1,58       1279       2722       2246        463         13          0       1075        122       2538       1434         39       1,55
 36      45756       2544          0       1650          0         50      52,01       1,22        7,3       1,47       1374       2860       2367        480         13          0       1189        132       2554       1640         50       1,44
 37      45558       2505          0       1884          0         53      51,71       1,22        7,4       1,41       1453       2979       2443        522         14          0       1225        136       2515       1874         53       1,38
 38      45366       2513          0       2056          0         65      51,42       1,23        7,6       1,38       1527       3097       2495        587         15          0       1231        142       2523       2046         65       1,36
 39      45134       2615          0       2178          0         73      51,15       1,22        7,7       1,37       1604       3252       2567        669         16          0       1270        144       2625       2168         73       1,35
 40      44897       2694          0       2330          0         79      50,89       1,22        7,8       1,36       1683       3410       2630        763         17          0       1337        147       2704       2320         79       1,34
 41      44646       2772          0       2491          0         91      50,65       1,22        8,0       1,40       1766       3578       2711        848         19          0       1372        153       2782       2481         91       1,38
 42      44377       2883          0       2636          0        104      50,42       1,21        8,2       1,38       1857       3756       2798        938         20          0       1398        154       2893       2626        104       1,36
 43      44092       2997          0       2794          0        117      50,19       1,21        8,3       1,42       1947       3951       2896       1033         22          0       1460        164       3007       2784        117       1,40
 44      43805       3092          0       2970          0        133      49,98       1,21        8,5       1,43       2052       4133       2962       1145         26          0       1474        166       3102       2960        133       1,41
 45      43575       3131          0       3153          0        141      49,78       1,21        8,6       1,42       2135       4280       2991       1262         27          0       1509        166       3141       3143        141       1,40
 46      43346       3143          0       3341          0        170      49,59       1,21        8,7       1,41       2233       4411       2995       1384         32          0       1535        171       3153       3331        170       1,40
 47      43159       3086          0       3571          0        184      49,41       1,21        8,7       1,40       2324       4507       2915       1556         36          0       1545        169       3096       3561        184       1,38
 48      43003       2987          0       3807          0        203      49,23       1,21        8,9       1,38       2419       4568       2814       1714         40          0       1548        165       2997       3797        203       1,37
 49      42869       2857          0       4046          0        228      49,06       1,21        9,1       1,35       2511       4610       2693       1868         49          0       1543        162       2867       4036        228       1,34
 50      42724       2753          0       4273          0        250      48,90       1,21        9,1       1,32       2602       4664       2584       2028         52          0       1565        168       2763       4263        250       1,31
 51      42613       2601          0       4508          0        278      48,75       1,22        9,3       1,29       2682       4695       2470       2171         54          0       1541        168       2611       4498        278       1,28
 52      42511       2459          0       4729          0        301      48,60       1,22        9,5       1,25       2751       4728       2384       2287         57          0       1512        166       2469       4719        301       1,24
 53      42408       2325          0       4948          0        319      48,46       1,23        9,7       1,22       2813       4769       2295       2416         58          0       1483        159       2335       4938        319       1,21
 54      42292       2227          0       5141          0        340      48,32       1,23        9,9       1,20       2879       4819       2260       2499         60          0       1435        158       2237       5131        340       1,19
 55      42181       2158          0       5303          0        358      48,19       1,23       10,1       1,19       2937       4872       2243       2569         60          0       1392        155       2168       5293        358       1,18
 56      42097       2094          0       5438          0        371      48,29       1,24       10,2       1,20       2991       4902       2273       2569         60          0       1375        158       2104       5428        371       1,19
 57      42004       2045          0       5557          0        394      48,38       1,25       10,4       1,19       3050       4936       2307       2569         60          0       1364        158       2055       5547        394       1,18
 58      41911       2008          0       5678          0        403      48,47       1,25       10,6       1,18       3112       4967       2338       2569         60          0       1345        151       2018       5668        403       1,17
 59      41836       1930          0       5804          0        430      48,56       1,26       10,8       1,17       3168       4986       2354       2572         60          0       1304        154       1940       5794        430       1,16
 60      41751       1850          0       5948          0        451      48,64       1,27       11,1       1,16       3243       4996       2361       2575         60          0       1250        147       1860       5938        451       1,15
 61      41681       1783          0       6066          0        470      48,73       1,28       11,2       1,15       3304       5005       2363       2582         60          0       1230        137       1793       6056        470       1,14
 62      41613       1742          0       6159          0        486      48,81       1,29       11,3       1,14       3368       5009       2357       2591         61          0       1219        134       1752       6149        486       1,13
 63      41554       1670          0       6267          0        509      48,88       1,29       11,5       1,13       3425       5011       2339       2611         61          0       1163        125       1680       6257        509       1,12
 64      41508       1606          0       6359          0        527      48,96       1,30       11,6       1,12       3469       5013       2320       2632         61          0       1149        129       1616       6349        527       1,11
 65      41461       1519          0       6482          0        538      49,03       1,30       11,7       1,12       3506       5023       2306       2656         61          0       1095        120       1529       6472        538       1,11
 66      41413       1474          0       6564          0        549      49,10       1,31       11,8       1,11       3545       5032       2300       2671         61          0       1079        122       1484       6554        549       1,10
 67      41375       1397          0       6661          0        567      49,18       1,31       12,0       1,10       3573       5042       2298       2683         61          0       1047        112       1407       6651        567       1,09
 68      41322       1360          0       6741          0        577      49,25       1,31       12,1       1,10       3605       5063       2315       2687         61          0       1019        107       1370       6731        577       1,09
 69      41276       1309          0       6818          0        597      49,32       1,32       12,2       1,09       3641       5073       2318       2693         62          0        991        108       1319       6808        597       1,08
 70      41232       1279          0       6876          0        613      49,38       1,32       12,3       1,09       3673       5085       2325       2698         62          0        974        104       1289       6866        613       1,08
 71      41192       1248          0       6939          0        621      49,28       1,32       12,3       1,09       3701       5097       2337       2698         62          0        951        100       1258       6929        621       1,08
