Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1       1000          0          0          0          0          0          0          0          0
  2       1000          0          0          0          0          0          0          0          0
  3       1000          0          0          0          0          0          0          0          0
  4       1000          0          0          0          0          0          0          0          0
  5       1000          0          0          0          0          0          0          0          0
  6       1000          0          0          0          0          0          0          0          0
  7       1000          0          0          0          0          0          0          0          0
  8       1000          0          0          0          0          0          0          0          0
  9       1000          0          0          0          0          0          0          0          0
 10       1000          0          0          0          0          0          0          0          0
 11       1000          0          0          0          0          0          0          0          0
 12       1000          0          0          0          0          0          0          0          0
 13       1000          0          0          0          0          0          0          0          0
 14       1000          0          0          0          0          0          0          0          0
 15       1000          0          0          0          0          0          0          0          0
 16       1000          0          0          0          0          0          0          0          0
 17       1000          0          0          0          0          0          0          0          0
 18       1000          0          0          0          0          0          0          0          0
 19       1000          0          0          0          0          0          0          0          0
 20       1000          0          0          0          0          0          0          0          0
 21       1000          0          0          0          0          0          0          0          0
 22       1000          0          0          0          0          0          0          0          0
 23       1000          0          0          0          0          0          0          0          0
 24       1000          0          0          0          0          0          0          0          0
 25       1000          0          0          0          0          0          0          0          0
 26       1000          0          0          0          0          0          0          0          0
 27       1000          0          0          0          0          0          0          0          0
 28       1000          0          0          0          0          0          0          0          0
 29       1000          0          0          0          0          0          0          0          0
 30       1000          0          0          0          0          0          0          0          0
 31       1000          0          0          0          0          0          0          0          0
 32       1000          0          0          0          0          0          0          0          0
 33       1000          0          0          0          0          0          0          0          0
 34       1000          0          0          0          0          0          0          0          0
 35       1000          0          0          0          0          0          0          0          0
 36       1000          0          0          0          0          0          0          0          0
 37       1000          0          0          0          0          0          0          0          0
 38       1000          0          0          0          0          0          0          0          0
 39       1000          0          0          0          0          0          0          0          0
 40       1000          0          0          0          0          0          0          0          0
 41       1000          0          0          0          0          0          0          0          0
 42       1000          0          0          0          0          0          0          0          0
 43       1000          0          0          0          0          0          0          0          0
 44       1000          0          0          0          0          0          0          0          0
 45       1000          0          0          0          0          0          0          0          0
 46       1000          0          0          0          0          0          0          0          0
 47       1000          0          0          0          0          0          0          0          0
 48       1000          0          0          0          0          0          0          0          0
 49       1000          0          0          0          0          0          0          0          0
 50       1000          0          0          0          0          0          0          0          0
 51       1000          0          0          0          0          0          0          0          0
 52       1000          0          0          0          0          0          0          0          0
 53       1000          0          0          0          0          0          0          0          0
 54       1000          0          0          0          0          0          0          0          0
 55       1000          0          0          0          0          0          0          0          0
 56       1000          0          0          0          0          0          0          0          0
 57       1000          0          0          0          0          0          0          0          0
 58       1000          0          0          0          0          0          0          0          0
 59       1000          0          0          0          0          0          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

Tipo 1
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1       1000          0          0          0          0          0          0          0          0
  2       1000          0          0          0          0          0          0          0          0
  3       1000          0          0          0          0          0          0          0          0
  4       1000          0          0          0          0          0          0          0          0
  5       1000          0          0          0          0          0          0          0          0
  6       1000          0          0          0          0          0          0          0          0
  7       1000          0          0          0          0          0          0          0          0
  8       1000          0          0          0          0          0          0          0          0
  9       1000          0          0          0          0          0          0          0          0
 10       1000          0          0          0          0          0          0          0          0
 11       1000          0          0          0          0          0          0          0          0
 12       1000          0          0          0          0          0          0          0          0
 13       1000          0          0          0          0          0          0          0          0
 14       1000          0          0          0          0          0          0          0          0
 15       1000          0          0          0          0          0          0          0          0
 16       1000          0          0          0          0          0          0          0          0
 17       1000          0          0          0          0          0          0          0          0
 18       1000          0          0          0          0          0          0          0          0
 19       1000          0          0          0          0          0          0          0          0
 20       1000          0          0          0          0          0          0          0          0
 21       1000          0          0          0          0          0          0          0          0
 22       1000          0          0          0          0          0          0          0          0
 23       1000          0          0          0          0          0          0          0          0
 24       1000          0          0          0          0          0          0          0          0
 25       1000          0          0          0          0          0          0          0          0
 26       1000          0          0          0          0          0          0          0          0
 27       1000          0          0          0          0          0          0          0          0
 28       1000          0          0          0          0          0          0          0          0
 29       1000          0          0          0          0          0          0          0          0
 30       1000          0          0          0          0          0          0          0          0
 31       1000          0          0          0          0          0          0          0          0
 32       1000          0          0          0          0          0          0          0          0
 33       1000          0          0          0          0          0          0          0          0
 34       1000          0          0          0          0          0          0          0          0
 35       1000          0          0          0          0          0          0          0          0
 36       1000          0          0          0          0          0          0          0          0
 37       1000          0          0          0          0          0          0          0          0
 38       1000          0          0          0          0          0          0          0          0
 39       1000          0          0          0          0          0          0          0          0
 40       1000          0          0          0          0          0          0          0          0
 41       1000          0          0          0          0          0          0          0          0
 42       1000          0          0          0          0          0          0          0          0
 43       1000          0          0          0          0          0          0          0          0
 44       1000          0          0          0          0          0          0          0          0
 45       1000          0          0          0          0          0          0          0          0
 46       1000          0          0          0          0          0          0          0          0
 47       1000          0          0          0          0          0          0          0          0
 48       1000          0          0          0          0          0          0          0          0
 49       1000          0          0          0          0          0          0          0          0
 50       1000          0          0          0          0          0          0          0          0
 51       1000          0          0          0          0          0          0          0          0
 52       1000          0          0          0          0          0          0          0          0
 53       1000          0          0          0          0          0          0          0          0
 54       1000          0          0          0          0          0          0          0          0
 55       1000          0          0          0          0          0          0          0          0
 56       1000          0          0          0          0          0          0          0          0
 57       1000          0          0          0          0          0          0          0          0
 58       1000          0          0          0          0          0          0          0          0
 59       1000          0          0          0          0          0          0          0          0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------

Tipo 2
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1       3499          1          0          0          0          0          0          0          0
  2       3499          1          0          0          0          0          0          0          0
  3       3499          1          0          0          0          0          0          0          0
  4       3499          1          0          0          0          0          0          0          0
  5       3499          1          0          0          0          0          0          0          0
  6       3499          1          0          0          0          0          0          0          0
  7       3499          1          0          0          0          0          0          0          0
  8       3499          1          0          0          0          0          0          0          0
  9       3499          1          0          0          0          0          0          0          0
 10       3499          1          0          0          0          0          0          0          0
 11       3499          1          0          0          0          0          0          0          0
 12       3499          1          0          0          0          0          0          0          0
 13       3499          1          0          0          0          0          0          0          0
 14       3499          1          0          0          0          0          0          0          0
 15       3499          1          0          0          0          0          0          0          0
 16       3499          1          0          0          0          0          0          0          0
 17       3499          1          0          0          0          0          0          0          0
