Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s001.log                  25,09   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s002.log                  70,82   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s003.log                  43,49   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s004.log                  43,33   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s005.log                  54,41   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s006.log                  45,92   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s007.log                  23,82   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s008.log                  28,51   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s009.log                  31,22   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s010.log                  15,27   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s011.log                  11,41   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s012.log                  88,40   1 
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s013.log                  55,17   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s014.log                  16,61   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s015.log                  24,94   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s016.log                  65,44   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s017.log                  34,19   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s018.log                  23,94   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s019.log                  20,88   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s020.log                  24,69   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s021.log                  18,87   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s022.log                  58,75   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s023.log                  34,43   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s024.log                  91,08   1 
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s025.log                  55,22   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s026.log                  24,53   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s027.log                  28,82   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s028.log                  20,43   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s029.log                  26,86   1 ok
F:\Contagio\50_gi_a_30_25m1_15m2_15m1_0\s030.log                 133,83   1 
------------------------------------------------------------ ---------- --- --
                                           2 x      41,35  =      82,69
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      54,24       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      54,23       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990          9          0          0          0          0      54,23       0,00        0,1       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49980         19          0          0          0          0      54,24       0,50        0,8       0,11          1          8          8          0          0          0          0          0         19          0          0       0,00
  5      49975         23          0          1          0          0      54,23       0,64        2,6       0,74          2         12         12          0          0          0          0          0         24          0          0       0,00
  6      49972         24          0          2          0          0      54,23       0,65        4,4       1,23          3         14         14          0          0          0          0          0         27          0          0       0,00
  7      49961         34          0          3          0          0      54,23       0,76        4,9       2,04          4         23         23          0          0          0          0          0         38          0          0       0,02
  8      49945         48          0          5          0          0      54,23       0,78        5,4       2,43          6         37         37          0          0          0          0          0         53          0          0       0,94
  9      49929         61          0          8          0          0      54,23       0,75        5,8       2,36          8         51         50          1          0          0          0          0         68          1          0       2,08
 10      49907         81          0         10          0          0      54,23       0,76        5,6       2,56         11         71         67          3          0          0          0          0         88          3          0       3,27
 11      49877        109          0         13          0          0      54,23       0,78        5,5       2,69         14         97         92          5          0          0          7          1        116          6          0       3,42
 12      49846        135          0         17          0          0      54,23       0,80        5,6       2,80         20        123        113          9          0          0          8          1        142         10          0       3,59
 13      49810        165          0         23          0          0      54,23       0,83        5,5       2,83         27        152        137         15          0          0          9          1        172         16          0       3,41
 14      49774        193          0         31          0          0      54,23       0,89        5,5       2,74         36        179        156         22          0          0         14          1        200         24          0       3,27
 15      49726        229          0         43          0          0      54,24       0,93        5,6       2,77         47        215        181         33          0          0         20          2        236         36          0       3,78
 16      49677        262          0         58          0          1      54,24       0,97        5,7       2,61         59        252        204         47          1          0         24          3        269         51          1       3,03
 17      49623        298          0         76          0          1      54,23       1,01        5,8       2,38         73        292        226         64          1          0         31          3        305         69          1       2,67
 18      49558        340          0         98          0          1      54,23       1,04        5,9       2,19         89        342        255         85          1          0         40          4        348         91          1       2,40
 19      49486        389          0        121          0          2      54,23       1,05        6,0       2,07        107        396        288        105          2          0         48          5        396        113          2       2,25
 20      49408        444          0        143          0          3      54,23       1,06        6,1       1,92        127        453        324        126          2          0         61          6        451        136          3       2,07
 21      49320        509          0        166          0          3      54,23       1,08        6,2       1,83        150        519        370        145          3          0         71          7        517        159          3       1,92
 22      49222        584          0        188          0          4      54,23       1,10        6,3       1,78        177        589        422        163          3          0         96         11        591        181          4       1,86
 23      49102        680          0        212          0          4      54,23       1,12        6,3       1,76        207        679        492        183          4          0        124         13        687        204          4       1,82
 24      48980        777          0        236          0          5      54,23       1,13        6,4       1,76        243        766        559        202          4          0        157         17        785        228          5       1,79
 25      48843        885          0        263          0          6      54,23       1,14        6,4       1,77        279        866        637        223          5          0        197         22        893        255          6       1,79
 26      48670       1025          0        297          0          7      54,23       1,14        6,5       1,79        322        996        740        250          6          0        240         26       1033        289          7       1,81
 27      48482       1170          0        338          0          8      54,23       1,15        6,5       1,82        373       1133        844        282          6          0        284         30       1178        330          8       1,82
 28      48288       1317          0        383          0         10      54,23       1,16        6,5       1,83        430       1271        944        319          7          0        332         35       1325        375         10       1,84
 29      48035       1511          0        440          0         11      54,23       1,17        6,6       1,85        493       1460       1086        365          9          0        380         40       1520        432         11       1,85
 30      47786       1690          0        508          0         14      54,23       1,18        6,6       1,88        563       1639       1206        422         11          0        441         47       1698        500         14       1,89
 31      47645       1750          0        587          0         16      53,79       1,17        6,6       1,86        625       1719       1285        422         11          0        493         53       1758        579         16       1,86
 32      47484       1815          0        679          0         20      53,38       1,17        6,7       1,80        695       1809       1375        422         11          0        551         59       1825        669         20       1,80
 33      47313       1879          0        783          0         23      52,99       1,18        6,7       1,74        774       1902       1467        423         11          0        629         67       1889        773         23       1,74
 34      47142       1931          0        898          0         27      52,63       1,19        6,8       1,69        849       1997       1560        426         11          0        707         75       1941        888         27       1,68
 35      46977       1961          0       1027          0         32      52,29       1,20        6,9       1,60        922       2090       1645        433         11          0        774         81       1971       1017         32       1,59
 36      46798       2008          0       1155          0         38      51,96       1,20        7,0       1,54        992       2198       1737        449         11          0        880         91       2018       1145         38       1,54
 37      46618       2053          0       1285          0         43      51,66       1,21        7,1       1,49       1064       2307       1814        480         12          0        964         99       2063       1275         43       1,48
 38      46439       2102          0       1408          0         49      51,37       1,21        7,2       1,46       1132       2417       1875        528         13          0        985        101       2112       1398         49       1,46
 39      46251       2176          0       1516          0         55      51,10       1,21        7,3       1,45       1200       2538       1922        600         15          0       1034        105       2186       1506         55       1,44
 40      46044       2260          0       1631          0         62      50,84       1,21        7,4       1,44       1274       2671       1980        673         16          0       1088        110       2270       1621         62       1,43
 41      45846       2331          0       1751          0         70      50,59       1,21        7,5       1,43       1348       2795       2024        751         18          0       1130        115       2341       1741         70       1,42
 42      45643       2394          0       1883          0         78      50,36       1,21        7,6       1,42       1426       2920       2064        835         20          0       1165        118       2404       1873         78       1,42
 43      45431       2464          0       2017          0         87      50,14       1,21        7,7       1,42       1504       3054       2108        923         22          0       1208        122       2474       2007         87       1,41
 44      45226       2508          0       2166          0         98      49,92       1,22        7,9       1,41       1583       3179       2132       1022         24          0       1231        125       2518       2156         98       1,41
 45      45027       2547          0       2315          0        109      49,72       1,22        8,0       1,40       1665       3296       2148       1121         26          0       1258        128       2557       2305        109       1,40
 46      44829       2572          0       2474          0        123      49,53       1,22        8,2       1,40       1747       3412       2159       1224         28          0       1277        128       2582       2464        123       1,39
 47      44643       2571          0       2647          0        137      49,34       1,22        8,4       1,38       1832       3513       2146       1336         31          0       1296        131       2581       2637        137       1,38
