--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.1.0.9
21/04/2020 11:47:08
--------------------------------------------------------------------------------------------------
Carpeta 50_gi_m_30_25m1_15m2_15m1_0
Número de hilos                              30
Semilla población                         1.324
Semilla simulación                          641
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Probabilidad base de contagio              6,00 %
Probabilidad contagio clúster              6,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecta            0,00 %

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,          620 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4     100,00       3,00      30,00     100,00    70    90       4,00        2.000          4,0           40
menor                 1   5  19     100,00       1,00      30,00     100,00    80   120      15,00        7.500         15,0           60
adulto                2  20  64     100,00      25,00      30,00      99,00    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00    5800,00      30,00      96,00    80   120       5,00        2.500          5,0           50
mayor                 4  70 150     100,00    2500,00      30,00      81,00    20    30      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49979         20          0          0          0          0      53,98       0,45        0,0       0,00          1          9          9          0          0          0          0          0         20          0          0       0,00
  5      49975         24          0          0          0          0      53,98       0,62        0,0       0,00          1         12         12          0          0          0          0          0         24          0          0       0,00
  6      49972         27          0          0          0          0      53,98       0,67        0,0       0,00          2         14         14          0          0          0          0          0         27          0          0       0,00
  7      49961         38          0          0          0          0      53,99       0,82        0,0       0,00          4         24         24          0          0          0          0          0         38          0          0       0,00
  8      49947         52          0          0          0          0      53,99       0,87        0,2       0,00          5         36         36          0          0          0          0          0         52          0          0       0,00
  9      49933         66          0          0          0          0      53,99       0,89        0,5       0,00          7         48         48          0          0          0          0          0         66          0          0       0,00
 10      49908         91          0          0          0          0      53,99       0,91        0,7       0,03         10         71         71          0          0          0          0          0         91          0          0       0,03
 11      49879        120          0          0          0          0      53,99       0,98        1,3       0,07         15         95         95          0          0          0         10          0        120          0          0       0,03
 12      49843        156          0          0          0          0      53,99       1,00        1,7       0,12         19        126        126          0          0          0         14          1        156          0          0       0,05
 13      49800        199          0          0          0          0      53,99       1,03        3,8       0,25         27        162        162          0          0          0         17          1        199          0          0       0,05
 14      49745        253          0          0          0          0      53,99       1,05        5,2       0,61         36        207        207          0          0          0         28          2        253          0          0       0,48
 15      49700        298          0          1          0          0      53,99       1,08        6,6       1,14         48        240        240          0          0          0         42          4        298          0          0       0,75
 16      49648        350          0          1          0          0      53,99       1,12        7,4       1,11         64        277        276          0          0          0         55          5        350          0          0       0,66
 17      49594        403          0          2          0          0      53,99       1,18        8,3       1,90         84        311        310          1          0          0         80          7        404          1          0       1,06
 18      49520        476          0          3          0          0      53,98       1,21        9,6       2,04        106        363        361          1          0          0        108         10        478          1          0       1,14
 19      49443        552          0          3          0          0      53,99       1,25       10,7       1,93        130        415        413          2          0          0        144         14        553          2          0       1,12
 20      49359        635          0          5          0          0      53,99       1,28       11,0       2,25        156        474        471          2          0          0        186         18        637          3          0       1,58
 21      49255        737          0          6          0          0      53,99       1,30       12,1       2,15        188        546        542          3          0          0        239         22        740          4          0       1,78
 22      49147        843          0          8          0          0      53,99       1,32       12,9       2,14        222        619        614          4          0          0        283         27        845          5          0       1,89
 23      49024        963          0         10          0          0      53,99       1,33       13,2       2,33        259        705        698          6          0          0        333         32        966          7          0       2,00
 24      48878       1106          0         14          0          0      53,99       1,34       13,6       2,29        302        808        799          9          0          0        384         37       1109         11          0       1,89
 25      48731       1249          0         18          0          0      53,99       1,35       14,5       2,23        352        905        893         12          0          0        455         44       1253         14          0       1,86
 26      48559       1415          0         23          0          1      53,99       1,36       14,7       2,14        407       1022       1005         16          0          0        526         50       1419         19          1       1,81
 27      48371       1596          0         30          0          1      53,99       1,37       15,0       2,25        468       1150       1127         21          0          0        604         57       1601         25          1       1,90
 28      48172       1787          0         38          0          1      53,99       1,38       15,3       2,23        534       1282       1253         27          1          0        700         67       1792         33          1       1,92
 29      47946       2004          0         47          0          2      53,99       1,39       15,7       2,32        606       1437       1401         34          1          0        798         77       2009         41          2       2,07
 30      47702       2236          0         58          0          2      53,99       1,40       16,2       2,23        686       1601       1556         42          1          0        910         87       2242         51          2       2,01
 31      47556       2368          0         71          0          3      53,55       1,39       16,5       2,20        755       1678       1633         42          1          0       1043        100       2374         64          3       2,00
 32      47394       2510          0         90          0          4      53,14       1,38       17,3       2,29        831       1763       1719         42          1          0       1174        112       2520         80          4       2,15
 33      47222       2663          0        107          0          6      52,76       1,38       17,5       2,19        916       1850       1806         42          1          0       1327        126       2673         97          6       2,06
 34      47042       2822          0        128          0          7      52,39       1,38       17,6       2,12       1006       1941       1896         42          1          0       1493        142       2832        118          7       2,01
 35      46855       2979          0        155          0          9      52,05       1,38       18,0       2,15       1095       2038       1994         42          1          0       1663        158       2989        145          9       2,07
 36      46661       3143          0        182          0         11      51,73       1,38       18,2       2,11       1188       2139       2095         42          1          0       1860        177       3153        172         11       2,04
 37      46468       3303          0        213          0         14      51,43       1,38       18,5       2,08       1280       2240       2195         43          1          0       2070        198       3313        203         14       2,03
 38      46272       3458          0        252          0         16      51,14       1,38       18,8       2,07       1372       2344       2299         43          1          0       2174        210       3468        242         16       2,02
 39      46064       3619          0        295          0         19      50,86       1,39       19,0       2,02       1473       2451       2405         44          1          0       2290        220       3629        285         19       1,97
 40      45854       3779          0        342          0         23      50,60       1,38       19,2       1,98       1579       2556       2509         44          1          0       2412        233       3789        332         23       1,93
 41      45654       3919          0        398          0         27      50,36       1,39       19,5       1,94       1681       2654       2606         45          2          0       2532        245       3929        388         27       1,90
 42      45444       4061          0        461          0         32      50,12       1,39       19,8       1,93       1791       2753       2704         47          2          0       2651        256       4071        451         32       1,88
 43      45242       4190          0        529          0         37      49,90       1,39       20,1       1,92       1901       2845       2794         49          2          0       2772        268       4200        519         37       1,88
 44      45042       4307          0        606          0         43      49,69       1,39       20,3       1,90       2012       2935       2880         52          2          0       2881        282       4317        596         43       1,87
 45      44836       4419          0        692          0         50      49,48       1,39       20,6       1,87       2129       3023       2964         57          2          0       2985        292       4429        682         50       1,83
 46      44634       4529          0        778          0         57      49,29       1,39       20,8       1,83       2244       3110       3044         63          2          0       3100        304       4539        768         57       1,80
 47      44439       4622          0        873          0         64      49,11       1,39       21,0       1,83       2359       3191       3119         69          2          0       3208        315       4632        863         64       1,80
 48      44256       4695          0        974          0         73      48,93       1,39       21,3       1,82       2471       3262       3180         78          3          0       3298        324       4705        964         73       1,80
 49      44069       4763          0       1083          0         82      48,76       1,39       21,5       1,78       2587       3332       3240         89          3          0       3389        334       4773       1073         82       1,75
 50      43890       4813          0       1203          0         92      48,60       1,39       21,8       1,74       2702       3396       3289        103          3          0       3462        341       4823       1193         92       1,72
 51      43714       4856          0       1325          0        103      48,45       1,39       22,0       1,71       2818       3456       3333        118          4          0       3529        347       4866       1315        103       1,69
 52      43539       4884          0       1462          0        113      48,30       1,40       22,2       1,68       2936       3514       3369        140          4          0       3587        354       4894       1452        113       1,65
 53      43372       4894          0       1609          0        124      48,16       1,40       22,4       1,66       3045       3571       3401        165          5          0       3632        359       4904       1599        124       1,64
 54      43211       4891          0       1760          0        136      48,02       1,40       22,6       1,63       3154       3623       3426        191          5          0       3664        362       4901       1750        136       1,61
 55      43052       4877          0       1920          0        149      47,89       1,40       22,8       1,61       3264       3673       3443        223          6          0       3673        364       4887       1910        149       1,59
 56      42891       4856          0       2089          0        162      48,00       1,42       23,0       1,61       3399       3699       3468        223          6          0       3678        364       4866       2079        162       1,60
 57      42735       4825          0       2262          0        175      48,11       1,43       23,2       1,58       3533       3721       3490        223          6          0       3671        363       4835       2252        175       1,58
 58      42583       4784          0       2443          0        187      48,21       1,44       23,4       1,57       3660       3745       3515        223          6          0       3654        361       4794       2433        187       1,56
 59      42437       4735          0       2626          0        200      48,31       1,46       23,6       1,54       3784       3767       3537        223          6          0       3634        361       4745       2616        200       1,53
 60      42297       4668          0       2821          0        213      48,41       1,47       23,7       1,51       3907       3785       3555        223          6          0       3593        358       4678       2811        213       1,51
 61      42165       4593          0       3014          0        226      48,50       1,48       23,8       1,49       4022       3802       3572        223          6          0       3548        354       4603       3004        226       1,48
 62      42035       4547          0       3180          0        237      48,60       1,49       23,9       1,47       4136       3818       3587        223          6          0       3530        350       4557       3170        237       1,47
 63      41912       4489          0       3348          0        249      48,68       1,50       24,0       1,46       4244       3833       3603        223          6          0       3511        350       4499       3338        249       1,45
 64      41792       4422          0       3522          0        261      48,77       1,51       24,0       1,44       4349       3847       3617        223          6          0       3480        345       4432       3512        261       1,43
 65      41675       4353          0       3698          0        272      48,85       1,52       24,1       1,43       4453       3861       3631        223          6          0       3445        341       4363       3688        272       1,42
 66      41563       4273          0       3879          0        284      48,94       1,53       24,1       1,41       4551       3874       3643        224          6          0       3399        337       4283       3869        284       1,40
 67      41459       4180          0       4063          0        296      49,02       1,54       24,2       1,40       4643       3886       3654        224          6          0       3343        331       4190       4053        296       1,39
