Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s001.log                  12,22   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s002.log                  58,36   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s003.log                  23,48   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s004.log                  76,66   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s005.log                  24,18   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s006.log                  39,55   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s007.log                 222,74   1 
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s008.log                  18,93   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s009.log                  23,25   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s010.log                 127,41   1 
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s011.log                  49,52   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s012.log                  13,38   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s013.log                  12,17   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s014.log                  54,01   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s015.log                  10,96   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s016.log                  18,65   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s017.log                  18,52   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s018.log                  28,36   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s019.log                  52,46   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s020.log                  55,86   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s021.log                  45,18   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s022.log                  35,00   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s023.log                 171,44   1 
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s024.log                  24,28   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s025.log                  53,48   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s026.log                  60,68   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s027.log                  51,68   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s028.log                  63,59   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s029.log                  44,75   1 ok
F:\Contagio\50_gi_m_30_25m1_15m2_15m1_0\s030.log                  42,11   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      51,10  =     102,19
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  2      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  3      49990         10          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0         10          0          0       0,00
  4      49978         21          0          0          0          0      53,98       0,45        0,0       0,00          1         10         10          0          0          0          0          0         21          0          0       0,00
  5      49974         25          0          0          0          0      53,99       0,61        0,0       0,00          1         13         13          0          0          0          0          0         25          0          0       0,00
  6      49970         29          0          0          0          0      53,99       0,65        0,0       0,00          2         16         16          0          0          0          0          0         29          0          0       0,00
  7      49958         41          0          0          0          0      53,99       0,80        0,0       0,00          4         27         27          0          0          0          0          0         41          0          0       0,00
  8      49943         56          0          0          0          0      53,99       0,85        0,3       0,00          5         40         40          0          0          0          0          0         56          0          0       0,00
  9      49928         71          0          0          0          0      53,99       0,87        0,6       0,00          7         54         54          0          0          0          0          0         71          0          0       0,00
 10      49899        100          0          0          0          0      53,99       0,87        0,8       0,04         11         79         79          0          0          0          0          0        100          0          0       0,04
 11      49868        131          0          0          0          0      53,99       0,94        1,4       0,07         16        105        105          0          0          0         11          1        131          0          0       0,04
 12      49828        171          0          0          0          0      53,99       0,96        1,8       0,13         20        141        140          0          0          0         15          1        171          0          0       0,06
 13      49779        219          0          0          0          0      53,99       1,00        4,2       0,28         29        180        180          0          0          0         19          1        220          0          0       0,06
 14      49719        279          0          0          0          0      53,99       1,02        5,3       0,67         39        230        230          0          0          0         31          2        279          0          0       0,54
 15      49669        329          0          1          0          0      53,99       1,05        6,9       1,27         53        267        266          0          0          0         46          4        329          0          0       0,83
 16      49611        386          0          1          0          0      53,99       1,09        7,8       1,24         70        307        306          0          0          0         61          6        387          1          0       0,73
 17      49552        445          0          2          0          0      53,98       1,15        8,9       2,12         92        345        344          1          0          0         89          8        446          1          0       1,18
 18      49470        526          0          3          0          0      53,98       1,19       10,3       2,26        116        403        401          1          0          0        119         11        527          1          0       1,27
 19      49386        609          0          4          0          0      53,99       1,23       10,8       2,10        143        460        458          2          0          0        159         15        611          2          0       1,24
 20      49292        701          0          5          0          0      53,99       1,26       11,1       2,45        172        525        522          3          0          0        206         20        703          3          0       1,76
 21      49178        814          0          6          0          0      53,99       1,29       12,2       2,30        207        604        600          4          0          0        265         25        816          4          0       1,98
 22      49059        931          0          8          0          0      53,99       1,31       13,1       2,29        245        685        679          5          0          0        313         30        933          6          0       2,10
 23      48925       1062          0         11          0          0      53,99       1,32       13,6       2,50        286        778        771          7          0          0        369         35       1065          8          0       2,18
 24      48763       1220          0         15          0          0      53,99       1,34       13,9       2,47        333        892        882         10          0          0        425         41       1223         12          0       2,03
 25      48601       1377          0         19          0          0      53,99       1,35       14,0       2,40        388        999        985         13          0          0        503         49       1381         16          0       2,01
 26      48412       1561          0         25          0          1      53,99       1,36       14,1       2,27        449       1128       1109         18          0          0        581         56       1565         21          1       1,94
 27      48204       1760          0         33          0          1      53,99       1,38       14,5       2,40        516       1269       1244         23          0          0        668         64       1765         28          1       2,05
 28      47985       1971          0         41          0          1      53,99       1,39       14,8       2,38        589       1415       1384         30          1          0        773         74       1976         36          1       2,06
 29      47736       2209          0         52          0          2      53,99       1,40       15,2       2,47        668       1585       1545         38          1          0        882         85       2214         46          2       2,21
 30      47469       2464          0         63          0          3      53,99       1,41       15,6       2,37        756       1764       1715         47          2          0       1005         96       2470         57          3       2,15
 31      47307       2609          0         78          0          4      53,55       1,39       15,9       2,33        832       1849       1800         47          2          0       1151        111       2616         71          4       2,13
 32      47131       2764          0         98          0          5      53,14       1,38       16,7       2,37        916       1942       1893         47          2          0       1295        124       2774         88          5       2,12
 33      46942       2932          0        118          0          6      52,76       1,38       16,9       2,26       1010       2036       1987         47          2          0       1464        139       2942        108          6       2,05
 34      46744       3106          0        140          0          8      52,39       1,38       17,1       2,18       1108       2136       2086         47          2          0       1647        157       3116        130          8       2,00
 35      46540       3278          0        170          0         10      52,05       1,38       17,5       2,18       1206       2242       2193         47          2          0       1834        174       3288        160         10       2,04
 36      46328       3458          0        200          0         12      51,73       1,38       17,8       2,14       1308       2353       2304         47          2          0       2051        196       3468        190         12       2,02
 37      46116       3632          0        235          0         15      51,43       1,38       18,1       2,11       1409       2463       2414         47          2          0       2280        219       3642        225         15       2,00
 38      45901       3801          0        278          0         18      51,14       1,38       18,4       2,09       1510       2577       2527         47          2          0       2396        232       3811        268         18       2,00
 39      45675       3976          0        325          0         21      50,87       1,38       18,7       2,05       1620       2693       2642         48          2          0       2522        244       3986        315         21       1,98
 40      45448       4148          0        377          0         25      50,61       1,38       19,0       2,02       1736       2805       2753         49          2          0       2654        257       4158        367         25       1,95
 41      45229       4301          0        438          0         30      50,36       1,38       19,3       1,98       1847       2912       2859         50          2          0       2786        270       4311        428         30       1,92
 42      45002       4453          0        508          0         35      50,13       1,39       19,7       1,97       1968       3019       2964         52          2          0       2916        283       4463        498         35       1,91
 43      44783       4591          0        583          0         41      49,90       1,39       20,0       1,95       2087       3118       3061         54          2          0       3048        296       4601        573         41       1,91
 44      44565       4717          0        668          0         48      49,69       1,39       20,2       1,92       2208       3215       3155         58          2          0       3167        310       4727        658         48       1,87
 45      44342       4838          0        763          0         55      49,49       1,39       20,6       1,88       2336       3311       3246         63          2          0       3280        322       4848        753         55       1,84
 46      44123       4955          0        857          0         63      49,29       1,39       20,8       1,85       2461       3405       3332         69          2          0       3404        335       4965        847         63       1,82
 47      43911       5054          0        962          0         71      49,11       1,40       21,0       1,83       2586       3491       3411         77          3          0       3518        346       5064        952         71       1,80
 48      43713       5131          0       1073          0         80      48,93       1,40       21,2       1,82       2708       3568       3477         86          3          0       3616        356       5141       1063         80       1,79
 49      43515       5199          0       1193          0         91      48,77       1,40       21,5       1,78       2834       3640       3538         97          3          0       3713        366       5209       1183         91       1,76
 50      43322       5250          0       1325          0        102      48,60       1,40       21,8       1,75       2959       3708       3590        113          4          0       3789        374       5260       1315        102       1,73
 51      43132       5293          0       1460          0        113      48,45       1,40       22,0       1,71       3085       3772       3637        130          4          0       3861        381       5303       1450        113       1,69
 52      42946       5317          0       1611          0        125      48,30       1,40       22,2       1,68       3212       3831       3672        153          5          0       3922        388       5327       1601        125       1,66
 53      42769       5322          0       1771          0        136      48,16       1,41       22,4       1,66       3330       3890       3703        180          5          0       3968        393       5332       1761        136       1,65
 54      42599       5312          0       1938          0        150      48,03       1,41       22,6       1,64       3447       3943       3727        208          6          0       4000        396       5322       1928        150       1,63
 55      42432       5288          0       2114          0        164      47,90       1,41       22,9       1,61       3564       3992       3740        244          7          0       4008        398       5298       2104        164       1,60
 56      42262       5258          0       2300          0        178      48,01       1,43       23,1       1,59       3710       4016       3765        244          7          0       4006        398       5268       2290        178       1,58
 57      42099       5216          0       2490          0        193      48,12       1,44       23,3       1,56       3852       4037       3786        244          7          0       3994        396       5226       2480        193       1,55
 58      41943       5161          0       2689          0        206      48,22       1,46       23,5       1,54       3988       4058       3806        244          7          0       3972        394       5171       2679        206       1,53
 59      41792       5097          0       2889          0        220      48,32       1,47       23,6       1,51       4120       4077       3826        244          7          0       3943        393       5107       2879        220       1,50
