--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.0.2.1
06/04/2020 10:58:19
--------------------------------------------------------------------------------------------------
Prefijo CRB50
Número de hilos                              30
Potencia para fin de infección             3,00

Probabilidad base de contagio              4,00 %
Probabilidad contagio cluster              5,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     50.000
Radio                                     2.694
Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                    125
Número clusters generados                   123 con        9.960 individuos,            3 infectados de inicio
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  2   0   4       10,0       30,0       99,3    70    90       4,00        2.000          4,0           40
menor                 2   5  19        5,0       30,0      100,0    80   110      15,00        7.500         15,0           60
adulto                2  20  64       40,0       30,0       99,4    80   120      62,00       31.000         62,0          100
jubilado              2  65  69     1000,0       30,0       96,8    70    90       5,00        2.500          5,0           50
mayor                 2  70 150      800,0       30,0       83,5    60    70      14,00        7.000         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,40       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49986         14          0          0          0          0      56,34       0,14        0,0       0,00          0          4          4          0          0          0          0          0
  5      49983         17          0          0          0          0      56,35       0,30        0,0       0,00          0          7          7          0          0          0          0          0
  6      49983         17          0          0          0          0      56,32       0,28        0,0       0,00          0          7          7          0          0          0          0          0
  7      49972         28          0          0          0          0      56,33       0,40        0,0       0,00          0         18         18          0          0         10          2          0
  8      49958         42          0          0          0          0      56,35       0,38        0,0       0,00          0         32         32          0          0         10          2          0
  9      49952         48          0          0          0          0      56,35       0,43        0,0       0,00          1         37         37          0          0         10          2          0
 10      49924         76          0          0          0          0      56,35       0,40        0,0       0,00          3         63         63          0          0         14          2          0
 11      49884        116          0          0          0          0      56,36       0,53        0,0       0,00          6        100        100          0          0         17          3          0
 12      49863        137          0          0          0          0      56,35       0,50        0,0       0,00          6        121        121          0          0         17          3          0
 13      49823        177          0          0          0          0      56,34       0,58        0,0       0,00         14        153        153          0          0         28          4          0
 14      49780        220          0          0          0          0      56,35       0,57        0,0       0,00         24        186        186          0          0         42          5          0
 15      49762        238          0          0          0          0      56,36       0,60        0,0       0,00         32        196        196          0          0         48          5          0
 16      49746        254          0          0          0          0      56,35       0,69        0,0       0,00         44        200        200          0          0         76          8          0
 17      49725        275          0          0          0          0      56,34       0,76        0,0       0,00         54        211        211          0          0        116         13          0
 18      49698        302          0          0          0          0      56,35       0,80        0,0       0,00         63        229        229          0          0        137         13          0
 19      49651        348          0          1          0          0      56,35       0,83        5,0       0,00         75        264        263          1          0        177         16          0
 20      49605        391          0          4          0          0      56,36       0,86       12,3       2,25         82        303        300          3          0        216         17          0
 21      49518        473          0          9          0          0      56,35       0,86       13,7       1,44         87        385        380          5          0        229         18          0
 22      49392        596          0         12          0          0      56,35       0,85       14,0       1,50        102        496        489          7          0        242         21          0
