Fichero                                                      Desv.Media
------------------------------------------------------------ ---------- --
C:\Contagio\CRB50\s001.log                                        74,60 ok
C:\Contagio\CRB50\s002.log                                        99,27 ok
C:\Contagio\CRB50\s003.log                                        44,52 ok
C:\Contagio\CRB50\s004.log                                        69,38 ok
C:\Contagio\CRB50\s005.log                                        34,99 ok
C:\Contagio\CRB50\s006.log                                        28,65 ok
C:\Contagio\CRB50\s007.log                                        75,17 ok
C:\Contagio\CRB50\s008.log                                        40,93 ok
C:\Contagio\CRB50\s009.log                                       188,96 ok
C:\Contagio\CRB50\s010.log                                       262,16 ok
C:\Contagio\CRB50\s011.log                                        53,42 ok
C:\Contagio\CRB50\s012.log                                        29,36 ok
C:\Contagio\CRB50\s013.log                                        54,95 ok
C:\Contagio\CRB50\s014.log                                       135,45 ok
C:\Contagio\CRB50\s015.log                                       277,23 ok
C:\Contagio\CRB50\s016.log                                       372,76 ok
C:\Contagio\CRB50\s017.log                                        43,63 ok
C:\Contagio\CRB50\s018.log                                        40,19 ok
C:\Contagio\CRB50\s019.log                                        73,01 ok
C:\Contagio\CRB50\s020.log                                        47,78 ok
C:\Contagio\CRB50\s021.log                                        77,24 ok
C:\Contagio\CRB50\s022.log                                        63,45 ok
C:\Contagio\CRB50\s023.log                                       131,76 ok
C:\Contagio\CRB50\s024.log                                        65,91 ok
C:\Contagio\CRB50\s025.log                                        55,73 ok
C:\Contagio\CRB50\s026.log                                       169,12 ok
C:\Contagio\CRB50\s027.log                                       221,26 ok
C:\Contagio\CRB50\s028.log                                        88,24 ok
C:\Contagio\CRB50\s029.log                                        56,81 ok
C:\Contagio\CRB50\s030.log                                        24,57 ok
------------------------------------------------------------ ---------- --
                                          04 x     100,02 =      400,07
------------------------------------------------------------ ---------- --
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      56,37       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      49990         10          0          0          0          0      56,36       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      49990         10          0          0          0          0      56,35       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      49984         15          0          0          0          0      56,35       0,32        0,0       0,00          0          5          5          0          0          0          0          0
  5      49980         19          0          0          0          0      56,35       0,53        0,1       0,00          1          8          8          0          0          0          0          0
  6      49977         22          0          0          0          0      56,35       0,62        0,1       0,00          1         11         11          0          0          0          0          0
  7      49967         32          0          0          0          0      56,35       0,64        0,1       0,00          2         20         20          0          0          9          0          0
  8      49955         44          0          0          0          0      56,35       0,66        0,1       0,00          3         31         31          0          0          9          0          0
  9      49941         58          0          0          0          0      56,35       0,67        0,1       0,00          4         44         44          0          0          9          0          0
 10      49917         82          0          0          0          0      56,34       0,67        0,1       0,00          5         66         66          0          0         15          1          0
 11      49889        110          0          0          0          0      56,35       0,71        0,5       0,03          7         92         92          0          0         19          1          0
 12      49862        136          0          0          0          0      56,34       0,73        1,4       0,27          9        117        117          0          0         22          2          0
 13      49833        166          0          0          0          0      56,34       0,76        2,6       0,38         14        142        141          0          0         32          2          0
 14      49810        189          0          0          0          0      56,34       0,81        2,7       0,30         19        160        160          0          0         44          4          0
 15      49790        208          0          0          0          0      56,34       0,88        3,7       0,69         25        173        173          0          0         57          5          0
 16      49766        232          0          0          0          0      56,34       0,94        5,7       0,76         33        190        190          0          0         81          7          0
 17      49742        256          0          1          0          0      56,34       0,98        5,9       0,71         41        205        205          0          0        109         10          0
 18      49711        286          0          1          0          0      56,34       1,02        6,8       1,48         49        228        227          0          0        135         12          0
 19      49677        319          0          2          0          0      56,34       1,05        8,8       1,63         57        255        253          1          0        163         15          0
 20      49639        357          0          3          0          0      56,34       1,07       11,5       2,09         65        285        283          2          0        185         17          0
 21      49593        401          0          5          0          0      56,34       1,09       12,1       2,26         73        323        320          2          0        204         18          0
 22      49537        455          0          7          0          0      56,34       1,11       13,1       2,10         82        369        365          4          0        226         20          0
