--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.2.2.11
25/03/2020 12:37:54

Prefijo N20km2D30
Potencia para fin de infección  %          3,00
Probabilidad base de contagio   %          1,00
Probabilidad contagio cluster   %          8,00
Probabilidad base de REcontagio %          0,00
Días mínimos de inmunidad                     5
Días de latencia para contagiar               2
Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                      8
Número clusters generados                     6
Factor individuos por cluster              1,00
Cluster GID Grupo                Individuos
------- --- -------------------- ----------
      1   1 menor                        60
      2   2 adulto                      100
      3   2 adulto                      100
      4   2 adulto                      100
      5   2 adulto                      100
      6   4 mayor                        40
------- --- -------------------- ----------
                                        500

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4      100,0       25,0      100,0    33    40       4,00          4,0           40
menor                 2   5  19      200,0       25,0       99,0    30    40      15,00         15,0           60
adulto                2  20  64      500,0       25,0       98,0    27    40      62,00         62,0          100
jubilado              2  65  69     1500,0       25,0       96,0    20    40       5,00          5,0           50
mayor                 2  70 150     2000,0       25,0       85,0     7    40      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ----------- Cluster ------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0 Infectados    Curados    Muertos
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      14135       5781          0         82          0          2      19,49       0,43        2,7       1,00          0          0          0
  2      13994       5895          0        108          0          3      19,48       0,44        5,0       1,00          1          0          0
  3      13832       6025          0        139          0          4      19,47       0,44        6,6       1,00          1          0          0
  4      13712       6101          0        183          0          4      19,47       0,44        7,9       1,50          1          0          0
  5      13570       6194          0        230          0          6      19,46       0,43        9,1       1,50          1          0          0
  6      13437       6256          0        299          0          8      19,45       0,42       10,1       1,17          1          0          0
  7      13322       6270          0        394          0         14      19,42       0,42       11,3       1,50          1          0          0
  8      13208       6267          0        510          0         15      19,42       0,41       12,2       1,21          1          0          0
  9      13088       6245          0        649          0         18      19,42       0,41       13,0       1,33          1          0          0
 10      12978       6206          0        791          0         25      19,43       0,41       13,7       1,28          1          0          0
 11      12857       6139          0        969          0         35      19,43       0,40       14,2       1,20          1          0          0
 12      12752       6040          0       1167          0         41      19,43       0,40       14,8       1,29          1          0          0
 13      12655       5891          0       1405          0         49      19,44       0,40       15,3       1,12          1          0          0
 14      12566       5696          0       1680          0         58      19,44       0,39       15,9       1,14          1          0          0
 15      12483       5484          0       1957          0         76      19,44       0,39       16,5       1,24          1          0          0
 16      12379       5262          0       2267          0         92      19,44       0,39       17,1       1,63          1          0          0
 17      12286       4993          0       2615          0        106      19,44       0,39       17,6       1,65          1          0          0
 18      12197       4716          0       2965          0        122      19,44       0,39       18,1       1,55          1          0          0
 19      12130       4405          0       3326          0        139      19,44       0,39       18,6       1,65          1          0          0
 20      12058       4021          0       3765          0        156      19,44       0,38       19,2       1,48          0          1          0
 21      12003       3614          0       4214          0        169      19,45       0,38       19,7       1,41          0          1          0
 22      11951       3203          0       4663          0        183      19,45       0,38       20,1       1,36          0          1          0
 23      11903       2827          0       5067          0        203      19,45       0,38       20,5       1,31          0          1          0
