--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.2.2.11
26/03/2020 01:02:23

Prefijo N20km2D30m2
Potencia para fin de infección  %          3,00
Probabilidad base de contagio   %          1,00
Probabilidad contagio cluster   %          8,00
Probabilidad base de REcontagio %          0,00
Días mínimos de inmunidad                     5
Días de latencia para contagiar               2
Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     20
Número clusters generados                    18
Factor individuos por cluster              1,00
Cluster GID Grupo                Individuos
------- --- -------------------- ----------
      1   1 menor                        60
      2   1 menor                        60
      3   1 menor                        60
      4   2 adulto                      100
      5   2 adulto                      100
      6   2 adulto                      100
      7   2 adulto                      100
      8   2 adulto                      100
      9   2 adulto                      100
     10   2 adulto                      100
     11   2 adulto                      100
     12   2 adulto                      100
     13   2 adulto                      100
     14   2 adulto                      100
     15   2 adulto                      100
     16   3 jubilado                     50
     17   4 mayor                        40
     18   4 mayor                        40
------- --- -------------------- ----------
                                      1.510

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4      100,0       30,0      100,0    50    60       4,00          4,0           40
menor                 2   5  19      200,0       30,0       99,0    45    60      15,00         15,0           60
adulto                2  20  64      500,0       30,0       98,0    40    60      62,00         62,0          100
jubilado              2  65  69     1500,0       30,0       96,0    30    60       5,00          5,0           50
mayor                 2  70 150     2000,0       30,0       85,0    10    60      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ----------- Cluster ------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0 Infectados    Curados    Muertos
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      14062       5869          0         67          0          2      29,28       0,64        0,7       1,00          3          0          0
  2      13822       6098          0         77          0          3      29,27       0,65        2,4       1,00          3          0          0
  3      13593       6304          0         99          0          4      29,24       0,65        4,5       1,00          3          0          0
  4      13348       6533          0        115          0          4      29,24       0,63        5,8       1,00          3          0          0
  5      13117       6740          0        138          0          5      29,23       0,64        7,0       1,00          3          0          0
  6      12900       6917          0        174          0          9      29,23       0,63        8,5       1,20          3          0          0
  7      12693       7067          0        228          0         12      29,19       0,62       10,0       1,22          3          0          0
  8      12459       7245          0        283          0         13      29,18       0,61       10,9       1,00          3          0          0
  9      12261       7367          0        357          0         15      29,18       0,60       11,8       1,08          3          0          0
 10      12034       7515          0        431          0         20      29,17       0,60       12,6       1,07          3          0          0
 11      11820       7609          0        547          0         24      29,17       0,59       13,5       0,90          3          0          0
 12      11639       7669          0        665          0         27      29,18       0,59       14,4       0,96          3          0          0
 13      11454       7695          0        817          0         34      29,17       0,58       15,2       1,00          3          0          0
 14      11278       7711          0        970          0         41      29,17       0,57       15,9       0,97          3          0          0
 15      11093       7727          0       1133          0         47      29,17       0,57       16,6       0,95          3          0          0
 16      10895       7738          0       1313          0         54      29,18       0,56       17,2       1,15          3          0          0
 17      10718       7710          0       1511          0         61      29,18       0,56       17,7       1,19          3          0          0
 18      10567       7653          0       1712          0         68      29,18       0,55       18,3       1,31          2          1          0
 19      10407       7538          0       1977          0         78      29,19       0,54       18,9       1,21          2          1          0
 20      10254       7368          0       2287          0         91      29,19       0,54       19,6       1,27          2          1          0
 21      10126       7165          0       2605          0        104      29,18       0,53       20,2       1,27          2          1          0
 22      10001       6946          0       2940          0        113      29,19       0,53       20,8       1,22          2          1          0
 23       9878       6717          0       3281          0        124      29,19       0,52       21,4       1,23          2          1          0
 24       9748       6425          0       3694          0        133      29,19       0,52       22,0       1,18          1          2          0
 25       9636       6091          0       4122          0        151      29,20       0,52       22,5       1,15          1          2          0
 26       9518       5745          0       4570          0        167      29,20       0,51       23,1       1,13          1          2          0
 27       9416       5341          0       5057          0        186      29,20       0,51       23,6       1,11          1          2          0
 28       9330       4996          0       5465          0        209      29,21       0,51       23,9       1,10          1          2          0
 29       9248       4630          0       5895          0        227      29,21       0,51       24,2       1,07          1          2          0
 30       9177       4336          0       6243          0        244      29,22       0,51       24,5       1,05          1          2          0
 31       9120       4033          0       6579          0        268      29,22       0,50       24,7       1,02          1          2          0
 32       9042       3891          0       6781          0        286      29,23       0,50       24,7       0,98          0          3          0
 33       8976       3727          0       7002          0        295      29,23       0,50       24,8       0,95          0          3          0
 34       8920       3573          0       7194          0        313      29,24       0,50       24,8       0,94          0          3          0
 35       8869       3428          0       7381          0        322      29,24       0,49       24,9       0,96          0          3          0
 36       8812       3268          0       7590          0        330      29,24       0,49       25,0       0,94          0          3          0
 37       8771       3116          0       7773          0        340      29,26       0,49       25,0       0,93          0          3          0
 38       8719       2980          0       7955          0        346      29,26       0,49       25,0       0,92          0          3          0
 39       8677       2840          0       8129          0        354      29,27       0,49       25,1       0,92          0          3          0
 40       8642       2706          0       8290          0        362      29,28       0,49       25,1       0,92          0          3          0
 41       8588       2563          0       8478          0        371      29,29       0,49       25,1       0,90          0          3          0
 42       8545       2429          0       8650          0        376      29,30       0,48       25,2       0,89          0          3          0
 43       8509       2299          0       8811          0        381      29,31       0,48       25,2       0,88          0          3          0
