--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:53:05
--------------------------------------------------------------------------------------------------
Carpeta P1
Número de hilos                              30
Semilla población                         1.234
Semilla simulación                        4.320
Potencia para fin de infección             3,00

Número de individuos                      1.000
Radio                                       381
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     10
Número clusters generados                     8 con          690 individuos,            2 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00           40          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00          150         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00          620         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00           50          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00          140         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1        996          4          0          0          0          0      53,44       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  2        996          4          0          0          0          0      53,46       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  3        996          4          0          0          0          0      53,59       0,00        0,0       0,00          0          0          0          0          0          0          0          0          0          0          0       0,00
  4        993          6          0          0          0          0      53,65       0,26        0,0       0,00          0          1          1          0          0          0          0          0          1          0          0       0,00
  5        991          8          0          0          0          0      53,68       0,38        0,0       0,00          0          4          4          0          0          0          0          0          2          0          0       0,00
  6        989         10          0          0          0          0      53,63       0,39        0,0       0,00          0          6          6          0          0          0          0          0          3          0          0       0,00
  7        984         15          0          0          0          0      53,63       0,43        0,0       0,00          1         10         10          0          0          0          0          0          5          0          0       0,00
  8        977         23          0          0          0          0      53,62       0,45        0,0       0,00          1         17         17          0          0          0          0          0          8          0          0       0,00
  9        968         31          0          0          0          0      53,61       0,45        0,0       0,00          2         24         24          0          0          0          0          0         12          0          0       0,00
 10        956         43          0          0          0          0      53,61       0,44        0,6       0,30          3         35         35          0          0          0          0          0         16          0          0       0,00
 11        939         60          0          0          0          0      53,62       0,44        0,9       0,53          4         51         51          0          0          0          1          0         23          0          0       0,03
 12        918         81          0          0          0          0      53,60       0,46        0,9       0,53          6         70         70          0          0          0          2          0         32          0          0       0,03
 13        896        103          0          0          0          0      53,60       0,46        1,4       0,78          9         90         90          0          0          0          3          0         41          0          0       0,03
 14        868        130          0          0          0          0      53,60       0,47        2,6       0,88         13        113        113          0          0          0          5          0         52          0          0       0,03
 15        839        159          0          0          0          0      53,59       0,48        3,3       1,02         17        138        138          0          0          0          8          1         65          0          0       0,13
 16        809        189          0          0          0          0      53,60       0,48        4,9       1,92         21        164        163          0          0          0         12          1         77          0          0       0,43
 17        779        219          0          0          0          0      53,62       0,49        6,1       2,62         29        187        186          0          0          0         16          1         92          0          0       0,67
 18        751        247          0          1          0          0      53,63       0,51        7,2       2,41         37        207        206          0          0          0         23          2        105          0          0       0,75
 19        723        274          0          1          0          0      53,63       0,52        9,4       2,66         45        226        225          1          0          0         31          3        118          0          0       0,97
 20        695        302          0          2          0          0      53,63       0,53        9,7       2,85         53        247        245          1          0          0         40          4        133          0          0       1,09
