--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:52:18
--------------------------------------------------------------------------------------------------
Carpeta P1
Número de hilos                              30
Semilla población                         1.234
Semilla simulación                        4.322
Potencia para fin de infección             3,00

Número de individuos                      1.000
Radio                                       381
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     10
Número clusters generados                     8 con          690 individuos,            0 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00           40          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00          150         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00          620         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00           50          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00          140         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1        996          4          0          0          0          0      51,82       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2        996          4          0          0          0          0      52,59       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3        996          4          0          0          0          0      52,33       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4        994          6          0          0          0          0      52,73       0,28        0,0       0,00          2          0          0          0          0          0          0          0          3          0          0       0,00
  5        993          7          0          0          0          0      52,89       0,44        0,0       0,00          3          0          0          0          0          0          0          0          4          0          0       0,00
  6        993          7          0          0          0          0      53,11       0,34        0,0       0,00          3          0          0          0          0          0          0          0          4          0          0       0,00
  7        993          7          0          0          0          0      53,14       0,31        0,0       0,00          3          0          0          0          0          0          0          0          4          0          0       0,00
  8        992          8          0          0          0          0      53,27       0,43        0,0       0,00          3          1          1          0          0          0          1          0          4          0          0       0,00
  9        991          9          0          0          0          0      53,29       0,48        0,0       0,00          3          2          2          0          0          0          1          0          4          0          0       0,00
 10        990         10          0          0          0          0      53,39       0,52        0,0       0,00          4          2          2          0          0          0          1          0          5          0          0       0,00
 11        986         14          0          0          0          0      53,43       0,54        0,0       0,00          6          4          4          0          0          0          3          0          6          0          0       0,00
 12        985         15          0          0          0          0      53,44       0,55        0,0       0,00          6          5          5          0          0          0          4          0          7          0          0       0,00
 13        982         18          0          0          0          0      53,52       0,52        0,0       0,00          6          8          8          0          0          0          4          0          8          0          0       0,00
 14        978         22          0          0          0          0      53,48       0,50        0,0       0,00          6         12         12          0          0          0          4          0          8          0          0       0,00
 15        972         27          0          1          0          0      53,51       0,45       14,0       2,00          7         17         17          0          0          0          4          0         10          0          0       0,00
 16        969         30          0          1          0          0      53,53       0,42       14,0       2,00          8         19         19          0          0          0          4          0         11          0          0       0,00
 17        961         38          0          1          0          0      53,58       0,42       14,0       2,00          8         27         27          0          0          0          5          0         12          0          0       0,00
 18        943         56          0          1          0          0      53,64       0,43       14,0       2,00          9         44         44          0          0          0          6          0         18          0          0       0,00
 19        918         81          0          1          0          0      53,64       0,40       14,0       2,00         11         67         67          0          0          0          7          0         30          0          0       0,00
 20        896        102          0          2          0          0      53,66       0,40       15,0       1,00         15         85         85          0          0          0          7          1         40          1          0       0,00
