--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:52:18
--------------------------------------------------------------------------------------------------
Carpeta P1
Número de hilos                              30
Semilla población                         1.234
Semilla simulación                        4.324
Potencia para fin de infección             3,00

Número de individuos                      1.000
Radio                                       381
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     10
Número clusters generados                     8 con          690 individuos,            3 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00           40          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00          150         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00          620         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00           50          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00          140         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1        996          4          0          0          0          0      53,48       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2        996          4          0          0          0          0      53,98       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3        996          4          0          0          0          0      54,01       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4        994          6          0          0          0          0      54,07       0,11        0,0       0,00          0          2          2          0          0          0          0          0          2          0          0       0,00
  5        987         13          0          0          0          0      54,00       0,06        0,0       0,00          0          9          9          0          0          0          0          0          4          0          0       0,00
  6        983         17          0          0          0          0      54,14       0,08        0,0       0,00          0         13         13          0          0          0          0          0          6          0          0       0,00
  7        980         20          0          0          0          0      54,06       0,18        0,0       0,00          0         16         16          0          0          0          0          0          8          0          0       0,00
  8        962         38          0          0          0          0      54,06       0,19        0,0       0,00          1         33         33          0          0          0          1          0         15          0          0       0,00
  9        942         58          0          0          0          0      53,95       0,24        0,0       0,00          3         51         51          0          0          0          1          0         22          0          0       0,00
 10        924         76          0          0          0          0      53,90       0,24        0,0       0,00          6         66         66          0          0          0          1          0         27          0          0       0,00
 11        899        101          0          0          0          0      53,90       0,28        0,0       0,00         11         86         86          0          0          0          2          1         38          0          0       0,00
 12        866        134          0          0          0          0      53,81       0,36        0,0       0,00         17        113        113          0          0          0          4          2         53          0          0       0,00
 13        829        171          0          0          0          0      53,90       0,38        0,0       0,00         22        145        145          0          0          0          6          2         65          0          0       0,00
 14        783        217          0          0          0          0      53,84       0,40        0,0       0,00         30        183        183          0          0          0          8          2         88          0          0       0,00
 15        749        251          0          0          0          0      53,86       0,41        0,0       0,00         40        207        207          0          0          0         15          2        107          0          0       0,00
 16        708        292          0          0          0          0      53,89       0,40        0,0       0,00         44        244        244          0          0          0         22          3        120          0          0       0,00
 17        663        336          0          1          0          0      53,90       0,41        9,0       5,00         56        277        276          1          0          0         26          3        146          1          0       5,00
 18        636        362          0          2          0          0      53,91       0,46        7,0       2,50         62        298        296          2          0          0         37          5        157          1          0       5,00
 19        592        405          0          3          0          0      53,82       0,45        9,0       3,00         74        330        327          3          0          0         51          5        179          2          0       4,50
 20        545        451          0          4          0          0      53,81       0,50        9,3       2,75         88        363        359          4          0          0         63          5        201          2          0       4,50
