Tipo 0
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos Inf.Indire   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1         39          1          0          0          0          0          0          0          0
  2         39          1          0          0          0          0          0          0          0
  3         39          1          0          0          0          0          0          0          0
  4         39          1          0          0          0          0          0          0          0
  5         39          1          0          0          0          0          0          0          0
  6         39          1          0          0          0          0          0          0          0
  7         39          1          0          0          0          0          0          0          0
  8         39          1          0          0          0          0          0          0          0
  9         39          1          0          0          0          0          0          0          0
 10         39          1          0          0          0          0          0          0          0
 11         39          1          0          0          0          0          0          0          0
 12         39          1          0          0          0          0          0          0          0
 13         39          1          0          0          0          0          0          0          0
 14         39          1          0          0          0          0          0          0          0
 15         39          1          0          0          0          0          0          0          0
 16         39          1          0          0          0          0          0          0          0
 17         39          1          0          0          0          0          0          0          0
 18         39          1          0          0          0          0          0          0          0
 19         39          1          0          0          0          0          0          0          0
 20         39          1          0          0          0          0          0          0          0
 21         39          1          0          0          0          0          0          0          0
 22         39          1          0          0          0          0          0          0          0
 23         39          1          0          0          0          0          0          0          0
 24         39          1          0          0          0          0          0          0          0
 25         39          1          0          0          0          0          0          0          0
 26         39          1          0          0          0          0          0          0          0
 27         39          1          0          0          0          0          0          0          0
 28         39          1          0          0          0          0          0          0          0
 29         38          2          0          0          0          0          0          0          0
 30         38          2          0          0          0          0          0          0          0
 31         38          2          0          0          0          0          0          0          0
 32         38          1          0          1          0          0          0          0          0
 33         38          1          0          1          0          0          0          0          0
 34         38          1          0          1          0          0          0          0          0
 35         38          1          0          1          0          0          0          0          0
 36         38          1          0          1          0          0          0          0          0
 37         38          1          0          1          0          0          0          0          0
 38         38          1          0          1          0          0          0          0          0
 39         38          1          0          1          0          0          0          0          0
 40         37          2          0          1          0          0          0          0          0
 41         37          2          0          1          0          0          0          0          0
 42         37          2          0          1          0          0          0          0          0
 43         37          2          0          1          0          0          0          0          0
 44         37          2          0          1          0          0          0          0          0
 45         37          2          0          1          0          0          0          0          0
 46         37          2          0          1          0          0          0          0          0
 47         37          2          0          1          0          0          0          1          0
 48         37          2          0          1          0          0          0          1          0
 49         37          2          0          1          0          0          0          1          0
 50         37          2          0          1          0          0          0          1          0
 51         37          2          0          1          0          0          0          1          0
 52         37          2          0          1          0          0          0          1          0
 53         37          2          0          1          0          0          0          1          0
 54         37          2          0          1          0          0          0          1          0
 55         37          2          0          1          0          0          0          1          0
 56         37          2          0          1          0          0          0          1          0
