--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 14:59:39
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_15_15_0_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.880
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            3 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,65       0,00        0,0       0,00          0          0          0          0          0          0          0          0          4          0          0       0,00
  2      49990         10          0          0          0          0      53,65       0,00        0,0       0,00          0          0          0          0          0          0          0          0          4          0          0       0,00
  3      49990         10          0          0          0          0      53,65       0,00        0,0       0,00          0          0          0          0          0          0          0          0          4          0          0       0,00
  4      49987         13          0          0          0          0      53,64       0,14        0,0       0,00          1          2          2          0          0          0          0          0          6          0          0       0,00
  5      49980         20          0          0          0          0      53,65       0,17        0,0       0,00          3          7          7          0          0          0          0          0         12          0          0       0,00
  6      49976         24          0          0          0          0      53,66       0,22        0,0       0,00          4         10         10          0          0          0          0          0         14          0          0       0,00
  7      49958         42          0          0          0          0      53,66       0,17        0,0       0,00          4         28         28          0          0          0          0          0         31          0          0       0,00
  8      49950         50          0          0          0          0      53,66       0,26        0,0       0,00          5         35         35          0          0          0          4          0         39          0          0       0,00
  9      49928         72          0          0          0          0      53,65       0,25        0,0       0,00          6         56         56          0          0          0          4          0         57          0          0       0,00
 10      49893        107          0          0          0          0      53,64       0,24        0,0       0,00          7         90         90          0          0          0          4          0         86          0          0       0,00
 11      49874        126          0          0          0          0      53,66       0,25        0,0       0,00          7        109        109          0          0          0          6          0        103          0          0       0,00
 12      49849        151          0          0          0          0      53,66       0,34        0,0       0,00         10        131        131          0          0          0         12          2        117          0          0       0,00
 13      49818        182          0          0          0          0      53,65       0,42        0,0       0,00         17        155        155          0          0          0         14          2        135          0          0       0,00
 14      49785        213          0          2          0          0      53,64       0,48        9,0       0,50         24        181        180          1          0          0         30          3        145          2          0       0,50
 15      49753        245          0          2          0          0      53,65       0,53        9,0       0,50         34        203        202          1          0          0         38          4        159          2          0       0,50
 16      49711        286          0          3          0          0      53,65       0,54        9,7       0,67         47        232        230          2          0          0         54          6        173          3          0       0,67
 17      49659        337          0          4          0          0      53,64       0,56       11,3       0,50         57        274        272          2          0          0         82          8        196          4          0       0,50
 18      49595        401          0          4          0          0      53,65       0,61       11,3       0,50         73        322        320          2          0          0         99         10        230          4          0       0,50
 19      49527        468          0          5          0          0      53,65       0,64       11,4       1,20         89        374        371          3          0          0        112          9        277          5          0       1,20
 20      49455        539          0          6          0          0      53,64       0,65       11,2       1,00        104        431        427          4          0          0        129         11        326          6          0       1,00
 21      49352        642          0          6          0          0      53,64       0,67       11,2       1,00        126        512        508          4          0          0        141         14        397          6          0       1,00
 22      49258        735          0          7          0          0      53,64       0,68       11,3       0,86        144        588        583          5          0          0        154         16        452          7          0       0,86
 23      49146        845          0          9          0          0      53,63       0,70       12,1       1,56        178        666        659          7          0          0        167         16        516          9          0       1,56
 24      49027        962          0         11          0          0      53,64       0,70       13,4       1,91        209        754        746          8          0          0        190         17        596         10          0       2,00
 25      48857       1128          0         15          0          0      53,64       0,70       13,2       1,53        253        880        870         10          0          0        221         19        689         13          0       1,69
 26      48670       1310          0         20          0          0      53,64       0,71       13,9       1,70        301       1019       1004         15          0          0        265         26        786         17          0       1,71
 27      48465       1511          0         23          0          1      53,64       0,71       13,7       1,96        346       1179       1161         17          1          0        313         32        895         19          1       1,55
 28      48208       1764          0         27          0          1      53,64       0,71       14,5       1,89        393       1389       1368         20          1          0        382         40       1023         21          1       1,50
 29      47958       2002          0         39          0          1      53,63       0,71       15,4       1,85        439       1593       1564         28          1          0        429         41       1141         29          1       1,50
 30      47667       2285          0         47          0          1      53,63       0,72       15,0       1,81        516       1807       1771         35          1          0        491         46       1255         34          1       1,43
 31      47450       2491          0         58          0          1      53,20       0,71       15,0       2,03        582       1958       1922         35          1          0        565         55       1371         40          1       1,49
 32      47212       2710          0         77          0          1      52,79       0,69       16,8       2,17        657       2121       2085         35          1          0        649         57       1471         52          1       1,68
 33      46938       2968          0         92          0          2      52,41       0,69       17,1       2,31        737       2315       2279         35          1          0        742         67       1601         59          2       1,75
 34      46648       3236          0        114          0          2      52,05       0,68       17,4       2,27        818       2524       2488         35          1          0        841         73       1747         72          2       1,77
 35      46326       3529          0        141          0          4      51,71       0,68       17,9       2,41        919       2745       2709         35          1          0        951         86       1907         90          4       2,07
 36      45975       3851          0        169          0          5      51,40       0,68       18,0       2,31       1045       2970       2934         35          1          0       1061         95       2073        105          5       1,90
 37      45617       4169          0        209          0          5      51,09       0,68       18,2       2,16       1157       3216       3180         35          1          0       1154        104       2240        131          5       1,75
 38      45242       4501          0        251          0          6      50,81       0,68       19,0       2,12       1282       3466       3430         35          1          0       1247        112       2406        159          6       1,74
 39      44811       4900          0        283          0          6      50,54       0,68       19,0       2,06       1429       3750       3714         35          1          0       1341        123       2615        177          6       1,69
 40      44369       5298          0        326          0          7      50,28       0,67       19,4       2,15       1586       4035       3999         35          1          0       1451        134       2811        204          7       1,78
 41      43931       5674          0        387          0          8      50,03       0,67       19,7       2,15       1740       4319       4278         39          2          0       1570        148       2986        244          8       1,71
 42      43487       6052          0        451          0         10      49,80       0,66       19,7       2,11       1897       4606       4561         43          2          0       1712        164       3166        280         10       1,66
 43      43071       6402          0        514          0         13      49,58       0,66       19,8       2,05       2053       4866       4817         47          2          0       1854        184       3337        317         13       1,63
 44      42652       6755          0        578          0         15      49,37       0,66       20,0       2,11       2232       5106       5053         51          2          0       2013        197       3527        349         15       1,68
 45      42251       7063          0        669          0         17      49,16       0,65       20,0       2,07       2404       5335       5273         60          2          0       2160        214       3692        394         17       1,64
 46      41892       7326          0        757          0         25      48,97       0,65       20,2       2,09       2590       5508       5433         72          3          0       2326        223       3829        447         25       1,71
 47      41492       7621          0        859          0         28      48,78       0,65       20,3       2,06       2789       5709       5615         91          3          0       2502        238       3994        492         28       1,63
 48      41082       7892          0        994          0         32      48,61       0,65       20,6       2,00       3027       5881       5773        104          4          0       2641        254       4152        565         32       1,60
 49      40722       8098          0       1143          0         37      48,44       0,65       20,9       1,98       3215       6053       5913        136          4          0       2772        270       4257        648         37       1,62
 50      40364       8312          0       1284          0         40      48,27       0,66       21,0       1,96       3408       6218       6047        167          4          0       2898        279       4348        731         40       1,60
 51      40032       8505          0       1421          0         42      48,12       0,66       21,1       1,91       3601       6357       6152        201          4          0       3048        289       4453        802         42       1,54
 52      39660       8697          0       1592          0         51      47,97       0,66       21,3       1,88       3828       6502       6253        244          5          0       3157        298       4557        895         51       1,50
 53      39301       8859          0       1783          0         57      47,83       0,66       21,5       1,89       4055       6634       6335        294          5          0       3257        312       4642        989         57       1,49
 54      39012       8945          0       1979          0         64      47,69       0,66       21,7       1,82       4247       6731       6376        349          6          0       3337        317       4668       1114         64       1,43
 55      38709       9052          0       2169          0         70      47,56       0,66       21,8       1,80       4445       6836       6409        420          7          0       3473        334       4729       1207         70       1,40
 56      38521       8996          0       2404          0         79      47,20       0,65       22,1       1,79       4580       6889       6462        420          7          0       3551        348       4729       1313         79       1,37
 57      38361       8894          0       2658          0         87      46,85       0,64       22,3       1,76       4693       6936       6509        420          7          0       3588        345       4691       1445         87       1,34
 58      38196       8796          0       2913          0         95      46,52       0,63       22,5       1,74       4809       6985       6558        420          7          0       3634        345       4648       1569         95       1,30
 59      38050       8648          0       3198          0        104      46,20       0,62       22,7       1,70       4915       7025       6598        420          7          0       3678        343       4571       1722        104       1,28
 60      37899       8472          0       3511          0        118      45,89       0,61       22,9       1,66       5038       7053       6625        421          7          0       3692        355       4501       1878        118       1,24
 61      37757       8279          0       3834          0        130      45,58       0,61       23,1       1,63       5157       7076       6648        421          7          0       3674        343       4412       2042        130       1,23
 62      37637       8060          0       4163          0        140      45,29       0,60       23,2       1,60       5268       7085       6657        421          7          0       3668        341       4315       2199        140       1,20
 63      37506       7880          0       4462          0        152      45,01       0,60       23,3       1,57       5393       7091       6663        421          7          0       3620        332       4246       2349        152       1,17
 64      37400       7643          0       4788          0        169      44,73       0,59       23,4       1,56       5498       7092       6663        422          7          0       3550        326       4145       2504        169       1,15
 65      37308       7364          0       5145          0        183      44,47       0,59       23,6       1,53       5590       7092       6662        423          7          0       3440        314       4004       2689        183       1,13
 66      37207       7098          0       5487          0        208      44,22       0,58       23,7       1,52       5691       7092       6662        423          7          0       3335        307       3881       2855        208       1,12
 67      37135       6769          0       5875          0        221      43,98       0,58       23,8       1,49       5763       7092       6661        424          7          0       3227        297       3722       3050        221       1,09
 68      37053       6487          0       6221          0        239      43,74       0,58       23,9       1,46       5845       7092       6661        424          7          0       3115        283       3575       3230        239       1,07
 69      36965       6166          0       6617          0        252      43,51       0,57       24,1       1,43       5932       7093       6659        426          8          0       2971        264       3423       3431        252       1,05
 70      36896       5847          0       6994          0        263      43,30       0,57       24,2       1,41       6000       7094       6659        427          8          0       2861        262       3269       3623        263       1,03
 71      36713       5634          0       7383          0        270      43,25       0,57       24,4       1,38       6120       7157       6722        427          8          0       2729        255       3168       3819        270       1,01
 72      36556       5415          0       7742          0        287      43,21       0,57       24,5       1,36       6226       7208       6773        427          8          0       2599        243       3078       3990        287       0,98
 73      36441       5149          0       8105          0        305      43,17       0,57       24,6       1,33       6316       7233       6798        427          8          0       2465        228       2941       4174        305       0,96
 74      36321       4928          0       8428          0        323      43,14       0,58       24,7       1,31       6405       7264       6829        427          8          0       2325        223       2820       4345        323       0,94
