--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 14:58:17
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_15_15_0_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.231
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            4 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,71       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,74       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,64       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49986         14          0          0          0          0      53,63       0,16        0,0       0,00          1          3          3          0          0          0          0          0          4          0          0       0,00
  5      49979         21          0          0          0          0      53,63       0,22        0,0       0,00          1         10         10          0          0          0          0          0          7          0          0       0,00
  6      49967         33          0          0          0          0      53,62       0,28        0,0       0,00          3         20         20          0          0          0          0          0         15          0          0       0,00
  7      49960         40          0          0          0          0      53,63       0,33        0,0       0,00          4         26         26          0          0          0          0          0         19          0          0       0,00
  8      49947         53          0          0          0          0      53,62       0,37        0,0       0,00          5         38         38          0          0          0          2          1         25          0          0       0,00
  9      49933         67          0          0          0          0      53,61       0,41        0,0       0,00          7         50         50          0          0          0          2          1         32          0          0       0,00
 10      49909         91          0          0          0          0      53,61       0,44        0,0       0,00          8         73         73          0          0          0          2          1         39          0          0       0,00
 11      49872        128          0          0          0          0      53,62       0,44        0,0       0,00         11        107        107          0          0          0          4          2         61          0          0       0,00
 12      49844        156          0          0          0          0      53,62       0,47        0,0       0,00         13        133        133          0          0          0          7          2         74          0          0       0,00
 13      49793        206          0          1          0          0      53,63       0,46        7,0       2,00         22        175        174          1          0          0         14          3         94          1          0       2,00
 14      49716        283          0          1          0          0      53,63       0,44        7,0       2,00         28        246        245          1          0          0         18          3        140          1          0       2,00
 15      49670        329          0          1          0          0      53,63       0,45        7,0       2,00         39        281        280          1          0          0         24          3        168          1          0       2,00
 16      49612        387          0          1          0          0      53,64       0,47        7,0       2,00         48        330        329          1          0          0         31          3        202          1          0       2,00
 17      49559        439          0          1          0          1      53,64       0,51       10,0       1,00         63        368        367          1          0          0         37          3        231          1          1       1,00
 18      49506        492          0          1          0          1      53,63       0,55       10,0       1,00         82        402        401          1          0          0         59          6        266          1          1       1,00
 19      49443        555          0          1          0          1      53,63       0,63       10,0       1,00        113        434        433          1          0          0         72          8        311          1          1       1,00
 20      49356        639          0          3          0          2      53,63       0,66       11,2       2,80        137        497        495          1          1          0         92         10        380          1          2       1,00
 21      49249        744          0          5          0          2      53,63       0,69       13,3       3,14        161        580        577          2          1          0        137         15        465          2          2       2,50
 22      49134        856          0          8          0          2      53,63       0,70       14,8       3,70        182        674        670          3          1          0        165         17        563          2          2       2,50
 23      48946       1041          0         11          0          2      53,62       0,69       13,9       3,31        206        838        831          6          1          0        199         17        714          2          2       2,50
 24      48775       1209          0         13          0          3      53,62       0,68       13,9       3,06        242        973        963          8          2          0        228         18        840          2          3       2,00
 25      48565       1416          0         16          0          3      53,62       0,69       13,2       2,79        295       1130       1118         10          2          0        262         22        971          4          3       1,57
 26      48394       1580          0         23          0          3      53,62       0,70       13,7       2,77        330       1266       1248         16          2          0        303         25       1072          8          3       1,45
 27      48163       1805          0         29          0          3      53,63       0,70       13,4       2,44        388       1439       1415         22          2          0        369         30       1195         11          3       1,21
 28      47910       2052          0         35          0          3      53,63       0,70       13,9       2,53        463       1617       1587         28          2          0        454         41       1316         12          3       1,20
 29      47588       2357          0         52          0          3      53,63       0,71       14,6       2,36        534       1868       1826         40          2          0        541         48       1454         23          3       1,31
 30      47227       2700          0         70          0          3      53,63       0,71       14,9       2,34        614       2149       2091         56          2          0        685         59       1628         30          3       1,33
 31      47008       2905          0         83          0          4      53,19       0,70       15,3       2,46        677       2305       2247         56          2          0        802         73       1707         39          4       1,77
 32      46754       3138          0        104          0          4      52,79       0,69       16,1       2,66        756       2480       2422         56          2          0        923         88       1812         52          4       2,36
 33      46469       3404          0        123          0          4      52,41       0,68       16,6       2,69        843       2678       2620         56          2          0       1022         96       1954         58          4       2,50
 34      46152       3691          0        152          0          5      52,05       0,68       16,8       2,70        939       2899       2841         56          2          0       1126        107       2092         78          5       2,37
 35      45820       3989          0        185          0          6      51,71       0,68       17,2       2,59       1021       3149       3091         56          2          0       1228        120       2234         97          6       2,24
 36      45434       4339          0        221          0          6      51,39       0,68       17,6       2,62       1133       3423       3365         56          2          0       1354        126       2414        120          6       2,07
 37      45036       4701          0        257          0          6      51,09       0,68       17,7       2,52       1256       3698       3640         56          2          0       1512        143       2556        143          6       2,06
 38      44627       5060          0        303          0         10      50,81       0,67       18,0       2,42       1369       3994       3935         57          2          0       1570        153       2704        170         10       1,96
 39      44171       5468          0        350          0         11      50,54       0,67       18,0       2,31       1490       4329       4267         60          2          0       1661        164       2884        197         11       1,87
 40      43689       5897          0        400          0         14      50,28       0,66       18,4       2,34       1651       4650       4587         61          2          0       1775        177       3069        227         14       1,97
 41      43180       6332          0        469          0         19      50,04       0,65       18,8       2,27       1824       4986       4920         64          2          0       1886        187       3274        270         19       1,86
 42      42697       6732          0        546          0         25      49,80       0,65       19,1       2,24       1978       5315       5247         66          2          0       1996        193       3440        317         25       1,85
 43      42261       7091          0        620          0         28      49,58       0,65       19,1       2,15       2152       5577       5502         73          2          0       2153        219       3611        361         28       1,77
 44      41789       7448          0        735          0         28      49,37       0,65       19,5       2,10       2330       5871       5787         82          2          0       2251        230       3799        429         28       1,71
 45      41356       7748          0        861          0         35      49,16       0,64       19,9       2,00       2524       6110       6015         92          3          0       2341        236       3932        509         35       1,63
 46      40949       8054          0        960          0         37      48,97       0,64       20,0       1,99       2727       6314       6198        113          3          0       2495        245       4092        561         37       1,64
 47      40545       8339          0       1074          0         42      48,79       0,64       20,2       1,99       2945       6500       6364        133          3          0       2645        251       4248        623         42       1,60
 48      40154       8609          0       1190          0         47      48,61       0,64       20,2       1,99       3146       6690       6530        157          3          0       2834        270       4385        682         47       1,57
 49      39759       8838          0       1350          0         53      48,45       0,64       20,4       2,01       3381       6850       6651        196          3          0       2959        282       4489        770         53       1,58
 50      39444       8979          0       1519          0         58      48,28       0,64       20,6       1,95       3580       6966       6725        237          4          0       3068        294       4555        874         58       1,51
 51      39079       9139          0       1720          0         62      48,13       0,64       20,8       1,91       3806       7105       6810        291          4          0       3200        304       4640        994         62       1,48
 52      38723       9288          0       1922          0         67      47,98       0,64       21,1       1,87       4038       7229       6890        335          4          0       3296        315       4723       1113         67       1,45
 53      38433       9377          0       2122          0         68      47,84       0,64       21,3       1,86       4246       7311       6925        382          4          0       3401        330       4794       1221         68       1,44
 54      38125       9420          0       2380          0         75      47,70       0,64       21,6       1,81       4444       7421       6967        450          4          0       3468        333       4805       1371         75       1,36
 55      37830       9438          0       2653          0         79      47,57       0,64       21,8       1,77       4656       7504       6963        536          5          0       3519        337       4838       1517         79       1,33
 56      37667       9318          0       2930          0         85      47,22       0,62       22,0       1,73       4775       7548       7007        536          5          0       3567        337       4772       1661         85       1,29
 57      37516       9192          0       3198          0         94      46,88       0,62       22,2       1,70       4892       7582       7041        536          5          0       3598        344       4712       1795         94       1,27
 58      37371       9036          0       3495          0         98      46,55       0,61       22,4       1,66       5017       7602       7061        536          5          0       3673        347       4660       1926         98       1,24
 59      37213       8849          0       3827          0        111      46,23       0,60       22,6       1,65       5145       7632       7091        536          5          0       3717        355       4578       2076        111       1,23
 60      37063       8642          0       4176          0        119      45,92       0,59       22,8       1,62       5264       7663       7122        536          5          0       3709        358       4476       2255        119       1,19
 61      36930       8443          0       4498          0        129      45,61       0,59       22,9       1,59       5370       7690       7149        536          5          0       3707        358       4379       2416        129       1,17
 62      36810       8261          0       4788          0        141      45,32       0,58       23,0       1,58       5472       7708       7167        536          5          0       3751        359       4304       2542        141       1,16
 63      36709       8013          0       5121          0        157      45,04       0,58       23,1       1,55       5559       7722       7181        536          5          0       3662        352       4195       2700        157       1,13
 64      36607       7769          0       5458          0        166      44,77       0,57       23,3       1,53       5650       7733       7192        536          5          0       3568        336       4077       2868        166       1,11
 65      36518       7501          0       5804          0        177      44,51       0,57       23,4       1,50       5733       7739       7197        537          5          0       3474        319       3957       3033        177       1,09
