Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_30_25_15_15_0_a\s001.log                           81,92   1 ok
F:\Contagio\50_30_25_15_15_0_a\s002.log                           75,55   1 ok
F:\Contagio\50_30_25_15_15_0_a\s003.log                           83,32   1 ok
F:\Contagio\50_30_25_15_15_0_a\s004.log                           47,04   1 ok
F:\Contagio\50_30_25_15_15_0_a\s005.log                           50,10   1 ok
F:\Contagio\50_30_25_15_15_0_a\s006.log                           67,18   1 ok
F:\Contagio\50_30_25_15_15_0_a\s007.log                          121,22   1 
F:\Contagio\50_30_25_15_15_0_a\s008.log                          103,83   1 ok
F:\Contagio\50_30_25_15_15_0_a\s009.log                           35,29   1 ok
F:\Contagio\50_30_25_15_15_0_a\s010.log                           21,64   1 ok
F:\Contagio\50_30_25_15_15_0_a\s011.log                          176,10   1 
F:\Contagio\50_30_25_15_15_0_a\s012.log                           51,46   1 ok
F:\Contagio\50_30_25_15_15_0_a\s013.log                           14,30   1 ok
F:\Contagio\50_30_25_15_15_0_a\s014.log                           24,94   1 ok
F:\Contagio\50_30_25_15_15_0_a\s015.log                           22,65   1 ok
F:\Contagio\50_30_25_15_15_0_b\s001.log                           10,45   1 ok
F:\Contagio\50_30_25_15_15_0_b\s002.log                           43,80   1 ok
F:\Contagio\50_30_25_15_15_0_b\s003.log                           16,27   1 ok
F:\Contagio\50_30_25_15_15_0_b\s004.log                           23,35   1 ok
F:\Contagio\50_30_25_15_15_0_b\s005.log                           19,38   1 ok
F:\Contagio\50_30_25_15_15_0_b\s006.log                           27,63   1 ok
F:\Contagio\50_30_25_15_15_0_b\s007.log                           21,81   1 ok
F:\Contagio\50_30_25_15_15_0_b\s008.log                           12,01   1 ok
F:\Contagio\50_30_25_15_15_0_b\s009.log                           67,10   1 ok
F:\Contagio\50_30_25_15_15_0_b\s010.log                           18,76   1 ok
F:\Contagio\50_30_25_15_15_0_b\s011.log                           36,97   1 ok
F:\Contagio\50_30_25_15_15_0_b\s012.log                          145,59   1 
F:\Contagio\50_30_25_15_15_0_b\s013.log                           55,00   1 ok
F:\Contagio\50_30_25_15_15_0_b\s014.log                           20,61   1 ok
F:\Contagio\50_30_25_15_15_0_b\s015.log                           92,41   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      52,92  =     105,85
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49985         14          0          0          0          0      53,62       0,29        0,0       0,00          0          4          4          0          0          0          0          0          4          0          0       0,00
  5      49979         20          0          0          0          0      53,63       0,36        0,0       0,00          1          8          8          0          0          0          0          0          7          0          0       0,00
  6      49975         24          0          0          0          0      53,63       0,43        0,0       0,00          2         12         12          0          0          0          0          0         10          0          0       0,00
  7      49963         36          0          0          0          0      53,63       0,44        0,2       0,04          3         23         23          0          0          0          0          0         19          0          0       0,04
  8      49947         52          0          0          0          0      53,63       0,46        0,2       0,04          4         37         37          0          0          0          1          0         28          0          0       0,04
  9      49932         67          0          0          0          0      53,63       0,46        0,2       0,04          6         51         51          0          0          0          1          0         37          0          0       0,04
 10      49913         86          0          0          0          0      53,63       0,47        0,2       0,04          7         68         68          0          0          0          1          0         46          0          0       0,04
 11      49887        112          0          0          0          0      53,63       0,49        1,6       0,44         11         91         91          0          0          0          4          0         58          0          0       0,04
 12      49858        141          0          0          0          0      53,63       0,51        2,0       0,44         15        116        116          0          0          0          7          1         72          0          0       0,04
 13      49821        178          0          0          0          0      53,63       0,53        4,6       1,07         22        146        146          0          0          0         10          1         89          0          0       0,26
 14      49775        223          0          0          0          0      53,63       0,55        5,0       1,02         29        184        184          0          0          0         18          1        110          0          0       0,26
 15      49724        274          0          0          0          0      53,63       0,56        5,3       1,59         37        227        226          0          0          0         28          3        135          0          0       0,80
 16      49668        330          0          1          0          0      53,63       0,57        6,7       1,62         47        274        273          0          0          0         36          3        165          0          0       0,86
 17      49608        389          0          1          0          0      53,62       0,59        8,2       2,19         61        319        318          0          0          0         45          4        199          0          0       1,46
 18      49539        457          0          2          0          0      53,62       0,62       10,2       2,80         78        372        370          1          0          0         57          5        242          1          0       2,10
 19      49460        536          0          3          0          0      53,62       0,64       10,4       2,85         98        431        430          1          0          0         70          7        294          1          0       2,26
 20      49372        622          0          4          0          0      53,62       0,65       11,4       2,92        119        498        495          2          0          0         87          8        351          2          0       2,36
 21      49268        725          0          6          0          0      53,62       0,66       11,9       2,96        146        575        571          3          0          0        107         10        420          3          0       2,81
 22      49148        843          0          8          0          0      53,62       0,67       12,4       2,94        179        662        657          5          0          0        131         12        497          4          0       3,00
 23      49008        979          0         11          0          0      53,62       0,68       12,9       3,09        212        768        761          7          0          0        161         15        582          5          0       2,87
 24      48847       1138          0         14          0          0      53,62       0,68       13,2       2,93        251        891        881          9          0          0        193         17        680          6          0       2,46
 25      48657       1323          0         18          0          0      53,63       0,68       13,6       2,84        297       1035       1022         12          0          0        234         21        792          8          0       2,34
 26      48437       1538          0         23          0          0      53,63       0,68       14,1       2,92        346       1206       1189         16          0          0        284         26        917         10          0       2,24
 27      48180       1789          0         29          0          0      53,63       0,69       14,4       2,91        405       1404       1382         21          0          0        338         32       1060         14          0       2,32
 28      47893       2068          0         36          0          0      53,62       0,69       14,6       2,83        470       1625       1597         27          0          0        405         38       1214         17          0       2,12
 29      47566       2386          0         45          0          1      53,63       0,69       15,0       2,71        546       1877       1842         34          0          0        477         45       1382         22          1       2,08
 30      47197       2745          0         55          0          1      53,63       0,69       15,3       2,63        631       2161       2117         42          0          0        559         53       1566         28          1       2,00
 31      46954       2975          0         68          0          1      53,19       0,68       15,5       2,65        710       2325       2281         42          0          0        651         63       1690         34          1       2,07
 32      46681       3228          0         88          0          2      52,79       0,67       16,5       2,69        799       2509       2465         42          0          0        755         72       1819         44          2       2,06
 33      46384       3507          0        105          0          2      52,40       0,67       16,6       2,61        903       2701       2658         42          0          0        873         83       1962         53          2       2,03
 34      46059       3809          0        128          0          2      52,04       0,66       16,7       2,54       1017       2913       2869         42          0          0       1006         96       2118         66          2       1,94
 35      45722       4118          0        154          0          3      51,70       0,66       17,0       2,47       1128       3138       3094         43          0          0       1148        110       2265         80          3       1,88
 36      45362       4448          0        184          0          4      51,39       0,66       17,2       2,45       1247       3379       3335         43          0          0       1305        126       2426         97          4       1,87
 37      44978       4798          0        217          0          5      51,08       0,66       17,5       2,41       1373       3638       3594         43          0          0       1474        143       2590        116          5       1,88
 38      44581       5150          0        261          0          6      50,80       0,66       17,9       2,37       1504       3904       3859         44          0          0       1579        155       2757        140          6       1,84
 39      44162       5520          0        308          0          8      50,53       0,65       18,2       2,33       1641       4185       4139         45          0          0       1689        165       2926        168          8       1,82
 40      43721       5903          0        364          0         10      50,27       0,65       18,5       2,30       1791       4477       4430         46          0          0       1809        178       3107        199         10       1,80
 41      43268       6290          0        428          0         12      50,02       0,65       18,7       2,25       1951       4769       4718         49          0          0       1941        190       3289        234         12       1,76
 42      42816       6666          0        501          0         15      49,79       0,65       18,9       2,21       2116       5056       5002         52          1          0       2059        202       3462        275         15       1,74
 43      42357       7040          0        583          0         18      49,57       0,64       19,2       2,18       2294       5338       5278         58          1          0       2189        215       3641        320         18       1,71
 44      41903       7400          0        675          0         21      49,36       0,64       19,5       2,13       2478       5607       5541         65          1          0       2321        229       3814        370         21       1,68
 45      41450       7742          0        782          0         24      49,15       0,64       19,7       2,09       2672       5867       5790         75          1          0       2451        241       3983        429         24       1,65
 46      41010       8064          0        896          0         28      48,96       0,64       19,9       2,06       2872       6106       6016         88          1          0       2583        255       4139        491         28       1,63
 47      40588       8356          0       1022          0         32      48,78       0,64       20,2       2,04       3076       6324       6217        105          1          0       2723        269       4289        562         32       1,61
 48      40181       8623          0       1157          0         36      48,60       0,64       20,4       2,01       3286       6521       6393        126          1          0       2863        283       4425        637         36       1,58
 49      39793       8855          0       1309          0         41      48,43       0,64       20,6       1,98       3496       6700       6544        153          2          0       2990        296       4543        722         41       1,55
 50      39422       9055          0       1474          0         47      48,27       0,64       20,8       1,95       3707       6859       6671        185          2          0       3118        309       4645        815         47       1,51
 51      39069       9218          0       1658          0         52      48,11       0,64       21,0       1,92       3920       6999       6769        226          3          0       3236        322       4729        919         52       1,49
 52      38732       9352          0       1855          0         60      47,97       0,64       21,2       1,89       4135       7122       6842        276          3          0       3350        333       4802       1027         60       1,46
 53      38412       9450          0       2069          0         68      47,82       0,63       21,5       1,86       4350       7227       6890        332          4          0       3453        343       4865       1139         68       1,43
 54      38113       9508          0       2301          0         76      47,69       0,63       21,7       1,83       4558       7318       6916        396          5          0       3544        353       4904       1263         76       1,41
 55      37835       9526          0       2552          0         85      47,55       0,63       21,9       1,81       4766       7387       6909        472          6          0       3620        362       4926       1394         85       1,38
 56      37669       9410          0       2826          0         94      47,20       0,62       22,2       1,78       4902       7418       6939        472          6          0       3676        366       4874       1537         94       1,35
 57      37515       9270          0       3109          0        104      46,86       0,61       22,3       1,75       5032       7442       6963        472          6          0       3724        369       4816       1680        104       1,32
 58      37368       9103          0       3412          0        115      46,53       0,61       22,6       1,71       5158       7463       6984        472          6          0       3750        372       4741       1835        115       1,28
 59      37230       8909          0       3734          0        126      46,21       0,60       22,8       1,68       5280       7479       7001        472          6          0       3768        373       4655       1995        126       1,25
 60      37093       8693          0       4075          0        138      45,90       0,59       23,0       1,64       5401       7495       7016        472          6          0       3770        376       4558       2165        138       1,22
 61      36967       8448          0       4433          0        150      45,59       0,59       23,2       1,61       5515       7507       7028        472          6          0       3752        374       4446       2342        150       1,19
 62      36853       8233          0       4751          0        161      45,31       0,58       23,3       1,59       5619       7516       7038        472          6          0       3747        374       4349       2498        161       1,17
 63      36746       7989          0       5090          0        174      45,03       0,58       23,4       1,56       5719       7523       7044        472          6          0       3672        367       4242       2660        174       1,14
 64      36644       7727          0       5441          0        185      44,76       0,57       23,5       1,54       5815       7529       7050        472          6          0       3583        358       4121       2832        185       1,12
 65      36548       7445          0       5806          0        199      44,50       0,57       23,6       1,52       5908       7533       7053        472          6          0       3482        346       3988       3010        199       1,10
 66      36458       7153          0       6174          0        213      44,25       0,56       23,7       1,49       5996       7535       7055        473          6          0       3380        336       3858       3183        213       1,08
 67      36375       6843          0       6554          0        227      44,00       0,56       23,9       1,47       6077       7536       7056        473          6          0       3268        327       3714       3365        227       1,06
 68      36296       6522          0       6939          0        240      43,77       0,56       24,0       1,44       6155       7537       7056        474          6          0       3145        315       3563       3552        240       1,04
 69      36221       6202          0       7321          0        254      43,55       0,55       24,1       1,42       6230       7537       7056        475          6          0       3019        303       3415       3734        254       1,02
 70      36151       5867          0       7712          0        268      43,33       0,55       24,3       1,39       6299       7538       7056        475          6          0       2887        289       3258       3921        268       1,00
 71      36013       5598          0       8104          0        283      43,29       0,55       24,4       1,37       6405       7570       7088        475          6          0       2743        275       3130       4113        283       0,98
 72      35896       5309          0       8496          0        297      43,25       0,55       24,5       1,34       6498       7595       7113        475          6          0       2595        260       2992       4305        297       0,96
 73      35797       5016          0       8872          0        313      43,21       0,55       24,6       1,32       6580       7611       7129        475          6          0       2452        245       2849       4490        313       0,94
 74      35696       4737          0       9237          0        328      43,18       0,56       24,7       1,30       6664       7629       7147        475          6          0       2304        231       2710       4673        328       0,92
 75      35603       4467          0       9583          0        345      43,14       0,56       24,8       1,28       6741       7644       7162        475          6          0       2162        218       2570       4849        345       0,90
 76      35517       4203          0       9918          0        360      43,11       0,56       24,9       1,26       6814       7657       7175        475          6          0       2024        204       2435       5019        360       0,89
 77      35441       3943          0      10240          0        374      43,07       0,56       25,0       1,24       6882       7666       7184        475          6          0       1886        191       2299       5186        374       0,87
 78      35371       3697          0      10540          0        389      43,04       0,56       25,1       1,22       6945       7672       7189        475          6          0       1791        182       2166       5346        389       0,86
 79      35311       3457          0      10828          0        402      43,01       0,56       25,2       1,21       7002       7675       7193        475          6          0       1696        173       2039       5497        402       0,84
 80      35253       3233          0      11096          0        415      42,99       0,56       25,3       1,19       7058       7677       7195        476          6          0       1596        162       1917       5641        415       0,83
 81      35202       3021          0      11348          0        428      42,96       0,56       25,3       1,18       7108       7679       7196        476          6          0       1506        153       1799       5778        428       0,82
 82      35153       2826          0      11578          0        441      42,93       0,56       25,4       1,17       7155       7680       7197        477          6          0       1422        145       1692       5901        441       0,81
 83      35108       2643          0      11793          0        453      42,91       0,56       25,4       1,16       7199       7681       7197        477          6          0       1343        137       1591       6019        453       0,80
 84      35065       2479          0      11990          0        463      42,88       0,56       25,5       1,14       7241       7682       7197        478          6          0       1268        128       1497       6128        463       0,79
 85      35027       2327          0      12171          0        473      42,86       0,56       25,5       1,13       7280       7682       7196        479          6          0       1197        120       1407       6231        473       0,78
 86      34820       2362          0      12332          0        484      42,96       0,56       25,6       1,13       7324       7845       7359        479          6          0       1131        113       1400       6324        484       0,77
