--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 11:41:55
--------------------------------------------------------------------------------------------------
Carpeta 50_30_25_0_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.866
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,        5.858 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,60       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49985         14          0          0          0          0      53,64       0,25        0,0       0,00          0          3          3          0          0          0          0          0          3          0          0       0,00
  5      49981         19          0          0          0          0      53,64       0,37        0,0       0,00          1          7          7          0          0          0          0          0          5          0          0       0,00
  6      49976         23          0          0          0          0      53,64       0,40        0,0       0,00          2         11         11          0          0          0          0          0          8          0          0       0,00
  7      49967         32          0          0          0          0      53,64       0,47        0,0       0,00          3         19         19          0          0          0          0          0         14          0          0       0,00
  8      49954         45          0          0          0          0      53,64       0,51        0,0       0,00          4         31         31          0          0          0          1          0         21          0          0       0,00
  9      49940         59          0          0          0          0      53,64       0,51        0,0       0,00          6         42         42          0          0          0          1          0         29          0          0       0,00
 10      49924         75          0          0          0          0      53,64       0,53        0,6       0,40          8         56         56          0          0          0          1          0         36          0          0       0,00
 11      49900         99          0          0          0          0      53,64       0,53        0,6       0,40         12         77         77          0          0          0          3          0         48          0          0       0,00
 12      49872        127          0          0          0          0      53,65       0,52        0,6       0,40         15        102        102          0          0          0          5          0         61          0          0       0,00
 13      49833        166          0          0          0          0      53,64       0,54        0,6       0,40         21        135        135          0          0          0          8          1         81          0          0       0,00
 14      49792        207          0          0          0          0      53,64       0,55        1,8       0,73         28        169        169          0          0          0         13          1        101          0          0       0,07
 15      49748        250          0          0          0          0      53,64       0,56        4,2       1,52         36        205        205          0          0          0         21          2        122          0          0       0,80
 16      49696        301          0          1          0          0      53,64       0,57        5,9       1,67         46        246        246          0          0          0         28          3        149          0          0       1,09
 17      49642        356          0          1          0          0      53,64       0,60        7,0       1,96         60        287        286          0          0          0         35          3        181          0          0       0,96
 18      49581        417          0          1          0          0      53,63       0,63        7,8       2,26         74        334        333          1          0          0         47          4        214          1          0       1,15
 19      49512        485          0          2          0          0      53,63       0,65        9,0       1,98         94        383        381          1          0          0         60          6        255          1          0       1,15
 20      49431        564          0          3          0          0      53,63       0,67       10,7       2,38        114        444        441          2          0          0         79          7        306          1          0       1,32
 21      49342        652          0          5          0          0      53,63       0,69       10,9       2,48        137        509        506          3          0          0        100          9        362          2          0       1,07
 22      49235        758          0          6          0          0      53,63       0,69       12,1       2,77        164        590        586          4          0          0        120         11        432          2          0       1,29
 23      49108        882          0          9          0          0      53,63       0,69       13,3       3,01        194        686        680          6          0          0        145         13        513          4          0       2,29
 24      48958       1029          0         12          0          0      53,63       0,70       13,5       2,85        227        804        795          8          0          0        175         16        605          6          0       2,17
 25      48782       1201          0         16          0          0      53,63       0,70       14,1       2,66        267        940        929         11          0          0        207         19        714          8          0       1,99
 26      48580       1396          0         22          0          0      53,63       0,70       14,7       2,83        314       1094       1078         15          0          0        246         23        832         10          0       2,14
 27      48345       1627          0         26          0          0      53,63       0,70       14,8       2,89        368       1276       1257         18          0          0        295         28        965         12          0       2,21
 28      48073       1892          0         34          0          0      53,63       0,69       15,1       2,69        427       1489       1464         24          0          0        347         34       1110         16          0       1,99
 29      47754       2203          0         41          0          0      53,63       0,69       15,4       2,63        501       1733       1703         30          0          0        414         39       1279         20          0       1,88
 30      47404       2543          0         50          0          1      53,63       0,69       15,5       2,51        581       2003       1965         38          0          0        492         47       1454         25          1       1,85
 31      47182       2752          0         63          0          1      53,19       0,67       15,6       2,47        655       2152       2113         38          0          0        578         56       1567         32          1       1,88
 32      46940       2975          0         81          0          2      52,79       0,67       16,8       2,52        741       2308       2269         38          0          0        679         67       1685         41          2       1,85
 33      46659       3241          0         97          0          2      52,41       0,66       16,9       2,47        835       2494       2456         38          0          0        791         78       1826         49          2       1,79
 34      46376       3505          0        115          0          2      52,05       0,66       16,9       2,45        933       2680       2642         38          0          0        916         91       1957         59          2       1,77
 35      46059       3796          0        140          0          3      51,71       0,66       17,2       2,46       1040       2890       2851         38          0          0       1051        104       2098         72          3       1,79
 36      45724       4102          0        169          0          4      51,39       0,66       17,5       2,44       1155       3110       3071         38          0          0       1208        123       2248         87          4       1,81
 37      45365       4427          0        202          0          5      51,09       0,66       17,7       2,40       1272       3352       3313         38          0          0       1369        138       2401        105          5       1,79
 38      44991       4762          0        239          0          6      50,80       0,65       18,0       2,35       1395       3602       3563         39          0          0       1467        148       2561        127          6       1,77
 39      44590       5117          0        283          0          8      50,53       0,65       18,2       2,30       1527       3871       3831         40          0          0       1568        158       2732        151          8       1,76
 40      44187       5471          0        331          0          9      50,27       0,65       18,4       2,24       1657       4144       4102         41          0          0       1690        170       2899        178          9       1,73
 41      43766       5832          0        389          0         11      50,03       0,65       18,6       2,21       1807       4415       4371         43          0          0       1799        181       3078        209         11       1,73
 42      43337       6191          0        457          0         13      49,80       0,65       18,8       2,15       1956       4695       4648         46          0          0       1915        192       3247        246         13       1,66
 43      42895       6558          0        529          0         15      49,57       0,64       19,1       2,12       2119       4975       4924         50          0          0       2040        205       3417        285         15       1,62
 44      42454       6909          0        615          0         19      49,36       0,64       19,4       2,08       2292       5242       5186         55          0          0       2161        216       3585        333         19       1,61
 45      42019       7247          0        710          0         22      49,16       0,64       19,6       2,04       2470       5499       5433         65          1          0       2288        229       3749        385         22       1,58
