Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_30_25_0_a\s001.log                                 29,47   1 ok
F:\Contagio\50_30_25_0_a\s002.log                                 63,06   1 ok
F:\Contagio\50_30_25_0_a\s003.log                                 26,60   1 ok
F:\Contagio\50_30_25_0_a\s004.log                                 71,55   1 ok
F:\Contagio\50_30_25_0_a\s005.log                                 41,50   1 ok
F:\Contagio\50_30_25_0_a\s006.log                                106,60   1 ok
F:\Contagio\50_30_25_0_a\s007.log                                 28,19   1 ok
F:\Contagio\50_30_25_0_a\s008.log                                 56,16   1 ok
F:\Contagio\50_30_25_0_a\s009.log                                 28,97   1 ok
F:\Contagio\50_30_25_0_a\s010.log                                 38,78   1 ok
F:\Contagio\50_30_25_0_a\s011.log                                332,91   1 
F:\Contagio\50_30_25_0_a\s012.log                                 25,53   1 ok
F:\Contagio\50_30_25_0_a\s013.log                                 23,94   1 ok
F:\Contagio\50_30_25_0_a\s014.log                                 16,00   1 ok
F:\Contagio\50_30_25_0_a\s015.log                                 50,94   1 ok
F:\Contagio\50_30_25_0_b\s001.log                                 21,07   1 ok
F:\Contagio\50_30_25_0_b\s002.log                                120,24   1 ok
F:\Contagio\50_30_25_0_b\s003.log                                 18,90   1 ok
F:\Contagio\50_30_25_0_b\s004.log                                 76,72   1 ok
F:\Contagio\50_30_25_0_b\s005.log                                 49,79   1 ok
F:\Contagio\50_30_25_0_b\s006.log                                 58,63   1 ok
F:\Contagio\50_30_25_0_b\s007.log                                 61,04   1 ok
F:\Contagio\50_30_25_0_b\s008.log                                 41,16   1 ok
F:\Contagio\50_30_25_0_b\s009.log                                 47,31   1 ok
F:\Contagio\50_30_25_0_b\s010.log                                 19,89   1 ok
F:\Contagio\50_30_25_0_b\s011.log                                 74,90   1 ok
F:\Contagio\50_30_25_0_b\s012.log                                 74,71   1 ok
F:\Contagio\50_30_25_0_b\s013.log                                 64,44   1 ok
F:\Contagio\50_30_25_0_b\s014.log                                 12,98   1 ok
F:\Contagio\50_30_25_0_b\s015.log                                337,61   1 
------------------------------------------------------------ ---------- --- --
                                           2 x      67,32  =     134,64
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49984         15          0          0          0          0      53,64       0,30        0,0       0,00          1          4          4          0          0          0          0          0          5          0          0       0,00
  5      49979         20          0          0          0          0      53,64       0,41        0,0       0,00          1          8          8          0          0          0          0          0          8          0          0       0,00
  6      49974         25          0          0          0          0      53,64       0,45        0,0       0,00          2         12         12          0          0          0          0          0         11          0          0       0,00
  7      49962         37          0          0          0          0      53,64       0,50        0,0       0,00          3         24         24          0          0          0          0          0         19          0          0       0,00
  8      49946         53          0          0          0          0      53,63       0,52        0,3       0,18          5         38         38          0          0          0          1          0         28          0          0       0,00
  9      49932         67          0          0          0          0      53,63       0,51        0,5       0,18          6         51         51          0          0          0          1          0         37          0          0       0,00
 10      49913         86          0          0          0          0      53,63       0,53        0,9       0,39          9         67         67          0          0          0          1          0         45          0          0       0,00
 11      49887        112          0          0          0          0      53,63       0,53        1,5       0,54         12         89         89          0          0          0          5          0         57          0          0       0,14
 12      49856        143          0          0          0          0      53,64       0,52        1,5       0,54         16        117        117          0          0          0          7          0         72          0          0       0,14
 13      49816        182          0          0          0          0      53,63       0,53        1,5       0,54         21        151        151          0          0          0         10          1         92          0          0       0,14
 14      49770        229          0          0          0          0      53,63       0,54        3,0       0,79         29        190        190          0          0          0         19          2        115          0          0       0,25
 15      49718        280          0          1          0          0      53,63       0,55        6,3       1,59         38        233        232          0          0          0         28          3        140          0          0       0,79
 16      49659        338          0          1          0          0      53,63       0,56        8,4       2,15         49        280        279          0          0          0         36          3        171          0          0       1,16
 17      49597        400          0          2          0          0      53,63       0,57        9,3       2,57         65        327        326          1          0          0         44          4        206          1          0       1,56
 18      49527        469          0          2          0          0      53,63       0,60        9,7       2,73         82        380        378          1          0          0         56          5        245          1          0       1,75
 19      49453        542          0          3          0          0      53,63       0,62       10,5       2,57        102        433        431          2          0          0         70          6        289          2          0       1,89
 20      49366        628          0          4          0          0      53,63       0,64       11,2       2,80        125        497        494          2          0          0         89          8        344          2          0       1,96
 21      49264        729          0          6          0          0      53,63       0,66       11,4       3,02        153        572        568          3          0          0        112         10        409          3          0       1,84
 22      49145        846          0          8          0          0      53,63       0,67       12,2       3,11        184        659        654          5          0          0        137         12        487          3          0       1,87
 23      49004        984          0         10          0          0      53,63       0,68       13,1       3,26        219        766        759          7          0          0        166         16        578          5          0       2,51
