--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:40:19
--------------------------------------------------------------------------------------------------
Carpeta P50_40_25R1_R2_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.220
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                     50
Número clusters generados                    49 con        3.950 individuos,        1.671 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    40    60       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    40    60      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    40    60      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    40    60       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86     5    10      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,62       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49984         15          0          0          0          0      53,63       0,34        0,0       0,00          1          4          4          0          0          0          0          0          6          0          0       0,00
  5      49978         21          0          0          0          0      53,63       0,48        0,0       0,00          2          9          9          0          0          0          0          0          9          0          0       0,00
  6      49974         26          0          0          0          0      53,64       0,55        0,0       0,00          2         13         13          0          0          0          0          0         12          0          0       0,00
  7      49960         39          0          0          0          0      53,63       0,57        0,0       0,00          3         26         26          0          0          0          0          0         22          0          0       0,00
  8      49944         55          0          0          0          0      53,63       0,57        0,5       0,33          5         40         40          0          0          0          2          0         32          0          0       0,00
  9      49930         69          0          0          0          0      53,62       0,56        1,0       0,33          6         52         52          0          0          0          2          0         40          0          0       0,00
 10      49912         87          0          0          0          0      53,62       0,56        1,0       0,33          9         68         68          0          0          0          2          0         49          0          0       0,00
 11      49887        112          0          0          0          0      53,62       0,58        2,1       0,60         12         90         90          0          0          0          6          0         60          0          0       0,27
 12      49857        142          0          0          0          0      53,62       0,57        2,1       0,60         16        116        116          0          0          0          9          0         74          0          0       0,27
 13      49822        177          0          0          0          0      53,62       0,58        2,1       0,60         20        147        147          0          0          0         12          1         91          0          0       0,27
 14      49775        223          0          0          0          0      53,62       0,59        3,7       0,73         27        186        186          0          0          0         22          2        114          0          0       0,40
 15      49723        275          0          1          0          0      53,62       0,59        7,5       1,46         37        229        229          0          0          0         32          2        140          0          0       0,67
 16      49665        332          0          1          0          0      53,62       0,59        9,8       2,33         47        277        276          0          0          0         39          3        171          0          0       1,08
 17      49603        394          0          2          0          0      53,62       0,60       10,4       2,83         62        324        322          1          0          0         47          4        205          1          0       1,96
 18      49533        463          0          3          0          0      53,62       0,62       11,5       2,84         80        375        374          1          0          0         58          5        244          1          0       2,12
 19      49463        531          0          4          0          0      53,62       0,65       11,7       2,82         98        427        425          2          0          0         72          6        287          2          0       2,38
 20      49382        612          0          5          0          0      53,63       0,67       12,1       2,84        121        485        482          2          0          0         88          8        338          3          0       2,35
 21      49278        713          0          7          0          0      53,63       0,68       12,4       3,16        151        560        555          4          0          0        110         10        404          3          0       2,37
 22      49163        827          0          8          0          0      53,63       0,69       12,8       3,10        182        644        638          5          0          0        136         12        480          4          0       2,20
 23      49025        963          0         11          0          0      53,63       0,69       13,4       3,17        216        748        741          7          0          0        166         16        570          5          0       2,38
 24      48858       1126          0         14          0          0      53,62       0,70       13,8       3,18        254        876        866          9          0          0        199         18        673          7          0       2,43
 25      48664       1316          0         18          0          0      53,62       0,70       13,9       2,92        296       1028       1015         12          0          0        236         23        787          9          0       2,20
 26      48441       1535          0         22          0          0      53,62       0,69       14,3       2,81        347       1201       1184         16          0          0        278         26        915         11          0       2,02
 27      48187       1783          0         28          0          0      53,62       0,69       14,8       2,91        401       1400       1379         20          0          0        326         31       1055         15          0       1,99
 28      47893       2070          0         35          0          1      53,62       0,69       15,3       2,81        468       1627       1601         25          0          0        389         39       1212         18          1       1,95
 29      47567       2386          0         44          0          1      53,62       0,69       15,4       2,70        545       1877       1844         32          0          0        461         47       1379         23          1       1,87
 30      47200       2743          0         54          0          1      53,62       0,69       15,8       2,57        630       2159       2117         40          0          0        546         55       1561         28          1       1,87
 31      46784       3145          0         67          0          2      53,62       0,69       16,4       2,54        732       2472       2421         50          1          0        643         63       1764         35          2       1,83
