--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
03/05/2020 13:02:22
--------------------------------------------------------------------------------------------------
Carpeta P50_40_25R1_R2_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.231
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            4 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,71       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,74       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,64       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49987         13          0          0          0          0      53,63       0,14        0,0       0,00          0          3          3          0          0          0          0          0          3          0          0       0,00
  5      49981         19          0          0          0          0      53,64       0,15        0,0       0,00          2          7          7          0          0          0          0          0          6          0          0       0,00
  6      49974         26          0          0          0          0      53,65       0,32        0,0       0,00          3         13         13          0          0          0          0          0          9          0          0       0,00
  7      49962         38          0          0          0          0      53,64       0,37        0,0       0,00          5         23         23          0          0          0          0          0         15          0          0       0,00
  8      49950         50          0          0          0          0      53,62       0,38        0,0       0,00          6         34         34          0          0          0          2          0         19          0          0       0,00
  9      49937         63          0          0          0          0      53,61       0,38        0,0       0,00          6         47         47          0          0          0          2          0         25          0          0       0,00
 10      49915         85          0          0          0          0      53,61       0,39        0,0       0,00          7         68         68          0          0          0          2          0         32          0          0       0,00
 11      49878        122          0          0          0          0      53,62       0,39        0,0       0,00          8        104        104          0          0          0          3          0         52          0          0       0,00
 12      49834        166          0          0          0          0      53,62       0,42        0,0       0,00         17        139        139          0          0          0          6          1         70          0          0       0,00
 13      49777        223          0          0          0          0      53,61       0,44        0,0       0,00         27        186        186          0          0          0          9          1         96          0          0       0,00
 14      49719        281          0          0          0          0      53,62       0,45        0,0       0,00         33        238        238          0          0          0         15          2        127          0          0       0,00
 15      49662        337          0          1          0          0      53,62       0,49       10,0       4,00         45        283        282          1          0          0         18          3        153          1          0       4,00
 16      49563        436          0          1          0          0      53,62       0,48       10,0       4,00         57        370        369          1          0          0         24          4        217          1          0       4,00
 17      49488        509          0          3          0          0      53,63       0,48        9,3       4,33         76        426        423          3          0          0         31          4        258          1          0       4,00
 18      49408        588          0          4          0          0      53,63       0,51        8,8       3,50        105        477        473          4          0          0         50          7        303          2          0       2,50
 19      49347        649          0          4          0          0      53,62       0,55        8,8       3,50        125        518        514          4          0          0         68         10        346          2          0       2,50
 20      49261        731          0          8          0          0      53,62       0,61       11,0       4,63        168        561        554          7          0          0         91         12        398          5          0       3,60
 21      49143        847          0         10          0          0      53,62       0,63       10,7       4,00        203        644        635          9          0          0        121         17        481          6          0       3,17
 22      48985       1005          0         10          0          0      53,61       0,65       10,7       4,00        247        758        749          9          0          0        148         20        600          6          0       3,17
 23      48802       1184          0         14          0          0      53,61       0,66       12,1       3,86        291        897        886         11          0          0        212         26        730          6          0       3,17
 24      48595       1387          0         18          0          0      53,60       0,66       12,2       4,17        343       1052       1037         15          0          0        252         30        862          8          0       3,50
 25      48313       1667          0         20          0          0      53,61       0,68       12,3       3,90        394       1283       1266         17          0          0        296         36       1062          9          0       3,22
 26      47979       1996          0         25          0          0      53,61       0,68       12,8       3,96        458       1553       1532         21          0          0        338         42       1269         10          0       3,00
 27      47666       2302          0         32          0          0      53,62       0,68       13,4       3,91        520       1804       1780         24          0          0        392         47       1423         12          0       2,58
 28      47305       2652          0         43          0          0      53,62       0,68       13,9       3,56        603       2082       2050         32          0          0        471         55       1604         16          0       2,19
 29      46867       3081          0         52          0          0      53,62       0,68       14,3       3,25        708       2415       2374         41          0          0        584         61       1787         22          0       1,82
 30      46395       3537          0         65          0          3      53,62       0,69       14,9       2,90        823       2772       2717         53          2          0        704         69       1994         30          3       1,70
 31      45852       4063          0         81          0          4      53,62       0,69       15,3       2,72        971       3167       3100         65          2          0        830         80       2226         36          4       1,58
 32      45214       4684          0         96          0          6      53,62       0,69       15,8       2,60       1117       3659       3579         76          4          0       1020        102       2483         45          6       1,69
 33      44481       5399          0        114          0          6      53,62       0,69       15,9       2,69       1279       4230       4138         88          4          0       1217        121       2802         57          6       1,76
 34      43726       6121          0        145          0          8      53,63       0,69       16,1       2,74       1430       4834       4717        111          6          0       1353        130       3138         75          8       2,06
 35      42876       6933          0        180          0         11      53,63       0,68       16,4       2,79       1640       5474       5328        138          8          0       1515        150       3498         97         11       2,27
 36      41985       7773          0        231          0         11      53,63       0,68       17,0       2,61       1879       6126       5940        178          8          0       1678        166       3873        122         11       2,02
 37      41089       8617          0        280          0         14      53,63       0,68       17,2       2,66       2128       6773       6543        220         10          0       1868        188       4272        145         14       2,16
 38      40134       9513          0        336          0         17      53,63       0,68       17,5       2,69       2406       7450       7172        265         13          0       2076        216       4667        173         17       2,25
 39      39143      10442          0        396          0         19      53,63       0,68       17,7       2,63       2687       8160       7836        311         13          0       2308        238       5091        207         19       2,24
 40      38162      11351          0        467          0         20      53,64       0,68       18,0       2,49       3014       8814       8426        374         14          0       2601        270       5537        244         20       2,11
 41      37531      11912          0        535          0         22      53,31       0,66       18,3       2,46       3272       9187       8799        374         14          0       2923        303       5846        276         22       2,10
 42      36901      12422          0        650          0         27      53,00       0,65       18,6       2,36       3544       9545       9157        374         14          0       3240        327       6103        340         27       1,96
 43      36262      12953          0        753          0         32      52,70       0,65       18,7       2,34       3868       9860       9471        375         14          0       3587        356       6396        389         32       1,91
 44      35617      13444          0        903          0         36      52,42       0,64       18,9       2,31       4209      10164       9774        376         14          0       3935        383       6663        464         36       1,89
 45      35062      13859          0       1037          0         42      52,15       0,63       19,1       2,27       4524      10404      10014        376         14          0       4282        420       6895        536         42       1,86
 46      34537      14232          0       1188          0         43      51,90       0,63       19,1       2,16       4834      10619      10229        376         14          0       4663        446       7110        614         43       1,74
 47      34080      14456          0       1417          0         47      51,65       0,62       19,3       2,11       5128      10782      10389        379         14          0       5012        498       7239        743         47       1,71
 48      33642      14666          0       1637          0         55      51,42       0,61       19,4       2,04       5438      10910      10514        382         14          0       5228        521       7366        862         55       1,65
 49      33285      14764          0       1889          0         62      51,19       0,61       19,5       1,99       5697      11008      10610        384         14          0       5420        546       7430        990         62       1,62
 50      32955      14848          0       2124          0         73      50,98       0,61       19,6       2,02       5970      11065      10666        385         14          0       5650        575       7501       1097         73       1,63
 51      32680      14818          0       2416          0         86      50,78       0,60       19,8       2,00       6222      11088      10684        390         14          0       5824        599       7488       1257         86       1,58
 52      32378      14783          0       2748          0         91      50,58       0,60       20,1       1,96       6506      11106      10699        393         14          0       5955        601       7490       1431         91       1,55
 53      32127      14655          0       3117          0        101      50,39       0,60       20,3       1,96       6751      11112      10696        402         14          0       6057        612       7470       1611        101       1,54
 54      31884      14485          0       3521          0        110      50,21       0,59       20,6       1,92       6991      11115      10685        416         14          0       6106        608       7417       1814        110       1,50
 55      31620      14304          0       3952          0        124      50,03       0,59       20,8       1,88       7252      11118      10671        433         14          0       6150        612       7374       2010        124       1,45
 56      31410      14017          0       4440          0        133      49,86       0,59       21,2       1,83       7462      11118      10656        448         14          0       6099        607       7263       2251        133       1,41
 57      31186      13685          0       4974          0        155      49,70       0,59       21,5       1,80       7686      11118      10622        482         14          0       5995        598       7108       2521        155       1,36
 58      30982      13375          0       5475          0        168      49,55       0,59       21,7       1,77       7890      11118      10597        507         14          0       5897        593       6975       2766        168       1,34
 59      30788      13013          0       6017          0        182      49,40       0,58       22,0       1,74       8084      11118      10561        543         14          0       5803        589       6818       3027        182       1,31
 60      30590      12622          0       6595          0        193      49,25       0,58       22,3       1,71       8281      11119      10524        581         14          0       5709        591       6678       3280        193       1,28
 61      30449      12106          0       7232          0        213      49,11       0,58       22,5       1,66       8422      11119      10482        621         16          0       5555        574       6458       3574        213       1,24
 62      30297      11585          0       7884          0        234      48,98       0,58       22,8       1,62       8573      11120      10418        686         16          0       5403        552       6231       3871        234       1,21
 63      30140      11007          0       8593          0        260      48,86       0,58       23,1       1,59       8730      11120      10355        748         17          0       5187        535       5970       4200        260       1,17
 64      29986      10442          0       9285          0        287      48,74       0,58       23,4       1,55       8884      11120      10278        823         19          0       4976        503       5718       4521        287       1,14
 65      29880       9843          0       9966          0        311      48,63       0,58       23,6       1,51       8990      11120      10202        899         19          0       4770        475       5448       4828        311       1,11
