--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 14:46:03
--------------------------------------------------------------------------------------------------
Carpeta 50_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.867
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            2 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,63       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49986         13          0          0          0          0      53,64       0,31        0,0       0,00          0          2          2          0          0          0          0          0          3          0          0       0,00
  5      49981         18          0          0          0          0      53,63       0,39        0,0       0,00          1          6          6          0          0          0          0          0          6          0          0       0,00
  6      49977         22          0          0          0          0      53,64       0,50        0,0       0,00          2         10         10          0          0          0          0          0          8          0          0       0,00
  7      49968         31          0          0          0          0      53,64       0,54        0,4       0,07          3         18         18          0          0          0          0          0         14          0          0       0,07
  8      49955         44          0          0          0          0      53,64       0,55        0,4       0,07          4         29         29          0          0          0          1          0         22          0          0       0,07
  9      49941         58          0          0          0          0      53,64       0,53        0,4       0,07          6         42         42          0          0          0          1          0         30          0          0       0,07
 10      49924         75          0          0          0          0      53,64       0,53        0,4       0,07          7         58         58          0          0          0          1          0         38          0          0       0,07
 11      49899        100          0          0          0          0      53,64       0,53        1,1       0,13         10         80         80          0          0          0          3          0         51          0          0       0,07
 12      49872        127          0          0          0          0      53,65       0,56        1,8       0,13         14        103        103          0          0          0          6          0         64          0          0       0,07
 13      49837        161          0          0          0          0      53,64       0,57        3,2       0,60         21        130        130          0          0          0          8          1         81          0          0       0,07
 14      49798        200          0          0          0          0      53,64       0,58        4,0       0,60         27        163        162          0          0          0         13          1         97          0          0       0,10
 15      49752        246          0          0          0          0      53,64       0,60        4,0       0,60         36        201        201          0          0          0         22          2        119          0          0       0,17
 16      49702        296          0          1          0          0      53,64       0,60        7,4       0,69         45        241        241          0          0          0         29          3        146          0          0       0,18
 17      49648        350          0          1          0          0      53,63       0,61        7,4       0,74         57        284        284          0          0          0         38          4        176          0          0       0,17
 18      49584        413          0          2          0          0      53,63       0,64        9,6       1,98         71        334        333          0          0          0         50          5        212          0          0       1,04
 19      49507        489          0          2          0          0      53,63       0,65       10,1       2,29         89        393        392          1          0          0         63          6        263          1          0       1,58
 20      49424        572          0          4          0          0      53,63       0,66       12,0       2,39        107        458        456          2          0          0         80          8        315          1          0       2,23
 21      49324        669          0          5          0          0      53,63       0,66       12,3       2,53        132        533        529          3          0          0         95          9        376          2          0       2,51
 22      49212        779          0          7          0          0      53,63       0,67       13,1       2,64        162        614        610          4          0          0        116         12        442          3          0       2,52
 23      49088        901          0         10          0          0      53,63       0,68       13,4       2,77        194        707        701          6          0          0        142         13        513          4          0       2,28
 24      48938       1048          0         13          0          0      53,63       0,68       13,5       2,66        229        822        813          8          0          0        170         16        598          5          0       2,19
 25      48750       1231          0         17          0          0      53,63       0,68       13,9       2,73        273        966        954         12          0          0        205         18        705          8          0       2,17
 26      48541       1435          0         22          0          0      53,63       0,68       14,5       2,88        318       1130       1114         15          0          0        254         24        821          9          0       2,13
 27      48291       1679          0         28          0          0      53,63       0,69       14,7       2,95        372       1326       1305         20          0          0        304         30        958         12          0       2,32
 28      48014       1950          0         34          0          0      53,63       0,69       14,7       2,83        432       1543       1517         25          0          0        363         36       1107         15          0       2,05
 29      47704       2252          0         42          0          1      53,63       0,69       15,2       2,68        504       1781       1749         31          0          0        425         42       1267         20          1       1,96
 30      47356       2590          0         51          0          1      53,63       0,70       15,5       2,61        586       2046       2007         38          0          0        492         48       1441         24          1       1,93
 31      46965       2970          0         61          0          2      53,63       0,70       15,7       2,47        676       2347       2299         47          1          0        572         56       1640         30          2       1,75
 32      46532       3384          0         80          0          2      53,63       0,70       16,5       2,70        786       2670       2609         59          1          0        672         65       1850         39          2       2,18
 33      46064       3838          0         94          0          2      53,63       0,70       16,4       2,62        907       3018       2945         71          1          0        783         75       2072         46          2       2,14
 34      45540       4342          0        113          0          3      53,63       0,70       16,5       2,60       1048       3400       3312         86          1          0        911         88       2316         56          3       2,10
 35      44968       4890          0        137          0          4      53,63       0,70       16,7       2,62       1199       3822       3714        105          2          0       1050        103       2580         70          4       2,08
 36      44343       5485          0        166          0          4      53,63       0,70       16,9       2,56       1365       4281       4149        128          2          0       1198        118       2866         86          4       2,01
 37      43662       6130          0        200          0          5      53,63       0,70       17,3       2,51       1551       4776       4616        156          3          0       1357        134       3169        105          5       1,92
 38      42941       6809          0        241          0          7      53,63       0,70       17,4       2,47       1753       5294       5102        188          3          0       1538        154       3489        128          7       1,88
 39      42160       7541          0        289          0          8      53,62       0,70       17,8       2,44       1982       5846       5614        228          4          0       1729        173       3834        154          8       1,87
 40      41332       8316          0        341          0          9      53,63       0,70       17,9       2,42       2225       6432       6158        269          4          0       1929        191       4193        184          9       1,88
 41      40479       9105          0        403          0         11      53,62       0,70       18,2       2,40       2483       7027       6702        319          5          0       2148        214       4562        218         11       1,83
 42      39589       9917          0        478          0         13      53,63       0,70       18,4       2,37       2766       7633       7247        380          6          0       2384        238       4947        258         13       1,81
 43      38666      10754          0        563          0         15      53,62       0,69       18,7       2,32       3072       8251       7796        448          7          0       2639        264       5343        304         15       1,78
 44      37763      11561          0        655          0         19      53,62       0,69       18,9       2,32       3380       8846       8318        518          8          0       2910        293       5723        351         19       1,81
 45      36865      12351          0        761          0         21      53,62       0,69       19,1       2,28       3711       9413       8802        601          9          0       3196        324       6098        408         21       1,78
 46      35972      13114          0        887          0         25      53,62       0,69       19,2       2,26       4056       9960       9248        700         11          0       3496        353       6463        476         25       1,76
 47      35109      13842          0       1017          0         30      53,62       0,69       19,3       2,23       4416      10463       9647        803         12          0       3814        385       6824        544         30       1,73
 48      34302      14495          0       1166          0         35      53,62       0,68       19,5       2,19       4781      10906       9975        916         14          0       4134        417       7154        623         35       1,70
 49      33522      15097          0       1338          0         41      53,62       0,68       19,6       2,18       5160      11307      10241       1048         17          0       4463        449       7458        715         41       1,68
 50      32812      15605          0       1535          0         47      53,62       0,68       19,8       2,15       5528      11649      10431       1198         19          0       4796        477       7723        821         47       1,63
 51      32154      16037          0       1754          0         53      53,62       0,68       20,0       2,12       5907      11927      10539       1365         22          0       5106        506       7963        936         53       1,62
 52      31538      16395          0       2004          0         61      53,62       0,67       20,1       2,10       6284      12166      10586       1555         25          0       5402        536       8167       1065         61       1,59
 53      30972      16684          0       2273          0         70      53,62       0,67       20,3       2,07       6652      12365      10582       1754         28          0       5694        567       8337       1202         70       1,57
 54      30459      16896          0       2564          0         79      53,62       0,67       20,4       2,04       7015      12515      10510       1972         31          0       5970        595       8479       1349         79       1,54
 55      29986      17030          0       2891          0         91      53,62       0,67       20,6       2,00       7368      12635      10381       2217         36          0       6209        622       8574       1514         91       1,50
 56      29556      17075          0       3263          0        104      53,62       0,67       20,8       1,97       7706      12726      10183       2501         41          0       6416        643       8640       1697        104       1,48
 57      29156      17069          0       3658          0        115      53,62       0,66       21,0       1,94       8036      12797       9954       2797         45          0       6586        659       8673       1890        115       1,45
 58      28786      16992          0       4087          0        134      53,61       0,66       21,2       1,90       8359      12844       9677       3115         51          0       6724        674       8677       2095        134       1,41
 59      28450      16836          0       4564          0        149      53,61       0,66       21,4       1,87       8660      12878       9354       3467         56          0       6823        685       8640       2322        149       1,38
 60      28136      16635          0       5062          0        165      53,61       0,66       21,6       1,84       8953      12900       9010       3827         62          0       6881        692       8579       2563        165       1,35
 61      27842      16373          0       5601          0        182      53,61       0,66       21,8       1,80       9232      12915       8632       4215         67          0       6911        695       8490       2817        182       1,32
 62      27567      16060          0       6171          0        200      53,61       0,65       22,0       1,77       9499      12923       8225       4624         73          0       6891        691       8373       3089        200       1,29
 63      27310      15692          0       6776          0        219      53,61       0,65       22,2       1,74       9749      12929       7796       5054         78          0       6845        687       8221       3377        219       1,26
 64      27071      15278          0       7409          0        240      53,61       0,65       22,4       1,71       9985      12933       7352       5497         82          0       6767        680       8051       3672        240       1,23
 65      26838      14834          0       8065          0        261      53,61       0,65       22,6       1,67      10215      12935       6898       5949         87          0       6669        669       7870       3977        261       1,21
 66      26620      14345          0       8749          0        285      53,61       0,65       22,9       1,64      10432      12937       6430       6412         93          0       6525        656       7655       4302        285       1,18
 67      26422      13818          0       9449          0        309      53,61       0,65       23,1       1,61      10629      12938       5959       6880         98          0       6369        642       7422       4630        309       1,15
