--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 13:47:51
--------------------------------------------------------------------------------------------------
Carpeta 50_a
Número de hilos                              15
Semilla población                         1.313
Semilla simulación                        6.870
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            1 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,54       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49990         10          0          0          0          0      53,68       0,18        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  5      49988         12          0          0          0          0      53,64       0,23        0,0       0,00          0          2          2          0          0          0          0          0          3          0          0       0,00
  6      49985         15          0          0          0          0      53,66       0,73        0,0       0,00          2          3          3          0          0          0          0          0          6          0          0       0,00
  7      49982         18          0          0          0          0      53,68       0,86        0,0       0,00          3          5          5          0          0          0          0          0          7          0          0       0,00
  8      49979         21          0          0          0          0      53,69       0,78        0,0       0,00          4          7          7          0          0          0          2          0          7          0          0       0,00
  9      49973         27          0          0          0          0      53,69       0,71        0,0       0,00          5         12         12          0          0          0          2          0          9          0          0       0,00
 10      49968         32          0          0          0          0      53,70       0,70        0,0       0,00          5         17         17          0          0          0          2          0          9          0          0       0,00
 11      49962         38          0          0          0          0      53,70       0,73        0,0       0,00          6         22         22          0          0          0          2          0         11          0          0       0,00
 12      49950         50          0          0          0          0      53,70       0,66        0,0       0,00          8         32         32          0          0          0          3          0         12          0          0       0,00
 13      49937         63          0          0          0          0      53,71       0,72        0,0       0,00         13         40         40          0          0          0          6          0         17          0          0       0,00
 14      49924         76          0          0          0          0      53,70       0,68        0,0       0,00         14         52         52          0          0          0          7          0         19          0          0       0,00
 15      49900        100          0          0          0          0      53,70       0,78        0,0       0,00         19         71         71          0          0          0          7          0         29          0          0       0,00
 16      49881        118          0          1          0          0      53,69       0,80       15,0       0,00         20         89         89          0          0          0          9          0         39          0          0       0,00
 17      49856        143          0          1          0          0      53,69       0,82       15,0       0,00         26        108        108          0          0          0          9          0         57          0          0       0,00
 18      49824        173          0          3          0          0      53,68       0,91       12,3       3,33         33        133        132          1          0          0         10          0         77          1          0       8,00
 19      49790        206          0          4          0          0      53,67       0,90       12,3       2,50         38        162        161          1          0          0         11          0        105          1          0       8,00
 20      49718        277          0          5          0          0      53,67       0,89       13,6       2,60         51        221        220          1          0          0         16          0        166          1          0       8,00
