--------------------------------------------------------------------------------------------------
Simulador de contagios. 2.4.0.9
02/05/2020 13:47:53
--------------------------------------------------------------------------------------------------
Carpeta 50_b
Número de hilos                              15
Semilla población                         1.111
Semilla simulación                        2.222
Potencia para fin de infección             3,00

Número de individuos                     50.000
Radio                                     2.694
Días de carencia para contagiar               3
Días de incubación                            8
Probabilidad base de contagio              4,00 %
Probabilidad contagio clúster              1,00 %
Probabil. contagio enfermo cluster        25,00 %
Probabilidad de enfermar                 100,00 %
Probabilidad contagio enfermo             25,00 %
Probabilidad de hospitalización           10,00 %
Probabilidad contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         1,00 %
Probabilidad contagio indirecto            0,00 %
Probabilidad base de recontagio            0,00 %
Días mínimos de inmunidad                     5

Número de focos iniciales                    10
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4

Número clusters objetivo                    200
Número clusters generados                   200 con       16.080 individuos,            3 infectados de inicio

                        - Edad-      %     % Factor B    Días         %      Num.Pasos      %                          %      Individuos 
Grupo            Género Min Max   Gravedad   Contagio  Duración    Curación   Min   Max Individuos   Individuos     clusters    cluster  
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------
nene                  0   0   4      10,00      10,00      30,00      99,55    80   120       4,00        2.000          4,0           40
menor                 1   5  19       4,00       4,00      30,00     100,00    80   120      15,00        7.500         15,0           70
adulto                2  20  64      35,00     100,00      30,00      99,22    80   120      62,00       31.000         62,0          100
jubilado              3  65  69     100,00     800,00      30,00      95,38    80   120       5,00        2.500          5,0           70
mayor                 4  70 150     100,00     800,00      30,00      81,86    10    20      14,00        7.000         14,0           20
---------------- ------ --- --- ---------- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES  ----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos  Indirecto   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,66       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  2      49990         10          0          0          0          0      53,68       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  3      49990         10          0          0          0          0      53,58       0,00        0,0       0,00          0          0          0          0          0          0          0          0          2          0          0       0,00
  4      49982         18          0          0          0          0      53,61       0,23        0,0       0,00          0          8          8          0          0          0          0          0         10          0          0       0,00
  5      49974         26          0          0          0          0      53,61       0,35        0,0       0,00          1         15         15          0          0          0          0          0         17          0          0       0,00
  6      49969         31          0          0          0          0      53,59       0,32        0,0       0,00          2         19         19          0          0          0          0          0         21          0          0       0,00
  7      49938         62          0          0          0          0      53,61       0,26        0,0       0,00          2         50         50          0          0          0          0          0         48          0          0       0,00
  8      49916         84          0          0          0          0      53,61       0,25        0,0       0,00          2         72         72          0          0          0          2          0         67          0          0       0,00
  9      49896        104          0          0          0          0      53,59       0,28        0,0       0,00          4         90         90          0          0          0          2          0         82          0          0       0,00
 10      49883        117          0          0          0          0      53,58       0,39        0,0       0,00          9         98         98          0          0          0          2          0         90          0          0       0,00
 11      49865        135          0          0          0          0      53,59       0,44        0,0       0,00         12        113        113          0          0          0         10          0         94          0          0       0,00
 12      49842        158          0          0          0          0      53,60       0,49        0,0       0,00         17        131        131          0          0          0         17          0        104          0          0       0,00
 13      49814        186          0          0          0          0      53,61       0,58        0,0       0,00         26        150        150          0          0          0         21          0        120          0          0       0,00
 14      49767        233          0          0          0          0      53,60       0,60        0,0       0,00         35        188        188          0          0          0         48          3        143          0          0       0,00
 15      49723        277          0          0          0          0      53,61       0,61        0,0       0,00         43        224        224          0          0          0         67          4        169          0          0       0,00
 16      49647        353          0          0          0          0      53,61       0,64        0,0       0,00         57        286        286          0          0          0         82          8        220          0          0       0,00
 17      49597        403          0          0          0          0      53,61       0,65        0,0       0,00         68        325        325          0          0          0         90          8        254          0          0       0,00
 18      49506        492          0          2          0          0      53,61       0,67       15,0       6,50         81        403        402          1          0          0         93         10        325          1          0       4,00
 19      49433        563          0          4          0          0      53,61       0,73       11,3       6,00        102        455        452          3          0          0        103         10        381          2          0       7,00
 20      49364        630          0          6          0          0      53,60       0,74       12,8       4,00        137        489        485          4          0          0        118          9        428          3          0       4,67
 21      49274        720          0          6          0          0      53,60       0,78       12,8       4,00        163        553        549          4          0          0        141         13        499          3          0       4,67
 22      49159        831          0         10          0          0      53,60       0,78       14,2       2,60        196        635        628          7          0          0        163         14        575          6          0       2,50
 23      49008        976          0         16          0          0      53,61       0,78       15,3       3,13        227        755        746          9          0          0        211         17        683          9          0       2,11
 24      48853       1126          0         21          0          0      53,62       0,78       16,5       3,00        265        872        860         12          0          0        242         18        775         12          0       2,58
 25      48678       1297          0         25          0          0      53,61       0,77       16,1       2,96        303       1009        993         16          0          0        311         25        881         15          0       2,60
 26      48460       1508          0         32          0          0      53,62       0,77       15,5       3,00        345       1185       1163         22          0          0        364         30       1025         19          0       2,79
 27      48258       1701          0         41          0          0      53,62       0,77       15,7       2,78        400       1332       1303         29          0          0        405         36       1133         26          0       2,62
 28      48035       1909          0         55          0          1      53,61       0,76       16,3       2,41        468       1487       1445         41          1          0        464         37       1238         37          1       2,05
 29      47741       2190          0         68          0          1      53,62       0,76       16,2       2,65        531       1718       1664         53          1          0        537         44       1388         43          1       2,55
 30      47439       2482          0         77          0          2      53,61       0,75       16,3       2,58        594       1957       1893         62          2          0        641         54       1516         49          2       2,59
 31      47106       2802          0         90          0          2      53,61       0,74       16,5       2,46        666       2218       2145         71          2          0        728         63       1670         58          2       2,42
 32      46648       3238          0        112          0          2      53,61       0,74       16,9       2,75        758       2584       2497         85          2          0        825         80       1875         70          2       2,78
 33      46131       3734          0        132          0          3      53,62       0,73       17,3       2,56        875       2984       2878        104          2          0        958         90       2078         83          3       2,50
 34      45593       4247          0        156          0          4      53,61       0,72       17,5       2,48       1018       3379       3252        125          2          0       1057        102       2308         98          4       2,32
 35      45000       4814          0        180          0          6      53,60       0,71       17,9       2,45       1161       3829       3680        146          3          0       1153        115       2569        117          6       2,30
 36      44264       5522          0        208          0          6      53,60       0,71       17,9       2,41       1332       4394       4222        169          3          0       1291        128       2879        135          6       2,14
 37      43526       6213          0        249          0         12      53,60       0,71       18,1       2,43       1496       4968       4765        198          5          0       1397        141       3165        159         12       2,12
 38      42684       7000          0        304          0         12      53,60       0,70       18,6       2,42       1713       5593       5344        244          5          0       1520        155       3506        198         12       2,09
 39      41791       7842          0        355          0         12      53,61       0,70       18,7       2,30       1934       6265       5970        290          5          0       1705        181       3880        230         12       1,91
 40      40914       8664          0        408          0         14      53,61       0,69       18,9       2,28       2190       6886       6542        338          6          0       1888        200       4241        263         14       1,89
 41      39963       9551          0        471          0         15      53,61       0,69       18,9       2,21       2462       7565       7171        387          7          0       2095        222       4632        301         15       1,84
 42      38985      10453          0        545          0         17      53,60       0,68       18,8       2,20       2766       8239       7794        437          8          0       2326        246       5048        350         17       1,86
 43      38037      11317          0        627          0         19      53,60       0,68       19,0       2,20       3120       8833       8325        500          8          0       2608        277       5460        393         19       1,84
 44      37057      12211          0        710          0         22      53,60       0,68       19,1       2,23       3438       9495       8920        566          9          0       2871        321       5853        444         22       1,88
 45      36096      13074          0        804          0         26      53,60       0,67       19,4       2,19       3805      10089       9439        641          9          0       3182        350       6258        508         26       1,84
 46      35217      13813          0        937          0         33      53,60       0,67       19,3       2,15       4147      10626       9870        743         13          0       3507        390       6606        583         33       1,77
 47      34341      14526          0       1096          0         37      53,60       0,66       19,5       2,05       4522      11127      10248        866         13          0       3814        421       6962        668         37       1,68
 48      33519      15202          0       1237          0         42      53,60       0,66       19,5       2,06       4891      11580      10595        969         16          0       4157        448       7306        751         42       1,70
 49      32768      15780          0       1401          0         51      53,60       0,66       19,7       2,04       5298      11924      10803       1101         20          0       4523        484       7600        844         51       1,65
 50      32060      16309          0       1574          0         57      53,60       0,66       20,0       2,03       5705      12225      10980       1223         22          0       4870        510       7876        947         57       1,66
 51      31482      16670          0       1786          0         62      53,60       0,65       20,1       2,04       6054      12454      11045       1384         25          0       5206        541       8085       1052         62       1,63
 52      30914      16982          0       2035          0         69      53,60       0,65       20,3       2,05       6437      12639      11039       1572         28          0       5548        575       8304       1177         69       1,65
 53      30446      17195          0       2283          0         76      53,60       0,65       20,4       2,03       6785      12759      10972       1754         33          0       5848        593       8461       1301         76       1,61
 54      29982      17325          0       2609          0         84      53,60       0,64       20,6       2,01       7166      12842      10796       2010         36          0       6118        607       8564       1467         84       1,60
 55      29584      17359          0       2963          0         94      53,60       0,64       20,7       1,97       7508      12898      10584       2274         40          0       6364        626       8618       1642         94       1,56
 56      29198      17373          0       3326          0        103      53,60       0,64       20,8       1,93       7867      12925      10336       2546         43          0       6572        645       8668       1821        103       1,53
 57      28828      17357          0       3700          0        115      53,60       0,64       21,0       1,90       8215      12947      10063       2836         48          0       6751        659       8698       2014        115       1,52
 58      28477      17259          0       4140          0        124      53,60       0,64       21,2       1,88       8553      12960       9748       3162         50          0       6866        660       8706       2209        124       1,47
 59      28176      17092          0       4590          0        142      53,60       0,64       21,4       1,84       8849      12965       9407       3500         58          0       6992        683       8678       2416        142       1,43
 60      27891      16838          0       5115          0        156      53,60       0,64       21,6       1,81       9132      12967       9005       3900         62          0       7029        680       8602       2653        156       1,40
 61      27599      16578          0       5652          0        171      53,60       0,63       21,8       1,80       9423      12968       8598       4306         64          0       7071        679       8549       2873        171       1,36
 62      27331      16272          0       6207          0        190      53,60       0,63       22,0       1,77       9690      12969       8179       4721         69          0       7049        688       8450       3116        190       1,33
 63      27094      15846          0       6849          0        211      53,60       0,63       22,3       1,73       9925      12971       7723       5175         73          0       6959        666       8278       3423        211       1,29
 64      26856      15412          0       7506          0        226      53,59       0,63       22,5       1,70      10159      12975       7247       5654         74          0       6855        658       8097       3748        226       1,28
 65      26608      14950          0       8198          0        244      53,59       0,63       22,8       1,67      10405      12977       6755       6144         78          0       6710        650       7885       4085        244       1,24
 66      26400      14450          0       8894          0        256      53,59       0,63       23,0       1,65      10612      12978       6273       6623         82          0       6591        640       7694       4389        256       1,21
 67      26208      13847          0       9654          0        291      53,59       0,63       23,3       1,62      10804      12978       5739       7147         92          0       6401        624       7438       4719        291       1,18
 68      25999      13221          0      10458          0        322      53,59       0,62       23,5       1,58      11011      12980       5197       7683        100          0       6199        616       7172       5073        322       1,14
 69      25817      12572          0      11256          0        355      53,59       0,62       23,7       1,54      11192      12981       4662       8210        109          0       5947        587       6875       5454        355       1,11
 70      25639      11903          0      12081          0        377      53,59       0,62       23,9       1,50      11367      12984       4096       8777        111          0       5691        561       6562       5844        377       1,08
 71      25490      11232          0      12877          0        401      53,59       0,62       24,1       1,46      11514      12986       3620       9253        113          0       5448        537       6246       6222        401       1,05
 72      25317      10543          0      13707          0        433      53,59       0,62       24,3       1,44      11686      12987       3096       9772        119          0       5153        520       5902       6628        433       1,02
 73      25199       9817          0      14525          0        459      53,60       0,62       24,5       1,40      11804      12987       2620      10246        121          0       4841        494       5538       7039        459       0,99
 74      25072       9213          0      15232          0        483      53,60       0,62       24,7       1,38      11930      12988       2227      10634        127          0       4595        476       5244       7370        483       0,97
 75      24951       8613          0      15926          0        510      53,60       0,62       24,8       1,35      12049      12990       1829      11034        127          0       4352        454       4956       7705        510       0,95
 76      24848       8007          0      16604          0        541      53,60       0,62       24,9       1,32      12152      12990       1479      11381        130          0       4097        430       4638       8046        541       0,93
 77      24758       7422          0      17242          0        578      53,60       0,62       25,1       1,29      12242      12990       1166      11692        132          0       3839        412       4332       8366        578       0,90
 78      24662       6902          0      17827          0        609      53,60       0,62       25,2       1,27      12335      12993        917      11941        135          0       3596        388       4051       8664        609       0,88
 79      24596       6383          0      18383          0        638      53,61       0,61       25,2       1,25      12401      12993        690      12166        137          0       3372        368       3769       8953        638       0,86
 80      24534       5936          0      18869          0        661      53,61       0,61       25,3       1,23      12463      12993        511      12344        138          0       3181        354       3544       9194        661       0,85
 81      24468       5503          0      19348          0        681      53,62       0,61       25,4       1,21      12529      12993        363      12488        142          0       2946        323       3279       9470        681       0,83
 82      24400       5172          0      19721          0        707      53,62       0,61       25,4       1,19      12596      12994        249      12602        143          0       2787        314       3078       9677        707       0,82
 83      24353       4809          0      20107          0        731      53,63       0,61       25,5       1,18      12643      12994        171      12680        143          0       2586        294       2849       9909        731       0,80
 84      24299       4483          0      20466          0        752      53,64       0,61       25,5       1,16      12696      12995        119      12733        143          0       2401        276       2638      10124        752       0,79
 85      24259       4170          0      20787          0        784      53,65       0,61       25,5       1,15      12736      12995         78      12774        143          0       2249        266       2465      10291        784       0,78
 86      24206       3909          0      21080          0        805      53,66       0,61       25,6       1,14      12783      13001         60      12797        144          0       2100        243       2309      10455        805       0,77
 87      24171       3608          0      21393          0        828      53,66       0,61       25,6       1,13      12817      13002         45      12813        144          0       1933        227       2125      10638        828       0,76
