Fichero                                                      Desv.Media Ser
------------------------------------------------------------ ---------- --- --
F:\Contagio\50_b\s001.log                                         16,06   1 ok
F:\Contagio\50_b\s002.log                                         56,30   1 ok
F:\Contagio\50_b\s003.log                                          4,64   1 ok
F:\Contagio\50_b\s004.log                                         35,98   1 ok
F:\Contagio\50_b\s005.log                                         29,50   1 ok
F:\Contagio\50_b\s006.log                                         25,47   1 ok
F:\Contagio\50_b\s007.log                                         29,17   1 ok
F:\Contagio\50_b\s008.log                                          4,91   1 ok
F:\Contagio\50_b\s009.log                                         86,36   1 ok
F:\Contagio\50_b\s010.log                                         28,16   1 ok
F:\Contagio\50_b\s011.log                                         42,51   1 ok
F:\Contagio\50_b\s012.log                                        199,26   1 
F:\Contagio\50_b\s013.log                                         66,73   1 ok
F:\Contagio\50_b\s014.log                                         22,80   1 ok
F:\Contagio\50_b\s015.log                                        153,07   1 
F:\Contagio\50_a\s001.log                                         72,19   1 ok
F:\Contagio\50_a\s002.log                                         82,30   1 ok
F:\Contagio\50_a\s003.log                                         98,97   1 ok
F:\Contagio\50_a\s004.log                                         53,41   1 ok
F:\Contagio\50_a\s005.log                                         63,39   1 ok
F:\Contagio\50_a\s006.log                                         67,70   1 ok
F:\Contagio\50_a\s007.log                                        153,65   1 
F:\Contagio\50_a\s008.log                                        120,41   1 ok
F:\Contagio\50_a\s009.log                                         38,14   1 ok
F:\Contagio\50_a\s010.log                                         40,65   1 ok
F:\Contagio\50_a\s011.log                                        197,84   1 
F:\Contagio\50_a\s012.log                                         59,32   1 ok
F:\Contagio\50_a\s013.log                                         10,35   1 ok
F:\Contagio\50_a\s014.log                                         27,14   1 ok
F:\Contagio\50_a\s015.log                                         23,57   1 ok
------------------------------------------------------------ ---------- --- --
                                           2 x      63,66  =     127,33
------------------------------------------------------------ ---------- --- --

                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------                                  -----------------  GRAVES -----------------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos Indirectos   Enfermos Hospitaliz Infectados    Curados    Muertos         R0
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  2      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  3      49990         10          0          0          0          0      53,61       0,00        0,0       0,00          0          0          0          0          0          0          0          0          1          0          0       0,00
  4      49985         14          0          0          0          0      53,62       0,28        0,0       0,00          0          4          4          0          0          0          0          0          4          0          0       0,00
  5      49979         20          0          0          0          0      53,63       0,36        0,0       0,00          1          9          9          0          0          0          0          0          7          0          0       0,00
  6      49974         25          0          0          0          0      53,63       0,43        0,0       0,00          1         13         13          0          0          0          0          0         10          0          0       0,00
  7      49962         37          0          0          0          0      53,63       0,44        0,2       0,04          2         24         24          0          0          0          0          0         19          0          0       0,04
  8      49946         53          0          0          0          0      53,63       0,45        0,2       0,04          4         38         38          0          0          0          1          0         29          0          0       0,04
  9      49931         68          0          0          0          0      53,63       0,45        0,2       0,04          6         53         53          0          0          0          1          0         38          0          0       0,04
 10      49911         88          0          0          0          0      53,63       0,47        0,2       0,04          7         70         70          0          0          0          1          0         47          0          0       0,04
 11      49885        114          0          0          0          0      53,63       0,49        1,6       0,46         11         93         93          0          0          0          4          0         59          0          0       0,04
 12      49855        144          0          0          0          0      53,63       0,51        2,0       0,46         15        118        118          0          0          0          7          1         72          0          0       0,04
 13      49817        181          0          0          0          0      53,63       0,54        4,3       1,12         22        149        149          0          0          0         10          1         90          0          0       0,27
 14      49771        228          0          0          0          0      53,63       0,55        4,7       1,06         29        189        188          0          0          0         19          2        111          0          0       0,27
 15      49718        280          0          0          0          0      53,63       0,56        5,0       1,25         38        233        232          0          0          0         29          3        137          0          0       0,42
 16      49659        338          0          1          0          0      53,63       0,57        6,5       1,28         48        281        280          0          0          0         37          4        168          0          0       0,49
 17      49598        399          0          1          0          0      53,62       0,59        8,0       1,87         62        328        327          0          0          0         46          4        202          0          0       1,12
 18      49528        469          0          2          0          0      53,62       0,62       10,2       2,50         79        381        380          1          0          0         58          5        246          1          0       1,78
 19      49447        549          0          3          0          0      53,62       0,64       10,4       2,55        100        442        440          1          0          0         71          7        299          1          0       1,95
 20      49358        637          0          4          0          0      53,62       0,65       11,4       2,53        122        509        507          2          0          0         88          8        357          2          0       2,05
 21      49252        740          0          6          0          0      53,62       0,66       11,8       2,70        149        587        583          4          0          0        108         10        426          3          0       2,52
 22      49131        859          0          8          0          0      53,62       0,67       12,4       2,68        183        675        669          5          0          0        133         12        503          4          0       2,72
 23      48989        998          0         11          0          0      53,62       0,68       12,9       2,83        217        782        775          7          0          0        163         15        590          5          0       2,58
 24      48824       1160          0         14          0          0      53,62       0,68       13,1       2,76        257        908        898          9          0          0        197         18        689          6          0       2,32
 25      48630       1350          0         19          0          0      53,63       0,69       13,6       2,77        304       1055       1042         13          0          0        239         21        804          8          0       2,29
 26      48405       1569          0         24          0          0      53,63       0,69       14,1       2,86        354       1230       1212         17          0          0        290         27        930         11          0       2,18
 27      48144       1824          0         30          0          0      53,63       0,69       14,3       2,88        414       1430       1408         22          0          0        344         33       1075         14          0       2,28
 28      47852       2109          0         37          0          0      53,62       0,69       14,6       2,81        480       1656       1628         28          0          0        411         39       1231         18          0       2,09
 29      47518       2433          0         46          0          1      53,63       0,69       14,9       2,69        557       1913       1878         35          0          0        484         46       1402         23          1       2,06
 30      47141       2799          0         57          0          1      53,63       0,69       15,2       2,63        645       2203       2158         44          0          0        566         54       1590         28          1       1,99
 31      46719       3208          0         69          0          2      53,62       0,69       15,6       2,57        742       2528       2472         54          1          0        659         63       1797         35          2       1,90
 32      46250       3657          0         89          0          2      53,62       0,69       16,4       2,66        855       2883       2814         67          1          0        766         74       2019         45          2       2,01
 33      45728       4160          0        108          0          3      53,62       0,69       16,5       2,56        985       3276       3190         83          1          0        884         85       2259         55          3       1,96
 34      45158       4707          0        129          0          3      53,62       0,69       16,7       2,52       1134       3696       3593        101          2          0       1020         99       2518         67          3       1,94
 35      44528       5310          0        156          0          4      53,62       0,69       17,0       2,52       1295       4166       4040        122          2          0       1164        114       2801         82          4       1,96
 36      43835       5970          0        188          0          5      53,62       0,70       17,3       2,51       1474       4679       4527        149          3          0       1321        130       3109        100          5       1,95
 37      43093       6673          0        226          0          6      53,62       0,69       17,5       2,49       1676       5219       5036        179          3          0       1493        148       3434        120          6       1,89
 38      42298       7423          0        270          0          7      53,62       0,69       17,8       2,46       1895       5795       5576        215          4          0       1681        167       3778        146          7       1,86
 39      41440       8228          0        321          0          9      53,62       0,69       18,0       2,43       2138       6410       6149        256          4          0       1884        187       4148        174          9       1,85
 40      40544       9065          0        378          0         11      53,62       0,69       18,2       2,40       2400       7045       6737        302          5          0       2102        208       4532        205         11       1,82
 41      39612       9928          0        446          0         13      53,62       0,69       18,5       2,37       2683       7694       7330        356          6          0       2334        233       4930        243         13       1,79
 42      38663      10792          0        528          0         15      53,62       0,69       18,7       2,35       2986       8340       7910        422          7          0       2586        257       5337        287         15       1,79
 43      37703      11657          0        620          0         18      53,62       0,68       18,9       2,31       3311       8975       8472        494          8          0       2861        284       5747        336         18       1,76
 44      36760      12495          0        721          0         21      53,62       0,68       19,1       2,29       3647       9581       8997        573         10          0       3151        316       6144        389         21       1,76
 45      35840      13295          0        838          0         25      53,62       0,68       19,3       2,26       4003      10145       9470        663         11          0       3456        347       6530        452         25       1,74
 46      34962      14033          0        973          0         29      53,62       0,68       19,4       2,23       4366      10661       9878        769         13          0       3778        378       6890        526         29       1,72
 47      34121      14721          0       1122          0         35      53,62       0,67       19,5       2,19       4746      11122      10221        886         15          0       4110        410       7238        605         35       1,69
 48      33344      15326          0       1287          0         41      53,62       0,67       19,6       2,15       5127      11518      10490       1010         17          0       4451        443       7550        695         41       1,67
 49      32616      15863          0       1472          0         47      53,62       0,67       19,8       2,13       5514      11858      10686       1151         20          0       4800        477       7830        794         47       1,64
 50      31955      16310          0       1680          0         54      53,61       0,67       19,9       2,11       5893      12141      10810       1307         23          0       5142        509       8069        907         54       1,61
 51      31353      16665          0       1920          0         61      53,61       0,67       20,1       2,08       6273      12363      10847       1489         26          0       5464        541       8277       1032         61       1,57
 52      30803      16939          0       2187          0         70      53,61       0,66       20,2       2,05       6647      12539      10816       1692         29          0       5768        570       8444       1171         70       1,55
 53      30307      17133          0       2479          0         79      53,61       0,66       20,4       2,02       7012      12670      10724       1911         33          0       6047        597       8574       1321         79       1,52
 54      29854      17255          0       2800          0         89      53,61       0,66       20,5       2,00       7372      12762      10573       2152         37          0       6308        624       8674       1482         89       1,50
 55      29446      17297          0       3154          0        101      53,61       0,66       20,7       1,96       7717      12825      10366       2417         41          0       6525        648       8729       1661        101       1,47
 56      29072      17265          0       3548          0        114      53,61       0,66       20,9       1,93       8049      12868      10106       2714         46          0       6702        665       8756       1857        114       1,44
 57      28723      17180          0       3968          0        127      53,61       0,65       21,1       1,90       8370      12896       9814       3030         51          0       6843        678       8755       2061        127       1,42
 58      28400      17021          0       4432          0        145      53,61       0,65       21,3       1,87       8676      12913       9484       3371         58          0       6944        689       8718       2282        145       1,39
 59      28097      16808          0       4932          0        160      53,61       0,65       21,6       1,83       8967      12924       9122       3738         63          0       7004        695       8651       2522        160       1,36
 60      27811      16540          0       5470          0        178      53,61       0,65       21,8       1,80       9248      12930       8731       4130         68          0       7016        697       8554       2781        178       1,33
 61      27538      16218          0       6048          0        195      53,61       0,65       22,0       1,77       9517      12934       8310       4550         73          0       7000        695       8435       3052        195       1,30
 62      27279      15854          0       6652          0        213      53,61       0,64       22,2       1,73       9773      12937       7871       4987         78          0       6943        689       8293       3336        213       1,27
 63      27040      15426          0       7299          0        232      53,61       0,64       22,4       1,70      10009      12939       7410       5445         83          0       6855        681       8115       3640        232       1,24
 64      26819      14952          0       7973          0        254      53,61       0,64       22,7       1,67      10229      12940       6935       5917         88          0       6735        671       7913       3955        254       1,21
 65      26603      14450          0       8669          0        276      53,61       0,64       22,9       1,64      10443      12942       6452       6395         93          0       6593        657       7700       4276        276       1,18
 66      26402      13904          0       9391          0        301      53,61       0,64       23,1       1,60      10644      12943       5953       6891         99          0       6421        642       7461       4611        301       1,15
 67      26213      13319          0      10139          0        327      53,61       0,64       23,3       1,57      10831      12944       5447       7392        104          0       6224        625       7194       4962        327       1,13
