--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.3.0.1
28/03/2020 16:28:03

Prefijo N20k
Potencia para fin de infección             3,00
Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %

Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     50
Número clusters generados                    49
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4       10,0       30,0      100,0   100   120       4,00          4,0           40
menor                 2   5  19        4,0       30,0      100,0    90   120      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    80   120      62,00         62,0          100
jubilado              2  65  69      400,0       30,0       98,2    60   120       5,00          5,0           50
mayor                 2  70 150      300,0       30,0       90,1    20   120      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Contagios ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19996          4          0          0          0          0      58,97       0,00        0,0       0,00          0          0          0          0          0          0          0
  2      19996          4          0          0          0          0      58,94       0,00        0,0       0,00          0          0          0          0          0          0          0
  3      19996          4          0          0          0          0      58,85       0,00        0,0       0,00          0          0          0          0          0          0          0
  4      19996          4          0          0          0          0      58,78       0,75        0,0       0,00          0          0          0          0          0          0          0
  5      19996          4          0          0          0          0      58,74       1,40        0,0       0,00          0          0          0          0          0          0          0
  6      19996          4          0          0          0          0      58,73       1,17        0,0       0,00          0          0          0          0          0          0          0
  7      19995          5          0          0          0          0      58,73       1,24        0,0       0,00          1          0          0          0          0          4          3
  8      19994          6          0          0          0          0      58,67       1,31        0,0       0,00          2          0          0          0          0          4          3
  9      19994          6          0          0          0          0      58,64       1,12        0,0       0,00          2          0          0          0          0          4          3
 10      19992          8          0          0          0          0      58,69       1,27        0,0       0,00          2          2          2          0          0          4          3
 11      19988         12          0          0          0          0      58,67       1,15        0,0       0,00          2          6          6          0          0          4          3
 12      19987         13          0          0          0          0      58,67       1,30        0,0       0,00          2          7          7          0          0          4          3
 13      19978         22          0          0          0          0      58,68       1,40        0,0       0,00          3         15         15          0          0          5          3
 14      19958         42          0          0          0          0      58,67       1,21        0,0       0,00          4         34         34          0          0          6          3
 15      19939         61          0          0          0          0      58,66       0,96        0,0       0,00          5         52         52          0          0          6          3
 16      19919         81          0          0          0          0      58,66       0,90        0,0       0,00          7         70         70          0          0          8          3
 17      19899        101          0          0          0          0      58,67       0,84        0,0       0,00         10         87         87          0          0         12          3
 18      19880        120          0          0          0          0      58,68       0,99        0,0       0,00         17         99         99          0          0         13          3
 19      19874        126          0          0          0          0      58,68       1,05        0,0       0,00         23         99         99          0          0         22          5
 20      19869        131          0          0          0          0      58,68       1,24        0,0       0,00         28         99         99          0          0         42          7
