--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.4.3.3
01/04/2020 09:33:06
--------------------------------------------------------------------------------------------------
Prefijo SR100f
Potencia para fin de infección             3,00

Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Probabilidad de enfermar                 100,00 %
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %
Densidad crítica de vecinos infect         0,00 %
Probabilidad contagio ambiental            0,00 %

Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                   100
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     50
Número clusters generados                    49 con        3.980 Individuos
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4        8,0       30,0      100,0   100   120       4,00          4,0           40
menor                 2   5  19        3,0       30,0      100,0    90   120      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    80   120      62,00         62,0          100
jubilado              2  65  69      413,0       30,0       97,4    60   120       5,00          5,0           50
mayor                 2  70 150      283,0       30,0       85,4    20   120      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Afectados ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz  Ambiental
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19900        100          0          0          0          0      58,97       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  2      19900        100          0          0          0          0      58,93       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  3      19900        100          0          0          0          0      58,85       0,00        0,0       0,00          0          0          0          0          0          0          0          0
  4      19853        147          0          0          0          0      58,77       0,56        0,0       0,00          7         40         40          0          0          0          0          0
  5      19792        208          0          0          0          0      58,77       0,73        0,0       0,00          9         99         99          0          0          0          0          0
  6      19743        257          0          0          0          0      58,74       0,78        0,0       0,00         11        146        146          0          0          0          0          0
  7      19584        416          0          0          0          0      58,72       0,75        0,0       0,00         16        300        300          0          0        100         17          0
  8      19331        669          0          0          0          0      58,70       0,71        0,0       0,00         31        538        538          0          0        100         17          0
  9      19114        886          0          0          0          0      58,70       0,72        0,0       0,00         41        745        745          0          0        100         17          0
 10      18858       1142          0          0          0          0      58,72       0,76        0,0       0,00         58        984        984          0          0        147         23          0
 11      18646       1354          0          0          0          0      58,73       0,90        0,0       0,00         98       1156       1156          0          0        208         28          0
 12      18527       1473          0          0          0          0      58,72       1,02        0,0       0,00        135       1238       1238          0          0        257         35          0
 13      18390       1608          0          2          0          0      58,74       1,16        7,0      13,50        208       1302       1301          1          0        414         47          0
 14      18258       1739          0          3          0          0      58,76       1,27        9,0       9,00        267       1375       1374          1          0        666         69          0
 15      18128       1867          0          5          0          0      58,75       1,37        9,4       9,40        324       1448       1445          3          0        881         94          0
 16      17955       2032          0         13          0          0      58,74       1,42        9,3       5,08        358       1587       1578          9          0       1130        117          0
 17      17739       2242          0         19          0          0      58,73       1,48       10,0       3,95        411       1750       1737         13          0       1335        142          0
 18      17528       2447          0         25          0          0      58,73       1,51       11,0       3,32        456       1916       1900         16          0       1448        159          0
 19      17244       2719          0         36          0          1      58,74       1,55       11,6       2,51        488       2168       2144         23          1       1573        168          0
 20      16986       2961          0         52          0          1      58,73       1,58       11,9       2,36        538       2376       2340         35          1       1689        182          0
 21      16678       3252          0         68          0          2      58,73       1,60       12,4       2,19        604       2618       2573         44          1       1803        189          0
 22      16420       3493          0         84          0          3      58,72       1,61       13,2       1,91        665       2815       2761         53          1       1959        205          0
 23      16224       3660          0        113          0          3      58,72       1,63       13,8       1,97        727       2949       2872         76          1       2146        217          0
 24      16070       3791          0        136          0          3      58,72       1,64       14,2       1,84        812       3018       2924         93          1       2334        235          0
 25      15952       3871          0        172          0          5      58,71       1,66       14,7       1,97        884       3064       2941        120          3       2580        253          0
 26      15825       3966          0        204          0          5      58,71       1,69       15,0       1,97        958       3117       2967        147          3       2807        281          0
 27      15676       4069          0        250          0          5      58,71       1,70       15,4       1,89       1034       3190       3002        185          3       3067        304          0
 28      15557       4137          0        300          0          6      58,69       1,71       16,0       1,94       1088       3255       3023        229          3       3275        311          0
 29      15437       4199          0        358          0          6      58,69       1,74       16,5       1,93       1149       3314       3038        273          3       3413        328          0
 30      15337       4231          0        424          0          8      58,70       1,75       17,1       1,92       1204       3359       3034        321          4       3499        342          0
 31      15264       4216          0        510          0         10      58,70       1,76       17,8       1,85       1256       3380       2983        392          5       3528        346          0
 32      15204       4168          0        614          0         14      58,70       1,77       18,7       1,79       1310       3386       2926        453          7       3547        346          0
