01/04/2020 09:33:06

Situación inicial

Cluster GID Grupo                Individuos     Sanos  Infectados    Curados Desinmuniz    Muertos
------- --- -------------------- ---------- ---------- ---------- ---------- ---------- ----------
      1   0 nene                         40         40          0          0          0          0
      2   0 nene                         40         39          1          0          0          0
      3   1 menor                        60         60          0          0          0          0
      4   1 menor                        60         60          0          0          0          0
      5   1 menor                        60         60          0          0          0          0
      6   1 menor                        60         59          1          0          0          0
      7   1 menor                        60         60          0          0          0          0
      8   1 menor                        60         60          0          0          0          0
      9   1 menor                        60         60          0          0          0          0
     10   2 adulto                      100        100          0          0          0          0
     11   2 adulto                      100        100          0          0          0          0
     12   2 adulto                      100        100          0          0          0          0
     13   2 adulto                      100        100          0          0          0          0
     14   2 adulto                      100         99          1          0          0          0
     15   2 adulto                      100        100          0          0          0          0
     16   2 adulto                      100        100          0          0          0          0
     17   2 adulto                      100        100          0          0          0          0
     18   2 adulto                      100         99          1          0          0          0
     19   2 adulto                      100        100          0          0          0          0
     20   2 adulto                      100        100          0          0          0          0
     21   2 adulto                      100         99          1          0          0          0
     22   2 adulto                      100        100          0          0          0          0
     23   2 adulto                      100        100          0          0          0          0
     24   2 adulto                      100        100          0          0          0          0
     25   2 adulto                      100        100          0          0          0          0
     26   2 adulto                      100        100          0          0          0          0
     27   2 adulto                      100        100          0          0          0          0
     28   2 adulto                      100         99          1          0          0          0
     29   2 adulto                      100         99          1          0          0          0
     30   2 adulto                      100         99          1          0          0          0
     31   2 adulto                      100         99          1          0          0          0
     32   2 adulto                      100        100          0          0          0          0
     33   2 adulto                      100        100          0          0          0          0
     34   2 adulto                      100        100          0          0          0          0
     35   2 adulto                      100         99          1          0          0          0
     36   2 adulto                      100         99          1          0          0          0
     37   2 adulto                      100        100          0          0          0          0
     38   2 adulto                      100         99          1          0          0          0
     39   2 adulto                      100        100          0          0          0          0
     40   2 adulto                      100         99          1          0          0          0
     41   3 jubilado                     50         50          0          0          0          0
     42   3 jubilado                     50         50          0          0          0          0
     43   4 mayor                        40         39          1          0          0          0
     44   4 mayor                        40         40          0          0          0          0
     45   4 mayor                        40         40          0          0          0          0
     46   4 mayor                        40         40          0          0          0          0
     47   4 mayor                        40         40          0          0          0          0
     48   4 mayor                        40         39          1          0          0          0
     49   4 mayor                        40         40          0          0          0          0
------- --- -------------------- ---------- ---------- ---------- ---------- ---------- ----------
                                       3980       3965         15          0          0          0

