--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.3.0.1
28/03/2020 19:18:20

Prefijo N20kmD30
Potencia para fin de infección             3,00
Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %

Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     20
Número clusters generados                    18
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4       10,0       30,0      100,0    50    60       4,00          4,0           40
menor                 2   5  19        4,0       30,0      100,0    45    60      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    40    60      62,00         62,0          100
jubilado              2  65  69      400,0       30,0       98,2    30    60       5,00          5,0           50
mayor                 2  70 150      300,0       30,0       90,1    10    60      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Contagios ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      19286        709          0          5          0          0      29,32       1,00       17,4       5,80         11         32         32          0          0        252         29
  2      19243        745          0         12          0          0      29,20       0,98       21,3       3,08         27         59         59          0          0        305         33
  3      19183        804          0         13          0          0      29,22       1,00       21,2       2,92         41        105        105          0          0        394         44
  4      19094        888          0         18          0          0      29,19       1,03       19,2       2,56         65        170        170          0          0        505         60
  5      19033        944          0         23          0          0      29,18       0,99       19,3       2,61         75        221        221          0          0        577         69
  6      18978        989          0         33          0          0      29,19       0,99       18,3       2,48         87        264        264          0          0        638         75
  7      18907       1052          0         41          0          0      29,19       0,98       18,5       2,85        102        320        320          0          0        673         78
  8      18825       1122          0         53          0          0      29,18       1,00       17,6       2,62        119        385        385          0          0        704         79
  9      18755       1185          0         60          0          0      29,19       0,99       17,7       2,57        128        446        446          0          0        757         87
 10      18678       1252          0         70          0          0      29,20       1,00       17,7       2,26        153        498        498          0          0        836         94
 11      18646       1272          0         81          0          1      29,20       0,99       17,9       2,22        164        519        519          0          0        885        102
 12      18592       1309          0         98          0          1      29,20       0,99       18,5       2,21        187        550        549          1          0        923        106
 13      18557       1315          0        127          0          1      29,20       0,99       18,7       2,13        206        566        563          3          0        965        110
 14      18505       1347          0        147          0          1      29,20       1,00       18,7       2,11        233        591        585          6          0       1027        115
 15      18462       1359          0        178          0          1      29,20       1,00       19,4       1,96        250        617        606         11          0       1066        120
 16      18395       1397          0        207          0          1      29,20       1,00       19,9       1,91        271        663        650         13          0       1115        126
 17      18340       1419          0        239          0          2      29,20       1,00       20,2       1,91        295        694        676         18          0       1114        122
 18      18302       1418          0        278          0          2      29,20       1,01       20,5       1,77        317        710        688         22          0       1128        119
 19      18239       1446          0        312          0          3      29,19       1,00       20,8       1,69        338        752        726         26          0       1128        119
 20      18170       1477          0        350          0          3      29,20       1,00       21,0       1,76        370        789        759         30          0       1142        121
 21      18115       1498          0        384          0          3      29,20       1,00       21,0       1,76        392        822        784         38          0       1151        125
 22      18046       1532          0        419          0          3      29,20       0,99       21,3       1,71        410        873        827         46          0       1183        125
 23      18012       1521          0        462          0          5      29,19       0,99       21,6       1,66        431        886        833         53          0       1193        129
 24      17971       1507          0        515          0          7      29,19       0,99       22,0       1,64        452        906        842         64          0       1176        127
 25      17925       1500          0        568          0          7      29,20       0,99       22,2       1,61        479        925        849         76          0       1186        123
 26      17864       1500          0        628          0          8      29,20       0,99       22,7       1,61        512        953        862         91          0       1194        125
 27      17831       1477          0        683          0          9      29,20       0,99       22,9       1,55        529        969        859        110          0       1193        124
