--------------------------------------------------------------------------------------------------
Simulador de contagios. 1.3.0.1
29/03/2020 00:34:45

Prefijo L15N20kmD40
Potencia para fin de infección             3,00
Probabilidad base de contagio              2,00 %
Probabilidad contagio cluster              4,00 %
Probabilidad base de REcontagio            0,00 %
Días mínimos de inmunidad                     5
Días de carencia para contagiar               3
Días de incubación                            7
Factor probab. contagio enfermo           25,00 %
Probabilidad de hospitalización           10,00 %
Factor prob. contagio hospitalizad         0,00 %

Número de individuos                     20.000
Radio                                     1.704
Número de focos iniciales                     4
Número de inmunes iniciales                   0
Número de focos a importar                    0 cada 0 días, del grupo adulto
Radio de contacto                             1
Longitud media 10 pasos                       4
Tabla de vecinos                   Si          

Número clusters objetivo                     50
Número clusters generados                    49
Factor individuos por cluster              1,00

                        - Edad- % Factor B    Días         %      Num.Pasos      %             %      Individuos
Grupo            Género Min Max   Contagio  Duración    Curación   Min   Max Individuos     clusters    cluster 
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------
nene                  2   0   4       10,0       30,0      100,0   100   120       4,00          4,0           40
menor                 2   5  19        4,0       30,0      100,0    90   120      15,00         15,0           60
adulto                2  20  64      100,0       30,0       99,5    80   120      62,00         62,0          100
jubilado              2  65  69      400,0       30,0       98,2    60   120       5,00          5,0           50
mayor                 2  70 150      300,0       30,0       90,1    20   120      14,00         14,0           40
---------------- ------ --- --- ---------- ---------- ---------- ----- ----- ---------- ------------ ------------

Valores al final del día
                                                                       Recorrido  Contactos Media días            ------ Contagios ---- ----------  Clusters -----------
Día     Sanos  Infectados Importados    Curados Desinmuniz    Muertos     Ida     críticos  infectados         R0   Cercania   Clusters Infectados    Curados    Muertos   Enfermos Hospitaliz
--- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ---------- ----------
  1      16444       2764          0        779          0         13      58,98       1,93       20,9       1,65         84        130        130          0          0       2310        234
  2      16261       2864          0        860          0         15      58,98       1,84       21,3       1,64        151        246        246          0          0       2275        226
  3      16122       2902          0        960          0         16      58,89       1,79       21,6       1,60        213        323        323          0          0       2240        224
  4      15811       3085          0       1085          0         19      58,87       1,76       22,1       1,61        296        551        551          0          0       2148        214
  5      15542       3255          0       1184          0         19      58,80       1,73       22,3       1,58        359        757        757          0          0       2098        207
  6      15374       3327          0       1278          0         21      58,74       1,71       22,6       1,57        420        864        864          0          0       2043        199
  7      15197       3398          0       1383          0         22      58,70       1,69       22,7       1,57        501        960        960          0          0       2152        204
  8      15053       3437          0       1488          0         22      58,71       1,70       22,9       1,59        605       1000       1000          0          0       2229        206
  9      14945       3406          0       1625          0         24      58,69       1,70       23,2       1,59        698       1015       1015          0          0       2229        196
 10      14861       3342          0       1769          0         28      58,68       1,70       23,4       1,56        780       1017       1017          0          0       2392        209
 11      14774       3303          0       1894          0         29      58,70       1,71       23,6       1,54        866       1018       1015          3          0       2535        224
 12      14689       3243          0       2036          0         32      58,72       1,71       23,9       1,54        951       1018       1014          4          0       2558        224
 13      14609       3181          0       2174          0         36      58,72       1,71       24,1       1,51       1031       1018       1008         10          0       2593        227
 14      14547       3087          0       2329          0         37      58,72       1,72       24,3       1,48       1093       1018       1005         13          0       2581        221
 15      14460       3014          0       2486          0         40      58,73       1,72       24,6       1,46       1180       1018        999         19          0       2529        204
 16      14396       2948          0       2608          0         48      58,71       1,72       24,7       1,44       1242       1020        991         28          1       2483        204
 17      14322       2944          0       2684          0         50      58,70       1,73       24,7       1,43       1315       1021        983         37          1       2492        203
 18      14263       2892          0       2791          0         54      58,71       1,73       24,7       1,43       1374       1021        964         56          1       2466        202
 19      14201       2853          0       2887          0         59      58,72       1,73       24,7       1,42       1436       1021        955         65          1       2445        209
 20      14128       2840          0       2970          0         62      58,73       1,73       24,7       1,40       1508       1022        945         76          1       2421        211
