31/03/2020 20:13:47

Situación inicial

Cluster GID Grupo                Individuos     Sanos  Infectados    Curados Desinmuniz    Muertos
------- --- -------------------- ---------- ---------- ---------- ---------- ---------- ----------
      1   0 nene                         40         40          0          0          0          0
      2   0 nene                         40         40          0          0          0          0
      3   1 menor                        60         60          0          0          0          0
      4   1 menor                        60         60          0          0          0          0
      5   1 menor                        60         60          0          0          0          0
      6   1 menor                        60         60          0          0          0          0
      7   1 menor                        60         60          0          0          0          0
      8   1 menor                        60         60          0          0          0          0
      9   1 menor                        60         60          0          0          0          0
     10   2 adulto                      100          0          0         99          0          1
     11   2 adulto                      100          0          0         98          0          2
     12   2 adulto                      100          0          0        100          0          0
     13   2 adulto                      100          0          0         99          0          1
     14   2 adulto                      100          0          0        100          0          0
     15   2 adulto                      100          0          0        100          0          0
     16   2 adulto                      100          0          0         99          0          1
     17   2 adulto                      100          0         61         39          0          0
     18   2 adulto                      100          0          0        100          0          0
     19   2 adulto                      100          0          4         96          0          0
     20   2 adulto                      100          0          0        100          0          0
     21   2 adulto                      100          0          0         99          0          1
     22   2 adulto                      100         98          0          2          0          0
     23   2 adulto                      100        100          0          0          0          0
     24   2 adulto                      100         98          2          0          0          0
     25   2 adulto                      100         93          2          5          0          0
     26   2 adulto                      100         96          1          2          0          1
     27   2 adulto                      100         70          1         29          0          0
     28   2 adulto                      100         97          1          2          0          0
     29   2 adulto                      100          0          0        100          0          0
     30   2 adulto                      100          0          0         99          0          1
     31   2 adulto                      100         85          1         14          0          0
     32   2 adulto                      100          5          0         95          0          0
     33   2 adulto                      100          1          0         99          0          0
     34   2 adulto                      100         96          0          4          0          0
     35   2 adulto                      100         98          1          1          0          0
     36   2 adulto                      100        100          0          0          0          0
     37   2 adulto                      100         99          0          1          0          0
     38   2 adulto                      100          0          0         99          0          1
     39   2 adulto                      100          0          0        100          0          0
     40   2 adulto                      100         98          1          1          0          0
     41   3 jubilado                     50          0          0         50          0          0
     42   3 jubilado                     50          0          0         49          0          1
     43   4 mayor                        40          0          0         36          0          4
     44   4 mayor                        40          0          0         32          0          8
     45   4 mayor                        40         37          1          1          0          1
     46   4 mayor                        40          0          0         33          0          7
     47   4 mayor                        40         38          1          1          0          0
     48   4 mayor                        40          0          0         36          0          4
     49   4 mayor                        40         35          0          3          0          2
------- --- -------------------- ---------- ---------- ---------- ---------- ---------- ----------
                                       3980       1844         77       2023          0         36

